,groupRef,typeRef,unit,value
2020-03-16 18:40:35+00:00,weatherRef,UBC Running Mean Temp,°C,5.578604
2020-03-16 18:40:35+00:00,weatherRef,UBC Target Comfort Temp,°C,20.640939
2020-03-16 18:46:57+00:00,weatherRef,UBC Running Mean Temp,°C,5.578602
2020-03-16 18:46:57+00:00,weatherRef,UBC Target Comfort Temp,°C,20.640939
2020-03-16 18:47:24+00:00,weatherRef,UBC Running Mean Temp,°C,5.578602
2020-03-16 18:47:24+00:00,weatherRef,UBC Target Comfort Temp,°C,20.640939
2020-03-16 18:53:49+00:00,weatherRef,UBC Running Mean Temp,°C,5.578600
2020-03-16 18:53:49+00:00,weatherRef,UBC Target Comfort Temp,°C,20.640938
2020-03-16 18:54:19+00:00,weatherRef,UBC Running Mean Temp,°C,5.636026
2020-03-16 18:54:19+00:00,weatherRef,UBC Target Comfort Temp,°C,20.659888
2020-03-16 19:00:00+00:00,weatherRef,UBC Solar Radiation,W/m²,593.000000
2020-03-16 19:00:00+00:00,weatherRef,UBC Pressure,kPa,102.419998
2020-03-16 19:00:00+00:00,weatherRef,UBC Wind Bearing,deg,247.500000
2020-03-16 19:00:00+00:00,weatherRef,UBC Temp,°C,6.200000
2020-03-16 19:00:00+00:00,weatherRef,UBC Dewpoint,°C,-2.220000
2020-03-16 19:00:00+00:00,weatherRef,UBC Humidity,%RH,59.000000
2020-03-16 19:00:00+00:00,weatherRef,UBC Precipitation Intensity,mm,0.000000
2020-03-16 19:00:00+00:00,weatherRef,UBC Cloud Cover,%,1.000000
2020-03-16 19:00:00+00:00,weatherRef,UBC Precipitation Probability,%,0.000000
2020-03-16 19:00:00+00:00,weatherRef,UBC Windspeed,m/s,4.680000
2020-03-16 19:00:00+00:00,weatherRef,UBC Visibility,km,16.093000
2020-03-16 19:00:00+00:00,weatherRef,UBC Condition,omit,clear
2020-03-16 19:00:35+00:00,weatherRef,UBC Running Mean Temp,°C,5.578598
2020-03-16 19:00:35+00:00,weatherRef,UBC Target Comfort Temp,°C,20.640937
2020-03-16 19:01:13+00:00,weatherRef,UBC Running Mean Temp,°C,5.636024
2020-03-16 19:01:13+00:00,weatherRef,UBC Target Comfort Temp,°C,20.659888
2020-03-16 19:07:24+00:00,weatherRef,UBC Running Mean Temp,°C,5.578596
2020-03-16 19:07:24+00:00,weatherRef,UBC Target Comfort Temp,°C,20.640937
2020-03-16 19:08:03+00:00,weatherRef,UBC Running Mean Temp,°C,5.636021
2020-03-16 19:08:03+00:00,weatherRef,UBC Target Comfort Temp,°C,20.659887
2020-03-16 19:14:19+00:00,weatherRef,UBC Running Mean Temp,°C,5.636020
2020-03-16 19:14:19+00:00,weatherRef,UBC Target Comfort Temp,°C,20.659886
2020-03-16 19:14:50+00:00,weatherRef,UBC Running Mean Temp,°C,5.636019
2020-03-16 19:14:50+00:00,weatherRef,UBC Target Comfort Temp,°C,20.659886
2020-03-16 19:21:13+00:00,weatherRef,UBC Running Mean Temp,°C,5.636017
2020-03-16 19:21:13+00:00,weatherRef,UBC Target Comfort Temp,°C,20.659886
2020-03-16 19:21:44+00:00,weatherRef,UBC Running Mean Temp,°C,5.636017
2020-03-16 19:21:44+00:00,weatherRef,UBC Target Comfort Temp,°C,20.659886
2020-03-16 19:28:03+00:00,weatherRef,UBC Running Mean Temp,°C,5.636015
2020-03-16 19:28:03+00:00,weatherRef,UBC Target Comfort Temp,°C,20.659885
2020-03-16 19:28:40+00:00,weatherRef,UBC Running Mean Temp,°C,5.636015
2020-03-16 19:28:40+00:00,weatherRef,UBC Target Comfort Temp,°C,20.659885
2020-03-16 19:34:50+00:00,weatherRef,UBC Running Mean Temp,°C,5.636013
2020-03-16 19:34:50+00:00,weatherRef,UBC Target Comfort Temp,°C,20.659884
2020-03-16 19:35:34+00:00,weatherRef,UBC Running Mean Temp,°C,5.636013
2020-03-16 19:35:34+00:00,weatherRef,UBC Target Comfort Temp,°C,20.659884
2020-03-16 19:41:44+00:00,weatherRef,UBC Running Mean Temp,°C,5.636011
2020-03-16 19:41:44+00:00,weatherRef,UBC Target Comfort Temp,°C,20.659884
2020-03-16 19:42:21+00:00,weatherRef,UBC Running Mean Temp,°C,5.636011
2020-03-16 19:42:21+00:00,weatherRef,UBC Target Comfort Temp,°C,20.659884
2020-03-16 19:48:40+00:00,weatherRef,UBC Running Mean Temp,°C,5.636009
2020-03-16 19:48:40+00:00,weatherRef,UBC Target Comfort Temp,°C,20.659883
2020-03-16 19:49:12+00:00,weatherRef,UBC Running Mean Temp,°C,5.636009
2020-03-16 19:49:12+00:00,weatherRef,UBC Target Comfort Temp,°C,20.659883
2020-03-16 19:55:34+00:00,weatherRef,UBC Running Mean Temp,°C,5.636007
2020-03-16 19:55:34+00:00,weatherRef,UBC Target Comfort Temp,°C,20.659882
2020-03-16 19:56:05+00:00,weatherRef,UBC Running Mean Temp,°C,5.664159
2020-03-16 19:56:05+00:00,weatherRef,UBC Target Comfort Temp,°C,20.669172
2020-03-16 20:00:00+00:00,weatherRef,UBC Condition,omit,clear
2020-03-16 20:00:00+00:00,weatherRef,UBC Visibility,km,16.093000
2020-03-16 20:00:00+00:00,weatherRef,UBC Solar Radiation,W/m²,642.000000
2020-03-16 20:00:00+00:00,weatherRef,UBC Temp,°C,7.000000
2020-03-16 20:00:00+00:00,weatherRef,UBC Wind Bearing,deg,247.500000
2020-03-16 20:00:00+00:00,weatherRef,UBC Pressure,kPa,102.370003
2020-03-16 20:00:00+00:00,weatherRef,UBC Precipitation Type,omit,rain
2020-03-16 20:00:00+00:00,weatherRef,UBC Windspeed,m/s,3.240000
2020-03-16 20:00:00+00:00,weatherRef,UBC Precipitation Intensity,mm,0.000000
2020-03-16 20:00:00+00:00,weatherRef,UBC Dewpoint,°C,-1.250000
