id,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,cmd,co2,connRef,cooling,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,disMacro,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,flow,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,jci,kind,lastSynced,leaving,low,mixed,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,outside,point,pointType,power,preheat,pressure,pump,quantityID,return,run,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,tags,temp,tlName,tz,unit,utilityPoint,valve,water,zone,mod
@p:ubcv:r:23d51440-dcd8357a Brock Hall Unsorted Points JCL-NAE11/BACnet IP integration interface.114 - Electrical Submeter 1.Accumulator-1.Trend1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3007279,✓,JCL-NAE11/BACnet IP integration interface.114 - Electrical Submeter 1.Accumulator-1.Trend1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",27116,2019-08-01T04:30:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:18.224-07:00 Los_Angeles,"","","",JCL-NAE11/BACnet IP integration interface.114 - Electrical Submeter 1.Accumulator-1.Trend1,✓,"","","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","",✓,"","",Los_Angeles,_,"","","","",2020-04-09T19:15:03.612Z UTC
@p:ubcv:r:23d5143f-0c27df3b Brock Hall Unsorted Points JCL-NAE11/FC-A.VND-11A-30.BO-1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004400,✓,JCL-NAE11/FC-A.VND-11A-30.BO-1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-11T20:42:13-07:00 Los_Angeles,"","",650,2019-02-06T16:09:29-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:14:16.791-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.VND-11A-30.BO-1,✓,"","","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.VND-11A-30.BO-1.Trend1,Los_Angeles,"","","","","",2020-04-08T18:50:20.745Z UTC
@p:ubcv:r:23d5143f-f5b7336f Brock Hall Unsorted Points JCL-NAE11/FC-A.VMA-11A-15.HTG-O,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004121,✓,JCL-NAE11/FC-A.VMA-11A-15.HTG-O,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,✓,✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",22920,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:14:17.041-07:00 Los_Angeles,"","","",Heating Valve Cmd,"",AO3003215,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE11/FC-A.VMA-11A-15.HTG-O.Trend1,Los_Angeles,%,"",✓,✓,"",2020-04-14T16:49:59.103Z UTC
@p:ubcv:r:23d51440-5f7c66f9 Brock Hall Unsorted Points JCL-NAE11/FC-A.HRV-1 Integration.AV-10072,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3007413,✓,JCL-NAE11/FC-A.HRV-1 Integration.AV-10072,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",45914,2019-01-17T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:18.233-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.HRV-1 Integration.AV-10072,✓,AV3006173,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.HRV-1 Integration.AV-10072.Trend1,Los_Angeles,cfm,"","","","",2020-04-09T19:01:58.857Z UTC
@p:ubcv:r:23d5143f-1a986b2e Brock Hall Unsorted Points JCL-NAE11/FC-A.VMA-11A-13.DA-VP,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004054,✓,JCL-NAE11/FC-A.VMA-11A-13.DA-VP,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",22920,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:17.115-07:00 Los_Angeles,"","","",Discharge Air Pressure Cmd,"",AI3003192,"","","","",✓,"","","",✓,"","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","",@p:ubcv:r:23e65d3d-7f24f88c .+(\.|-| )(SA|DA)-VP,"","",JCL-NAE11/FC-A.VMA-11A-13.DA-VP.Trend1,Los_Angeles,Pa,"","","","",2020-04-09T19:01:58.86Z UTC
@p:ubcv:r:23d51441-ec6902ad Brock Hall Unsorted Points JCL-NAE11/Programming.M&V.ML-2N1M_EM_kwh,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3007420,✓,JCL-NAE11/Programming.M&V.ML-2N1M_EM_kwh,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",45919,2019-01-17T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:18.264-07:00 Los_Angeles,"","","",JCL-NAE11/Programming.M&V.ML-2N1M_EM_kwh,✓,AV3007419,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/Programming.M&V.ML-2N1M_EM_kwh.Trend1,Los_Angeles,kWh,"","","","",2020-04-09T19:01:58.861Z UTC
@p:ubcv:r:23d51440-49b6362a Brock Hall Unsorted Points JCL-NAE11/FC-A.VMA-11A-22.ZN-SP,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3005152,✓,JCL-NAE11/FC-A.VMA-11A-22.ZN-SP,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"",✓,"","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:10:00-07:00 Los_Angeles,"","",68633,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:32.455-07:00 Los_Angeles,"","","",Zone Temp Effective Sp,"",AV3005151,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"",✓,"","","",@p:ubcv:r:2538dbc2-74c2178f .+(\.|-| )ZN-SP,"",✓,JCL-NAE11/FC-A.VMA-11A-22.ZN-SP.Trend1,Los_Angeles,°C,"","","",✓,2020-04-09T19:01:58.863Z UTC
@p:ubcv:r:23d51440-d2b8a22f Brock Hall Unsorted Points JCL-NAE11/BACnet IP integration interface.114 - Electrical Submeter 1.AI-0,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3006075,✓,JCL-NAE11/BACnet IP integration interface.114 - Electrical Submeter 1.AI-0,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",45500,2019-01-18T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:18.272-07:00 Los_Angeles,"","","",JCL-NAE11/BACnet IP integration interface.114 - Electrical Submeter 1.AI-0,✓,AI3006047,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/BACnet IP integration interface.114 - Electrical Submeter 1.AI-0.Trend1,Los_Angeles,W,"","","","",2020-04-09T19:01:58.865Z UTC
@p:ubcv:r:23d5143f-951cd3db Brock Hall Unsorted Points JCL-NAE11/FC-A.VMA-11A-17.DA-T,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004187,✓,JCL-NAE11/FC-A.VMA-11A-17.DA-T,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",22920,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:17.128-07:00 Los_Angeles,"","","",Discharge Air Temp,"",AI3003232,"","","","",✓,"","","","","","","","","",✓,@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,"",✓,JCL-NAE11/FC-A.VMA-11A-17.DA-T.Trend1,Los_Angeles,°C,"","","","",2020-04-09T19:01:58.867Z UTC
@p:ubcv:r:23d5143f-95b9cc73 Brock Hall Unsorted Points JCL-NAE11/FC-A.VND-11A-37.BO-1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004407,✓,JCL-NAE11/FC-A.VND-11A-37.BO-1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-11T20:42:12-07:00 Los_Angeles,"","",376,2019-01-19T19:39:59-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:14:16.934-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.VND-11A-37.BO-1,✓,"","","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.VND-11A-37.BO-1.Trend1,Los_Angeles,"","","","","",2020-04-08T18:50:20.283Z UTC
@p:ubcv:r:23d51440-2b30b6cc Brock Hall Unsorted Points JCL-NAE11/FC-A.VND-11A-50.AV-8,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3007305,✓,JCL-NAE11/FC-A.VND-11A-50.AV-8,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",45919,2019-01-17T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:18.299-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.VND-11A-50.AV-8,✓,AV3003513,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.VND-11A-50.AV-8.Trend1,Los_Angeles,kWh,"","","","",2020-04-09T19:01:58.87Z UTC
@p:ubcv:r:23d5143f-3a489d22 Brock Hall Unsorted Points JCL-NAE11/FC-A.VND-11A-43.AV-4,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004416,✓,JCL-NAE11/FC-A.VND-11A-43.AV-4,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",22920,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:17.149-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.VND-11A-43.AV-4,✓,AV3003360,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.VND-11A-43.AV-4.Trend1,Los_Angeles,°F,"","","","",2020-04-09T19:01:58.871Z UTC
@p:ubcv:r:23d51440-f2abb473 Brock Hall Unsorted Points JCL-NAE11/FC-A.FEC-11A-07.DHS-T,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004506,✓,JCL-NAE11/FC-A.FEC-11A-07.DHS-T,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:10:00-07:00 Los_Angeles,"","",68635,2019-01-17T14:50:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:32.479-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.FEC-11A-07.DHS-T,✓,AI3003820,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.FEC-11A-07.DHS-T.Trend1,Los_Angeles,°C,"","","","",2020-04-09T19:01:58.872Z UTC
@p:ubcv:r:23d5143f-b388e2a7 Brock Hall Unsorted Points JCL-NAE11/FC-A.VMA-11A-10.HTG-O,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3003951,✓,JCL-NAE11/FC-A.VMA-11A-10.HTG-O,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,✓,✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",22920,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:14:17.157-07:00 Los_Angeles,"","","",Heating Valve Cmd,"",AO3003161,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE11/FC-A.VMA-11A-10.HTG-O.Trend1,Los_Angeles,%,"",✓,✓,"",2020-04-14T16:50:02.338Z UTC
@p:ubcv:r:23d51441-de713cd0 Brock Hall Unsorted Points JCL-NAE11/FC-A.VMA-11A-18.Parameters.HTG-REQ,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3009254,✓,JCL-NAE11/FC-A.VMA-11A-18.Parameters.HTG-REQ,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:10:00-07:00 Los_Angeles,"","",68633,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:32.491-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.VMA-11A-18.Parameters.HTG-REQ,✓,AV3009253,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.VMA-11A-18.Parameters.HTG-REQ.Trend1,Los_Angeles,_,"","","","",2020-04-09T19:15:03.616Z UTC
@p:ubcv:r:23d51440-ebff2a9a Brock Hall Unsorted Points JCL-NAE11/FC-A.VMA-11A-22.HTG-O,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004614,✓,JCL-NAE11/FC-A.VMA-11A-22.HTG-O,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,✓,✓,"","","",2020-05-12T14:10:00-07:00 Los_Angeles,"","",67753,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:14:32.5-07:00 Los_Angeles,"","","",Heating Valve Cmd,"",AO3003899,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE11/FC-A.VMA-11A-22.HTG-O.Trend1,Los_Angeles,%,"",✓,✓,"",2020-04-14T16:49:59.904Z UTC
@p:ubcv:r:23d51441-86bded88 Brock Hall Unsorted Points JCL-NAE11/FC-A.VND-11A-43.AV-1003,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3010283,✓,JCL-NAE11/FC-A.VND-11A-43.AV-1003,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:05:26-07:00 Los_Angeles,"","",10587,2019-01-13T17:01:58-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:17.055-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.VND-11A-43.AV-1003,✓,"","","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.VND-11A-43.AV-1003.Trend2,Los_Angeles,°F,"","","","",2020-04-09T19:01:58.878Z UTC
@p:ubcv:r:23d51440-05e6f6b9 Brock Hall Unsorted Points JCL-NAE11/Programming.M&V.CU-5_EM_kwh,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3007317,✓,JCL-NAE11/Programming.M&V.CU-5_EM_kwh,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",45919,2019-01-17T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:18.315-07:00 Los_Angeles,"","","",JCL-NAE11/Programming.M&V.CU-5_EM_kwh,✓,AV3007316,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/Programming.M&V.CU-5_EM_kwh.Trend1,Los_Angeles,kWh,"","","","",2020-04-09T19:01:58.879Z UTC
@p:ubcv:r:23d5143f-4dcc4b42 Brock Hall Unsorted Points JCL-NAE11/FC-A.VMA-11A-09.DPR-O,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3003914,✓,JCL-NAE11/FC-A.VMA-11A-09.DPR-O,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","",✓,"","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",22920,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:17.193-07:00 Los_Angeles,"","","",Discharge Air Damper Cmd,"",AO3003148,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","",@p:ubcv:r:23e65d3d-13728f49 .+(\.|-| )DPR(\d)?-(C|O),"","",JCL-NAE11/FC-A.VMA-11A-09.DPR-O.Trend1,Los_Angeles,%,"","","","",2020-04-14T16:50:02.599Z UTC
@p:ubcv:r:23d51440-3427cbef Brock Hall Unsorted Points JCL-NAE11/FC-A.VND-11A-43.BV-60.Trend1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3005962,✓,JCL-NAE11/FC-A.VND-11A-43.BV-60.Trend1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-11T21:18:42-07:00 Los_Angeles,"","",1041,2018-12-02T23:40:46-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:14:16.911-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.VND-11A-43.BV-60.Trend1,✓,"","","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","","",Los_Angeles,"","","","","",2020-04-08T18:55:13.549Z UTC
@p:ubcv:r:23d51441-8ac3583e Brock Hall Unsorted Points JCL-NAE11/FC-A.VMA-11A-23.DA-T,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3009857,✓,JCL-NAE11/FC-A.VMA-11A-23.DA-T,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",22920,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:17.21-07:00 Los_Angeles,"","","",Discharge Air Temp,"",AI3009856,"","","","",✓,"","","","","","","","","",✓,@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,"",✓,JCL-NAE11/FC-A.VMA-11A-23.DA-T.Trend1,Los_Angeles,°C,"","","","",2020-04-09T19:01:58.883Z UTC
@p:ubcv:r:23d51440-7926dcaf Brock Hall Unsorted Points JCL-NAE11/FC-A.VND-11A-47.AV-1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3007408,✓,JCL-NAE11/FC-A.VND-11A-47.AV-1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",45919,2019-01-17T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:18.324-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.VND-11A-47.AV-1,✓,AV3007406,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.VND-11A-47.AV-1.Trend1,Los_Angeles,kWh,"","","","",2020-04-09T19:01:58.884Z UTC
@p:ubcv:r:23d51440-2b341faa Brock Hall Unsorted Points JCL-NAE11/FC-A.VND-11A-45.AI-2,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004426,✓,JCL-NAE11/FC-A.VND-11A-45.AI-2,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",22920,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:17.253-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.VND-11A-45.AI-2,✓,AI3003475,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.VND-11A-45.AI-2.Trend1,Los_Angeles,L/s,"","","","",2020-04-09T19:01:58.889Z UTC
