id,air,alarm,bacnetConnRef,bacnetHis,bacnetPoint,bmsName,cmd,co2,connRef,covTest,current,damper,delta,differential,disMacro,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,filter,flow,gas,groupRef,heating,highLim,his,hisConvert,hisEnd,hisErr,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,lastSynced,lastTagged,leaving,lowLim,max,min,mode,navName,noTagMatch,objectId,occ,outside,point,pointType,power,pressure,ptTest,pump,quantityID,return,run,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,sqlSource,tagTableRef,tags,temp,testUnits,tlName,tz,unit,utilityPoint,volt,voltage,volume,water,zone,mod
@p:ubcv:r:23d11cc0-bc788b5b NSDC Unsorted Points NSDC_VAV310_RM301G_DMP_CL,"","",@p:ubcv:r:23d10ff4-e5f3e04b NSDC NSDC_VAV310_RM301G (780210),TL91,✓,NSDC_VAV310_RM301G_DMP_CL,"","",@p:ubcv:r:23d10ff4-e5f3e04b NSDC NSDC_VAV310_RM301G (780210),"","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T07:46:02-07:00 Los_Angeles,"","",41695,2019-01-14T11:00:46-08:00 Los_Angeles,ok,"","",Bool,2020-05-12T15:45:15.013-07:00 Los_Angeles,"","","","","","",NSDC_VAV310_RM301G_DMP_CL,✓,BO5,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_VAV310_RM301G_Dmp_Close_TL*,Los_Angeles,"","","","","","","",2020-04-08T18:54:55.753Z UTC
@p:ubcv:r:23d11e54-f1ce283e NSDC Unsorted Points NSDC_VAV205_RM211_FLW_SP,✓,"",@p:ubcv:r:23d10ff4-58c70079 NSDC NSDC_VAV205_RM211 (780225),TL4,✓,NSDC_VAV205_RM211_FLW_SP,"","",@p:ubcv:r:23d10ff4-58c70079 NSDC NSDC_VAV205_RM211 (780225),"","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","",✓,"",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:43:20-07:00 Los_Angeles,"","",43626,2019-01-13T12:50:55-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:44:34.064-07:00 Los_Angeles,2019-01-23T16:53:23.779-08:00 Los_Angeles,"","","","","",Discharge Air Flow Sp,"",AV5,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"",✓,"","","","",@p:ubcv:r:23e65d0e-5f6d8aaa (.+_)?(V|S)AVS?.+_FLO?W_SP(_LPS|_TL)?,"","","",NSDC_VAV205_RM211_FLW_SP_TL,Los_Angeles,L/s,"","","","","","",2020-04-09T19:02:44.915Z UTC
@p:ubcv:r:23d11d9f-7337af77 NSDC Unsorted Points NSDC_VAV201_RM201_H,"","",@p:ubcv:r:23d10ff4-ef666b87 NSDC NSDC_VAV201_RM201 (780221),TL95,✓,NSDC_VAV201_RM201_H,"","",@p:ubcv:r:23d10ff4-ef666b87 NSDC NSDC_VAV201_RM201 (780221),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:28:52-07:00 Los_Angeles,"","",42673,2019-01-13T13:06:15-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:41:23.311-07:00 Los_Angeles,"","","","","","",NSDC_VAV201_RM201_H,✓,AI103,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_VAV201_RM201_H_POLL_TL,Los_Angeles,%RH,"","","","","","",2020-04-09T19:02:44.874Z UTC
@p:ubcv:r:23d11a8f-8c091c55 NSDC Unsorted Points NSDC_HWS_BTU_ENERGY_RATE_BTU_PER_HOUR_MUXED_CP780100,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),TL386,✓,NSDC_HWS_BTU_ENERGY_RATE_BTU_PER_HOUR_MUXED_CP780100,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:32:48-07:00 Los_Angeles,"","",45347,2019-01-13T12:38:16-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:42:50.062-07:00 Los_Angeles,"","","","","","",NSDC_HWS_BTU_ENERGY_RATE_BTU_PER_HOUR_MUXED_CP780100,✓,AV330,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_HWS_BTU_ENERGY_RATE_BTU_PER_HOUR_MUXED_CP780100_POLL_TL,Los_Angeles,BTU/h,"","","","","","",2020-04-09T19:02:44.204Z UTC
@p:ubcv:r:23d11b08-c9ec7946 NSDC Unsorted Points NSDC_HRV2_RM153_RT,✓,"",@p:ubcv:r:23d10ea4-d8686a06 NSDC NSDC_HRV2_Rms153_154 (780108),TL2,✓,NSDC_HRV2_RM153_RT,"","",@p:ubcv:r:23d10ea4-d8686a06 NSDC NSDC_HRV2_Rms153_154 (780108),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:40:19-07:00 Los_Angeles,"","",45337,2019-01-13T12:33:22-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:41:23.483-07:00 Los_Angeles,2019-01-23T16:53:13.485-08:00 Los_Angeles,"","","","","",Zone Temp,"",AI101,"","",✓,"","","","","","","","","",✓,@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,"",✓,"",NSDC_HRV2_RM153_RT_POLL_TL,Los_Angeles,°C,"","","","","",✓,2020-04-09T19:02:44.442Z UTC
@p:ubcv:r:23d11b9e-92af7f2c NSDC Unsorted Points NSDC_AHU2_EF_VFD_SPD_AV,✓,"",@p:ubcv:r:23d10dfd-0745560d NSDC NSDC_eBMGR_LVL3_AHUs (780200),TL622,✓,NSDC_AHU2_EF_VFD_SPD_AV,✓,"",@p:ubcv:r:23d10dfd-0745560d NSDC NSDC_eBMGR_LVL3_AHUs (780200),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,✓,✓,"","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:45:28-07:00 Los_Angeles,"","",44842,2019-01-13T12:37:28-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:45:54.118-07:00 Los_Angeles,"","","","","","",Exhaust Fan Speed Cmd,"",AV460,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","",✓,"","","",@p:ubcv:r:24423e24-51c58a81 .+_EF(\d+[A-Z]?)?(_VFD)?_SPD(_AV)?(_TL)?,"","","",NSDC_AHU2_EF_VFD_SPD_AV_POLL_TL,Los_Angeles,%,"","","","","","",2020-04-09T19:02:44.581Z UTC
@p:ubcv:r:23d11a8e-a0cce765 NSDC Unsorted Points NSDC_2N1M_PWR_MTR_PHASE_A_VOLTAGE,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),TL1374,✓,NSDC_2N1M_PWR_MTR_PHASE_A_VOLTAGE,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:32:38-07:00 Los_Angeles,"","",45347,2019-01-13T12:38:13-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:42:42.005-07:00 Los_Angeles,"","","","","","",NSDC_2N1M_PWR_MTR_PHASE_A_VOLTAGE,✓,AV1305,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_2N1M_PWR_MTR_PHASE_A_VOLTAGE_POLL_TL,Los_Angeles,V,"","","","","","",2020-04-09T19:02:44.207Z UTC
@p:ubcv:r:23d11b9d-accb30aa NSDC Unsorted Points NSDC_MUA1_FIL,"","",@p:ubcv:r:23d10dfd-0745560d NSDC NSDC_eBMGR_LVL3_AHUs (780200),TL13,✓,NSDC_MUA1_FIL,"","",@p:ubcv:r:23d10dfd-0745560d NSDC NSDC_eBMGR_LVL3_AHUs (780200),"","","",✓,✓,$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","",✓,"","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"",200Pa,✓,"",2020-05-12T15:45:30-07:00 Los_Angeles,"","",44842,2019-01-13T12:37:25-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:45:55.13-07:00 Los_Angeles,2019-01-23T16:52:54.477-08:00 Los_Angeles,"",10Pa,"","","",Discharge Air Filter DP,"",AI1308,"","",✓,"","",✓,"","","","","","",✓,@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","",@p:ubcv:r:25816247-b1eee0e3 .+_MUA\d_FIL(_TL)?,"","","",NSDC_MUA1_FIL_POLL_TL,Los_Angeles,Pa,"","","","","","",2020-04-09T19:02:44.588Z UTC
@p:ubcv:r:23d11ca4-68ea09a1 NSDC Unsorted Points NSDC_VAV309_RM301_RM301L_FLW_SP,✓,"",@p:ubcv:r:23d10ff4-85926992 NSDC NSDC_VAV309_RM301L_301 (780209),TL4,✓,NSDC_VAV309_RM301_RM301L_FLW_SP,"","",@p:ubcv:r:23d10ff4-85926992 NSDC NSDC_VAV309_RM301L_301 (780209),"","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","",✓,"",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:45:45-07:00 Los_Angeles,"","",43622,2019-01-13T12:52:43-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:46:53.828-07:00 Los_Angeles,2019-01-23T16:52:56.522-08:00 Los_Angeles,"","","","","",Discharge Air Flow Sp,"",AV5,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"",✓,"","","","",@p:ubcv:r:23e65d0e-5f6d8aaa (.+_)?(V|S)AVS?.+_FLO?W_SP(_LPS|_TL)?,"","","",NSDC_VAV309_RM301_RM301L_FLW_SP_TL,Los_Angeles,L/s,"","","","","","",2020-04-09T19:02:44.81Z UTC
@p:ubcv:r:23d11b9e-f4a5e829 NSDC Unsorted Points NSDC_AHU2_AVG_RT,✓,"",@p:ubcv:r:23d10dfd-0745560d NSDC NSDC_eBMGR_LVL3_AHUs (780200),TL62,✓,NSDC_AHU2_AVG_RT,"","",@p:ubcv:r:23d10dfd-0745560d NSDC NSDC_eBMGR_LVL3_AHUs (780200),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:45:30-07:00 Los_Angeles,"","",44842,2019-01-13T12:37:29-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:45:55.149-07:00 Los_Angeles,2019-01-23T16:52:54.65-08:00 Los_Angeles,"","","","","",Zone Temp,"",AV33,"","",✓,"","","","","","","","","",✓,@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,"",✓,"",NSDC_AHU2_AVG_RT_POLL_TL,Los_Angeles,°C,"","","","","",✓,2020-04-09T19:02:44.591Z UTC
@p:ubcv:r:23d11b9e-44632816 NSDC Unsorted Points NSDC_AHU2_UNIT_CLG_SP_DEG_F,"","",@p:ubcv:r:23d10dfd-0745560d NSDC NSDC_eBMGR_LVL3_AHUs (780200),TL605,✓,NSDC_AHU2_UNIT_CLG_SP_DEG_F,"","",@p:ubcv:r:23d10dfd-0745560d NSDC NSDC_eBMGR_LVL3_AHUs (780200),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:45:27-07:00 Los_Angeles,"","",44842,2019-01-13T12:37:24-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:45:53.124-07:00 Los_Angeles,"","","","","","",NSDC_AHU2_UNIT_CLG_SP_DEG_F,✓,AV455,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_AHU2_UNIT_CLG_SP_DEG_F_POLL_TL,Los_Angeles,°F,"","","","","","",2020-04-09T19:02:44.596Z UTC
@p:ubcv:r:23d11a8f-e98068ce NSDC Unsorted Points NSDC_GM8_MTR_THIS_MAR,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),TL374,✓,NSDC_GM8_MTR_THIS_MAR,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:32:42-07:00 Los_Angeles,"","",45347,2019-01-13T12:38:17-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:42:46.095-07:00 Los_Angeles,"","","","","","",NSDC_GM8_MTR_THIS_MAR,✓,AV318,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_GM8_MTR_THIS_MAR_POLL_TL,Los_Angeles,m³,"","","","","","",2020-04-09T19:02:44.213Z UTC
@p:ubcv:r:23d11b9d-8ba58122 NSDC Unsorted Points NSDC_AHU1_OVERRIDE,"","",@p:ubcv:r:23d10dfd-0745560d NSDC NSDC_eBMGR_LVL3_AHUs (780200),TL277,✓,NSDC_AHU1_OVERRIDE,"","",@p:ubcv:r:23d10dfd-0745560d NSDC NSDC_eBMGR_LVL3_AHUs (780200),"","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-09T00:35:01-07:00 Los_Angeles,"","",965,2019-01-10T23:34:49-08:00 Los_Angeles,ok,"","",Bool,2020-05-12T15:45:51.706-07:00 Los_Angeles,"","","","","","",NSDC_AHU1_OVERRIDE,✓,BV2,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_AHU1_OVERRIDE_COV_TL,Los_Angeles,"","","","","","","",2020-04-08T18:49:00.926Z UTC
@p:ubcv:r:23d11a8f-50dcbf63 NSDC Unsorted Points NSDC_WM2_MTR_TODAY,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),TL156,✓,NSDC_WM2_MTR_TODAY,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:32:38-07:00 Los_Angeles,"","",45347,2019-01-13T12:38:16-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:42:42.985-07:00 Los_Angeles,"","","","","","",NSDC_WM2_MTR_TODAY,✓,AV67,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_WM2_MTR_TODAY_POLL_TL,Los_Angeles,L,"","","","","","",2020-04-09T19:02:44.216Z UTC
@p:ubcv:r:23d11b9d-7afcc4df NSDC Unsorted Points NSDC_AHU1_DX_CLG_DMD_LIMIT_RESET_AV,"","",@p:ubcv:r:23d10dfd-0745560d NSDC NSDC_eBMGR_LVL3_AHUs (780200),TL49,✓,NSDC_AHU1_DX_CLG_DMD_LIMIT_RESET_AV,"","",@p:ubcv:r:23d10dfd-0745560d NSDC NSDC_eBMGR_LVL3_AHUs (780200),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:45:23-07:00 Los_Angeles,"","",44841,2019-01-13T12:37:28-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:45:52.078-07:00 Los_Angeles,"","","","","","",NSDC_AHU1_DX_CLG_DMD_LIMIT_RESET_AV,✓,AV21,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_AHU1_DX_CLG_DMD_LIMIT_RESET_AV_POLL_TL,Los_Angeles,%,"","","","","","",2020-04-09T19:02:44.601Z UTC
@p:ubcv:r:23d11b9d-22e22204 NSDC Unsorted Points NSDC_GM3_MTR_LAST_FEB,"","",@p:ubcv:r:23d10dfd-0745560d NSDC NSDC_eBMGR_LVL3_AHUs (780200),TL535,✓,NSDC_GM3_MTR_LAST_FEB,"","",@p:ubcv:r:23d10dfd-0745560d NSDC NSDC_eBMGR_LVL3_AHUs (780200),✓,"","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:45:31-07:00 Los_Angeles,"",cov,44841,2019-01-13T12:37:28-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:45:55.17-07:00 Los_Angeles,"","","","","","",NSDC_GM3_MTR_LAST_FEB,✓,AV384,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_GM3_MTR_LAST_FEB_POLL_TL,Los_Angeles,m³,"","","","","","",2020-04-09T19:02:44.602Z UTC
@p:ubcv:r:23d11a9f-7996dc0d NSDC Unsorted Points NSDC_VAV106_RM113_DMP,✓,"",@p:ubcv:r:23d10ea4-2306735e NSDC NSDC_VAV106_RM113 (780101),TL6,✓,NSDC_VAV106_RM113_DMP,✓,"",@p:ubcv:r:23d10ea4-2306735e NSDC NSDC_VAV106_RM113 (780101),"","",✓,"","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:44:04-07:00 Los_Angeles,"","",45311,2019-01-13T12:35:57-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:37.087-07:00 Los_Angeles,2019-01-23T16:52:49.27-08:00 Los_Angeles,"","","","","",Discharge Air Damper Cmd,"",AV16,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","",@p:ubcv:r:23e65d0e-f295c554 (.+_)?VAV.+_DMP(_TL)?,"","","",NSDC_VAV106_RM113_DMP_TL,Los_Angeles,%,"","","","","","",2020-04-09T19:02:44.376Z UTC
@p:ubcv:r:23d11c7f-61e279c6 NSDC Unsorted Points NSDC_VAV308_RM301_SAT,✓,"",@p:ubcv:r:23d10ff4-8eb93eee NSDC NSDC_VAV308_RM301K_301 (780208),TL97,✓,NSDC_VAV308_RM301_SAT,"","",@p:ubcv:r:23d10ff4-8eb93eee NSDC NSDC_VAV308_RM301K_301 (780208),"","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:44:19-07:00 Los_Angeles,"","",42678,2019-01-13T12:51:43-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:51:15.566-07:00 Los_Angeles,2019-01-23T16:53:25.354-08:00 Los_Angeles,"","","","","",Discharge Air Temp,"",AI1,"","",✓,"","","","","","","","","",✓,@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","",@p:ubcv:r:24c508d8-1a2e5947 .+_SAT(_MUX)?(_TL)?,"",✓,"",NSDC_VAV308_RM301_SAT_POLL_TL,Los_Angeles,°C,"","","","","","",2020-04-09T19:02:44.798Z UTC
@p:ubcv:r:23d11a8e-0db08ede NSDC Unsorted Points NSDC_2N3K_PWR_MTR_TOTAL_APPARENT_POWER,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),TL1371,✓,NSDC_2N3K_PWR_MTR_TOTAL_APPARENT_POWER,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),"","","","","",$equipRef $bmsName,"","",✓,"","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,VA => kW,2020-05-12T15:32:37-07:00 Los_Angeles,"","",45347,2019-01-13T12:38:13-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:42:42.084-07:00 Los_Angeles,2019-01-23T16:53:21.785-08:00 Los_Angeles,"","","","","",Power,"",AV1269,"","",✓,"",✓,"","","","","","","",✓,@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","",@p:ubcv:r:23e65d0f-1a1d5719 .+_POWER(_TL)?,"","","",NSDC_2N3K_PWR_MTR_TOTAL_APPARENT_POWER_POLL_TL,Los_Angeles,kW,"","","","","","",2020-04-21T20:22:58.279Z UTC
@p:ubcv:r:23d11a8f-d2937827 NSDC Unsorted Points NSDC_GM5_MTR_LAST_FEB,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),TL279,✓,NSDC_GM5_MTR_LAST_FEB,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),✓,"","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:32:39-07:00 Los_Angeles,"",cov,45347,2019-01-13T12:38:09-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:42:43.014-07:00 Los_Angeles,"","","","","","",NSDC_GM5_MTR_LAST_FEB,✓,AV223,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_GM5_MTR_LAST_FEB_POLL_TL,Los_Angeles,m³,"","","","","","",2020-04-09T19:02:44.232Z UTC
@p:ubcv:r:23d11b9d-608ef1b9 NSDC Unsorted Points NSDC_GM3_MTR_LAST_DAY,"","",@p:ubcv:r:23d10dfd-0745560d NSDC NSDC_eBMGR_LVL3_AHUs (780200),TL533,✓,NSDC_GM3_MTR_LAST_DAY,"","",@p:ubcv:r:23d10dfd-0745560d NSDC NSDC_eBMGR_LVL3_AHUs (780200),✓,"","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:45:31-07:00 Los_Angeles,"",cov,44841,2019-01-13T12:37:29-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:45:55.261-07:00 Los_Angeles,"","","","","","",NSDC_GM3_MTR_LAST_DAY,✓,AV382,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_GM3_MTR_LAST_DAY_POLL_TL,Los_Angeles,m³,"","","","","","",2020-04-09T19:02:44.611Z UTC
@p:ubcv:r:23d11a8d-2f7caa01 NSDC Unsorted Points NSDC_BLR_B1_ENAB_BV,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),TL101,✓,NSDC_BLR_B1_ENAB_BV,✓,"",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),"","","","","",$equipRef $bmsName,"","","",✓,"","","OFF,ON","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-08T06:37:37-07:00 Los_Angeles,"","",6550,2019-01-15T03:03:14-08:00 Los_Angeles,ok,"","",Bool,2020-05-12T15:42:41.297-07:00 Los_Angeles,2019-01-23T16:53:12.124-08:00 Los_Angeles,"","","","","",Enable Cmd,"",BV33,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","",@p:ubcv:r:25f55206-e97a42dc .+_ENAB_BV(_TL)?,"","","",NSDC_BLR_B1_ENAB_BV_COV_TL,Los_Angeles,"","","","","","","",2020-04-08T18:49:19.521Z UTC
@p:ubcv:r:23d11cc0-5528aff2 NSDC Unsorted Points NSDC_VAV310_RM301G_FLW,✓,"",@p:ubcv:r:23d10ff4-e5f3e04b NSDC NSDC_VAV310_RM301G (780210),TL3,✓,NSDC_VAV310_RM301G_FLW,"","",@p:ubcv:r:23d10ff4-e5f3e04b NSDC NSDC_VAV310_RM301G (780210),"","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","",✓,"",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:43:48-07:00 Los_Angeles,"","",43626,2019-01-13T12:51:21-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:45:15.43-07:00 Los_Angeles,2019-01-23T16:52:57.522-08:00 Los_Angeles,"","","","","",Discharge Air Flow,"",AV18,"","",✓,"","","","","","","","","",✓,@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_VAV310_RM301G_FLW_TL,Los_Angeles,L/s,"","","","","","",2020-04-09T19:02:44.822Z UTC
