id,air,average,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,cmd,co2,connRef,cur,curConvert,curErr,curStatus,damper,delta,deltaTempPoint,demand,disMacro,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,flow,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,lastSynced,leaving,mixed,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,outside,point,power,pressure,pump,quantityID,return,run,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,static,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,volume,water,zone,mod
@p:ubcv:r:25a35718-4c467385 Cunningham HX-1 625_HX1_LOAD_HWS_HWRT,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"",TL37,"",625_HX1_LOAD_HWS_HWRT,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"","","","","","","","",$equipRef $bmsName,"","","","","",✓,"","",@p:ubcv:r:2634be7d-99da72ee Cunningham HX-1,✓,"","","",@p:ubcv:r:2634bdcd-e8e5ae85 Cunningham Hydronic Systems,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9664,2019-12-30T06:15:00-08:00 Los_Angeles,fault,"",✓,Number,2020-05-05T15:57:31.997-07:00 Los_Angeles,"","",Entering Hot Water Temp,"",AI1604,"","","","",✓,"","","","","","",✓,@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:23e65d0e-2ae762c1 .+_HWRT(_AV)?(_\d+)?(_TL)?,✓,625_HX1_LOAD_HWS_HWRT_POLL_TL,Los_Angeles,°C,"","","",✓,"",2020-04-23T21:02:30.797Z UTC
@p:ubcv:r:25a3574d-240b30d1 Cunningham Unsorted Points CUNNINGHAM_HC05_HCV,"","",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"",TL31,"",CUNNINGHAM_HC05_HCV,✓,"",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,✓,✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9585,2019-12-31T02:15:00-08:00 Los_Angeles,fault,"",✓,Number,2020-05-05T15:59:44.374-07:00 Los_Angeles,"","",Heating Valve Cmd,"",AO1303,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:2453b6df-d7db47fd .+_(P|\d+)?HCV(_AV|_TL)?,"",CUNNINGHAM_HC05_HCV_POLL_TL,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:02:45.118Z UTC
@p:ubcv:r:25a35716-46ac57f1 Cunningham Unsorted Points B210_HC10_HCV,"","",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"",TL17,"",B210_HC10_HCV,✓,"",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,✓,✓,"","",2020-04-08T23:09:01-07:00 Los_Angeles,conn fault,"","",9585,2019-12-31T02:07:27-08:00 Los_Angeles,fault,"",✓,Number,2020-05-05T15:57:31.997-07:00 Los_Angeles,"","",Heating Valve Cmd,"",AO1301,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:2453b6df-d7db47fd .+_(P|\d+)?HCV(_AV|_TL)?,"",B210_HC10_HCV_POLL_TL,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:02:45.156Z UTC
@p:ubcv:r:25a35716-ccd62d63 Cunningham Unsorted Points F04_HC09_HCV,"","",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"",TL16,"",F04_HC09_HCV,✓,"",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,✓,✓,"","",2020-04-08T23:09:01-07:00 Los_Angeles,conn fault,"","",9585,2019-12-31T02:07:27-08:00 Los_Angeles,fault,"",✓,Number,2020-05-05T15:57:31.997-07:00 Los_Angeles,"","",Heating Valve Cmd,"",AO1204,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:2453b6df-d7db47fd .+_(P|\d+)?HCV(_AV|_TL)?,"",F04_HC09_HCV_POLL_TL,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:02:45.157Z UTC
@p:ubcv:r:25a3572c-b3b702cd Cunningham Unsorted Points CUNNINGHAM_FC_RM382_OVR,"","",@p:ubcv:r:25a26787-08f2f9b7 CUNN FC Rm 382 (790013),"",TL3,"",CUNNINGHAM_FC_RM382_OVR,"","",@p:ubcv:r:25a26787-08f2f9b7 CUNN FC Rm 382 (790013),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","","",conn fault,"","","","",fault,"","",Bool,2020-05-05T16:02:25.426-07:00 Los_Angeles,"","",CUNNINGHAM_FC_RM382_OVR,✓,BV11,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","",CUNNINGHAM_FC_RM382_OVR_COV_TL,Los_Angeles,"","","","","","",2020-04-08T18:51:02.954Z UTC
@p:ubcv:r:25a3574d-966c2c99 Cunningham Unsorted Points CUNNINGHAM_HE_04_P_S,"","",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"",TL24,"",CUNNINGHAM_HE_04_P_S,"","",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9585,2019-12-31T02:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:59:44.374-07:00 Los_Angeles,"","",CUNNINGHAM_HE_04_P_S,✓,AI1403,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","",CUNNINGHAM_HE_04_P_S_POLL_TL,Los_Angeles,A,"","","","","",2020-04-09T19:02:45.119Z UTC
@p:ubcv:r:25a3574d-201ef702 Cunningham Unsorted Points CUNNINGHAM_HC06_HCV,"","",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"",TL32,"",CUNNINGHAM_HC06_HCV,✓,"",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,✓,✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9585,2019-12-31T02:15:00-08:00 Los_Angeles,fault,"",✓,Number,2020-05-05T15:59:44.374-07:00 Los_Angeles,"","",Heating Valve Cmd,"",AO1304,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:2453b6df-d7db47fd .+_(P|\d+)?HCV(_AV|_TL)?,"",CUNNINGHAM_HC06_HCV_POLL_TL,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:02:45.12Z UTC
@p:ubcv:r:25a3574e-c9de5130 Cunningham Unsorted Points CUNNINGHAM_SF04_C,✓,"",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"",TL4,"",CUNNINGHAM_SF04_C,✓,"",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","OFF,ON","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"",✓,"",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T14:00:02-07:00 Los_Angeles,conn fault,"","",1187,2020-01-16T11:52:09-08:00 Los_Angeles,fault,"","",Bool,2020-05-05T15:59:44.374-07:00 Los_Angeles,"","",Discharge Fan Run Cmd,"",BO1102,"","","","",✓,"","","","","",✓,"",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:23e65d0f-383558cd (.+_)?SF(\d+)?(_(S|N)\d_\d+)?_F?C(_TL)?,"",CUNNINGHAM_SF04_C_COV_TL,Los_Angeles,"","","","","","",2020-04-08T18:51:54.192Z UTC
@p:ubcv:r:25a35718-e2736fbe Cunningham DHX-1 625_DHX1_DHW_RWT,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"",TL7,"",625_DHX1_DHW_RWT,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"","","","","","","","",$equipRef $bmsName,"","","","","",✓,"","",@p:ubcv:r:2634bf37-c0127d78 Cunningham DHX-1,✓,"","","",@p:ubcv:r:2634bdcd-e8e5ae85 Cunningham Hydronic Systems,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9664,2019-12-30T06:15:00-08:00 Los_Angeles,fault,"",✓,Number,2020-05-05T15:57:31.997-07:00 Los_Angeles,"","",Entering Hot Water Temp,"",AI1502,"","","","",✓,"","","","","","",✓,@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:24140596-84478497 .+_DHW_RWT(_TL)?,✓,625_DHX1_DHW_RWT_TL,Los_Angeles,°C,"","","",✓,"",2020-04-23T21:04:52.852Z UTC
@p:ubcv:r:25a3574d-dd1d408c Cunningham Unsorted Points CUNNINGHAM_AHU_03_AVG_RT_MUX,"","",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"",TL47,"",CUNNINGHAM_AHU_03_AVG_RT_MUX,"","",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9585,2019-12-31T02:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:59:44.374-07:00 Los_Angeles,"","",CUNNINGHAM_AHU_03_AVG_RT_MUX,✓,AV12,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","",CUNNINGHAM_AHU_03_AVG_RT_MUX_POLL_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:45.121Z UTC
@p:ubcv:r:25a35716-ca531fa3 Cunningham Unsorted Points B210_SAT_SP,✓,"",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"",TL25,"",B210_SAT_SP,"","",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9584,2019-12-31T02:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:57:31.997-07:00 Los_Angeles,"","",Discharge Air Temp Sp,"",AV14,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"",✓,"","","","",@p:ubcv:r:23e65d0e-055565a9 .+_SAT(_RHCV)?_SP(_AV)?(_TL)?,✓,B210_SAT_SP_POLL_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:45.158Z UTC
@p:ubcv:r:25a35718-298c8f94 Cunningham HX-1 625_HX1_LOAD_HWS_HE_03_RWT,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"",TL35,"",625_HX1_LOAD_HWS_HE_03_RWT,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"","","","","","","","",$equipRef $bmsName,"","","","","",✓,"","",@p:ubcv:r:2634be7d-99da72ee Cunningham HX-1,✓,"","","",@p:ubcv:r:2634bdcd-e8e5ae85 Cunningham Hydronic Systems,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9664,2019-12-30T06:15:00-08:00 Los_Angeles,fault,"",✓,Number,2020-05-05T15:57:31.997-07:00 Los_Angeles,"","",Entering Hot Water Temp,"",AI1602,"","","","",✓,"","","","","","",✓,@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:23e65d0e-0c3542e7 .+_HWS_.+_RWT(_TL)?,✓,625_HX1_LOAD_HWS_HE_03_RWT_POLL_TL,Los_Angeles,°C,"","","",✓,"",2020-04-23T21:02:30.797Z UTC
@p:ubcv:r:25a3574e-a1ab06e0 Cunningham Unsorted Points CUNNINGHAM_AHU03_FZ,"","",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"",TL2,"",CUNNINGHAM_AHU03_FZ,"","",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-01-16T11:50:31-08:00 Los_Angeles,conn fault,"","",4,2020-01-08T08:02:27-08:00 Los_Angeles,fault,"","",Bool,2020-05-05T15:59:44.374-07:00 Los_Angeles,"","",CUNNINGHAM_AHU03_FZ,✓,BI1201,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","",CUNNINGHAM_AHU03_FZ_COV_TL,Los_Angeles,"","","","","","",2020-04-08T18:51:18.368Z UTC
@p:ubcv:r:25a35719-84281941 Cunningham DHX-1 625_DHX1_RECIRC_PUMP_S,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"",TL5,"",625_DHX1_RECIRC_PUMP_S,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:2634bf37-c0127d78 Cunningham DHX-1,✓,"","","",@p:ubcv:r:2634bdcd-e8e5ae85 Cunningham Hydronic Systems,"",✓,"","",2020-04-08T20:00:00-07:00 Los_Angeles,conn fault,"","",209,2019-12-30T08:00:00-08:00 Los_Angeles,fault,"","",Bool,2020-05-05T15:57:31.995-07:00 Los_Angeles,"","",625_DHX1_RECIRC_PUMP_S,✓,BI1403,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","",625_DHX1_RECIRC_PUMP_S_TL,Los_Angeles,"","","","","","",2020-04-23T21:04:52.852Z UTC
@p:ubcv:r:25a35718-b5308a9b Cunningham HX-1 625_HX1_HWS_625_P1_VFD_FB,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"",TL38,"",625_HX1_HWS_625_P1_VFD_FB,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:2634be7d-99da72ee Cunningham HX-1,✓,"","","",@p:ubcv:r:2634bdcd-e8e5ae85 Cunningham Hydronic Systems,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9664,2019-12-30T06:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:57:31.997-07:00 Los_Angeles,"","",625_HX1_HWS_625_P1_VFD_FB,✓,AI1606,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","",625_HX1_HWS_625_P1_VFD_FB_POLL_TL,Los_Angeles,%,"","","","","",2020-04-23T21:02:30.797Z UTC
@p:ubcv:r:25a35719-762d254b Cunningham DHX-1 CUNNINGHAM_DHX1_DHW_RECIRC_PUMP_S_BV,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"",TL81,"",CUNNINGHAM_DHX1_DHW_RECIRC_PUMP_S_BV,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:2634bf37-c0127d78 Cunningham DHX-1,✓,"","","",@p:ubcv:r:2634bdcd-e8e5ae85 Cunningham Hydronic Systems,"",✓,"","",2020-04-08T20:00:00-07:00 Los_Angeles,conn fault,"","",209,2019-12-30T08:00:00-08:00 Los_Angeles,fault,"","",Bool,2020-05-05T15:57:31.995-07:00 Los_Angeles,"","",CUNNINGHAM_DHX1_DHW_RECIRC_PUMP_S_BV,✓,BV11,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","",CUNNINGHAM_DHX1_DHW_RECIRC_PUMP_S_BV_COV_TL,Los_Angeles,"","","","","","",2020-04-23T21:04:52.852Z UTC
@p:ubcv:r:25a3574d-34840dab Cunningham Unsorted Points CUNNINGHAM_AHU04_RM72_RT,✓,"",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"",TL20,"",CUNNINGHAM_AHU04_RM72_RT,"","",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9585,2019-12-31T02:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:59:44.374-07:00 Los_Angeles,"","",Zone Temp,"",AI1302,"","","","",✓,"","","","","","",✓,@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,✓,CUNNINGHAM_AHU04_RM72_RT_POLL_TL,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:45.122Z UTC
@p:ubcv:r:25a3574d-7a36809d Cunningham Unsorted Points CUNNINGHAM_AHU04_RM76A_RT,✓,"",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"",TL21,"",CUNNINGHAM_AHU04_RM76A_RT,"","",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9585,2019-12-31T02:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:59:44.374-07:00 Los_Angeles,"","",Zone Temp,"",AI1303,"","","","",✓,"","","","","","",✓,@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,✓,CUNNINGHAM_AHU04_RM76A_RT_POLL_TL,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:45.123Z UTC
@p:ubcv:r:25a3574e-08930c98 Cunningham Unsorted Points CUNNINGHAM_HE_04_AVG_RT_MUX,"","",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"",TL36,"",CUNNINGHAM_HE_04_AVG_RT_MUX,"","",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9585,2019-12-31T02:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:59:44.374-07:00 Los_Angeles,"","",CUNNINGHAM_HE_04_AVG_RT_MUX,✓,AV108,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","",CUNNINGHAM_HE_04_AVG_RT_MUX_POLL_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:45.124Z UTC
@p:ubcv:r:25a35716-577bb63a Cunningham Unsorted Points CUNNINGHAM_AHU_HTG_DEMAND,"","",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"",TL26,"",CUNNINGHAM_AHU_HTG_DEMAND,"","",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"","","","","","","",✓,$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,✓,✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9584,2019-12-31T02:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:57:31.997-07:00 Los_Angeles,"","",Heating Demand,"",AV17,"","","","",✓,"","","","","","",✓,@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:2410614c-ae1449a0 .+_HTG_DEMAND(_TL)?,"",CUNNINGHAM_AHU_HTG_DEMAND_POLL_TL,Los_Angeles,%,"","","","","",2020-04-09T19:02:45.159Z UTC
@p:ubcv:r:25a35714-f4152dcd Cunningham Unsorted Points CUNNINGHAM_ROOF_SF_HC07_PC,"","",@p:ubcv:r:25a26938-0dd0046d CUNN Penthouse 2 (790200),"",TL1,"",CUNNINGHAM_ROOF_SF_HC07_PC,"","",@p:ubcv:r:25a26938-0dd0046d CUNN Penthouse 2 (790200),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","","",conn fault,"","","","",fault,"","",Bool,2020-05-05T16:02:25.426-07:00 Los_Angeles,"","",CUNNINGHAM_ROOF_SF_HC07_PC,✓,BO1101,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","",CUNNINGHAM_ROOF_SF_HC07_PC_COV_TL,Los_Angeles,"","","","","","",2020-04-08T18:50:57.043Z UTC
@p:ubcv:r:25a35719-341e9fc6 Cunningham Unsorted Points P03 625_AHU_02_P03_PS_BV,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"",TL86,"",625_AHU_02_P03_PS_BV,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","OFF,ON",P03,@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T08:57:44-07:00 Los_Angeles,conn fault,"","",37,2020-03-30T14:32:32-07:00 Los_Angeles,fault,"",✓,Bool,2020-05-05T15:57:31.995-07:00 Los_Angeles,"","",Run Status,"",BV230,"","","","",✓,"","",✓,"","",✓,✓,@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:23e65d0f-e879dd15 .+_PS_BV(_TL)?,"",625_AHU_02_P03_PS_BV_COV_TL,Los_Angeles,"","","","",✓,"",2020-05-12T11:03:26.962Z UTC
@p:ubcv:r:25a35719-573249a3 Cunningham Unsorted Points CUNNINGHAM_HE03_PS_BV,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"",TL88,"",CUNNINGHAM_HE03_PS_BV,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-01-08T08:04:08-08:00 Los_Angeles,conn fault,"","",2,2020-01-08T08:04:05-08:00 Los_Angeles,fault,"",✓,Bool,2020-05-05T15:57:31.995-07:00 Los_Angeles,"","",Pump Run Status,"",BV25,"","","","",✓,"","",✓,"","",✓,✓,@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:23e65d0f-e879dd15 .+_PS_BV(_TL)?,"",CUNNINGHAM_HE03_PS_BV_COV_TL,Los_Angeles,"","","","",✓,"",2020-04-08T18:54:37.613Z UTC
@p:ubcv:r:25a35716-d23d273f Cunningham Unsorted Points P7 F04_HC09_P7_PC,"","",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"",TL2,"",F04_HC09_P7_PC,✓,"",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","OFF,ON",P7,@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-01-08T08:05:13-08:00 Los_Angeles,conn fault,"","",4,2020-01-08T08:03:15-08:00 Los_Angeles,fault,"",✓,Bool,2020-05-05T15:57:31.997-07:00 Los_Angeles,"","",Run Cmd,"",BO1103,"","","","",✓,"","",✓,"","",✓,"",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:244ba6df-17358a53 .+_PC?H?\d+[A-Z]?_P?C(_\d+)?(_TL)?,"",F04_HC09_P7_PC_COV_TL,Los_Angeles,"","","","",✓,"",2020-05-12T11:03:27.016Z UTC
@p:ubcv:r:25a35718-85d013ac Cunningham Unsorted Points 625_AHU_02_DSP,✓,"",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"",TL30,"",625_AHU_02_DSP,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9664,2019-12-30T06:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:57:31.997-07:00 Los_Angeles,"","",Discharge Air Static Pressure,"",AI1301,"","","","",✓,"",✓,"","","","",✓,@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","",✓,@p:ubcv:r:2413228e-d67903e1 (.+_)?AHU_?\d+\w?(_\d+\w?)?_DSP(_AV)?(_TL)?,"",625_AHU_02_DSP_POLL_TL,Los_Angeles,Pa,"","","","","",2020-04-09T19:02:45.191Z UTC
