id,ahu,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetDesc,bacnetHis,bacnetObjectId,bacnetPoint,bacnetWriteLevel,bmsName,bridgeName,chilled,chiller,cmd,co2,comp,condenser,connRef,cool,cooling,coolingTower,count,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,disMacro,discharge,domestic,effective,elec,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,feedback,flow,fsc3W2WConversion1830,fscVAVsetback1815,groupRef,heat,heatRecovery,heating,high,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,jci,johnson,kind,lastSynced,lastTagged,leaving,low,mixed,mode,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,outside,point,pointType,power,pressure,primaryLoop,pump,quantityID,reliability,return,roomRef,run,runtime,scheduleOcc,scheduled,secondaryLoop,sensor,siteRef,sourceID,sp,speed,spray,sqlConnRef,sqlPoint,static,submeterAdd,tagTableRef,tank,temp,tlName,tt0724,tz,unit,utilityPoint,valve,vfd,volume,water,wifi,wifiId,writable,writeLevel,writeStatus,zachName,zone,mod
@p:ubcv:r:24d5d000-e2c6c5bf Forest Sci Rm 2301 VAV-2-131 JCL-NAE45/N2-A.DC-131.OCCCMD,"",✓,"","",@p:ubcv:r:1fd473dd-5ef96498 FSC (NAE-45),"","",TL3031059,"",✓,"",JCL-NAE45/N2-A.DC-131.OCCCMD,"","","","","","","",@p:ubcv:r:1fd473dd-5ef96498 FSC (NAE-45),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","Unoccupied,Occupied","",@p:ubcv:r:2530fa28-f776d602 Forest Sci Rm 2301 VAV-2-131,"","","","","","",@p:ubcv:r:251d6745-6944eec8 Forest Sci Floor-02,"","","","",✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"","","",26844,2019-07-31T21:45:00-07:00 Los_Angeles,ok,"","","",✓,"",Bool,2020-05-12T14:35:46.827-07:00 Los_Angeles,"","","","",✓,Zone Occupancy Mode,"",BO3000602,✓,"","","","",✓,"","","","","","","","",@p:ubcv:r:251d6748-75aebfa7 Forest Sci Rm 2301,"","","","","",✓,@p:ubcv:r:207a9b0c-2e611c61 Forest Sci,"","","","","","","","",@p:ubcv:r:23e65d3e-a87ebc9b .+(\.|-| )OCCC?M?D,"","",JCL-NAE45/N2-A.DC-131.OCCCMD.Trend1,"",Los_Angeles,"","","","","","","","","","","",FS.VAV131.OCCCMD,✓,2020-04-30T11:10:45.138Z UTC
@p:ubcv:r:2422e65a-a84232fe Forest Sci AHU-02 JCL-NAE45/FC-B.FAC-008.DAS03-P,"",✓,"","",@p:ubcv:r:1fd473dd-5ef96498 FSC (NAE-45),"","",TL3023144,"",✓,"",JCL-NAE45/FC-B.FAC-008.DAS03-P,"","","","","","","",@p:ubcv:r:1fd473dd-5ef96498 FSC (NAE-45),"","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:2538ec2b-b78c7b12 Forest Sci AHU-02,"","","","","","",@p:ubcv:r:21698352-13c5efc9 Forest Sci Hydronic Systems,"","","","",✓,"","","",2020-05-12T14:35:00-07:00 Los_Angeles,"","","",90762,2019-03-17T16:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:35:46.993-07:00 Los_Angeles,"","","","","",Discharge Air Pressure Sp,"",AI3023142,"","","","","",✓,"","",✓,"","","","","","","","","","","","",@p:ubcv:r:207a9b0c-2e611c61 Forest Sci,"",✓,"","","","","","",@p:ubcv:r:2538e728-9750030c .+(\.|-| )DAS\d+-P,"","",JCL-NAE45/FC-B.FAC-008.DAS03-P.Trend1,"",Los_Angeles,Pa,"","","","","","","","","","",AHU-02.DAS03-P,"",2020-04-30T11:10:45.142Z UTC
@p:ubcv:r:259236b3-6d73421f Forest Sci Unsorted Points JCL-NAE47/N2-A.DC-1001.Parameters.ZN1933TUNOCC,"","","","",@p:ubcv:r:20dc78d1-eb84e32a FSC (NAE-47),"","",TL3015401,"","","",JCL-NAE47/N2-A.DC-1001.Parameters.ZN1933TUNOCC,"","","","","","","",@p:ubcv:r:20dc78d1-eb84e32a FSC (NAE-47),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:22bc2023-23490bd7 Forest Sci Unsorted Points,"","","","","","",@p:ubcv:r:22bc2023-4941fc31 Forest Sci Unsorted Points,"","","","",✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"","","",20356,2019-12-21T22:20:00-08:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:37:08.813-07:00 Los_Angeles,"","","","","",JCL-NAE47/N2-A.DC-1001.Parameters.ZN1933TUNOCC,✓,AO3015371,"","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:207a9b0c-2e611c61 Forest Sci,"","","","","","","","","","","",JCL-NAE47/N2-A.DC-1001.Parameters.ZN1933TUNOCC.Trend1,"",Los_Angeles,°C,"","","","","","","","","","",ZN1933TUNOCC,"",2020-04-09T19:02:14.372Z UTC
@p:ubcv:r:259236b4-d2b0ebe9 Forest Sci Unsorted Points JCL-NAE47/N2-A.DC-902.ZN1802VLV-O,"","","","",@p:ubcv:r:20dc78d1-eb84e32a FSC (NAE-47),"","",TL3015315,"","","",JCL-NAE47/N2-A.DC-902.ZN1802VLV-O,"","","","","","","",@p:ubcv:r:20dc78d1-eb84e32a FSC (NAE-47),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:22bc2023-23490bd7 Forest Sci Unsorted Points,"","","","","","",@p:ubcv:r:22bc2023-4941fc31 Forest Sci Unsorted Points,"","","","",✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"","","",20356,2019-12-21T22:20:00-08:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:37:08.815-07:00 Los_Angeles,"","","","","",JCL-NAE47/N2-A.DC-902.ZN1802VLV-O,✓,AO3015277,"","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:207a9b0c-2e611c61 Forest Sci,"","","","","","","","","","","",JCL-NAE47/N2-A.DC-902.ZN1802VLV-O.Trend1,"",Los_Angeles,_,"","","","","","","","","","",3530.AHU-09.ZN1802VLV-O,"",2020-04-09T19:15:19.208Z UTC
@p:ubcv:r:251c1d13-32371f93 Forest Sci Rm 2048 VAV-2-610 JCL-NAE46/N2-A.DC-610.OCCCMD,"",✓,"","",@p:ubcv:r:21e6b888-0f1d2dbd FSC (NAE-46),"","",TL3014382,"",✓,"",JCL-NAE46/N2-A.DC-610.OCCCMD,"","","","","","","",@p:ubcv:r:21e6b888-0f1d2dbd FSC (NAE-46),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","Unoccupied,Occupied","",@p:ubcv:r:2530fa29-825c4fbc Forest Sci Rm 2048 VAV-2-610,"","","","","","",@p:ubcv:r:251d6745-6944eec8 Forest Sci Floor-02,"","","","",✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"","","",22056,2019-09-23T05:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Bool,2020-05-12T14:33:18.542-07:00 Los_Angeles,"","","","",✓,Zone Occupancy Mode,"",BO3000319,✓,"","","","",✓,"","","","","","","","",@p:ubcv:r:251d6749-edc7393f Forest Sci Rm 2048,"","","","","",✓,@p:ubcv:r:207a9b0c-2e611c61 Forest Sci,"","","","","","","","",@p:ubcv:r:23e65d3e-a87ebc9b .+(\.|-| )OCCC?M?D,"","",JCL-NAE46/N2-A.DC-610.OCCCMD.Trend1,"",Los_Angeles,"","","","","","","","","","","","",✓,2020-04-08T18:52:43.077Z UTC
@p:ubcv:r:2422e63b-ac813453 Forest Sci Rm 4201 VAV-200 JCL-NAE48/N2-A.FVMA200 Room 4201 Controller.ZN-T,"",✓,"","",@p:ubcv:r:21e6b93c-c1e4dddd FSC (NAE-48),"","",TL3004532,"",✓,"",JCL-NAE48/N2-A.FVMA200 Room 4201 Controller.ZN-T,"","","","","","","",@p:ubcv:r:21e6b93c-c1e4dddd FSC (NAE-48),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:2530fa29-c39c43d0 Forest Sci Rm 4201 VAV-200,"","","","","","",@p:ubcv:r:251d6745-0d02bb16 Forest Sci Floor-04,"","","","",✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"","","",38971,2019-03-17T04:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:41:08.356-07:00 Los_Angeles,"","","","","",Zone Temp,"",AI3004480,"","","","","",✓,"","","","","","","","",@p:ubcv:r:251d674a-ac712af0 Forest Sci Rm 4201,"","","","","",✓,@p:ubcv:r:207a9b0c-2e611c61 Forest Sci,"","","","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,JCL-NAE48/N2-A.FVMA200 Room 4201 Controller.ZN-T.Trend1,"",Los_Angeles,°C,"","","","","","","","","","",FS.VAV200.ZN-T,✓,2020-04-30T11:09:56.637Z UTC
@p:ubcv:r:2422e63b-03758161 Forest Sci Rm 4320 VAV-218 JCL-NAE48/N2-A.DC-218.ZN-T,"",✓,"","",@p:ubcv:r:21e6b93c-c1e4dddd FSC (NAE-48),"","",TL3002552,"",✓,"",JCL-NAE48/N2-A.DC-218.ZN-T,"","","","","","","",@p:ubcv:r:21e6b93c-c1e4dddd FSC (NAE-48),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:2530fa29-81f6e6df Forest Sci Rm 4320 VAV-218,"","","","","","",@p:ubcv:r:251d6745-0d02bb16 Forest Sci Floor-04,"","","","",✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"","","",38858,2019-03-18T04:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:41:08.358-07:00 Los_Angeles,"","","","","",Zone Temp,"",AI3000901,"","","","","",✓,"","","","","","","","",@p:ubcv:r:251d674a-65fd2ea9 Forest Sci Rm 4320,"","","","","",✓,@p:ubcv:r:207a9b0c-2e611c61 Forest Sci,"","","","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,JCL-NAE48/N2-A.DC-218.ZN-T.Trend1,"",Los_Angeles,°C,"","","","","","","","","","",FS.VAV218.ZN-T,✓,2020-04-30T11:09:56.641Z UTC
@p:ubcv:r:2422e648-80d00bd6 Forest Sci Rm 2942 VAV-2-417 JCL-NAE47/N2-A.DC-417.ZN-T,"",✓,"","",@p:ubcv:r:20dc78d1-eb84e32a FSC (NAE-47),"","",TL3002109,"",✓,"",JCL-NAE47/N2-A.DC-417.ZN-T,"","","","","","","",@p:ubcv:r:20dc78d1-eb84e32a FSC (NAE-47),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:2530fa2d-08700421 Forest Sci Rm 2942 VAV-2-417,"","","","","","",@p:ubcv:r:251d6745-6944eec8 Forest Sci Floor-02,"","","","",✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"","","",37429,2019-03-18T04:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:37:08.445-07:00 Los_Angeles,"","","","","",Zone Temp,"",AI3000876,"","","","","",✓,"","","","","","","","",@p:ubcv:r:251d674f-248787e0 Forest Sci Rm 2942,"","","","","",✓,@p:ubcv:r:207a9b0c-2e611c61 Forest Sci,"","","","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,JCL-NAE47/N2-A.DC-417.ZN-T.Trend1,"",Los_Angeles,°C,"","","","","","","","","","",FS.VAV417.ZN-T,✓,2020-04-09T19:02:14.377Z UTC
@p:ubcv:r:24662580-1337fe3d Forest Sci Rm 3331 VAV-197 JCL-NAE44/N2-A.DC-197.SPFLOWSP,"",✓,"","",@p:ubcv:r:2465e590-2523377f FSC (NAE-44),"","",TL3003448,"",✓,"",JCL-NAE44/N2-A.DC-197.SPFLOWSP,"","","","","","","",@p:ubcv:r:2465e590-2523377f FSC (NAE-44),"","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:2530fa29-6f71c5a5 Forest Sci Rm 3331 VAV-197,"","","",✓,"","",@p:ubcv:r:251d6745-fbd471a9 Forest Sci Floor-03,"","","","",✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"","","",35034,2019-05-08T11:15:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:31:58.349-07:00 Los_Angeles,"","","","","",Discharge Air Flow Sp,"",AO3000510,"","","","","",✓,"","","","","","","","",@p:ubcv:r:251d6749-6ca910c6 Forest Sci Rm 3331,"","","","","","",@p:ubcv:r:207a9b0c-2e611c61 Forest Sci,"",✓,"","","","","","",@p:ubcv:r:23e65d3d-28cc8339 .+(\.|-| )SU?PFLOW?SP,"","",JCL-NAE44/N2-A.DC-197.SPFLOWSP.Trend1,"",Los_Angeles,L/s,"","","","","","","","","","",FS.VAV197.SPFLOWSP,"",2020-04-30T11:11:15.142Z UTC
@p:ubcv:r:24d5cf59-1c3ec465 Forest Sci Rm 4320 VAV-218 JCL-NAE48/N2-A.DC-218.EXHFLOW,"",✓,"","",@p:ubcv:r:21e6b93c-c1e4dddd FSC (NAE-48),"","",TL3010366,"",✓,"",JCL-NAE48/N2-A.DC-218.EXHFLOW,"","","","","","","",@p:ubcv:r:21e6b93c-c1e4dddd FSC (NAE-48),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:2530fa29-81f6e6df Forest Sci Rm 4320 VAV-218,✓,"","",✓,"","",@p:ubcv:r:251d6745-0d02bb16 Forest Sci Floor-04,"","","","",✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"","","",26915,2019-07-31T21:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:41:08.365-07:00 Los_Angeles,"","","","","",Exhaust Air Flow,"",AI3000909,"","","","","",✓,"","","","","","","","",@p:ubcv:r:251d674a-65fd2ea9 Forest Sci Rm 4320,"","","","","",✓,@p:ubcv:r:207a9b0c-2e611c61 Forest Sci,"","","","","","","","",@p:ubcv:r:23e65d3d-eebf1d9a .+(\.|-| )EXHFLOW,"","",JCL-NAE48/N2-A.DC-218.EXHFLOW.Trend1,"",Los_Angeles,L/s,"","","","","","","","","","",FS.VAV218.EXHFLOW,"",2020-04-30T11:09:56.665Z UTC
@p:ubcv:r:20dd5f8a-bc241dda Forest Sci AHU-03 RF JCL-NAE47/N2-A.DC-3.RF-S,"",✓,"","",@p:ubcv:r:20dc78d1-eb84e32a FSC (NAE-47),"","",TL3002444,"",✓,"",JCL-NAE47/N2-A.DC-3.RF-S,"","","","","","","",@p:ubcv:r:20dc78d1-eb84e32a FSC (NAE-47),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","Off,On","",@p:ubcv:r:2538a76c-34bef038 Forest Sci AHU-03 RF,"",✓,"","","","",@p:ubcv:r:22bc2023-4941fc31 Forest Sci Unsorted Points,"","","","",✓,"","","",2020-05-12T07:00:26-07:00 Los_Angeles,"","","",1406,2017-06-07T20:01:18-07:00 Los_Angeles,ok,"","","",✓,"",Bool,2020-05-12T14:37:07.893-07:00 Los_Angeles,2018-05-09T10:55:46.813-07:00 Los_Angeles,"","","","",Return Fan Run Status,"",BI3001071,"","","","","",✓,"","","","","","","",✓,"",✓,✓,"","","",✓,@p:ubcv:r:207a9b0c-2e611c61 Forest Sci,"","","","","","","","",@p:ubcv:r:23e65d3d-f0fa345b .+(\.|-| )RF(\d?)-S,"","",JCL-NAE47/N2-A.DC-3.RF-S.Trend1,"",Los_Angeles,"","","","","","","","","","","",FS.AHU3.RF-S,"",2020-04-08T18:52:53.007Z UTC
@p:ubcv:r:24d5cf89-42dd29f0 Forest Sci Rm 2961 VAV-2-420 JCL-NAE47/N2-A.DC-420.ACTCLGSP,"",✓,"","",@p:ubcv:r:20dc78d1-eb84e32a FSC (NAE-47),"","",TL3013557,"",✓,"",JCL-NAE47/N2-A.DC-420.ACTCLGSP,"","","","","","","",@p:ubcv:r:20dc78d1-eb84e32a FSC (NAE-47),"",✓,"","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:2530fa32-ae57f34e Forest Sci Rm 2961 VAV-2-420,"","","","","","",@p:ubcv:r:251d6745-6944eec8 Forest Sci Floor-02,"","","","",✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"","","",26952,2019-07-31T21:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:37:08.454-07:00 Los_Angeles,"","","","","",Zone Temp Effective Cooling Sp,"",AI3000918,"","","","","",✓,"","","","","","","","",@p:ubcv:r:251d6755-5a870345 Forest Sci Rm 2961,"","","","","","",@p:ubcv:r:207a9b0c-2e611c61 Forest Sci,"",✓,"","","","","","",@p:ubcv:r:240c1e06-1955c0a3 .+(\.|-| )(EFF|ACT)CLG-?SP,"",✓,JCL-NAE47/N2-A.DC-420.ACTCLGSP.Trend1,"",Los_Angeles,°C,"","","","","","","","","","",FS.VAV420.ACTCLGSP,✓,2020-04-09T19:02:14.382Z UTC
@p:ubcv:r:24662580-af080fb9 Forest Sci Rm 3433 VAV-190 JCL-NAE44/N2-A.DC-190.SBOXCMD,"",✓,"","",@p:ubcv:r:2465e590-2523377f FSC (NAE-44),"","",TL3003508,"",✓,"",JCL-NAE44/N2-A.DC-190.SBOXCMD,"","","",✓,"","","",@p:ubcv:r:2465e590-2523377f FSC (NAE-44),"","","","","","","","",✓,"","",$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:2530fa29-0e3e8131 Forest Sci Rm 3433 VAV-190,"","","","","","",@p:ubcv:r:251d6745-fbd471a9 Forest Sci Floor-03,"","","","",✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"","","",35034,2019-05-08T11:15:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:31:58.405-07:00 Los_Angeles,"","","","","",Discharge Air Damper Cmd,"",AO3000412,"","","","","",✓,"","","","","","","","",@p:ubcv:r:251d6749-651bf171 Forest Sci Rm 3433,"","","","","","",@p:ubcv:r:207a9b0c-2e611c61 Forest Sci,"","","","","","","","",@p:ubcv:r:2538b61b-b2bb6db7 .+(\.|-| )SBOXCMD,"","",JCL-NAE44/N2-A.DC-190.SBOXCMD.Trend1,"",Los_Angeles,_,"","","","","","","","","","",FS.VAV190.SBOXCMD,"",2020-04-30T11:11:15.176Z UTC
@p:ubcv:r:2422e651-f50b7239 Forest Sci Rm 2609 VAV-2-614 JCL-NAE46/N2-A.DC-614.ZN-T,"",✓,"","",@p:ubcv:r:21e6b888-0f1d2dbd FSC (NAE-46),"","",TL3001483,"",✓,"",JCL-NAE46/N2-A.DC-614.ZN-T,"","","","","","","",@p:ubcv:r:21e6b888-0f1d2dbd FSC (NAE-46),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:2530fa32-fba10fa5 Forest Sci Rm 2609 VAV-2-614,"","","","","","",@p:ubcv:r:251d6745-6944eec8 Forest Sci Floor-02,"","","","",✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"","","",37209,2019-03-18T04:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:33:18.561-07:00 Los_Angeles,"","","","","",Zone Temp,"",AI3000360,"","","","","",✓,"","","","","","","","",@p:ubcv:r:251d6754-8f9a333f Forest Sci Rm 2609,"","","","","",✓,@p:ubcv:r:207a9b0c-2e611c61 Forest Sci,"","","","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,JCL-NAE46/N2-A.DC-614.ZN-T.Trend1,"",Los_Angeles,°C,"","","","","","","","","","","",✓,2020-04-09T19:02:13.85Z UTC
@p:ubcv:r:24d5cf89-5abe9278 Forest Sci Rm 2916 VAV-2-410 JCL-NAE47/N2-A.DC-410.OCCCMD,"",✓,"","",@p:ubcv:r:20dc78d1-eb84e32a FSC (NAE-47),"","",TL3013646,"",✓,"",JCL-NAE47/N2-A.DC-410.OCCCMD,"","","","","","","",@p:ubcv:r:20dc78d1-eb84e32a FSC (NAE-47),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","Unoccupied,Occupied","",@p:ubcv:r:2530fa25-df29fb5c Forest Sci Rm 2916 VAV-2-410,"","","","","","",@p:ubcv:r:251d6745-6944eec8 Forest Sci Floor-02,"","","","",✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"","","",26952,2019-07-31T21:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Bool,2020-05-12T14:37:08.461-07:00 Los_Angeles,"","","","",✓,Zone Occupancy Mode,"",BO3000797,✓,"","","","",✓,"","","","","","","","",@p:ubcv:r:251d6745-d16c2149 Forest Sci Rm 2916,"","","","","",✓,@p:ubcv:r:207a9b0c-2e611c61 Forest Sci,"","","","","","","","",@p:ubcv:r:23e65d3e-a87ebc9b .+(\.|-| )OCCC?M?D,"","",JCL-NAE47/N2-A.DC-410.OCCCMD.Trend1,"",Los_Angeles,"","","","","","","","","","","",FS.VAV410.OCCCMD,✓,2020-04-08T18:55:34.317Z UTC
@p:ubcv:r:2422e65a-d33afa9f Forest Sci Rm 321 VAV-b-106 JCL-NAE45/N2-A.DC-106.ZN-T,"",✓,"","",@p:ubcv:r:1fd473dd-5ef96498 FSC (NAE-45),"","",TL3001419,"",✓,"",JCL-NAE45/N2-A.DC-106.ZN-T,"","","","","","","",@p:ubcv:r:1fd473dd-5ef96498 FSC (NAE-45),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:2530fa2b-659c4bf7 Forest Sci Rm 321 VAV-b-106,"","","","","","",@p:ubcv:r:251d6746-b8111e9c Forest Sci Basement,"","","","",✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"","","",37841,2019-03-18T04:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:35:46.846-07:00 Los_Angeles,"","","","","",Zone Temp,"",AI3000236,"","","","","",✓,"","","","","","","","",@p:ubcv:r:251d674c-f4d3bf1b Forest Sci Rm 321,"","","","","",✓,@p:ubcv:r:207a9b0c-2e611c61 Forest Sci,"","","","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,JCL-NAE45/N2-A.DC-106.ZN-T.Trend1,"",Los_Angeles,°C,"","","","","","","","","","",FS.VAV106.ZN-T,✓,2020-04-30T11:10:45.204Z UTC
@p:ubcv:r:259236b4-2cc74890 Forest Sci Unsorted Points JCL-NAE47/N2-A.DC-901.Parameters.ZN1715OCC-SP,"","","","",@p:ubcv:r:20dc78d1-eb84e32a FSC (NAE-47),"","",TL3015193,"","","",JCL-NAE47/N2-A.DC-901.Parameters.ZN1715OCC-SP,"","","","","","","",@p:ubcv:r:20dc78d1-eb84e32a FSC (NAE-47),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:22bc2023-23490bd7 Forest Sci Unsorted Points,"","","","","","",@p:ubcv:r:22bc2023-4941fc31 Forest Sci Unsorted Points,"","","","",✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"","","",20356,2019-12-21T22:20:00-08:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:37:08.824-07:00 Los_Angeles,"","","","","",JCL-NAE47/N2-A.DC-901.Parameters.ZN1715OCC-SP,✓,AO3015179,"","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:207a9b0c-2e611c61 Forest Sci,"","","","","","","","","","","",JCL-NAE47/N2-A.DC-901.Parameters.ZN1715OCC-SP.Trend1,"",Los_Angeles,°C,"","","","","","","","","","",3530.AHU-09.ZN1715OCC-SP,"",2020-04-09T19:02:14.389Z UTC
@p:ubcv:r:24d5cf58-71874a40 Forest Sci Rm 4202A VAV-202 JCL-NAE48/N2-A.DC-202.OCCCMD,"",✓,"","",@p:ubcv:r:21e6b93c-c1e4dddd FSC (NAE-48),"","",TL3010156,"",✓,"",JCL-NAE48/N2-A.DC-202.OCCCMD,"","","","","","","",@p:ubcv:r:21e6b93c-c1e4dddd FSC (NAE-48),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","Unoccupied,Occupied","",@p:ubcv:r:2530fa27-3bb39e8d Forest Sci Rm 4202A VAV-202,"","","","","","",@p:ubcv:r:251d6745-0d02bb16 Forest Sci Floor-04,"","","","",✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"","","",26914,2019-07-31T21:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Bool,2020-05-12T14:41:08.395-07:00 Los_Angeles,"","","","",✓,Zone Occupancy Mode,"",BO3000675,✓,"","","","",✓,"","","","","","","","",@p:ubcv:r:251d6748-5d95c26b Forest Sci Rm 4202A,"","","","","",✓,@p:ubcv:r:207a9b0c-2e611c61 Forest Sci,"","","","","","","","",@p:ubcv:r:23e65d3e-a87ebc9b .+(\.|-| )OCCC?M?D,"","",JCL-NAE48/N2-A.DC-202.OCCCMD.Trend1,"",Los_Angeles,"","","","","","","","","","","",FS.VAV202.OCCCMD,✓,2020-04-30T11:09:56.752Z UTC
@p:ubcv:r:24d5cf58-cf2b5906 Forest Sci Rm 4403 VAV-234 JCL-NAE48/N2-A.DC-234.OCCCMD,"",✓,"","",@p:ubcv:r:21e6b93c-c1e4dddd FSC (NAE-48),"","",TL3010186,"",✓,"",JCL-NAE48/N2-A.DC-234.OCCCMD,"","","","","","","",@p:ubcv:r:21e6b93c-c1e4dddd FSC (NAE-48),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","Unoccupied,Occupied","",@p:ubcv:r:2530fa28-365ec078 Forest Sci Rm 4403 VAV-234,"","","","","","",@p:ubcv:r:251d6745-0d02bb16 Forest Sci Floor-04,"","","","",✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"","","",26914,2019-07-31T21:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Bool,2020-05-12T14:41:08.397-07:00 Los_Angeles,"","","","",✓,Zone Occupancy Mode,"",BO3001142,✓,"","","","",✓,"","","","","","","","",@p:ubcv:r:251d6749-383e9450 Forest Sci Rm 4403,"","","","","",✓,@p:ubcv:r:207a9b0c-2e611c61 Forest Sci,"","","","","","","","",@p:ubcv:r:23e65d3e-a87ebc9b .+(\.|-| )OCCC?M?D,"","",JCL-NAE48/N2-A.DC-234.OCCCMD.Trend1,"",Los_Angeles,"","","","","","","","","","","",FS.VAV234.OCCCMD,✓,2020-04-30T11:09:56.764Z UTC
