id,ahuMode,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,boiler,bypass,ccmAHU4pumpVFD,ccmAHU5pumpVFD,ccmControlsOptMV,ccmFCU,ccmHPTest,ccmHeat,ccmHeatRecoveryMV,changeover,chilled,cmd,comp,condenser,connRef,cool,cooling,covTest,cur,curStatus,curVal,custom,damper,delta,differential,disMacro,disabled,discharge,dupOld2,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,feedback,filter,flow,gas,groupRef,heat,heatPump,heatRecovery,heating,heatingMode,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidifier,humidity,kind,lastSynced,lastTagged,lead,leaving,max,min,mode,modulating,motion,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,outside,perimeterHeat,point,pointType,power,pressure,pump,quantityID,rate,return,roomRef,run,runtime,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,stageDemanded,stageRequired,static,tagTableRef,tags,tank,temp,test2019,testUnits,tlName,tz,unit,utilityPoint,valve,vavMode,volume,water,zone,mod
@p:ubcv:r:2359218b-783fa818 CCM Unsorted Points SW_AHU4A_MODVLV_SELECT_PID,"","","","",@p:ubcv:r:2304b905-7a00b8c8 CCM 057.0 CCM AHU 4AB SW CATWALK (580600),"",TL69,✓,SW_AHU4A_MODVLV_SELECT_PID,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-7a00b8c8 CCM 057.0 CCM AHU 4AB SW CATWALK (580600),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"","","","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2020-05-12T14:15:08-07:00 Los_Angeles,"","",81451,2018-10-16T05:48:14-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:16:17.336-07:00 Los_Angeles,2018-11-28T16:32:28.016-08:00 Los_Angeles,"","","","","","","",SW_AHU4A_MODVLV_SELECT_PID,✓,AV14,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",SW_AHU4A_MODVLV_SELECT_PID_POLL_TL,Los_Angeles,%,"","","","","","",2020-04-09T19:02:23.046Z UTC
@p:ubcv:r:22d5eee2-bf5e3a39 CCM Unsorted Points P7VFD_CHW_CTRL,"","","","",@p:ubcv:r:226ce633-67758708 CCM 057.0 CCM MECH MEZZ RM 1147A (580200),"",TL27,✓,P7VFD_CHW_CTRL,"","","","","","","","","","","","","","",@p:ubcv:r:226ce633-67758708 CCM 057.0 CCM MECH MEZZ RM 1147A (580200),"","",✓,"","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"","","","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2020-01-08T08:03:27-08:00 Los_Angeles,"",cov,59,2017-08-29T16:25:26-07:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:16:14.174-07:00 Los_Angeles,2018-11-28T16:32:33.975-08:00 Los_Angeles,"","","","","","","",P7VFD_CHW_CTRL,✓,BV7,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",P7VFD_CHW_CTRL_COV_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:26.313Z UTC
@p:ubcv:r:25cec466-3c539ab0 CCM Rm 1231 SAV-5-03 SGAV_5_03_SUP_FLW_CMND,"","","","",@p:ubcv:r:2304b905-95c93d75 CCM 057.0 CCM AHU5AB (580700),"",TL111,"",SGAV_5_03_SUP_FLW_CMND,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-95c93d75 CCM 057.0 CCM AHU5AB (580700),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23dbb94e-213cf31b CCM Rm 1231 SAV-5-03,✓,"","","","","","",@p:ubcv:r:23dbb94e-4db1f01c CCM Floor 1,"","","","","",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","",9290,2020-02-05T08:45:00-08:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:17:16.247-07:00 Los_Angeles,"","","","","","","","",SGAV_5_03_SUP_FLW_CMND,✓,AV231,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",SGAV_5_03_SUP_FLW_CMND_TL,Los_Angeles,L/s,"","","","","","",2020-04-09T19:02:23.219Z UTC
@p:ubcv:r:22b585ff-a31d116e CCM Steam Boilers SB-01 CCM_B1_GENFILL,"","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"",TL234,✓,CCM_B1_GENFILL,"","","","","","","","","","","","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"","",✓,"","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23e39d36-934b1d22 CCM Steam Boilers SB-01,✓,"","","","","","",@p:ubcv:r:216986a9-44c05452 CCM Hydronic Systems,"","","","","",✓,"","","",2020-05-08T13:53:53-07:00 Los_Angeles,"",cov,1777,2018-03-13T07:12:20-07:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:21:03.991-07:00 Los_Angeles,2018-11-28T16:32:51.504-08:00 Los_Angeles,"","","","","","","",CCM_B1_GENFILL,✓,"","","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",CCM_B1_GENFILL_COV_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:25.493Z UTC
@p:ubcv:r:22b58600-37dc9a38 CCM Heat Pump Plant HP-5 CCM_HP5_PUMPS_RUNNING_MUX_BV,"","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"",TL32,✓,CCM_HP5_PUMPS_RUNNING_MUX_BV,"","","","","","","","","","","","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"","",✓,"","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:23dccabf-099520e5 CCM Heat Pump Plant HP-5,✓,"","","","","","",@p:ubcv:r:216986a9-44c05452 CCM Hydronic Systems,"","","","","",✓,"","","",2020-05-12T11:18:41-07:00 Los_Angeles,"",cov,4971,2017-09-07T23:36:36-07:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:21:04.214-07:00 Los_Angeles,2018-11-28T16:32:50.133-08:00 Los_Angeles,"","","","","","","",CCM_HP5_PUMPS_RUNNING_MUX_BV,✓,BV73,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",CCM_HP5_PUMPS_RUNNING_MUX_BV_COV_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:25.495Z UTC
@p:ubcv:r:233ed515-24e9bdd5 CCM HW Submeters BTU Flow Meter 2 CCM_FM2_BTU_DHWT1~2_RWT,"","","","",@p:ubcv:r:2304b905-4af24d6a CCM 057.0 CCM_BLR_PNL CP581100 (581100),"",TL68,✓,CCM_FM2_BTU_DHWT1~2_RWT,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-4af24d6a CCM 057.0 CCM_BLR_PNL CP581100 (581100),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","",✓,"","",@p:ubcv:r:23dccabf-4c567f91 CCM HW Submeters BTU Flow Meter 2,✓,"","","","","","",@p:ubcv:r:21697fca-767bb370 CCM Utilities,"","","","","",✓,"","","",2020-05-12T14:03:50-07:00 Los_Angeles,"","",11330,2018-09-21T20:41:31-07:00 Los_Angeles,ok,"",✓,"","",Number,2020-05-12T14:13:12.129-07:00 Los_Angeles,2019-01-31T10:24:21.74-08:00 Los_Angeles,"","","","","","","",Entering Hot Water Temp,"",AV28,"","","","","","",✓,"","","","","","","","","","","",✓,@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:24119e78-de3698e4 .+_(BTU|EM)_.+_RWT(_TL)?,"","",✓,"","",CCM_FM2_BTU_DHWT1~2_RWT_TL,Los_Angeles,°C,"","","","",✓,"",2020-04-09T19:02:23.486Z UTC
@p:ubcv:r:22d5eee2-2e585188 CCM Heat Pump Plant HP-1 CCM_HP1_PUMP_18_HW_S_BV,"","","","",@p:ubcv:r:226ce633-67758708 CCM 057.0 CCM MECH MEZZ RM 1147A (580200),"",TL41,✓,CCM_HP1_PUMP_18_HW_S_BV,"","","","","","","","","","","","","","",@p:ubcv:r:226ce633-67758708 CCM 057.0 CCM MECH MEZZ RM 1147A (580200),"","",✓,"","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:23dccabf-77d01026 CCM Heat Pump Plant HP-1,✓,"","","","","","",@p:ubcv:r:216986a9-44c05452 CCM Hydronic Systems,"","","","","",✓,"","","",2020-05-12T11:59:02-07:00 Los_Angeles,"",cov,5246,2018-06-20T21:56:25-07:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:16:16.256-07:00 Los_Angeles,2018-11-28T16:32:35.52-08:00 Los_Angeles,"","","","","","","","Pump Run ","",BV43,"","","","","","",✓,"","","",✓,"","","","",✓,"","",✓,@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:24009fc1-b7b27a42 .+_PUMP_\d+_.+_S_BV(_TL)?,"","","","","",CCM_HP1_PUMP_18_HW_S_BV_COV_TL,Los_Angeles,"","","","","",✓,"",2020-04-09T19:16:26.316Z UTC
@p:ubcv:r:23592239-fb28c79e CCM LEF-04 CCM_HEX_04_HEX_HRC_VLV,"","","","",@p:ubcv:r:2304b905-531afc84 CCM 057.0 CCM EF4ABC SW CATWALK (580900),"",TL68,✓,CCM_HEX_04_HEX_HRC_VLV,"","","","","","","","","","","",✓,"","",@p:ubcv:r:2304b905-531afc84 CCM 057.0 CCM EF4ABC SW CATWALK (580900),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23dcaa17-f1741864 CCM LEF-04,✓,"","","","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","",✓,"","",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"","",312664,2018-10-15T23:10:00-07:00 Los_Angeles,ok,"",✓,"","",Number,2020-05-12T14:21:06.39-07:00 Los_Angeles,2019-01-31T10:24:20.687-08:00 Los_Angeles,"","","","","","","",Heat Recovery Valve Cmd,"",AO3,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:23e65d0e-ed15b796 .+_HRC_VLV(_TL)?,"","","","","",CCM_HEX_04_HEX_HRC_VLV_TL,Los_Angeles,%,"",✓,"","",✓,"",2020-04-09T19:02:23.36Z UTC
@p:ubcv:r:22d5eee2-618ad678 CCM CT CCM_DC_01_VFD_SPD,"","","","",@p:ubcv:r:226ce633-67758708 CCM 057.0 CCM MECH MEZZ RM 1147A (580200),"",TL160,✓,CCM_DC_01_VFD_SPD,"","","","","","","","","","","",✓,"","",@p:ubcv:r:226ce633-67758708 CCM 057.0 CCM MECH MEZZ RM 1147A (580200),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23e4fb3a-14fb8e9a CCM CT,✓,"","","","","","",@p:ubcv:r:216986a9-44c05452 CCM Hydronic Systems,"","","","","",✓,"","","",2020-05-12T14:10:55-07:00 Los_Angeles,"","",97064,2018-07-07T01:08:44-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:16:19.643-07:00 Los_Angeles,2019-01-31T10:24:21.645-08:00 Los_Angeles,"","","","","","","",Speed Cmd,"",AO7,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","",✓,"","","","","",@p:ubcv:r:23e65d0f-6394e081 .+_DC_\d+_VFD_SPD(_TL)?,"","","","","",CCM_DC_01_VFD_SPD_POLL_TL,Los_Angeles,%,"","","","","","",2020-04-09T19:02:22.522Z UTC
@p:ubcv:r:235920ed-8ffdfbbf CCM AHU-01 CCM_AHU_01_SPACE_RH_SP,"",✓,"","",@p:ubcv:r:2007bc45-82951d5d CCM AHU-1 (5800300),"",TL41,✓,CCM_AHU_01_SPACE_RH_SP,"","","","","","","","","","","","","","",@p:ubcv:r:2007bc45-82951d5d CCM AHU-1 (5800300),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23dbc780-8ba1aca0 CCM AHU-01,✓,"","","","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","","","","",✓,"","","",2020-05-12T14:03:58-07:00 Los_Angeles,"","",81916,2018-10-14T13:27:21-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:13:34.215-07:00 Los_Angeles,2019-01-31T10:24:20.728-08:00 Los_Angeles,"","","","","","","",Zone Relative Humidity Sp,"",AV81,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"",✓,"","","","","","",@p:ubcv:r:23e65d0f-21ed9a49 .+_RH_SP(_TL)?,"","","","","",CCM_AHU_01_SAH_SP_POLL_TL,Los_Angeles,%RH,"","","","","",✓,2020-04-09T19:02:22.823Z UTC
@p:ubcv:r:23592172-2ab7cfc3 CCM Unsorted Points CCM_HWRT_MUXIN,"","","","",@p:ubcv:r:2304b905-e4b2049a CCM 057.0 CCM STEAM HEX  (580100),"",TL38,✓,CCM_HWRT_MUXIN,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-e4b2049a CCM 057.0 CCM STEAM HEX  (580100),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"","","","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2020-05-12T14:06:30-07:00 Los_Angeles,"","",81917,2018-10-15T23:07:15-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:14:18.756-07:00 Los_Angeles,2018-11-28T16:32:30.986-08:00 Los_Angeles,"","","","","","","",CCM_HWRT_MUXIN,✓,AV9,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",CCM_HWRT_MUXIN_POLL_TL,Los_Angeles,°C,"","","","","","",2020-04-09T19:02:22.416Z UTC
@p:ubcv:r:22d5eee1-fdaa9dd9 CCM Unsorted Points P3VFD_HW_SPD_CTRL_POLL_TL,"","","","",@p:ubcv:r:226ce633-67758708 CCM 057.0 CCM MECH MEZZ RM 1147A (580200),"",TL100,✓,P3VFD_HW_SPD_CTRL_POLL_TL,"","","","","","","","","","","","","","",@p:ubcv:r:226ce633-67758708 CCM 057.0 CCM MECH MEZZ RM 1147A (580200),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"","","","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2020-05-12T14:06:30-07:00 Los_Angeles,"","",95717,2018-07-08T17:11:53-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:16:21.572-07:00 Los_Angeles,2018-11-28T16:32:48.07-08:00 Los_Angeles,"","","","","","","",P3VFD_HW_SPD_CTRL_POLL_TL,✓,AV1,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","","",Los_Angeles,_,"","","","","","",2020-04-09T19:15:21.212Z UTC
@p:ubcv:r:2359218f-e7562c9d CCM LEF-04 EF-04C CCM_EF_04_STROBIC_C_INTERF_RUN_REQ,"","","","",@p:ubcv:r:2304b905-0e779642 CCM 057.0 CCM EF INTERFACE (581000),"",TL15,✓,CCM_EF_04_STROBIC_C_INTERF_RUN_REQ,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-0e779642 CCM 057.0 CCM EF INTERFACE (581000),"","",✓,"","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:23e5f361-f21c1b14 CCM LEF-04 EF-04C,✓,"","","","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","","","","",✓,"","","",2020-05-12T10:01:01-07:00 Los_Angeles,"",cov,217,2018-10-16T10:00:00-07:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:16:14.471-07:00 Los_Angeles,2018-11-28T16:32:35.864-08:00 Los_Angeles,"","","","","","","",CCM_EF_04_STROBIC_C_INTERF_RUN_REQ,✓,BV13,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",CCM_EF_04_STROBIC_C_INTERF_RUN_REQ_COV_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:27.09Z UTC
@p:ubcv:r:20681914-98152786 CCM Unsorted Points CCM_EF1_CONTROL_TL,"","","","",@p:ubcv:r:2007bc45-82951d5d CCM AHU-1 (5800300),"",TL44,✓,CCM_EF1_CONTROL_TL,"","","","","","","","","","","","","","",@p:ubcv:r:2007bc45-82951d5d CCM AHU-1 (5800300),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"","","","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2020-05-05T10:24:09-07:00 Los_Angeles,"","",261,2017-03-03T09:35:22-08:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:13:34.15-07:00 Los_Angeles,2018-11-28T16:32:50.238-08:00 Los_Angeles,"","","","","","","",CCM_EF1_CONTROL_TL,✓,BO10,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","","",Los_Angeles,"","","","","","","",2020-04-09T19:16:25.499Z UTC
@p:ubcv:r:25cec466-3935cc82 CCM Unsorted Points SGAV_5_07_SUP_FLW_FDBK,"","","","",@p:ubcv:r:2304b905-95c93d75 CCM 057.0 CCM AHU5AB (580700),"",TL95,"",SGAV_5_07_SUP_FLW_FDBK,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-95c93d75 CCM 057.0 CCM AHU5AB (580700),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"","","","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","",9290,2020-02-05T08:45:00-08:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:17:16.439-07:00 Los_Angeles,"","","","","","","","",SGAV_5_07_SUP_FLW_FDBK,✓,AV38,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",SGAV_5_07_SUP_FLW_FDBK_TL,Los_Angeles,L/s,"","","","","","",2020-04-09T19:02:23.226Z UTC
@p:ubcv:r:226ce5aa-b782ebec CCM Heat Pump Plant HP-5 CCM_HP_W_5_SRC_EWT,"","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"",TL115,✓,CCM_HP_W_5_SRC_EWT,"","","","","","","","","","",✓,"","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","",✓,"","",@p:ubcv:r:23dccabf-099520e5 CCM Heat Pump Plant HP-5,✓,"","","","","","",@p:ubcv:r:216986a9-44c05452 CCM Hydronic Systems,"","","","","",✓,"","","",2020-05-12T14:16:10-07:00 Los_Angeles,"","",101779,2018-04-18T09:06:13-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:21:04.463-07:00 Los_Angeles,2019-01-31T10:24:20.676-08:00 Los_Angeles,"","","","","","","",Entering Chilled Water Temp,"",AV75,"","","","","","",✓,"","","","","","","","","","","",✓,@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:23e65d0e-d8467e87 .+_W?S?HP(_.+)?_SRC_EWT(_TL)?,"","",✓,"","",CCM_WSHP_5_SRC_EWT_TL,Los_Angeles,°C,"","","","",✓,"",2020-04-09T19:02:22.214Z UTC
@p:ubcv:r:22d5eee2-7164c562 CCM Unsorted Points MECH_RM_SF_01_REQ_MUXIN,"","","","",@p:ubcv:r:226ce633-67758708 CCM 057.0 CCM MECH MEZZ RM 1147A (580200),"",TL83,✓,MECH_RM_SF_01_REQ_MUXIN,"","","","","","","","","","","","","","",@p:ubcv:r:226ce633-67758708 CCM 057.0 CCM MECH MEZZ RM 1147A (580200),"","",✓,"","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"","","","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2019-11-13T11:52:16-08:00 Los_Angeles,"",cov,8,2018-11-05T10:33:01-08:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:16:14.122-07:00 Los_Angeles,2018-11-28T16:32:58.554-08:00 Los_Angeles,"","","","","","","",MECH_RM_SF_01_REQ_MUXIN,✓,BV131,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",MECH_RM_SF_01_REQ_MUXIN_COV_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:27.924Z UTC
@p:ubcv:r:2359218f-73f049fb CCM LEF-05 EF-05B CCM_EF_05_STROBIC_B_INTERF_STATUS,"","","","",@p:ubcv:r:2304b905-0e779642 CCM 057.0 CCM EF INTERFACE (581000),"",TL14,✓,CCM_EF_05_STROBIC_B_INTERF_STATUS,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-0e779642 CCM 057.0 CCM EF INTERFACE (581000),"","",✓,"","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:23e5f361-ce0a4b74 CCM LEF-05 EF-05B,✓,"","","","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","","","","",✓,"","","",2020-05-12T10:05:07-07:00 Los_Angeles,"",cov,21,2018-12-20T12:34:56-08:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:16:14.114-07:00 Los_Angeles,2018-11-28T16:32:38.706-08:00 Los_Angeles,"","","","","","","",CCM_EF_05_STROBIC_B_INTERF_STATUS,✓,BV5,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",CCM_EF_05_STROBIC_B_INTERF_STATUS_COV_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:25.5Z UTC
@p:ubcv:r:22b585ff-808f2c89 CCM Unsorted Points CCM_LD_N7S,"","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"",TL181,✓,CCM_LD_N7S,"","","","","","","","","","","","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"","","","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2018-04-29T05:33:48-07:00 Los_Angeles,"","",2,2018-04-29T04:44:49-07:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:21:03.841-07:00 Los_Angeles,2018-11-28T16:32:32.121-08:00 Los_Angeles,"","","","","","","",CCM_LD_N7S,✓,BV266,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",CCM_LD_N7S_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:27.093Z UTC
@p:ubcv:r:233ed865-395687ef CCM Heat Pump Plant STM HX-09 CCM_STM_HEX_9_RWT,"","","","",@p:ubcv:r:2304b905-e4b2049a CCM 057.0 CCM STEAM HEX  (580100),"",TL29,✓,CCM_STM_HEX_9_RWT,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-e4b2049a CCM 057.0 CCM STEAM HEX  (580100),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:24159ba4-ddf82d2b CCM Heat Pump Plant STM HX-09,✓,"","","","","","",@p:ubcv:r:216986a9-44c05452 CCM Hydronic Systems,"","","","","",✓,"","","",2020-05-12T14:05:37-07:00 Los_Angeles,"","",85856,2018-09-23T05:11:45-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:14:17.999-07:00 Los_Angeles,2019-01-31T10:24:20.848-08:00 Los_Angeles,"","","","","","","",CCM_STM_HEX_9_RWT,✓,AI8,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",CCM_STM_HEX_9_RWT_POLL_TL,Los_Angeles,°C,"","","","","","",2020-04-09T19:02:22.421Z UTC
@p:ubcv:r:2359218b-abebed53 CCM AHU-04 AHU-04B CCM_AHU_04B_HUMV,"","","","",@p:ubcv:r:2304b905-7a00b8c8 CCM 057.0 CCM AHU 4AB SW CATWALK (580600),"",TL77,✓,CCM_AHU_04B_HUMV,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-7a00b8c8 CCM 057.0 CCM AHU 4AB SW CATWALK (580600),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23dbc780-8e253c73 CCM AHU-04 AHU-04B,✓,"","","","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","","","","",✓,"","","",2020-05-12T14:12:29-07:00 Los_Angeles,"","",82786,2018-10-14T13:40:24-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:16:18.005-07:00 Los_Angeles,2019-01-31T10:24:21.269-08:00 Los_Angeles,"","","","","","","","Humidifier Valve ","",AO16,"","","","","","",✓,"","","","","","","","","","","",✓,@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:2410474d-d4701ece .+_HUMV(_\d+)?(_TL)?,"","","","","",MN_E_AHU_04B_HUMV_POLL_TL,Los_Angeles,%,"",✓,"","",✓,"",2020-04-09T19:02:23.054Z UTC
