id,ahu,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,chemN_1809_FHOpt,chemN_CPP,chilled,chiller,cmd,co2,condenser,connRef,coolingTower,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,differential,disMacro,discharge,domestic,effective,elec,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,filter,flow,groupRef,heating,highLim,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,jci,johnson,kind,lastSynced,lastTagged,leaving,low,lowLim,mixed,mixing,mode,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,outside,perimeterHeat,point,pointType,power,preFilter,pressure,proj_1830_3W2W,pump,quantityID,rad,return,roomRef,run,runtime,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,static,tagTableRef,tags,temp,tlName,tz,unit,utilityPoint,valve,volume,water,zone,mod
@p:ubcv:r:238a0dc3-353e4c06 Chem North Unsorted Points JCL-NAE19/Programming.Central Plant.Hot Water Systems.Primary Hot Water.OA-T,"",✓,"",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3005602,✓,JCL-NAE19/Programming.Central Plant.Hot Water Systems.Primary Hot Water.OA-T,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:2347bb51-be9dbfce Chem North Unsorted Points,"","","","",@p:ubcv:r:2347bb51-3ed5edcb Chem North Unsorted Points,"","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",12995,2018-11-17T18:00:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:22:58.695-07:00 Los_Angeles,2018-12-07T09:45:31.364-08:00 Los_Angeles,"","","","","","",Outside Air Temp,"",AV3005601,"","","","",✓,"",✓,"","","","","","","","","","","","","",✓,@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:23e65d3d-5671e7b8 .+(\.|-| |_)OA(_|-)T,"",✓,JCL-NAE19/Programming.Central Plant.Hot Water Systems.Primary Hot Water.OA-T.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:02:01.293Z UTC
@p:ubcv:r:238a0dc3-0979c862 Chem North Lab E413 EF-10 JCL-NAE19/N2-A.19A126DX.EF-E10-A,"",✓,✓,@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3000597,✓,JCL-NAE19/N2-A.19A126DX.EF-E10-A,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","Alarm,Normal","",@p:ubcv:r:2480599d-374d46f1 Chem North Lab E413 EF-10,✓,✓,"","",@p:ubcv:r:2203b248-8ad86041 Chem North Air Systems,"","",✓,"","","",2020-04-09T09:17:40-07:00 Los_Angeles,"","",8,2018-12-20T12:41:09-08:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:22:58.496-07:00 Los_Angeles,2018-12-07T09:45:31.545-08:00 Los_Angeles,"","","","","","",Exhaust Air Fan Alarm,"",BI3000596,"","","","","","",✓,"","","","","","","","","",@p:ubcv:r:2480599d-aa77df31 Chem North Lab E413,"","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:258694ff-feac8f01 .+(\.|-| |_)(EF|EV)-.+-A(LM)?,"","",JCL-NAE19/N2-A.19A126DX.EF-E10-A.Trend,Los_Angeles,"","","","","","",2020-04-08T18:55:23.577Z UTC
@p:ubcv:r:238a0dc3-c864e245 Chem North AHU-2 SF JCL-NAE19/FCB-02.FAC-005.SF-C,"",✓,"",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3009000,✓,JCL-NAE19/FCB-02.FAC-005.SF-C,"","","","",✓,"","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","Off,On","",@p:ubcv:r:25d7526b-7b550f71 Chem North AHU-2 SF,"",✓,"","",@p:ubcv:r:248034e6-b6b50772 Chem North Air  Systems,"","",✓,"","","",2020-04-09T09:20:48-07:00 Los_Angeles,"","",8,2018-12-20T12:41:09-08:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:22:58.499-07:00 Los_Angeles,2018-12-07T09:45:36.121-08:00 Los_Angeles,"","","","","","",Discharge Fan Run Cmd,"",BO3008999,"","","","","","",✓,"","","","","","","","","","",✓,"","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:23e65d3d-2b48d00a .+(\.|-| )SF(\d+)?-C,"","",JCL-NAE19/FCB-02.FAC-005.SF-C.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:28.011Z UTC
@p:ubcv:r:238a0dc3-7da53ddf Chem North AHU-2 SF JCL-NAE19/N2-A.19A126DX.AHU-E2-C,"",✓,"",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3009193,✓,JCL-NAE19/N2-A.19A126DX.AHU-E2-C,✓,"","","",✓,"","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:25d7526b-7b550f71 Chem North AHU-2 SF,"",✓,"","",@p:ubcv:r:248034e6-b6b50772 Chem North Air  Systems,"","",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","",51018,2018-11-22T05:30:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:22:58.846-07:00 Los_Angeles,2018-11-25T13:45:23.643-08:00 Los_Angeles,"","","","","","",Discharge Fan Speed Cmd,"","","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:248034ca-0a40699d Lab E413-E415,"","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","",✓,"","","",@p:ubcv:r:23e65d3d-58a13568 .+(\.|-| )AHU-[A-Z]?\d-C,"","",JCL-NAE19/N2-A.19A126DX.AHU-E2-C.Trend1,Los_Angeles,%,"","","","","",2020-04-09T19:02:01.298Z UTC
@p:ubcv:r:24edab6a-4091d4f4 Chem North Unsorted Points JCL-NAE19/Schedule.Radiant Heating,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),SCH3001936,"",✓,JCL-NAE19/Schedule.Radiant Heating,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","",unknown,"","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:2347bb51-be9dbfce Chem North Unsorted Points,"","","","",@p:ubcv:r:2347bb51-3ed5edcb Chem North Unsorted Points,"","",✓,"","","",2019-08-21T08:45:00-07:00 Los_Angeles,"","",182,2019-08-19T12:26:00-07:00 Los_Angeles,"","","",✓,"",Number,"","","","","","","","",Scheduled Occupancy,"","","","","","","","",✓,"","","","","","","","","","","","",✓,"",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","","","","","",Los_Angeles,"","","","","","",2019-11-07T23:48:39.867Z UTC
@p:ubcv:r:22724d83-da8043a5 Chem North EF-8 JCL-NAE19/N2-A.19A003DX.EF08-C,"",✓,"",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3000513,✓,JCL-NAE19/N2-A.19A003DX.EF08-C,"","","","",✓,"","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","Off,On","",@p:ubcv:r:248050ae-bf0bd658 Chem North EF-8,✓,✓,"","",@p:ubcv:r:2203b248-8ad86041 Chem North Air Systems,"","",✓,"","","",2020-01-08T08:07:21-08:00 Los_Angeles,"","",19,2017-08-17T07:52:10-07:00 Los_Angeles,ok,"","",✓,✓,Bool,2020-05-12T14:22:58.507-07:00 Los_Angeles,2018-12-07T09:45:28.829-08:00 Los_Angeles,"","","","","","",Exhaust Fan Run Cmd,"",BO3000512,"","","","","","",✓,"","","","","","","","","","",✓,"","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:23e65d3d-b8710d90 .+(\.|-| |_)EF-?(\d+)?\w?-C,"","",JCL-NAE19/N2-A.19A003DX.EF08-C.Trend,Los_Angeles,"","","","","","",2020-04-08T18:55:26.261Z UTC
@p:ubcv:r:238a0dc3-fc8e2f42 Lab E415 EV-03 JCL-NAE19/N2-A.19A126DX.EV-E03-A,"",✓,✓,@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3000621,✓,JCL-NAE19/N2-A.19A126DX.EV-E03-A,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","Alarm,Normal","",@p:ubcv:r:248059f3-0c088d14 Lab E415 EV-03,✓,✓,"","",@p:ubcv:r:2203b248-8ad86041 Chem North Air Systems,"","",✓,"","","",2020-04-09T09:17:53-07:00 Los_Angeles,"","",8,2018-12-20T12:41:09-08:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:22:58.51-07:00 Los_Angeles,2018-12-07T09:45:31.679-08:00 Los_Angeles,"","","","","","",Exhaust Air Fan Alarm,"",BI3000620,"","","","","","",✓,"","","","","","","","","",@p:ubcv:r:2480598d-eae27103 Lab E415,"","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:258694ff-feac8f01 .+(\.|-| |_)(EF|EV)-.+-A(LM)?,"","",JCL-NAE19/N2-A.19A126DX.EV-E03-A.Trend,Los_Angeles,"","","","","","",2020-04-08T18:55:30.33Z UTC
@p:ubcv:r:238a0dc3-ac73b3aa Chem North Unsorted Points JCL-NAE19/BACnet1.CANATAL-400010.C-05.BI-2004,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3008821,✓,JCL-NAE19/BACnet1.CANATAL-400010.C-05.BI-2004,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","Inactive,Active","",@p:ubcv:r:2347bb51-be9dbfce Chem North Unsorted Points,"","","","",@p:ubcv:r:2347bb51-3ed5edcb Chem North Unsorted Points,"","",✓,"","","",2020-04-02T13:15:27-07:00 Los_Angeles,"","",607,2018-12-20T12:41:09-08:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:22:58.512-07:00 Los_Angeles,2018-11-25T13:45:23.278-08:00 Los_Angeles,"","","","","","",JCL-NAE19/BACnet1.CANATAL-400010.C-05.BI-2004,✓,BI3008605,"","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","","","","",JCL-NAE19/BACnet1.CANATAL-400010.C-05.BI-2004.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:49:16.176Z UTC
@p:ubcv:r:22724d83-9dbe580f Chem North Unsorted Points JCL-NAE19/N2-A.19A003DX.110AIR-A,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3000479,✓,JCL-NAE19/N2-A.19A003DX.110AIR-A,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","Normal,Alarm","",@p:ubcv:r:2347bb51-be9dbfce Chem North Unsorted Points,"","","","",@p:ubcv:r:2347bb51-3ed5edcb Chem North Unsorted Points,"","",✓,"","","",2020-05-12T14:13:41-07:00 Los_Angeles,"","",30232,2017-12-14T11:27:49-08:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:22:58.701-07:00 Los_Angeles,2018-12-07T09:45:28.82-08:00 Los_Angeles,"","","","","","",JCL-NAE19/N2-A.19A003DX.110AIR-A,✓,BI3000478,"","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","","","","",JCL-NAE19/N2-A.19A003DX.110AIR-A.Trend,Los_Angeles,"","","","","","",2020-04-08T18:55:36.986Z UTC
@p:ubcv:r:238a0dc2-ac1c5737 Chem North AHU-1 JCL-NAE19/N2-A.19A007DX.Htg Clg pid.HTG-O,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3000285,✓,JCL-NAE19/N2-A.19A007DX.Htg Clg pid.HTG-O,"","","","",✓,"","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:248034e6-55f973a1 Chem North AHU-1,"","","","",@p:ubcv:r:248034e6-b6b50772 Chem North Air  Systems,✓,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",25667,2018-11-21T17:30:00-08:00 Los_Angeles,ok,"",✓,✓,"",Number,2020-05-12T14:22:58.703-07:00 Los_Angeles,2018-12-07T09:45:32.062-08:00 Los_Angeles,"","","","","","",Heating Valve Cmd,"",AO3000284,"","","","","","",✓,"","","","",✓,"","","","","","","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE19/N2-A.19A007DX.Htg Clg pid.HTG-O.Trend,Los_Angeles,%,"",✓,"",✓,"",2020-04-14T16:50:01.471Z UTC
@p:ubcv:r:2388a048-5228a3b4 Chem North HW Main Meter Water Delta Temp,"","","","","","","","","","","","","","","","","","","","","","",✓,✓,"",$equipRef $navName,"","","","","","","","","",@p:ubcv:r:2093b3b4-c0960f5d Chem North HW Main Meter,"","","","",@p:ubcv:r:21697fca-e3964b84 Chem North Utilities,"","",✓,"","","","",deltaTemp,consumption,"","","","","","","",Number,"","","","","","","","",Water Delta Temp,"","","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","","","",✓,"",Los_Angeles,°C,✓,"","",✓,"",2020-04-28T00:03:36.234Z UTC
@p:ubcv:r:22724d83-d181ba03 Chem North Cooling Plant CH-1 JCL-NAE19/N2-A.19A003DX.CHS-T,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3000238,✓,JCL-NAE19/N2-A.19A003DX.CHS-T,"","",✓,"","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:22725012-8c971afd Chem North Cooling Plant CH-1,"","","","",@p:ubcv:r:21dff50a-f2e59374 Chem North Hydronic Systems,"","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",35519,2018-04-23T14:00:00-07:00 Los_Angeles,ok,"","",✓,✓,Number,2020-05-12T14:22:58.704-07:00 Los_Angeles,2018-12-07T09:45:30.607-08:00 Los_Angeles,✓,"","","","","",Leaving Chilled Water Temp,"",AI3000237,"","","","","","",✓,"","","","","","","","","","","","","",✓,@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:2538d194-28cf8153 .+(\.|-|_)CH(W2)?S-T,"",✓,JCL-NAE19/N2-A.19A003DX.CHS-T.Trend,Los_Angeles,°C,"","","",✓,"",2020-04-09T19:02:01.302Z UTC
@p:ubcv:r:22724d83-0ebf3cfb Chem North Unsorted Points JCL-NAE19/N2-A.19A003DX.110ABNML-A,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3000477,✓,JCL-NAE19/N2-A.19A003DX.110ABNML-A,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","Alarm,Normal","",@p:ubcv:r:2347bb51-be9dbfce Chem North Unsorted Points,"","","","",@p:ubcv:r:2347bb51-3ed5edcb Chem North Unsorted Points,"","",✓,"","","",2020-05-12T12:12:32-07:00 Los_Angeles,"","",21650,2018-04-27T09:44:37-07:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:22:58.85-07:00 Los_Angeles,2018-12-07T09:45:28.818-08:00 Los_Angeles,"","","","","","",JCL-NAE19/N2-A.19A003DX.110ABNML-A,✓,BI3000476,"","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","","","","",JCL-NAE19/N2-A.19A003DX.110ABNML-A.Trend,Los_Angeles,"","","","","","",2020-04-08T18:55:36.761Z UTC
@p:ubcv:r:238a0dc3-41b9bef0 Chem North Rm E422 RAD-2 JCL-NAE19/N2-A.19A125VA.RAD2-ASP,"",✓,"",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3002483,✓,JCL-NAE19/N2-A.19A125VA.RAD2-ASP,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:2480660e-2655045b Chem North Rm E422 RAD-2,"","","","",@p:ubcv:r:248034ca-f0c31ae3 Chem North Floor 3,"","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",6408,2018-11-21T22:00:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:22:58.666-07:00 Los_Angeles,2018-11-25T13:45:23.435-08:00 Los_Angeles,"","","","","","",Zone Temp Effective Sp,"",AI3001830,"","","","","","",✓,"","","","","","","","","",@p:ubcv:r:2480660e-117880ca Chem North Rm E422,"","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"",✓,"","","","",@p:ubcv:r:23e65d3e-cee2baec .+(\.|-| )RAD\d-ASP,"",✓,JCL-NAE19/N2-A.19A125VA.RAD2-ASP.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:01.305Z UTC
@p:ubcv:r:22724d83-2e6df653 Chem North Unsorted Points JCL-NAE19/N2-A.19A003DX.ABNML-A,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3001975,✓,JCL-NAE19/N2-A.19A003DX.ABNML-A,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","Alarm,Normal","",@p:ubcv:r:2347bb51-be9dbfce Chem North Unsorted Points,"","","","",@p:ubcv:r:2347bb51-3ed5edcb Chem North Unsorted Points,"","",✓,"","","",2020-01-08T08:07:21-08:00 Los_Angeles,"","",25,2017-08-01T11:14:15-07:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:22:58.516-07:00 Los_Angeles,2018-12-07T09:45:28.831-08:00 Los_Angeles,"","","","","","",JCL-NAE19/N2-A.19A003DX.ABNML-A,✓,BI3001974,"","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","","","","",JCL-NAE19/N2-A.19A003DX.ABNML-A.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:29.057Z UTC
@p:ubcv:r:238a0dc2-92f5710e Chem North Heating Plant JCL-NAE19/N2-A.19A001DX.SHW-ENB,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3000425,✓,JCL-NAE19/N2-A.19A001DX.SHW-ENB,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","Off,On","",@p:ubcv:r:248034e6-ad88ae7b Chem North Heating Plant,"","","","",@p:ubcv:r:21dff50a-f2e59374 Chem North Hydronic Systems,"","",✓,"","","",2020-05-12T09:30:58-07:00 Los_Angeles,"","",247,2018-12-20T12:41:09-08:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:22:58.667-07:00 Los_Angeles,2018-11-25T13:45:23.908-08:00 Los_Angeles,"","","","","","",JCL-NAE19/N2-A.19A001DX.SHW-ENB,✓,BO3000424,"","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","","","","",JCL-NAE19/N2-A.19A001DX.SHW-ENB.Trend,Los_Angeles,"","","","","","",2020-04-08T18:55:38.069Z UTC
@p:ubcv:r:22724d83-8e1c78f5 Chem North Unsorted Points JCL-NAE19/N2-A.19A003DX.AIR-A,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3001972,✓,JCL-NAE19/N2-A.19A003DX.AIR-A,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","Normal,Alarm","",@p:ubcv:r:2347bb51-be9dbfce Chem North Unsorted Points,"","","","",@p:ubcv:r:2347bb51-3ed5edcb Chem North Unsorted Points,"","",✓,"","","",2020-01-08T08:07:21-08:00 Los_Angeles,"","",15,2017-08-17T07:52:10-07:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:22:58.33-07:00 Los_Angeles,2018-12-07T09:45:28.832-08:00 Los_Angeles,"","","","","","",JCL-NAE19/N2-A.19A003DX.AIR-A,✓,BI3001971,"","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","","","","",JCL-NAE19/N2-A.19A003DX.AIR-A.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:30.789Z UTC
@p:ubcv:r:238a0dc2-79a7d35e Lab E415 EV-06 JCL-NAE19/N2-A.19A126DX.EV-E06-F,"",✓,"",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3000197,✓,JCL-NAE19/N2-A.19A126DX.EV-E06-F,✓,"","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:2480599d-0f815ec3 Lab E415 EV-06,✓,"","",✓,@p:ubcv:r:2203b248-8ad86041 Chem North Air Systems,"","",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","",51017,2018-11-22T05:30:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:22:58.669-07:00 Los_Angeles,2018-11-25T13:45:23.949-08:00 Los_Angeles,"","","","","","",Exhaust Air Flow,"",AI3000196,"","","","","","",✓,"","","","","","","","","",@p:ubcv:r:2480598d-eae27103 Lab E415,"","","",✓,@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:24808299-5ddfbef9 .+(\.|-| )E(V|F)-?(E|D)?\d+-F(.+)?,"","",JCL-NAE19/N2-A.19A126DX.EV-E06-F.Trend,Los_Angeles,L/s,"","","","","",2020-04-09T19:02:01.126Z UTC
@p:ubcv:r:22724d83-dd2fc2c5 Chem North CT JCL-NAE19/N2-A.19A003DX.CT-C,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3000463,✓,JCL-NAE19/N2-A.19A003DX.CT-C,"","","","",✓,"","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),✓,"","","","","","","","",$equipRef $bmsName,"","","","","","","","Off,On","",@p:ubcv:r:248050ae-afda0cad Chem North CT,"","","","",@p:ubcv:r:21dff50a-f2e59374 Chem North Hydronic Systems,"","",✓,"","","",2020-01-08T08:07:21-08:00 Los_Angeles,"","",60,2018-02-08T20:22:20-08:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:22:58.335-07:00 Los_Angeles,2018-07-30T13:54:04.271-07:00 Los_Angeles,"","","","","","",Run Cmd,"",BO3000462,"","","","","","",✓,"","","","","","","","","","",✓,"","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:2480813b-bb6dbf96 .+(\.|-| )CT\d?\w?-C,"","",JCL-NAE19/N2-A.19A003DX.CT-C.Trend,Los_Angeles,"","","","","","",2020-04-08T18:55:37.835Z UTC
@p:ubcv:r:238a0dc3-2e39701a Chem North AHU-2 SF JCL-NAE19/FCB-02.FAC-005.SF-S,"",✓,"",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3009005,✓,JCL-NAE19/FCB-02.FAC-005.SF-S,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","Off,On","",@p:ubcv:r:25d7526b-7b550f71 Chem North AHU-2 SF,"",✓,"","",@p:ubcv:r:248034e6-b6b50772 Chem North Air  Systems,"","",✓,"","","",2020-04-09T09:20:48-07:00 Los_Angeles,"","",14,2018-12-20T12:25:58-08:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:22:58.361-07:00 Los_Angeles,2018-12-07T09:45:31.658-08:00 Los_Angeles,"","","","","","",Discharge Fan Run Status,"",BI3009003,"","","","","","",✓,"","","","","","","","","","",✓,✓,"",✓,@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:23e65d3d-fc9f50e0 .+(\.|-| )SF(\d+)?-S(.Trend\d)?,"","",JCL-NAE19/FCB-02.FAC-005.SF-S.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:28.031Z UTC
@p:ubcv:r:238a0dc2-cc5924c9 Chem North AHU-1 RF JCL-NAE19/N2-A.19A007DX.RF-VSD,"",✓,"",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3000323,✓,JCL-NAE19/N2-A.19A007DX.RF-VSD,"","","","",✓,"","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:2480379f-6f1bbc4e Chem North AHU-1 RF,"",✓,"","",@p:ubcv:r:248034e6-b6b50772 Chem North Air  Systems,"","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",25667,2018-11-21T17:30:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:22:58.521-07:00 Los_Angeles,2018-12-07T09:45:27.859-08:00 Los_Angeles,"","","","","","",Return Fan Speed Cmd,"",AO3000322,"","","","","","",✓,"","","","","","","","",✓,"","","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","",✓,"","","",@p:ubcv:r:23e65d3d-cd9620b8 .+(\.|-| )RF-VSD,"","",JCL-NAE19/N2-A.19A007DX.RF-VSD.Trend,Los_Angeles,%,"","","","","",2020-04-09T19:02:01.129Z UTC
