id,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,boiler,bypass,chilled,cmd,co2,connRef,cooling,cur,curStatus,curVal,damper,delta,differential,disMacro,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,feedback,filter,flow,gas,groupRef,heating,highLim,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,kind,lastSynced,lastTagged,leaving,lowLim,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,outside,point,power,pressure,pump,quantityID,return,run,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,volume,water,zone,mod
@p:ubcv:r:23d4f831-e0cd2bdb Ponderosa West Unsorted Points PON_WEST_BLR_1_ISO_VLV_ES,"","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"",TL15,✓,PON_WEST_BLR_1_ISO_VLV_ES,"","","","","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"","","","","","","",$equipRef $bmsName,"","","","","","","Closed,Open","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,✓,"",✓,"","","",2020-05-09T19:37:51-07:00 Los_Angeles,"","",80,2018-09-27T08:40:34-07:00 Los_Angeles,ok,"",✓,"",Bool,2020-05-12T15:55:18.655-07:00 Los_Angeles,2019-01-23T16:53:05.093-08:00 Los_Angeles,"","","Heating Valve ","",BI1403,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","",@p:ubcv:r:23e65d0e-722f9810 .+_VLV_ES(_TL)?,"",PON_WEST_BLR_1_ISO_VLV_ES_COV_TL,Los_Angeles,"","",✓,"",✓,"",2020-05-07T12:20:49.472Z UTC
@p:ubcv:r:23d4f8a9-821323bd Ponderosa West Unsorted Points PON_WEST_FC201B_RT_AV,✓,"",@p:ubcv:r:23d4f5e4-f15ef0b1 PONDW PON_WEST_FC201B_CP710107 (710107),"",TL5,✓,PON_WEST_FC201B_RT_AV,"","","","","",@p:ubcv:r:23d4f5e4-f15ef0b1 PONDW PON_WEST_FC201B_CP710107 (710107),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:56:59-07:00 Los_Angeles,"","",322373,2019-01-18T06:22:18-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:56:45.135-07:00 Los_Angeles,2019-01-23T16:53:24.29-08:00 Los_Angeles,"","",Zone Temp,"",AV10,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,✓,PON_WEST_FC201B_RT_TL,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:36.802Z UTC
@p:ubcv:r:23d4fb34-96f485de Ponderosa West Unsorted Points PON_WEST_FC402_RT_SP,✓,"",@p:ubcv:r:23d4f5e4-9289b7a7 PONDW PON_WEST_FC402_CP710136 (710136),"",TL6,✓,PON_WEST_FC402_RT_SP,"","","","","",@p:ubcv:r:23d4f5e4-9289b7a7 PONDW PON_WEST_FC402_CP710136 (710136),"","","","","","","",$equipRef $bmsName,"",✓,"","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:56:58-07:00 Los_Angeles,"","",322391,2019-01-18T06:32:28-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:56:43.136-07:00 Los_Angeles,2019-01-23T16:53:19.945-08:00 Los_Angeles,"","",Zone Temp Effective Sp,"",AV7,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"",✓,"","","",@p:ubcv:r:23e65d0f-9a7e5f45 .+_RT_SP(_AV)?(_TL)?,✓,PON_WEST_FC402_RT_SP_TL,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:36.973Z UTC
@p:ubcv:r:23d4f831-563be5cf Ponderosa West Unsorted Points PON_WEST_HP_P21C,"","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"",TL28,✓,PON_WEST_HP_P21C,"","","","","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON",P21,@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-09T19:38:44-07:00 Los_Angeles,"","",83,2018-09-27T11:05:57-07:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:55:18.659-07:00 Los_Angeles,2019-01-23T16:53:04.622-08:00 Los_Angeles,"","",PON_WEST_HP_P21C,✓,BO2504,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","","","",PON_WEST_HP_P21C_COV_TL,Los_Angeles,"","","","","","",2020-05-07T12:20:49.506Z UTC
@p:ubcv:r:23d4fa81-43351d71 Ponderosa West Unsorted Points PON_WEST_FC308_SAT_SP,✓,"",@p:ubcv:r:23d4f5e4-f6bb18e7 PONDW PON_WEST_FC308_CP710130 (710130),"",TL7,✓,PON_WEST_FC308_SAT_SP,"","","","","",@p:ubcv:r:23d4f5e4-f6bb18e7 PONDW PON_WEST_FC308_CP710130 (710130),"","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:53:00-07:00 Los_Angeles,"","",322358,2019-01-18T06:32:08-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:53:35.507-07:00 Los_Angeles,2019-01-23T16:53:18.223-08:00 Los_Angeles,"","",Discharge Air Temp Sp,"",AV5,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"",✓,"","","",@p:ubcv:r:23e65d0e-055565a9 .+_SAT(_RHCV)?_SP(_AV)?(_TL)?,✓,PON_WEST_FC308_SAT_SP_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:36.936Z UTC
@p:ubcv:r:23d4f831-127240f0 Ponderosa West Unsorted Points PON_WEST_DHWT3_4_FLOW_BTU_TL_AV,"","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"",TL614,✓,PON_WEST_DHWT3_4_FLOW_BTU_TL_AV,"","","","","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:53:27-07:00 Los_Angeles,"","",44319,2019-01-14T01:13:15-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:55:20.072-07:00 Los_Angeles,"","","",PON_WEST_DHWT3_4_FLOW_BTU_TL_AV,✓,AV614,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","","","",MV_PON_WEST_DHWT3_4_FLOW_BTU_W07_TL,Los_Angeles,L/s,"","","","","",2020-05-07T12:20:49.517Z UTC
@p:ubcv:r:23d4f831-1ec8ce60 Ponderosa West Unsorted Points PON_WEST_DC01_POST_HWRT,"","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"",TL116,✓,PON_WEST_DC01_POST_HWRT,"","","","","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"","","","","","","",$equipRef $bmsName,"","","","","",✓,"","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:53:29-07:00 Los_Angeles,"","",44055,2019-01-15T10:13:31-08:00 Los_Angeles,ok,"",✓,"",Number,2020-05-12T15:55:20.078-07:00 Los_Angeles,2019-01-23T16:52:59.226-08:00 Los_Angeles,"","",Entering Hot Water Temp,"",AI3104,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","",@p:ubcv:r:23e65d0e-2ae762c1 .+_HWRT(_AV)?(_\d+)?(_TL)?,✓,PON_WEST_DC01_POST_HWRT_POLL_TL,Los_Angeles,°C,"","","",✓,"",2020-05-07T12:20:49.53Z UTC
@p:ubcv:r:23d4f87b-86da60cc Ponderosa West Unsorted Points PON_WEST_FC104_RT,✓,"",@p:ubcv:r:23d4f5e4-4f1caa1f PONDW PON_WEST_FC104_CP710104 (710104),"",TL5,✓,PON_WEST_FC104_RT,"","","","","",@p:ubcv:r:23d4f5e4-4f1caa1f PONDW PON_WEST_FC104_CP710104 (710104),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:54:59-07:00 Los_Angeles,"","",322854,2019-01-18T06:26:37-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:55:20.945-07:00 Los_Angeles,2019-01-23T16:53:23.914-08:00 Los_Angeles,"","",Zone Temp,"",AI2,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,✓,PON_WEST_FC104_RT_TL,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:36.79Z UTC
@p:ubcv:r:23d4fc79-fde0c246 Ponderosa West Unsorted Points PON_WEST_FC501_RT,✓,"",@p:ubcv:r:23d4f5e4-8fc7a830 PONDW PON_WEST_FC501_CP710146 (710146),"",TL5,✓,PON_WEST_FC501_RT,"","","","","",@p:ubcv:r:23d4f5e4-8fc7a830 PONDW PON_WEST_FC501_CP710146 (710146),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:48:59-07:00 Los_Angeles,"","",322527,2019-01-18T06:36:07-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:49:37.609-07:00 Los_Angeles,2019-01-23T16:53:24.86-08:00 Los_Angeles,"","",Zone Temp,"",AI2,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,✓,PON_WEST_FC501_RT_TL,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:37.033Z UTC
@p:ubcv:r:23d4f831-8ba49f65 Ponderosa West Unsorted Points PON_WEST_DHW_TANK_2_T,"","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"",TL74,✓,PON_WEST_DHW_TANK_2_T,"","","","","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:53:27-07:00 Los_Angeles,"","",43114,2019-01-17T22:14:02-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:55:20.083-07:00 Los_Angeles,"","","",PON_WEST_DHW_TANK_2_T,✓,AI3406,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","","","",PON_WEST_DHW_TANK_2_T_POLL_TL,Los_Angeles,°C,"","","","","",2020-05-07T12:20:49.542Z UTC
@p:ubcv:r:23d4f831-dd06a017 Ponderosa West Unsorted Points PON_WEST_BLR_P10_VFD_SPD_FB,"","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"",TL136,✓,PON_WEST_BLR_P10_VFD_SPD_FB,"","","","","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:53:28-07:00 Los_Angeles,"","",44055,2019-01-15T10:13:30-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:55:20.194-07:00 Los_Angeles,2019-01-23T16:53:22.634-08:00 Los_Angeles,"","",PON_WEST_BLR_P10_VFD_SPD_FB,✓,AI1301,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","","","",PON_WEST_BLR_P10_SPD_FB_POLL_TL,Los_Angeles,%,"","","","","",2020-05-07T12:20:49.548Z UTC
@p:ubcv:r:23d4faba-00f4929d Ponderosa West Unsorted Points PON_WEST_FC310_SAT,✓,"",@p:ubcv:r:23d4f5e4-3b5d484b PONDW PON_WEST_FC310_CP710132 (710132),"",TL4,✓,PON_WEST_FC310_SAT,"","","","","",@p:ubcv:r:23d4f5e4-3b5d484b PONDW PON_WEST_FC310_CP710132 (710132),"","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:57:02-07:00 Los_Angeles,"","",322391,2019-01-18T06:32:05-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:56:43.105-07:00 Los_Angeles,2019-01-23T16:53:24.151-08:00 Los_Angeles,"","",Discharge Air Temp,"",AI3,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","",@p:ubcv:r:24c508d8-1a2e5947 .+_SAT(_MUX)?(_TL)?,✓,PON_WEST_FC310_SAT_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:36.947Z UTC
@p:ubcv:r:23d4f831-f528fac4 Ponderosa West Unsorted Points PON_WEST_BLR_B2_HWST,"","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"",TL82,✓,PON_WEST_BLR_B2_HWST,"","","","","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:53:28-07:00 Los_Angeles,"","",44055,2019-01-15T10:13:30-08:00 Los_Angeles,ok,"",✓,"",Number,2020-05-12T15:55:20.218-07:00 Los_Angeles,2019-01-23T16:52:59.887-08:00 Los_Angeles,✓,"",Leaving Hot Water Temp,"",AI1201,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","",@p:ubcv:r:23e65d0e-90aebcb3 .+_HWST(_AV)?(_\d+)?(_TL)?,✓,MV_PON_WEST_BLR_B2_HWST_POLL_TL,Los_Angeles,°C,"","","",✓,"",2020-05-07T12:20:49.565Z UTC
@p:ubcv:r:23d4f9d4-e0aece24 Ponderosa West Unsorted Points PON_WEST_FC216_HCV,"","",@p:ubcv:r:23d4f5e4-67871c4f PONDW PON_WEST_FC216_CP710122 (710122),"",TL3,✓,PON_WEST_FC216_HCV,"","","",✓,"",@p:ubcv:r:23d4f5e4-67871c4f PONDW PON_WEST_FC216_CP710122 (710122),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,✓,"",✓,"","","",2020-05-12T15:53:00-07:00 Los_Angeles,"","",322464,2019-01-18T06:27:03-08:00 Los_Angeles,ok,"",✓,"",Number,2020-05-12T15:54:20.347-07:00 Los_Angeles,2019-01-23T16:53:19.16-08:00 Los_Angeles,"","",Heating Valve Cmd,"",AO4,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","",@p:ubcv:r:2453b6df-d7db47fd .+_(P|\d+)?HCV(_AV|_TL)?,"",PON_WEST_FC216_HCV_TL,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:02:36.888Z UTC
@p:ubcv:r:2646b99f-a905b050 Ponderosa West Unsorted Points PON_WEST_HP2_STG2_S_POLL_TL,"","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"",TL159,"",PON_WEST_HP2_STG2_S_POLL_TL,"","","","","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","","","","","","",ok,"","","",Number,2020-05-12T15:55:18.075-07:00 Los_Angeles,"","","",PON_WEST_HP2_STG2_S_POLL_TL,✓,"","","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","","","",PON_WEST_HP2_STG2_S_POLL_TL,Los_Angeles,_,"","","","","",2020-05-07T12:20:49.585Z UTC
@p:ubcv:r:23d4f831-3613e614 Ponderosa West Unsorted Points PON_WEST_BLR_2_ISO_VLV,"","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"",TL27,✓,PON_WEST_BLR_2_ISO_VLV,"","","","","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"","","","","","","",$equipRef $bmsName,"","","","","","","Closed,Open","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2019-12-23T12:24:22-08:00 Los_Angeles,"","",2,2019-01-29T13:01:35-08:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:55:18.529-07:00 Los_Angeles,"","","",PON_WEST_BLR_2_ISO_VLV,✓,BO1203,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","","","",PON_WEST_BLR_2_ISO_VLV_COV_TL,Los_Angeles,"","","","","","",2020-05-07T12:20:49.592Z UTC
@p:ubcv:r:23d4f819-e2841677 Ponderosa West Unsorted Points BTU_W_HP_HW_SWT_MUX,"","",@p:ubcv:r:23d4ee53-e3135191 PONDW 904.0 PONDEROSA WEST MAPLE (710000),"",TL31,✓,BTU_W_HP_HW_SWT_MUX,"","","","","",@p:ubcv:r:23d4ee53-e3135191 PONDW 904.0 PONDEROSA WEST MAPLE (710000),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","",138150,2019-01-17T03:50:00-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:47:41.311-07:00 Los_Angeles,"","","",BTU_W_HP_HW_SWT_MUX,✓,AV1042,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","","","",BTU_W_HP_HW_SWT_MUX_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:36.583Z UTC
@p:ubcv:r:23d4f831-27372444 Ponderosa West Unsorted Points P22 PON_WEST_DHW_TANK_1_2_P22_C,"","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"",TL21,✓,PON_WEST_DHW_TANK_1_2_P22_C,"","","",✓,"",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"","","","","","","",$equipRef $equipName $bmsName,"","","","","","","OFF,ON",P22,@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-04-28T12:28:28-07:00 Los_Angeles,"","",4,2018-10-09T10:57:30-07:00 Los_Angeles,ok,"",✓,"",Bool,2020-05-12T15:55:18.668-07:00 Los_Angeles,2019-01-23T16:53:21.23-08:00 Los_Angeles,"","",Run Cmd,"",BO3302,"","","","",✓,"","",✓,"","",✓,"","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","",@p:ubcv:r:244ba6df-17358a53 .+_PC?H?\d+[A-Z]?_P?C(_\d+)?(_TL)?,"",PON_WEST_DHW_TANK_1_2_P22C_COV_TL,Los_Angeles,"","","","",✓,"",2020-05-12T11:03:27.346Z UTC
@p:ubcv:r:23d4f819-9c947bea Ponderosa West Unsorted Points BTU_W_DRY_COOLER_KWH_ENERGY_TOTAL_MUX,"","",@p:ubcv:r:23d4ee53-e3135191 PONDW 904.0 PONDEROSA WEST MAPLE (710000),"",TL36,✓,BTU_W_DRY_COOLER_KWH_ENERGY_TOTAL_MUX,"","","","","",@p:ubcv:r:23d4ee53-e3135191 PONDW 904.0 PONDEROSA WEST MAPLE (710000),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","",46251,2019-01-16T11:15:00-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:47:41.318-07:00 Los_Angeles,"","","",BTU_W_DRY_COOLER_KWH_ENERGY_TOTAL_MUX,✓,AV1004,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","","","",MV_Pond-West_EM-W01-Energy,Los_Angeles,kWh,"","","","","",2020-04-09T19:02:36.584Z UTC
@p:ubcv:r:23d4fcac-f6a9d9a6 Ponderosa West Unsorted Points PON_WEST_HRV1_CHWDP,"","",@p:ubcv:r:23d4ef8b-d12e04e1 PONDW PON_WEST_HRV1_DC01_CP710300 (710300),"",TL30,✓,PON_WEST_HRV1_CHWDP,"","","","","",@p:ubcv:r:23d4ef8b-d12e04e1 PONDW PON_WEST_HRV1_DC01_CP710300 (710300),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:54:24-07:00 Los_Angeles,"","",127909,2019-01-17T03:55:48-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:58:00.988-07:00 Los_Angeles,"","","",PON_WEST_HRV1_CHWDP,✓,AI102,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","","","",PON_WEST_HRV1_CHW_DP_TL,Los_Angeles,psi,"","","","","",2020-04-09T19:02:37.1Z UTC
@p:ubcv:r:23d4fca5-6611abaa Ponderosa West Unsorted Points PON_WEST_HRV2_UNIT_ENAB,"","",@p:ubcv:r:23d4ef8b-468d255d PONDW PON_WEST_HRV2_HRV3_MUA2_CP710200 (710200),"",TL46,✓,PON_WEST_HRV2_UNIT_ENAB,"","","","","",@p:ubcv:r:23d4ef8b-468d255d PONDW PON_WEST_HRV2_HRV3_MUA2_CP710200 (710200),"","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-09T19:37:24-07:00 Los_Angeles,"","",94,2018-08-22T12:59:38-07:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:57:18.661-07:00 Los_Angeles,"","","",PON_WEST_HRV2_UNIT_ENAB,✓,BO2,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","","","",PON_WEST_HRV2_OAD_TL,Los_Angeles,"","","","","","",2020-04-08T18:54:06.483Z UTC
@p:ubcv:r:23d4f831-c06d04d7 Ponderosa West Unsorted Points PON_WEST_CHW_SUPPLY_LAG_SPD_FB_AV,"","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"",TL220,✓,PON_WEST_CHW_SUPPLY_LAG_SPD_FB_AV,"","","","","",@p:ubcv:r:23d4f568-be196e9a PONDW UBC PONDEROSA WEST RM B2003 (710100),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4f818-507e44da Ponderosa West Unsorted Points,✓,"","","","","","",@p:ubcv:r:23d4f818-414533f1 Ponderosa West Unsorted Points,"","",✓,"","","",2020-05-12T15:53:28-07:00 Los_Angeles,"","",43114,2019-01-17T22:14:04-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:55:20.308-07:00 Los_Angeles,"","","",PON_WEST_CHW_SUPPLY_LAG_SPD_FB_AV,✓,AV9,"","","","",✓,"","","","","","","","",@p:ubcv:r:20a65bf1-41636d82 Ponderosa West,"","","","","","","",PON_WEST_CHW_SUPPLY_LAG_SPD_FB_AV_POLL_TL,Los_Angeles,%,"","","","","",2020-05-07T12:20:49.653Z UTC
