id,bacnetConnRef,bacnetHis,bacnetPoint,bmsName,connRef,consumption,cur,curConvert,curStatus,curVal,disMacro,disabled,elec,energy,entering,enum,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,lastSynced,leaving,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,point,pointType,power,primaryLoop,quantityID,sensor,siemens,siteRef,sourceID,sqlConnRef,sqlPoint,sqlSource,submeterAdd,temp,tlName,toTag,tz,unit,unknownConn,utilityPoint,volume,water,mod
@p:ubcv:r:25547744-4b1079d5 Osborne Unsorted Points OCVA1VRT,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL194,✓,OCVA1VRT,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2019-10-25T11:19:47-07:00 Los_Angeles,"","","",1,2019-10-25T11:19:47-07:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:32.811-07:00 Los_Angeles,"",OCVA1VRT,✓,AV64,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_194,"",Los_Angeles,%,"","","","",2020-04-30T11:03:00.477Z UTC
@p:ubcv:r:25547744-90cb9241 Osborne Unsorted Points OCA2OT,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL134,✓,OCA2OT,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T15:44:55-07:00 Los_Angeles,"","","",4454,2019-10-31T16:11:58-07:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:33.744-07:00 Los_Angeles,"",OCA2OT,✓,AV49,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_134,"",Los_Angeles,°C,"","","","",2020-04-30T11:03:00.244Z UTC
@p:ubcv:r:25547744-5c0f97c6 Osborne Unsorted Points OCVA1HDB,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL184,✓,OCVA1HDB,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","OFF,ON",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T12:52:24-07:00 Los_Angeles,"","","",75,2019-10-25T11:19:47-07:00 Los_Angeles,ok,"","",Bool,2020-05-12T15:49:33.76-07:00 Los_Angeles,"",OCVA1HDB,✓,BV16,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_184,"",Los_Angeles,"","","","","",2020-04-30T11:03:00.511Z UTC
@p:ubcv:r:25547744-d177ac93 Osborne Unsorted Points OCVA4VRT,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL228,✓,OCVA4VRT,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2019-10-25T11:19:49-07:00 Los_Angeles,"","","",1,2019-10-25T11:19:49-07:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:32.845-07:00 Los_Angeles,"",OCVA4VRT,✓,AV69,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_228,"",Los_Angeles,%,"","","","",2020-04-30T11:03:00.48Z UTC
@p:ubcv:r:25547744-e3a76c64 Osborne Unsorted Points OCVA4VRT,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL229,✓,OCVA4VRT,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T15:49:31-07:00 Los_Angeles,"","","",221948,2019-11-05T08:09:48-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:33.775-07:00 Los_Angeles,"",OCVA4VRT,✓,AV69,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_229,"",Los_Angeles,%,"","","","",2020-04-09T19:01:56.556Z UTC
@p:ubcv:r:25547e6e-7aa844ae Osborne Unsorted Points OCA1SVFD,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL80,✓,OCA1SVFD,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","OFF,ON",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T15:49:25-07:00 Los_Angeles,"","","",221923,2019-11-05T08:39:42-08:00 Los_Angeles,ok,"","",Bool,2020-05-12T15:49:33.791-07:00 Los_Angeles,"",OCA1SVFD,✓,BV8,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_80,"",Los_Angeles,"","","","","",2020-02-12T22:07:58.403Z UTC
@p:ubcv:r:25547744-92a80a8c Osborne Unsorted Points OCA2NHS,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL266,✓,OCA2NHS,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T15:49:27-07:00 Los_Angeles,"","","",221948,2019-11-05T08:09:44-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:33.807-07:00 Los_Angeles,"",OCA2NHS,✓,AV86,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_266,"",Los_Angeles,°C,"","","","",2020-04-30T11:03:00.243Z UTC
@p:ubcv:r:25547744-46b0cae0 Osborne Unsorted Points OCA2MRCT,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL129,✓,OCA2MRCT,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T15:49:27-07:00 Los_Angeles,"","","",221948,2019-11-05T08:09:44-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:33.823-07:00 Los_Angeles,"",OCA2MRCT,✓,AV47,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_129,"",Los_Angeles,%,"","","","",2020-04-09T19:01:56.558Z UTC
@p:ubcv:r:25547744-9f088b81 Osborne Unsorted Points OCA1CD,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL10,✓,OCA1CD,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T14:01:05-07:00 Los_Angeles,"","","",2169,2019-11-02T10:11:13-07:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:33.839-07:00 Los_Angeles,"",OCA1CD,✓,AO0,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_10,"",Los_Angeles,%,"","","","",2020-04-30T11:02:59.569Z UTC
@p:ubcv:r:25547744-166f45b6 Osborne Unsorted Points OCA2BI,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),TL259,✓,OCA2BI,@p:ubcv:r:25547515-79db3a81 OSBORNE-01 (304200),"","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:255476fe-fd16d152 Osborne Unsorted Points,"",@p:ubcv:r:255476fe-6831a3ec Osborne Unsorted Points,✓,"","","",2020-05-12T15:49:26-07:00 Los_Angeles,"","","",221948,2019-11-05T08:09:43-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:33.855-07:00 Los_Angeles,"",OCA2BI,✓,AV79,"","","",✓,"","","","","",✓,@p:ubcv:r:2124b7f0-9de0697b Osborne,"","","","","","",APO_304200_TL_259,"",Los_Angeles,_,"","","","",2020-04-30T11:03:00.223Z UTC
