id,ahu,ahuMode,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,bypass,capacity,chilled,close,cmd,co,co2,condenser,connRef,cool,cooling,covTest,cur,curConvert,curStatus,curVal,current,damper,delta,deltaTempPoint,differential,disMacro,discharge,effective,elec,elecMeterLoad,emergency,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,feedback,filter,flow,groupRef,header,heat,heating,heatingMode,highLim,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,hvac,inMind,kind,lastSynced,lastTagged,leaving,level,lowLim,max,min,mixed,mode,motion,navName,noTagMatch,objectId,occ,occumancy,opcConnRef,opcCur,opcPoint,open,outside,perimeterHeat,point,pointType,pool,power,pressure,primaryLoop,primarySide,pump,quantityID,return,roomRef,run,runtime,scheduleOcc,secondaryLoop,secondarySide,sensor,shortName,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,tags,tank,temp,test2019,testUnits,tlName,tz,unit,utilityPoint,uv,valve,vavMode,volt,voltage,volume,water,waterMeterLoad,zone,zones,mod
@p:ubcv:r:22174be1-e06d1fa1 Aquatic Centre AHU-01 AqC_AHU1_SAT_CO_POLL_TL,"","","","","",@p:ubcv:r:21cb0172-b73e99bf AQUA Main Router (770000),"",TL326,✓,AqC_AHU1_SAT_CO_POLL_TL,"","","","","","","","",@p:ubcv:r:21cb0172-b73e99bf AQUA Main Router (770000),"","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2220ba05-add03185 Aquatic Centre AHU-01,✓,"","","","","",@p:ubcv:r:2203b248-4c49a08f Aquatic Centre Air Systems,"","","","","",✓,"","","",2020-05-12T11:00:47-07:00 Los_Angeles,"","","",576187,2018-02-14T06:22:35-08:00 Los_Angeles,ok,"","","","","",Number,2020-05-12T11:01:09.012-07:00 Los_Angeles,2018-11-28T16:32:58.54-08:00 Los_Angeles,"","","","","","","","",AqC_AHU1_SAT_CO_POLL_TL,✓,LP1,"","","","","","","","",✓,"","","","","","","","","","","","","","","","","",@p:ubcv:r:209ccd9c-f4873960 Aquatic Centre,"","","","","","","","","","","","",Los_Angeles,_,"","","","","","","","","","","",2020-04-09T19:15:27.804Z UTC
@p:ubcv:r:22174bdf-0346bf37 Aquatic Centre Unsorted Points AqC_TX_BM2_PWR_MTR_PHASE_C_REACTIVE_POWER,"","","","","",@p:ubcv:r:21cb01a2-ea35ad39 AqC AqC eBMGR BSMT Systems (770500),"",TL992,✓,AqC_TX_BM2_PWR_MTR_PHASE_C_REACTIVE_POWER,"","","","","","","","",@p:ubcv:r:21cb01a2-ea35ad39 AqC AqC eBMGR BSMT Systems (770500),"","","","","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","","",@p:ubcv:r:2275204e-26f14f81 Aquatic Centre Unsorted Points,✓,"","","","","",@p:ubcv:r:22399dc2-20e826e4 Aquatic Centre Unsorted Points,"","","","","",✓,"","",VAR => kW,2020-05-12T11:05:18-07:00 Los_Angeles,"","","",575389,2018-02-14T06:12:53-08:00 Los_Angeles,ok,"","","","","",Number,2020-05-12T11:05:35.684-07:00 Los_Angeles,2019-01-23T16:53:16.372-08:00 Los_Angeles,"","","","","","","","",Power,"",AV983,"","","","","","","","",✓,"","",✓,"","","","","","","","","","","","",✓,"",@p:ubcv:r:209ccd9c-f4873960 Aquatic Centre,"","","","","",@p:ubcv:r:23e65d0f-1a1d5719 .+_POWER(_TL)?,"","","","","",AqC_TX_BM2_PWR_MTR_PHASE_C_REACTIVE_POWER_POLL_TL,Los_Angeles,kW,"","","","","","","","","","","",2020-04-21T20:27:39.569Z UTC
@p:ubcv:r:2220c121-56d98ac6 Aquatic Centre Rm 201 EF-05 AqC_EF05_S_BV,"","",✓,"","",@p:ubcv:r:220f7dfd-96fb25ec AqC AqC eBCON Pool Storage (770400),"",TL95,✓,AqC_EF05_S_BV,"","","","","","","","",@p:ubcv:r:220f7dfd-96fb25ec AqC AqC eBCON Pool Storage (770400),"","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:2220c3a0-629b8a20 Aquatic Centre Rm 201 EF-05,✓,✓,✓,"","","",@p:ubcv:r:220fb223-b952a678 Aquatic Centre Floor 2,"","","","","",✓,"","","",2020-05-12T07:00:45-07:00 Los_Angeles,"","","",1668,2018-02-16T22:00:23-08:00 Los_Angeles,ok,"","","","","",Bool,2020-05-12T11:07:36.413-07:00 Los_Angeles,2018-11-28T16:32:36.554-08:00 Los_Angeles,"","","","","","","","","Exhaust Fan Run ","",BV18,"","","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:2220c3a0-b09c90da Aquatic Centre Rm 201,✓,"","","","",✓,"",@p:ubcv:r:209ccd9c-f4873960 Aquatic Centre,"","","","","",@p:ubcv:r:24413a2c-c7fd0c25 (.+_)?EF_?(\d+)?(_A_\d+)?_F?S(_.+)?(_TL)?,"","","","","",AqC_EF05_S_BV_COV_TL,Los_Angeles,"","","","","","","","","","","","",2020-04-08T18:54:46.239Z UTC
@p:ubcv:r:22174bdc-0553bd25 Aquatic Centre Unsorted Points AqC_WM6_MTR_THIS_JUL,"","","","","",@p:ubcv:r:21cb01a2-ea35ad39 AqC AqC eBMGR BSMT Systems (770500),"",TL1179,✓,AqC_WM6_MTR_THIS_JUL,"","","","","","","","",@p:ubcv:r:21cb01a2-ea35ad39 AqC AqC eBMGR BSMT Systems (770500),"","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2275204e-26f14f81 Aquatic Centre Unsorted Points,✓,"","","","","",@p:ubcv:r:22399dc2-20e826e4 Aquatic Centre Unsorted Points,"","","","","",✓,"","","",2020-05-12T11:05:18-07:00 Los_Angeles,"","","",575655,2018-02-14T05:50:39-08:00 Los_Angeles,ok,"","","","","",Number,2020-05-12T11:05:37.582-07:00 Los_Angeles,2018-11-28T16:32:58.529-08:00 Los_Angeles,"","","","","","","","",AqC_WM6_MTR_THIS_JUL,✓,AV329,"","","","","","","","",✓,"","","","","","","","","","","","","","","","","",@p:ubcv:r:209ccd9c-f4873960 Aquatic Centre,"","","","","","","","","","","",AqC_WM6_MTR_THIS_JUL_POLL_TL,Los_Angeles,L,"","","","","","","","","","","",2020-04-09T19:02:43.201Z UTC
@p:ubcv:r:22174a39-0217e18d Aquatic Centre Unsorted Points AqC_WFCP_PF4_BACKWASH_REQUIRED_BV_MUXED_CP770300,"","","","","",@p:ubcv:r:220f7dfd-8f560649 AqC AqC eBCON WFCP (770300),"",TL69,✓,AqC_WFCP_PF4_BACKWASH_REQUIRED_BV_MUXED_CP770300,"","","","","","","","",@p:ubcv:r:220f7dfd-8f560649 AqC AqC eBCON WFCP (770300),"","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:2275204e-26f14f81 Aquatic Centre Unsorted Points,✓,"","","","","",@p:ubcv:r:22399dc2-20e826e4 Aquatic Centre Unsorted Points,"","","","","",✓,"","","",2019-12-19T15:11:14-08:00 Los_Angeles,"","","",329,2017-12-13T08:37:41-08:00 Los_Angeles,ok,"","","","","",Bool,2020-05-12T11:07:36.2-07:00 Los_Angeles,2018-11-28T16:32:38.002-08:00 Los_Angeles,"","","","","","","","",AqC_WFCP_PF4_BACKWASH_REQUIRED_BV_MUXED_CP770300,✓,BV28,"","","","","","","","",✓,"","","","","","","","","","","","","","","","","",@p:ubcv:r:209ccd9c-f4873960 Aquatic Centre,"","","","","","","","","","","",AqC_WFCP_PF4_BACKWASH_REQUIRED_BV_MUXED_CP770300_COV_TL,Los_Angeles,"","","","","","","","","","","","",2020-04-08T18:54:24.34Z UTC
@p:ubcv:r:22174be2-61123e40 Aquatic Centre AHU-03 AqC_AHU3_UNI_CHG_RM_RAD,"","",✓,"","",@p:ubcv:r:21cb0172-b73e99bf AQUA Main Router (770000),"",TL97,✓,AqC_AHU3_UNI_CHG_RM_RAD,"","","","",✓,"","","",@p:ubcv:r:21cb0172-b73e99bf AQUA Main Router (770000),"","","","","","","","",✓,"","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2220ba73-8ac3c405 Aquatic Centre AHU-03,✓,"","","","","",@p:ubcv:r:2203b248-4c49a08f Aquatic Centre Air Systems,"","","","","",✓,"","","",2020-05-12T11:00:59-07:00 Los_Angeles,"","","",576425,2018-02-14T06:00:36-08:00 Los_Angeles,ok,"","","","","",Number,2020-05-12T11:01:09.402-07:00 Los_Angeles,2019-01-23T16:53:15.789-08:00 Los_Angeles,"","","","","","","","",Return Air Damper Cmd,"",AO2204,"","","","","","","","",✓,"","","","","","","","",✓,"","","","","","","","",@p:ubcv:r:209ccd9c-f4873960 Aquatic Centre,"","","","","",@p:ubcv:r:23e65d0f-a354a86b .+_RAD(_TL)?,"","","","","",AqC_AHU3_UNI_CHG_RM_RAD_POLL_TL,Los_Angeles,%,"","","","","","","","","","","",2020-04-09T19:02:42.128Z UTC
@p:ubcv:r:22174a3a-b838678f Aquatic Centre Rainwater Harvesting System AqC_RWH_LAG_SUMP_PUMP_ENAB_BV,"","","","","",@p:ubcv:r:220f7dfd-96fb25ec AqC AqC eBCON Pool Storage (770400),"",TL102,✓,AqC_RWH_LAG_SUMP_PUMP_ENAB_BV,"","","","",✓,"","","",@p:ubcv:r:220f7dfd-96fb25ec AqC AqC eBCON Pool Storage (770400),"","","","","","","","","","","","",$equipRef $bmsName,"","","","","",✓,"","","OFF,ON","",@p:ubcv:r:2220ba9a-a95a9bf7 Aquatic Centre Rainwater Harvesting System,✓,"","","","","",@p:ubcv:r:22178d4c-e4a410c4 Aquatic Centre Hydronic Systems,"","","","","",✓,"","","",2019-10-30T06:41:34-07:00 Los_Angeles,"","","",12418,2018-02-12T00:19:04-08:00 Los_Angeles,ok,"","","","","",Bool,2020-05-12T11:07:36.192-07:00 Los_Angeles,2019-01-23T16:53:20.058-08:00 Los_Angeles,"","","","","","","","",Enable Cmd,"",BV4,"","","","","","","","",✓,"","","","","","","","","","","","","","","","","",@p:ubcv:r:209ccd9c-f4873960 Aquatic Centre,"","","","","",@p:ubcv:r:25f55206-e97a42dc .+_ENAB_BV(_TL)?,"","","","","",AqC_RWH_LAG_SUMP_PUMP_ENAB_BV_COV_TL,Los_Angeles,"","","","","","","","","","","","",2020-04-08T18:49:19.219Z UTC
@p:ubcv:r:26077816-ec8aa68e Aquatic Centre Unsorted Points AqC_OAH,"","",✓,"","",@p:ubcv:r:21cb0172-b73e99bf AQUA Main Router (770000),"",TL8,"",AqC_OAH,"","","","","","","","",@p:ubcv:r:21cb0172-b73e99bf AQUA Main Router (770000),"","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2275204e-26f14f81 Aquatic Centre Unsorted Points,✓,"","","","","",@p:ubcv:r:22399dc2-20e826e4 Aquatic Centre Unsorted Points,"","","","","",✓,"","","",2020-05-12T10:59:51-07:00 Los_Angeles,"","","",15525,2020-03-19T13:10:57-07:00 Los_Angeles,ok,"","",✓,"","",Number,2020-05-12T11:01:08.674-07:00 Los_Angeles,"","","","","","","","","",Outside Air Humidity,"",AI1204,"","","","","","",✓,"",✓,"","","","","","","","","","","","","","","",✓,"",@p:ubcv:r:209ccd9c-f4873960 Aquatic Centre,"","","","","",@p:ubcv:r:23e65d0f-e7b27bd6 .+_OAH(\d)?(_AV)?(_TL)?,"","","","","",AqC_OAH_POLL_TL,Los_Angeles,%RH,"","","","","","","","","","","",2020-04-09T19:02:42.129Z UTC
@p:ubcv:r:22174bdc-20d2eb0d Aquatic Centre Unsorted Points AqC_WM6_MTR_THIS_NOV,"","","","","",@p:ubcv:r:21cb01a2-ea35ad39 AqC AqC eBMGR BSMT Systems (770500),"",TL1183,✓,AqC_WM6_MTR_THIS_NOV,"","","","","","","","",@p:ubcv:r:21cb01a2-ea35ad39 AqC AqC eBMGR BSMT Systems (770500),"","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2275204e-26f14f81 Aquatic Centre Unsorted Points,✓,"","","","","",@p:ubcv:r:22399dc2-20e826e4 Aquatic Centre Unsorted Points,"","","","","",✓,"","","",2020-05-12T11:05:10-07:00 Los_Angeles,"","","",575179,2018-02-14T05:38:38-08:00 Los_Angeles,ok,"","","","","",Number,2020-05-12T11:05:32.41-07:00 Los_Angeles,2018-11-28T16:32:56.331-08:00 Los_Angeles,"","","","","","","","",AqC_WM6_MTR_THIS_NOV,✓,AV333,"","","","","","","","",✓,"","","","","","","","","","","","","","","","","",@p:ubcv:r:209ccd9c-f4873960 Aquatic Centre,"","","","","","","","","","","",AqC_WM6_MTR_THIS_NOV_POLL_TL,Los_Angeles,L,"","","","","","","","","","","",2020-04-09T19:02:43.205Z UTC
@p:ubcv:r:22174bde-2a1b311e Aquatic Centre Hot Tub AqC_HOT_TUB_HIGH_TEMP_ALARM_BV,"","","","","",@p:ubcv:r:21cb01a2-ea35ad39 AqC AqC eBMGR BSMT Systems (770500),"",TL766,✓,AqC_HOT_TUB_HIGH_TEMP_ALARM_BV,"","","","","","","","",@p:ubcv:r:21cb01a2-ea35ad39 AqC AqC eBMGR BSMT Systems (770500),"","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:2220ba99-a6114989 Aquatic Centre Hot Tub,✓,"","","","","",@p:ubcv:r:2217879b-57ff289f Aquatic Centre Pools,"","","","","",✓,"","","",2020-01-08T08:05:25-08:00 Los_Angeles,"","","",3,2019-01-23T10:32:21-08:00 Los_Angeles,ok,"","","","","",Bool,2020-05-12T11:05:28.416-07:00 Los_Angeles,2018-11-28T16:32:36.512-08:00 Los_Angeles,"","","","","","","","",AqC_HOT_TUB_HIGH_TEMP_ALARM_BV,✓,BV81,"","","","","","","","",✓,"","","","","","","","","","","","","","","","","",@p:ubcv:r:209ccd9c-f4873960 Aquatic Centre,"","","","","","","","","","","",AqC_HOT_TUB_HIGH_TEMP_ALARM_BV_COV_TL,Los_Angeles,"","","","","","","","","","","","",2020-04-08T18:49:57.853Z UTC
@p:ubcv:r:22174bde-5db59fde Aquatic Centre Pool-25M AqC_25M_PL_DCW_VLV_S_BV,"","","","","",@p:ubcv:r:21cb01a2-ea35ad39 AqC AqC eBMGR BSMT Systems (770500),"",TL847,✓,AqC_25M_PL_DCW_VLV_S_BV,"","","","","","","","",@p:ubcv:r:21cb01a2-ea35ad39 AqC AqC eBMGR BSMT Systems (770500),"","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:2220ba99-75db63ca Aquatic Centre Pool-25M,✓,"","","","","",@p:ubcv:r:2217879b-57ff289f Aquatic Centre Pools,"","","","","",✓,"","","",2020-05-12T10:39:52-07:00 Los_Angeles,"","","",19926,2018-02-13T00:44:07-08:00 Los_Angeles,ok,"","","","","",Bool,2020-05-12T11:05:29.661-07:00 Los_Angeles,2018-11-28T16:32:27.385-08:00 Los_Angeles,"","","","","","","","",AqC_25M_PL_DCW_VLV_S_BV,✓,BV114,"","","","","","","","",✓,"",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:209ccd9c-f4873960 Aquatic Centre,"","","","","","","","","","","",AqC_25M_PL_DCW_VLV_S_BV_COV_TL,Los_Angeles,"","","","","","","","","","","","",2020-04-08T18:50:13.768Z UTC
@p:ubcv:r:22174bdd-7a46e03f Aquatic Centre Hot Tub AqC_HOT_TUB_PWS_FLW_SW_C1,"","","","","",@p:ubcv:r:21cb01a2-ea35ad39 AqC AqC eBMGR BSMT Systems (770500),"",TL531,✓,AqC_HOT_TUB_PWS_FLW_SW_C1,"","","","","","","","",@p:ubcv:r:21cb01a2-ea35ad39 AqC AqC eBMGR BSMT Systems (770500),"","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:2220ba99-a6114989 Aquatic Centre Hot Tub,✓,"","","","","",@p:ubcv:r:2217879b-57ff289f Aquatic Centre Pools,"","","","","",✓,"","","",2020-03-25T10:26:50-07:00 Los_Angeles,"","","",192,2018-02-08T16:44:05-08:00 Los_Angeles,ok,"","","","","",Bool,2020-05-12T11:05:28.809-07:00 Los_Angeles,2018-11-28T16:32:57.667-08:00 Los_Angeles,"","","","","","","","",AqC_HOT_TUB_PWS_FLW_SW_C1,✓,BI3601,"","","","","","","","",✓,"","","","","","","","","","","","","","","","","",@p:ubcv:r:209ccd9c-f4873960 Aquatic Centre,"","","","","","","","","","","",AqC_HOT_TUB_PWS_FLW_SW_C1_COV_TL,Los_Angeles,"","","","","","","","","","","","",2020-04-08T18:49:41.511Z UTC
@p:ubcv:r:22174974-98ad63eb Aquatic Centre AHU-02 AqC_AHU2_DUCT_CC_T,"","","","","","@p:ubcv:r:220f62bc-80f6c342 AqC AqC eBCON Mezz AHU2,4 & CHS (770100)","",TL10,✓,AqC_AHU2_DUCT_CC_T,"","","","","","","","","@p:ubcv:r:220f62bc-80f6c342 AqC AqC eBCON Mezz AHU2,4 & CHS (770100)","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2220ba73-495768a3 Aquatic Centre AHU-02,✓,"","","","","",@p:ubcv:r:2203b248-4c49a08f Aquatic Centre Air Systems,"","","","","",✓,"","","",2020-05-12T10:58:55-07:00 Los_Angeles,"","","",234219,2018-02-13T18:59:54-08:00 Los_Angeles,ok,"","","","","",Number,2020-05-12T11:01:37.408-07:00 Los_Angeles,2018-11-28T16:32:27.431-08:00 Los_Angeles,"","","","","","","","",AqC_AHU2_DUCT_CC_T,✓,AI1301,"","","","","","","","",✓,"","","","","","","","","","","","","","","","","",@p:ubcv:r:209ccd9c-f4873960 Aquatic Centre,"","","","","","","","","","","",AqC_AHU2_DUCT_CC_T_POLL_TL,Los_Angeles,°C,"","","","","","","","","","","",2020-04-30T13:07:27.689Z UTC
@p:ubcv:r:22174be1-c7c046a7 Aquatic Centre AHU-03 AqC_AHU3_FEMALE_CHG_RM_SAD_FB_AL_BV,"","","",✓,"",@p:ubcv:r:21cb0172-b73e99bf AQUA Main Router (770000),"",TL302,✓,AqC_AHU3_FEMALE_CHG_RM_SAD_FB_AL_BV,"","","","","","","","",@p:ubcv:r:21cb0172-b73e99bf AQUA Main Router (770000),"","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:2220ba73-8ac3c405 Aquatic Centre AHU-03,✓,"","","","","",@p:ubcv:r:2203b248-4c49a08f Aquatic Centre Air Systems,"","","","","",✓,"","","",2020-04-17T10:37:22-07:00 Los_Angeles,"","","",3057,2018-02-09T22:00:40-08:00 Los_Angeles,ok,"","","","","",Bool,2020-05-12T11:01:08.135-07:00 Los_Angeles,2018-11-28T16:33:01.494-08:00 Los_Angeles,"","","","","","","","",Alarm,"",BV26,"","","","","","","","",✓,"","","","","","","","","","","","","","","",✓,"",@p:ubcv:r:209ccd9c-f4873960 Aquatic Centre,"","","","","",@p:ubcv:r:245ce60e-528dc0fe .+_AL_BV(_TL)?,"","","","","",AqC_AHU3_FEMALE_CHG_RM_SAD_FB_AL_BV_COV_TL,Los_Angeles,"","","","","","","","","","","","",2020-04-08T18:49:04.745Z UTC
@p:ubcv:r:25bc8790-37ebd0ce Aquatic Centre Unsorted Points AqC_AHU2_SF_VFD_SPD_MIN,"","","","","","@p:ubcv:r:220f62bc-80f6c342 AqC AqC eBCON Mezz AHU2,4 & CHS (770100)","",TL681,"",AqC_AHU2_SF_VFD_SPD_MIN,"","","","","","","","","@p:ubcv:r:220f62bc-80f6c342 AqC AqC eBCON Mezz AHU2,4 & CHS (770100)","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2275204e-26f14f81 Aquatic Centre Unsorted Points,✓,"","","","","",@p:ubcv:r:22399dc2-20e826e4 Aquatic Centre Unsorted Points,"","","","","",✓,"","","",2020-05-12T10:59:09-07:00 Los_Angeles,"","","",31723,2020-01-22T15:55:15-08:00 Los_Angeles,ok,"","","","","",Number,2020-05-12T11:01:37.635-07:00 Los_Angeles,"","","","","","","","","",AqC_AHU2_SF_VFD_SPD_MIN,✓,AV661,"","","","","","","","",✓,"","","","","","","","","","","","","","","","","",@p:ubcv:r:209ccd9c-f4873960 Aquatic Centre,"","","","","","","","","","","",AqC_AHU2_SF_VFD_SPD_MIN_POLL_TL,Los_Angeles,%,"","","","","","","","","","","",2020-04-30T13:07:27.919Z UTC
@p:ubcv:r:22174976-0ceb64a9 Aquatic Centre AHU-02 AqC_AHU2_RAH,"","",✓,"","","@p:ubcv:r:220f62bc-80f6c342 AqC AqC eBCON Mezz AHU2,4 & CHS (770100)","",TL7,✓,AqC_AHU2_RAH,"","","","","","","","","@p:ubcv:r:220f62bc-80f6c342 AqC AqC eBCON Mezz AHU2,4 & CHS (770100)","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2220ba73-495768a3 Aquatic Centre AHU-02,✓,"","","","","",@p:ubcv:r:2203b248-4c49a08f Aquatic Centre Air Systems,"","","","","",✓,"","","",2020-05-12T10:58:58-07:00 Los_Angeles,"","","",234289,2018-02-13T19:14:50-08:00 Los_Angeles,ok,"","",✓,"","",Number,2020-05-12T11:01:37.423-07:00 Los_Angeles,2019-01-23T16:53:22.592-08:00 Los_Angeles,"","","","","","","","",Return Air Humidity,"",AI1201,"","","","","","","","",✓,"","","","","","","","",✓,"","","","","","",✓,"",@p:ubcv:r:209ccd9c-f4873960 Aquatic Centre,"","","","","",@p:ubcv:r:23e65d0f-1ab78ed1 .+_RAH(_TL)?,"","","","","",AqC_AHU2_RAH_POLL_TL,Los_Angeles,%RH,"","","","","","","","","","","",2020-04-30T13:07:27.694Z UTC
@p:ubcv:r:22174bdc-83042101 Aquatic Centre DES Connection HX-4 AqC_DHW_HX4_PRI_EWT,"","","","","",@p:ubcv:r:21cb01a2-ea35ad39 AqC AqC eBMGR BSMT Systems (770500),"",TL2,✓,AqC_DHW_HX4_PRI_EWT,"","","","","","","","",@p:ubcv:r:21cb01a2-ea35ad39 AqC AqC eBMGR BSMT Systems (770500),"","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","",✓,"","",@p:ubcv:r:2230985d-f9b4f140 Aquatic Centre DES Connection HX-4,✓,"","","","","",@p:ubcv:r:22178d4c-e4a410c4 Aquatic Centre Hydronic Systems,"","","","","",✓,"","","",2020-05-12T11:04:44-07:00 Los_Angeles,"","","",576242,2018-02-14T06:01:36-08:00 Los_Angeles,ok,"",✓,"","","",Number,2020-05-12T11:05:30.765-07:00 Los_Angeles,2019-01-23T16:53:07.285-08:00 Los_Angeles,"","","","","","","","",Pri Entering Hot Water Temp,"",AI1102,"","","","","","","","",✓,"","","","",✓,✓,"","","","","","","","","",✓,"",@p:ubcv:r:209ccd9c-f4873960 Aquatic Centre,"","","","","",@p:ubcv:r:24119893-fa427df0 .+_(PHE\d|HX\d)_PRI_EWT(_TL)?,"","",✓,"","",AqC_DHW_HX4_PRI_EWT_POLL_TL,Los_Angeles,°C,"","","","","","","",✓,"","","",2020-04-09T19:02:43.207Z UTC
@p:ubcv:r:22174975-163fb0d8 Aquatic Centre AHU-02 SF AqC_AHU2_SF_VFD_ENAB_BV,"","","","","","@p:ubcv:r:220f62bc-80f6c342 AqC AqC eBCON Mezz AHU2,4 & CHS (770100)","",TL424,✓,AqC_AHU2_SF_VFD_ENAB_BV,"","","","",✓,"","","","@p:ubcv:r:220f62bc-80f6c342 AqC AqC eBCON Mezz AHU2,4 & CHS (770100)","","","","","","","","","","","","",$equipRef $bmsName,"","","",@p:ubcv:r:209ccd9c-246d318e Aquatic Centre Elec Main Meter,"",✓,"","","OFF,ON","",@p:ubcv:r:222c7004-62089af7 Aquatic Centre AHU-02 SF,✓,"","","","","",@p:ubcv:r:2203b248-4c49a08f Aquatic Centre Air Systems,"","","","","",✓,"","","",2020-01-21T10:49:13-08:00 Los_Angeles,"","","",75,2017-05-24T00:10:30-07:00 Los_Angeles,ok,"","","","","",Bool,2020-05-12T11:01:36.118-07:00 Los_Angeles,2019-01-23T16:53:28.172-08:00 Los_Angeles,"","","","","","","","",Enable Cmd,"",BV5,"","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","",@p:ubcv:r:209ccd9c-f4873960 Aquatic Centre,"","","","","",@p:ubcv:r:25f55206-e97a42dc .+_ENAB_BV(_TL)?,"","","","","",AqC_AHU2_SF_VFD_ENAB_BV_COV_TL,Los_Angeles,"","","","","","","","","","","","",2020-04-30T13:07:28.242Z UTC
@p:ubcv:r:22174bdc-cc1237d3 Aquatic Centre Unsorted Points AqC_WM5_MTR_THIS_MAR,"","","","","",@p:ubcv:r:21cb01a2-ea35ad39 AqC AqC eBMGR BSMT Systems (770500),"",TL1159,✓,AqC_WM5_MTR_THIS_MAR,"","","","","","","","",@p:ubcv:r:21cb01a2-ea35ad39 AqC AqC eBMGR BSMT Systems (770500),"","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2275204e-26f14f81 Aquatic Centre Unsorted Points,✓,"","","","","",@p:ubcv:r:22399dc2-20e826e4 Aquatic Centre Unsorted Points,"","","","","",✓,"","","",2020-05-12T11:05:24-07:00 Los_Angeles,"","","",576144,2018-02-14T05:46:19-08:00 Los_Angeles,ok,"","","","","",Number,2020-05-12T11:05:38.722-07:00 Los_Angeles,2018-11-28T16:32:35.849-08:00 Los_Angeles,"","","","","","","","",AqC_WM5_MTR_THIS_MAR,✓,AV289,"","","","","","","","",✓,"","","","","","","","","","","","","","","","","",@p:ubcv:r:209ccd9c-f4873960 Aquatic Centre,"","","","","","","","","","","",AqC_WM5_MTR_THIS_MAR_POLL_TL,Los_Angeles,L,"","","","","","","","","","","",2020-04-09T19:02:43.208Z UTC
@p:ubcv:r:22174975-4e102c18 Aquatic Centre AHU-02 AqC_AHU2_CO2_AVG,"","",✓,"","","@p:ubcv:r:220f62bc-80f6c342 AqC AqC eBCON Mezz AHU2,4 & CHS (770100)","",TL325,✓,AqC_AHU2_CO2_AVG,"","","","","","",✓,"","@p:ubcv:r:220f62bc-80f6c342 AqC AqC eBCON Mezz AHU2,4 & CHS (770100)","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2220ba73-495768a3 Aquatic Centre AHU-02,✓,"","","","","",@p:ubcv:r:2203b248-4c49a08f Aquatic Centre Air Systems,"","","","","",✓,"","","",2020-05-12T11:01:29-07:00 Los_Angeles,"","","",575679,2018-02-14T05:11:32-08:00 Los_Angeles,ok,"","","","","",Number,2020-05-12T11:01:43.538-07:00 Los_Angeles,2019-01-23T16:53:22.329-08:00 Los_Angeles,"","","","","","","","",Average Zone CO2,"",AV30,"","","","","","","","",✓,"","","","","","","","","","","","","","","",✓,"",@p:ubcv:r:209ccd9c-f4873960 Aquatic Centre,"","","","","",@p:ubcv:r:24423541-893429e8 .+_CO2_AVG(_TL)?,"","","","","",AqC_AHU2_CO2_AVG_POLL_TL,Los_Angeles,ppm,"","","","","","","","","",✓,✓,2020-04-30T13:07:27.843Z UTC
