id,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,cmd,connRef,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,disMacro,discharge,domestic,effective,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,feedback,flow,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,jci,kind,lastSynced,lastTagged,leaving,low,mixed,navName,noTagMatch,objectId,outside,point,power,pump,quantityID,return,run,scheduleOcc,sensor,siteRef,sourceID,sp,sqlConnRef,sqlPoint,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,water,zachName,zone,mod
@p:ubcv:r:238b49f8-e31ae349 Old Auditorium Unsorted Points JCL-NAE27/BACnet1.WiFi CAS gateway.Freidman.AI-48,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000617,✓,JCL-NAE27/BACnet1.WiFi CAS gateway.Freidman.AI-48,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2019-02-01T15:35:00-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [138] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",19876,2018-11-23T11:35:00-08:00 Los_Angeles,fault,"","",✓,Number,2020-05-12T15:01:45.377-07:00 Los_Angeles,2018-11-25T13:45:23.801-08:00 Los_Angeles,"","","",JCL-NAE27/BACnet1.WiFi CAS gateway.Freidman.AI-48,✓,AI3000616,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","","",Los_Angeles,_,"","","","","",2020-04-30T11:06:01.677Z UTC
@p:ubcv:r:238b49f8-edaba963 Old Auditorium Unsorted Points JCL-NAE27/FCB.01A-FEC006.SABYP-O,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000200,✓,JCL-NAE27/FCB.01A-FEC006.SABYP-O,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",25509,2018-11-22T16:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:51:08.545-07:00 Los_Angeles,2018-11-25T13:45:24.029-08:00 Los_Angeles,"","","",JCL-NAE27/FCB.01A-FEC006.SABYP-O,✓,AO3000199,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","",JCL-NAE27/FCB.01A-FEC006.SABYP-O.Trend1,Los_Angeles,_,"","","",OldAud.AHU2.SABYP-O,"",2020-04-30T11:06:01.682Z UTC
@p:ubcv:r:238b49f8-e9c57f2d Old Auditorium Unsorted Points JCL-NAE27/FCB.01A-FEC005.SF-C,✓,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000115,✓,JCL-NAE27/FCB.01A-FEC005.SF-C,✓,@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,✓,"","","","","","Off,On","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"",✓,"","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-11T17:02:02-07:00 Los_Angeles,"","","",1041,2018-11-18T22:02:03-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:51:08.241-07:00 Los_Angeles,2018-12-07T09:45:36.078-08:00 Los_Angeles,"","","",Discharge Fan Run Cmd,"",BO3000114,"",✓,"","","","",✓,"","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","",@p:ubcv:r:23e65d3d-2b48d00a .+(\.|-| )SF(\d+)?-C,"",JCL-NAE27/FCB.01A-FEC005.SF-C.Trend1,Los_Angeles,"","","","",OldAud.AHU1.SF-C,"",2020-04-30T11:06:01.686Z UTC
@p:ubcv:r:238b49f8-b98c6a9e Old Auditorium Unsorted Points JCL-NAE27/FCB.Local Application.HWS-T,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000050,✓,JCL-NAE27/FCB.Local Application.HWS-T,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",25509,2018-11-22T16:00:00-08:00 Los_Angeles,ok,"",✓,✓,Number,2020-05-12T15:51:08.555-07:00 Los_Angeles,2018-12-07T09:45:30.704-08:00 Los_Angeles,✓,"","",Leaving Hot Water Temp,"",AI3000048,"",✓,"","","","","","",✓,@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","",@p:ubcv:r:23e65d3d-654bc1a2 .+(\.|-|_| )HWS\d?-T,✓,JCL-NAE27/FCB.Local Application.HWS-T.Trend1,Los_Angeles,°C,"","",✓,OldAud.HW.HWS-T,"",2020-04-30T11:06:01.69Z UTC
@p:ubcv:r:238b49f8-e8a88c54 Old Auditorium Unsorted Points JCL-NAE27/FCB.01A-FEC006.DA-T,✓,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000186,✓,JCL-NAE27/FCB.01A-FEC006.DA-T,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",25509,2018-11-22T16:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:51:08.564-07:00 Los_Angeles,2018-12-07T09:45:31.935-08:00 Los_Angeles,"","","",Discharge Air Temp,"",AI3000185,"",✓,"","","","","","",✓,@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,✓,JCL-NAE27/FCB.01A-FEC006.DA-T.Trend1,Los_Angeles,°C,"","","",OldAud.AHU2.DA-T,"",2020-04-30T11:06:01.694Z UTC
@p:ubcv:r:238b49f8-fddaa48f Old Auditorium Unsorted Points JCL-NAE27/FCB.01A-FEC006.RF-S,✓,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000160,✓,JCL-NAE27/FCB.01A-FEC006.RF-S,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","Off,On","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"",✓,"","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-11T17:01:38-07:00 Los_Angeles,"","","",1037,2018-11-18T22:01:38-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:51:08.215-07:00 Los_Angeles,2018-12-07T09:45:31.952-08:00 Los_Angeles,"","","",Return Fan Run Status,"",BI3000158,"",✓,"","","",✓,✓,"",✓,@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","",@p:ubcv:r:23e65d3d-f0fa345b .+(\.|-| )RF(\d?)-S,"",JCL-NAE27/FCB.01A-FEC006.RF-S.Trend1,Los_Angeles,"","","","",OldAud.AHU2.RF-S,"",2020-04-30T11:06:01.699Z UTC
@p:ubcv:r:238b49f8-227d12dc Old Auditorium Unsorted Points JCL-NAE27/FCB.Local Application.F1-S,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000079,✓,JCL-NAE27/FCB.Local Application.F1-S,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","Off,On","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-11T17:01:39-07:00 Los_Angeles,"","","",1044,2018-11-18T21:51:40-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:51:08.221-07:00 Los_Angeles,2018-11-25T13:45:23.279-08:00 Los_Angeles,"","","",JCL-NAE27/FCB.Local Application.F1-S,✓,BI3000077,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","",JCL-NAE27/FCB.Local Application.F1-S.Trend1,Los_Angeles,"","","","",OldAud.EF.F1-S,"",2020-04-30T11:06:01.825Z UTC
@p:ubcv:r:238b49f8-433beec4 Old Auditorium Unsorted Points JCL-NAE27/FCB.01A-FEC005.HTG-O,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000125,✓,JCL-NAE27/FCB.01A-FEC005.HTG-O,✓,@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,✓,✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",25509,2018-11-22T16:00:00-08:00 Los_Angeles,ok,"",✓,✓,Number,2020-05-12T15:51:08.571-07:00 Los_Angeles,2018-12-07T09:45:31.977-08:00 Los_Angeles,"","","",Heating Valve Cmd,"",AO3000124,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"",JCL-NAE27/FCB.01A-FEC005.HTG-O.Trend1,Los_Angeles,_,"",✓,✓,OldAud.AHU1.HTG-O,"",2020-04-30T11:06:01.83Z UTC
@p:ubcv:r:238b49f8-5470b028 Old Auditorium Unsorted Points JCL-NAE27/Programming.Alarm test module.Test alarm,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000629,✓,JCL-NAE27/Programming.Alarm test module.Test alarm,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","Inactive,Active","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-04-09T04:29:30-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [139] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",10,2018-12-20T12:39:16-08:00 Los_Angeles,fault,"","",✓,Bool,2020-05-12T15:01:45.382-07:00 Los_Angeles,2018-11-25T13:45:23.788-08:00 Los_Angeles,"","","",JCL-NAE27/Programming.Alarm test module.Test alarm,✓,BV3000627,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","",JCL-NAE27/Programming.Alarm test module.Test alarm.Trend1,Los_Angeles,"","","","","","",2020-04-30T11:06:01.835Z UTC
@p:ubcv:r:238b49f8-93c06279 Old Auditorium Unsorted Points JCL-NAE27/FCB.01A-FEC008.LT-A,"",✓,@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000268,✓,JCL-NAE27/FCB.01A-FEC008.LT-A,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","Normal,Alarm","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-04-09T04:29:32-07:00 Los_Angeles,"","","",19,2018-12-20T12:39:19-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:51:07.975-07:00 Los_Angeles,2018-12-07T09:45:32.082-08:00 Los_Angeles,"",✓,"",Low Temp Alarm,"",BI3000266,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","",@p:ubcv:r:24f02881-3b6e10f7 .+(\.|-| |_)LT-A(LM)?,✓,JCL-NAE27/FCB.01A-FEC008.LT-A.Trend1,Los_Angeles,"","","","",OldAud.AHU4.LT-A,"",2020-04-30T11:06:01.839Z UTC
@p:ubcv:r:263d6d8f-312f855e Old Auditorium Unsorted Points JCL-NAE27/Trend1,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000519,"",JCL-NAE27/Trend1,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","","","folio::HisConfigErr: Missing 'kind' tag [@p:ubcv:r:263d6d8f-312f855e ""Old Auditorium Unsorted Points JCL-NAE27/Trend1""]","","","","",fault,"","",✓,"",2020-05-12T15:01:45.576-07:00 Los_Angeles,"","","","",JCL-NAE27/Trend1,✓,"","",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","",JCL-NAE27/Trend1,Los_Angeles,"","","","","","",2020-04-30T11:06:01.842Z UTC
@p:ubcv:r:238b49f8-1dffe11d Old Auditorium Unsorted Points JCL-NAE27/BACnet1.WiFi CAS gateway.AERL.AI-22,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000609,✓,JCL-NAE27/BACnet1.WiFi CAS gateway.AERL.AI-22,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","","","bacnet::ConfirmedServiceErr: [166] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","","","",fault,"","",✓,Number,2020-05-12T15:01:45.581-07:00 Los_Angeles,2018-11-25T13:45:23.795-08:00 Los_Angeles,"","","",JCL-NAE27/BACnet1.WiFi CAS gateway.AERL.AI-22,✓,AI3000605,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","","",Los_Angeles,_,"","","","","",2020-04-30T11:06:01.846Z UTC
@p:ubcv:r:238b49f8-5f53eb4c Old Auditorium Unsorted Points JCL-NAE27/FCB.Local Application.F1-C,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000030,✓,JCL-NAE27/FCB.Local Application.F1-C,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","Off,On","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-11T17:01:36-07:00 Los_Angeles,"","","",1045,2018-11-18T21:51:35-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:51:08.209-07:00 Los_Angeles,2018-11-25T13:45:23.299-08:00 Los_Angeles,"","","",JCL-NAE27/FCB.Local Application.F1-C,✓,BO3000029,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","",JCL-NAE27/FCB.Local Application.F1-C.Trend1,Los_Angeles,"","","","",OldAud.EF.F1-C,"",2020-04-30T11:06:01.849Z UTC
@p:ubcv:r:238b49f8-cde49e9d Old Auditorium Unsorted Points JCL-NAE27/FCB.01A-FEC009.DA-T,✓,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000290,✓,JCL-NAE27/FCB.01A-FEC009.DA-T,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",25509,2018-11-22T16:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:51:08.577-07:00 Los_Angeles,2018-12-07T09:45:32.057-08:00 Los_Angeles,"","","",Discharge Air Temp,"",AI3000289,"",✓,"","","","","","",✓,@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,✓,JCL-NAE27/FCB.01A-FEC009.DA-T.Trend1,Los_Angeles,°C,"","","",OldAud.RTU1.DA-T,"",2020-04-30T11:06:01.853Z UTC
@p:ubcv:r:238b49f8-8418afb5 Old Auditorium Unsorted Points JCL-NAE27/FCB.01A-FEC007.OA-T,✓,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000237,✓,JCL-NAE27/FCB.01A-FEC007.OA-T,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",25509,2018-11-22T16:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:51:08.585-07:00 Los_Angeles,2018-12-07T09:45:32.094-08:00 Los_Angeles,"","","",Outside Air Temp,"",AV3000236,✓,✓,"","","","","","",✓,@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","",@p:ubcv:r:23e65d3d-5671e7b8 .+(\.|-| |_)OA(_|-)T,✓,JCL-NAE27/FCB.01A-FEC007.OA-T.Trend1,Los_Angeles,°C,"","","",OldAud.AHU3.OA-T,"",2020-04-30T11:06:01.857Z UTC
@p:ubcv:r:238b49f8-b04677ca Old Auditorium Unsorted Points JCL-NAE27/BACnet1.WiFi CAS gateway.Hugh Demspter.AI-5,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000575,✓,JCL-NAE27/BACnet1.WiFi CAS gateway.Hugh Demspter.AI-5,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","","","bacnet::ConfirmedServiceErr: [167] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","","","",fault,"","",✓,Number,2020-05-12T15:01:45.586-07:00 Los_Angeles,2018-11-25T13:45:23.715-08:00 Los_Angeles,"","","",JCL-NAE27/BACnet1.WiFi CAS gateway.Hugh Demspter.AI-5,✓,AI3000543,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","","",Los_Angeles,_,"","","","","",2020-04-30T11:06:01.861Z UTC
@p:ubcv:r:238b49f8-816be575 Old Auditorium Unsorted Points JCL-NAE27/BACnet1.WiFi CAS gateway.Allard Hall.AI-15,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000564,✓,JCL-NAE27/BACnet1.WiFi CAS gateway.Allard Hall.AI-15,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","","","bacnet::ConfirmedServiceErr: [168] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","","","",fault,"","",✓,Number,2020-05-12T15:01:45.592-07:00 Los_Angeles,2018-11-25T13:45:23.721-08:00 Los_Angeles,"","","",JCL-NAE27/BACnet1.WiFi CAS gateway.Allard Hall.AI-15,✓,AI3000551,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","","",Los_Angeles,_,"","","","","",2020-04-30T11:06:01.865Z UTC
@p:ubcv:r:238b49f8-fa9fc664 Old Auditorium Unsorted Points JCL-NAE27/BACnet1.WiFi CAS gateway.Hugh Demspter.AI-2,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000572,✓,JCL-NAE27/BACnet1.WiFi CAS gateway.Hugh Demspter.AI-2,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","","","bacnet::ConfirmedServiceErr: [169] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","","","",fault,"","",✓,Number,2020-05-12T15:01:45.597-07:00 Los_Angeles,2018-11-25T13:45:23.715-08:00 Los_Angeles,"","","",JCL-NAE27/BACnet1.WiFi CAS gateway.Hugh Demspter.AI-2,✓,AI3000540,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","","",Los_Angeles,_,"","","","","",2020-04-30T11:06:01.869Z UTC
@p:ubcv:r:238b49f8-1a7a7940 Old Auditorium Unsorted Points JCL-NAE27/BACnet1.WiFi CAS gateway.AERL.AI-23,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000610,✓,JCL-NAE27/BACnet1.WiFi CAS gateway.AERL.AI-23,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","","","bacnet::ConfirmedServiceErr: [170] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","","","",fault,"","",✓,Number,2020-05-12T15:01:45.603-07:00 Los_Angeles,2018-11-25T13:45:23.804-08:00 Los_Angeles,"","","",JCL-NAE27/BACnet1.WiFi CAS gateway.AERL.AI-23,✓,AI3000606,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","","",Los_Angeles,_,"","","","","",2020-04-30T11:06:01.872Z UTC
@p:ubcv:r:24edab69-a387af96 Old Auditorium Unsorted Points JCL-NAE27/Schedule.AHU2 Schedule,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),SCH3000359,"",✓,JCL-NAE27/Schedule.AHU2 Schedule,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","",unknown,"","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2019-08-21T08:45:00-07:00 Los_Angeles,"","","",198,2019-08-19T12:10:00-07:00 Los_Angeles,"","","",✓,Number,"","","","","",Scheduled Occupancy,"","","",✓,"","","","","",✓,"",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","",@p:ubcv:r:24ede125-239d50ec .+(S|s)chedule(.+)?,"","",Los_Angeles,MWh,"","","","","",2020-04-30T11:06:01.876Z UTC
@p:ubcv:r:2261059e-ac9b2cb6 Old Auditorium HW Main Meter Energy,"","",@p:ubcv:r:21cad3bc-bb87be1f Old Admin DES Meter,AI1,"",✓,"","",@p:ubcv:r:21cad3bc-bb87be1f Old Admin DES Meter,✓,MWh => kWh,ok,1439006.103515625kWh,"","","",$equipRef $navName,"","","","",✓,"","","",@p:ubcv:r:2261059e-f0b0b7d2 Old Auditorium HW Main Meter,"","","","",@p:ubcv:r:2261059e-7b27ba16 Old Auditorium Utilities,"",✓,"",15min,2020-05-12T15:45:00-07:00 Los_Angeles,"","",consumption,72195,2018-04-11T10:45:00-07:00 Los_Angeles,ok,✓,✓,"",Number,"","","","","",Energy,"","","",✓,"","","","","","",✓,@p:ubcv:r:2261059e-5552e76f Old Auditorium,285,"",@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","","",Los_Angeles,kWh,✓,"",✓,"","",2020-04-28T00:03:35.827Z UTC
@p:ubcv:r:238b49f8-4f61ddaa Old Auditorium Unsorted Points JCL-NAE27/FCB.01A-FEC005.SF-S,✓,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000112,✓,JCL-NAE27/FCB.01A-FEC005.SF-S,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,✓,"","","","","","Off,On","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"",✓,"","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-11T17:02:08-07:00 Los_Angeles,"","","",1041,2018-11-18T22:02:09-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:51:08.268-07:00 Los_Angeles,2018-12-07T09:45:31.968-08:00 Los_Angeles,"","","",Discharge Fan Run Status,"",BI3000110,"",✓,"","","","",✓,"",✓,@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","",@p:ubcv:r:23e65d3d-fc9f50e0 .+(\.|-| )SF(\d+)?-S(.Trend\d)?,"",JCL-NAE27/FCB.01A-FEC005.SF-S.Trend1,Los_Angeles,"","","","",OldAud.AHU1.SF-S,"",2020-04-30T11:06:01.879Z UTC
@p:ubcv:r:238b49f8-9e227852 Old Auditorium Unsorted Points JCL-NAE27/BACnet1.WiFi CAS gateway.Swings Space.AI-41,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000597,✓,JCL-NAE27/BACnet1.WiFi CAS gateway.Swings Space.AI-41,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","","","bacnet::ConfirmedServiceErr: [171] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","","","",fault,"","",✓,Number,2020-05-12T15:01:45.609-07:00 Los_Angeles,2018-11-25T13:45:23.711-08:00 Los_Angeles,"","","",JCL-NAE27/BACnet1.WiFi CAS gateway.Swings Space.AI-41,✓,AI3000592,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","","",Los_Angeles,_,"","","","","",2020-04-30T11:06:01.883Z UTC
