id,ahu,air,alarm,bacnetConnRef,bacnetCur,bacnetDis,bacnetHis,bacnetObjectId,bacnetPoint,bmsName,bridgeName,bypass,chilled,chiller,cmd,co2,condenser,connRef,cool,cooling,count,covTest,cur,curConvert,curErr,curStatus,curVal,damper,delta,deltaTempPoint,differential,disMacro,discharge,domestic,effective,elec,elecMeterLoad,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,feedback,filter,flow,freezeStat,groupRef,heat,heatWheel,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,jci,kind,lastSynced,lastTagged,leaving,low,mixed,mixing,mode,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,outside,perimeterHeat,point,pointType,power,pressure,pump,quantityID,reheat,reliability,return,roomRef,run,runtime,scheduleOcc,scheduled,sensor,siemens,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,status,tagTableRef,tags,temp,test,tlName,tz,unit,utilityPoint,valve,volume,water,wifi,wifiId,zachName,zone,mod
@p:ubcv:r:238a0b4a-6f08b5f7 ICICS Rm 339 FC-C0 JCL-NAE01/N2-17.IC17-142.03-FC-C0 FC-S,"",✓,"",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","",TL3038314,"",✓,JCL-NAE01/N2-17.IC17-142.03-FC-C0 FC-S,"","","","","","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","","","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","Off,On","",@p:ubcv:r:2399bc38-2e27f4d0 ICICS Rm 339 FC-C0,"",✓,"","","","",@p:ubcv:r:21978aa2-70b093b5 ICICS Floor 3,"","","",✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"","","",50178,2018-11-22T14:45:00-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:54:50.183-07:00 Los_Angeles,2018-12-07T12:37:21.729-08:00 Los_Angeles,"","","","","",Discharge Fan Run Status,"",BI3032121,"","","","","","",✓,"","","","","","","","",@p:ubcv:r:2399b50a-cee13bc2 ICICS Rm 339,✓,"","","",✓,"",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","","","","","",JCL-NAE01/N2-17.IC17-142.03-FC-C0 FC-S.Trend1,Los_Angeles,"","","","","","","",03-FC-C0 FC-S,"",2020-04-08T18:52:43.519Z UTC
@p:ubcv:r:238a0b4a-c8eb57fb ICICS Rm 110 VAV-02 JCL-NAE01/N2-17.IC17-031.Parameters.AHTG-SP,"",✓,"",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","",TL3038461,"",✓,JCL-NAE01/N2-17.IC17-031.Parameters.AHTG-SP,"","","","","","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:21979f4e-5d18a1c2 ICICS Rm 110 VAV-02,"","","","","","",@p:ubcv:r:21978a98-3cec515f ICICS Floor 1,"","",✓,✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"","","",50966,2018-11-22T05:15:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:54:50.184-07:00 Los_Angeles,2018-12-07T12:37:21.267-08:00 Los_Angeles,"","","","","",Zone Temp Heating Sp,"",AI3033852,"","","","","","",✓,"","","","","","","","",@p:ubcv:r:2399b50a-5a6be9c7 ICICS Rm 110,"","","","","","",@p:ubcv:r:20a64f6e-b5068697 ICICS,"",✓,"","","","",@p:ubcv:r:23e65d3e-70b9dd24 .+(\.|-| )AHTG-SP,"",✓,"",JCL-NAE01/N2-17.IC17-031.Parameters.AHTG-SP.Trend2,Los_Angeles,°C,"","","","","","",AHTG-SP,✓,2020-04-09T19:01:57.028Z UTC
@p:ubcv:r:252682d3-076a55a9 ICICS Unsorted Points LPA2TMIN,"","","",@p:ubcv:r:25265a98-1f235618 ICICS (300000),"","",TL197,"",✓,LPA2TMIN,"","","","","","","",@p:ubcv:r:25265a98-1f235618 ICICS (300000),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:238a0afb-e0104249 ICICS Unsorted Points,"","","","","","",@p:ubcv:r:238a0afb-9da1ee79 ICICS Unsorted Points,"","","",✓,"","","","","","","","","",ok,"","","","",Number,2020-05-12T14:48:09.867-07:00 Los_Angeles,"","","","","","",300000_TrendLog_197,✓,AV101,"","","","","","",✓,"","","","","","","","","","","","","","",✓,@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","","","","","",300000_TrendLog_197,Los_Angeles,°C,"","","","","","","","",2020-04-09T19:01:55.935Z UTC
@p:ubcv:r:238a0b49-607c8271 ICICS Rm 210 Zone JCL-NAE01/N2-16.IC16-202.1074HR-T,"","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","",TL3019369,"",✓,JCL-NAE01/N2-16.IC16-202.1074HR-T,"","","","","","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2399bc39-5401fd42 ICICS Rm 210 Zone,"","","","","","",@p:ubcv:r:21978aa2-556858ee ICICS Floor 2,"","","",✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"","","",50966,2018-11-22T05:15:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:54:48.708-07:00 Los_Angeles,2018-11-25T13:45:23.236-08:00 Los_Angeles,"","","","","",JCL-NAE01/N2-16.IC16-202.1074HR-T,✓,AI3019365,"","","","","","",✓,"","","","","","","","",@p:ubcv:r:2399b50a-29cab074 ICICS Rm 210,"","","","","","",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","","","","","",JCL-NAE01/N2-16.IC16-202.1074HR-T.Trend1,Los_Angeles,°C,"","","","","","",M204.1074HR-T,"",2020-04-09T19:01:57.029Z UTC
@p:ubcv:r:238a0b48-3eecc076 ICICS Unsorted Points JCL-NAE01/N2-16.IC16-043.M-306 MANVLV-C,"","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","",TL3008556,"",✓,JCL-NAE01/N2-16.IC16-043.M-306 MANVLV-C,"","","","","","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","Open,Close","",@p:ubcv:r:238a0afb-e0104249 ICICS Unsorted Points,"","","","","","",@p:ubcv:r:238a0afb-9da1ee79 ICICS Unsorted Points,"","","",✓,"","","",2020-05-12T08:43:09-07:00 Los_Angeles,"","","",3222,2018-11-22T06:23:50-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:54:48.401-07:00 Los_Angeles,2018-11-25T13:45:23.449-08:00 Los_Angeles,"","","","","",JCL-NAE01/N2-16.IC16-043.M-306 MANVLV-C,✓,BO3008555,"","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","","","","","",JCL-NAE01/N2-16.IC16-043.M-306 MANVLV-C.Trend,Los_Angeles,"","","","","","","",IC-LVL3-SLAB.M-306 MANVLV-C,"",2020-04-08T18:49:51.555Z UTC
@p:ubcv:r:238a0b4b-7203faa0 ICICS AHU-02 RF JCL-NAE01/N2-17.IC17-010.RF-VSD,"",✓,"",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","",TL3043538,"",✓,JCL-NAE01/N2-17.IC17-010.RF-VSD,"","","","",✓,"","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2399ccdc-2abec776 ICICS AHU-02 RF,"",✓,"","","","",@p:ubcv:r:2203b248-90711536 ICICS Air Systems,"","","",✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"","","",51401,2018-11-21T05:15:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:54:48.71-07:00 Los_Angeles,2018-12-07T12:37:21.78-08:00 Los_Angeles,"","","","","",Return Fan Speed Cmd,"",AO3009133,"","","","","","",✓,"","","","","","","",✓,"","","","","","","",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","",✓,"","","",@p:ubcv:r:23e65d3d-cd9620b8 .+(\.|-| )RF-VSD,"","","",JCL-NAE01/N2-17.IC17-010.RF-VSD.Trend1,Los_Angeles,%,"","","","","","",IC-AHU2.RF-VSD,"",2020-04-09T19:01:57.031Z UTC
@p:ubcv:r:21683145-9d0ec8e6 ICICS AHU-03 JCL-NAE01/N2-17.AHU-03 - Hugh Dempster AHU.MAD-POS,"","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"",AHU.MAD-POS.Trend1,TL3038666,"",✓,JCL-NAE01/N2-17.AHU-03 - Hugh Dempster AHU.MAD-POS,"","","","","","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2167ed82-9070724b ICICS AHU-03,"","","","","","",@p:ubcv:r:2203b248-90711536 ICICS Air Systems,"","","",✓,"","","",2019-05-22T15:00:00-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [121] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",54744,2017-10-04T05:15:00-07:00 Los_Angeles,fault,"","","",✓,Number,2020-05-12T01:13:13.311-07:00 Los_Angeles,2018-05-09T10:55:46.552-07:00 Los_Angeles,"","","","","",JCL-NAE01/N2-17.AHU-03 - Hugh Dempster AHU.MAD-POS,✓,AI3038573,"","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","","","","","","",Los_Angeles,_,"","","","","","","","",2020-04-09T19:15:02.26Z UTC
@p:ubcv:r:238a0b2f-6c9ba38e ICICS CT-2 JCL-NAE03/FCB.Local Application.IC-CW_CT2-S,"","","",@p:ubcv:r:21e6a661-36fe7a6c ICICS (NAE-03),"","",TL3000488,"",✓,JCL-NAE03/FCB.Local Application.IC-CW_CT2-S,"","","","","","","",@p:ubcv:r:21e6a661-36fe7a6c ICICS (NAE-03),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","Off,On","",@p:ubcv:r:2399d987-cc9d1c31 ICICS CT-2,"","","","","","",@p:ubcv:r:216983e3-ef52cc34 ICICS Hydronic Systems,"","","",✓,"","","",2020-05-12T14:45:36-07:00 Los_Angeles,"","","",40585,2018-11-22T13:28:34-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:46:38.209-07:00 Los_Angeles,2018-12-07T12:37:22.071-08:00 Los_Angeles,"","","","","",Run Status,"",BI3000486,"","","","","","",✓,"","","","","","","","","",✓,"","","",✓,"",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","",@p:ubcv:r:23e65d3d-9cdaea6a .+(\.|-|_)CT\d(-?\d+)?-S,"","","",JCL-NAE03/FCB.Local Application.IC-CW_CT2-S.Trend1,Los_Angeles,"","","","","","","",IC-CW.CT2-S,"",2020-05-08T11:39:27.584Z UTC
@p:ubcv:r:238a0b4b-31f24308 ICICS Rm 201 VAV-13 JCL-NAE01/N2-17.IC17-039.Parameters.STARVBOX-S,"","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","",TL3049456,"",✓,JCL-NAE01/N2-17.IC17-039.Parameters.STARVBOX-S,"","","","","","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","False,True","",@p:ubcv:r:2198d415-b1497cf7 ICICS Rm 201 VAV-13,"","","","","","",@p:ubcv:r:21978aa2-556858ee ICICS Floor 2,"","","",✓,"","","",2020-05-06T10:42:31-07:00 Los_Angeles,"","","",2162,2018-11-20T08:16:42-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:54:49.706-07:00 Los_Angeles,2018-11-25T13:45:24.041-08:00 Los_Angeles,"","","","","",JCL-NAE01/N2-17.IC17-039.Parameters.STARVBOX-S,✓,BI3009925,"","","","","","",✓,"","","","","","","","",@p:ubcv:r:2399b50a-5cc84e30 ICICS Rm 201,"","","","","","",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","","","","","",JCL-NAE01/N2-17.IC17-039.Parameters.STARVBOX-S.Trend1,Los_Angeles,"","","","","","","",LP-LVL2.VAV-13.STARVBOX-S,"",2020-04-08T18:55:49.107Z UTC
@p:ubcv:r:238a0b4b-12e21b59 ICICS Rm 439 FC-C0 JCL-NAE01/N2-17.IC17-137.04-FC-C0 CLG-VLV,"","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","",TL3043575,"",✓,JCL-NAE01/N2-17.IC17-137.04-FC-C0 CLG-VLV,"","",✓,"",✓,"","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"",✓,"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2399bc38-5246a142 ICICS Rm 439 FC-C0,"","","","","","",@p:ubcv:r:2399b50a-3a315279 ICICS Floor 4,"","","",✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"","","",51401,2018-11-21T05:15:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:54:48.711-07:00 Los_Angeles,2018-12-07T12:37:21.169-08:00 Los_Angeles,"","","","","",Cooling Valve Cmd,"",AO3010965,"","","","","","",✓,"","","","","","","","",@p:ubcv:r:2399b50a-812b7c44 ICICS Rm 439,"","","","","","",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","",@p:ubcv:r:23e65d3d-51bf01a3 .+(\.|-| )CLG-(O|VLV),"","","",JCL-NAE01/N2-17.IC17-137.04-FC-C0 CLG-VLV.Trend1,Los_Angeles,%,"",✓,"",✓,"","",CS-LVL4-FC.04-FC-C0 CLG-VLV,"",2020-04-14T16:50:01.696Z UTC
@p:ubcv:r:2526a0a2-66401c10 ICICS Unsorted Points TL_BAC_301100_AV_391_15,"","","",@p:ubcv:r:25265a98-1f235618 ICICS (300000),"","",TL208,"",✓,TL_BAC_301100_AV_391_15,"","","","","","","",@p:ubcv:r:25265a98-1f235618 ICICS (300000),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:238a0afb-e0104249 ICICS Unsorted Points,"","","","","","",@p:ubcv:r:238a0afb-9da1ee79 ICICS Unsorted Points,"","","",✓,"","","","","bacnet::ConfirmedServiceErr: [55] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","","","",fault,"","","","","",2020-05-05T15:58:04.314-07:00 Los_Angeles,"","","","","","",TL_BAC_301100_AV_391_15,✓,"","","","","","","",✓,"","","","","","","","","","","","","","",✓,@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","","","","","","",Los_Angeles,"","","","","","","","","",2019-12-03T18:22:58.16Z UTC
@p:ubcv:r:238a0b49-392bed65 ICICS Rm 327 FC-SS JCL-NAE01/N2-17.IC17-144.03-FC-SS FC-S,"",✓,"",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","",TL3011194,"",✓,JCL-NAE01/N2-17.IC17-144.03-FC-SS FC-S,"","","","","","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","","","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","Off,On","",@p:ubcv:r:2399bc38-df40a3ca ICICS Rm 327 FC-SS,"",✓,"","","","",@p:ubcv:r:21978aa2-70b093b5 ICICS Floor 3,"","","",✓,"","","",2020-05-06T10:35:40-07:00 Los_Angeles,"","","",170,2018-12-12T06:50:13-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:54:49.668-07:00 Los_Angeles,2018-12-07T12:37:22.293-08:00 Los_Angeles,"","","","","",Discharge Fan Run Status,"",BI3011193,"","","","","","",✓,"","","","","","","","",@p:ubcv:r:2399b50a-2737167e ICICS Rm 327,✓,"","","",✓,"",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","","","","","",JCL-NAE01/N2-17.IC17-144.03-FC-SS FC-S.Trend,Los_Angeles,"","","","","","","",IC-LVL3-FC.03-FC-SS FC-S,"",2020-04-08T18:55:36.303Z UTC
@p:ubcv:r:238a0b49-578cb1f9 ICICS Rm 301 VAV-14 JCL-NAE01/N2-17.IC17-040.ZN-T,"",✓,"",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","",TL3009934,"",✓,JCL-NAE01/N2-17.IC17-040.ZN-T,"","","","","","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2399bc37-834534e4 ICICS Rm 301 VAV-14,"","","","","","",@p:ubcv:r:21978aa2-70b093b5 ICICS Floor 3,"","","",✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"","","",50966,2018-11-22T05:15:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:54:48.713-07:00 Los_Angeles,2018-12-07T12:37:21.964-08:00 Los_Angeles,"","","","","",Zone Temp,"",AI3009933,"","","","","","",✓,"","","","","","","","",@p:ubcv:r:2399b50a-b4437c5b ICICS Rm 301,"","","","",✓,"",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,"",JCL-NAE01/N2-17.IC17-040.ZN-T.Trend,Los_Angeles,°C,"","","","","","",LP-LVL3.VAV-14.ZN-T,✓,2020-04-09T19:01:57.033Z UTC
@p:ubcv:r:238a0b2f-f79f4d2d ICICS Cooling Plant HP-3 JCL-NAE03/FCB.Local Application.IC-CW_CHP3-S,"","","",@p:ubcv:r:21e6a661-36fe7a6c ICICS (NAE-03),"","",TL3001906,"",✓,JCL-NAE03/FCB.Local Application.IC-CW_CHP3-S,"","","","","","","",@p:ubcv:r:21e6a661-36fe7a6c ICICS (NAE-03),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","Off,On","",@p:ubcv:r:239b2d05-648f1e7f ICICS Cooling Plant HP-3,"","","","","","",@p:ubcv:r:216983e3-ef52cc34 ICICS Hydronic Systems,"","","",✓,"","","",2020-05-12T13:32:49-07:00 Los_Angeles,"","","",18400,2018-11-22T13:28:34-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:46:38.516-07:00 Los_Angeles,2018-12-07T12:37:20.905-08:00 Los_Angeles,"","","","","",Pump Run Status,"",BI3001904,"","","","","","",✓,"","","",✓,"","","","","",✓,"","","",✓,"",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","",@p:ubcv:r:23e65d3d-23085a85 .+(\.|-|_)C?H?P\d+(-)?S,"","","",JCL-NAE03/FCB.Local Application.IC-CW_CHP3-S.Trend1,Los_Angeles,"","","","","","","",IC-CW.CHP3-S,"",2020-05-08T11:39:27.608Z UTC
@p:ubcv:r:238a0b5b-ad8944ef ICICS Unsorted Points JCL-NAE02/Trend1,"","","",@p:ubcv:r:21e6a640-8dab48fe ICICS (NAE-02),"","",TL3001040,"",✓,JCL-NAE02/Trend1,"","","","","","","",@p:ubcv:r:21e6a640-8dab48fe ICICS (NAE-02),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:238a0afb-e0104249 ICICS Unsorted Points,"","","","","","",@p:ubcv:r:238a0afb-9da1ee79 ICICS Unsorted Points,"","","",✓,"","","",2020-05-12T14:44:49-07:00 Los_Angeles,"","","",309480,2019-08-02T15:24:32-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:45:18.505-07:00 Los_Angeles,2018-11-25T13:45:23.326-08:00 Los_Angeles,"","","","","",JCL-NAE02/Trend1,✓,"","","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","","",✓,"","",JCL-NAE02/Trend1,Los_Angeles,_,"","","","","","","","",2020-05-06T11:01:58.441Z UTC
@p:ubcv:r:238a0b48-dc6890e8 ICICS Unsorted Points JCL-NAE01/N2-16.IC16-005.M-203 MANVLV-C,"","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","",TL3007905,"",✓,JCL-NAE01/N2-16.IC16-005.M-203 MANVLV-C,"","","","","","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","Open,Close","",@p:ubcv:r:238a0afb-e0104249 ICICS Unsorted Points,"","","","","","",@p:ubcv:r:238a0afb-9da1ee79 ICICS Unsorted Points,"","","",✓,"","","",2020-05-12T14:35:26-07:00 Los_Angeles,"","","",5826,2018-11-22T06:23:52-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:54:48.575-07:00 Los_Angeles,2018-11-25T13:45:23.886-08:00 Los_Angeles,"","","","","",JCL-NAE01/N2-16.IC16-005.M-203 MANVLV-C,✓,BO3007904,"","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","","","","","",JCL-NAE01/N2-16.IC16-005.M-203 MANVLV-C.Trend,Los_Angeles,"","","","","","","",IC-LVL2-SLAB.M-203 MANVLV-C,"",2020-04-08T18:50:33.821Z UTC
@p:ubcv:r:238a0b49-42425d78 ICICS Rm 836 Zone JCL-NAE01/N2-17.IC17-013.CSLAB1-T,"","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","",TL3019196,"",✓,JCL-NAE01/N2-17.IC17-013.CSLAB1-T,"","","","","","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2399bc37-bf4bc3cc ICICS Rm 836 Zone,"","","","","","",@p:ubcv:r:2399b50a-ca4ee407 ICICS Floor 8,"","","",✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"","","",51401,2018-11-21T05:15:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:54:48.715-07:00 Los_Angeles,2018-12-07T12:37:22.196-08:00 Los_Angeles,"","","","","",Slab Temp,"",AI3009259,"","","","","",✓,✓,"","","","","","","","",@p:ubcv:r:2399b50a-fb0962f7 ICICS Rm 836,"","","","",✓,"",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","",@p:ubcv:r:23e65d3d-af99a3e5 .+(\.|-| )(U|C)SLAB\d-T,"",✓,"",JCL-NAE01/N2-17.IC17-013.CSLAB1-T.Trend1,Los_Angeles,°C,"","","","","","",IC-LVL7-SLAB.CSLAB1-T,"",2020-04-09T19:01:57.034Z UTC
@p:ubcv:r:238a0b49-28609226 ICICS Rm 660 FC-SR JCL-NAE01/N2-17.IC17-023.06-RH-10 ZN-T,"",✓,"",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","",TL3009447,"",✓,JCL-NAE01/N2-17.IC17-023.06-RH-10 ZN-T,"","","","","","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2399bc37-c38e80aa ICICS Rm 660 FC-SR,"","","","","","",@p:ubcv:r:2399b50a-f5463425 ICICS Floor 6,"","","",✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"","","",50966,2018-11-22T05:15:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:54:48.716-07:00 Los_Angeles,2018-12-07T12:37:22.294-08:00 Los_Angeles,"","","","","",Zone Temp,"",AI3009446,"","","","","","",✓,"","","","","","","","",@p:ubcv:r:2399b50a-d7b5f8ad ICICS Rm 660,"","","","",✓,"",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,"",JCL-NAE01/N2-17.IC17-023.06-RH-10 ZN-T.Trend,Los_Angeles,°C,"","","","","","",IC-LVL6-RH.06-RH-10 ZN-T,✓,2020-04-09T19:01:57.035Z UTC
@p:ubcv:r:238a0b5b-dc8abbbb ICICS Unsorted Points JCL-NAE02/FCB.07A-FEC005.D26-EN,"","","",@p:ubcv:r:21e6a640-8dab48fe ICICS (NAE-02),"","",TL3000444,"",✓,JCL-NAE02/FCB.07A-FEC005.D26-EN,"","","","","","","",@p:ubcv:r:21e6a640-8dab48fe ICICS (NAE-02),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","False,True","",@p:ubcv:r:238a0afb-e0104249 ICICS Unsorted Points,"","","","","","",@p:ubcv:r:238a0afb-9da1ee79 ICICS Unsorted Points,"","","",✓,"","","",2020-05-12T06:30:16-07:00 Los_Angeles,"","","",461,2018-11-19T08:27:02-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:45:18.379-07:00 Los_Angeles,2018-11-25T13:45:23.911-08:00 Los_Angeles,"","","","","",JCL-NAE02/FCB.07A-FEC005.D26-EN,✓,BV3000443,"","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","","","","","",JCL-NAE02/FCB.07A-FEC005.D26-EN.Trend1,Los_Angeles,"","","","","","","",D-26.D26-EN,"",2020-05-06T11:01:58.848Z UTC
@p:ubcv:r:238a0b5b-6bce5ec5 ICICS Unsorted Points JCL-NAE02/FCB.07A-FEC012.D76-O,"","","",@p:ubcv:r:21e6a640-8dab48fe ICICS (NAE-02),"","",TL3000608,"",✓,JCL-NAE02/FCB.07A-FEC012.D76-O,"","","","","","","",@p:ubcv:r:21e6a640-8dab48fe ICICS (NAE-02),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:238a0afb-e0104249 ICICS Unsorted Points,"","","","","","",@p:ubcv:r:238a0afb-9da1ee79 ICICS Unsorted Points,"","","",✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"","","",21394,2018-11-21T17:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:45:18.449-07:00 Los_Angeles,2018-11-25T13:45:23.795-08:00 Los_Angeles,"","","","","",JCL-NAE02/FCB.07A-FEC012.D76-O,✓,AO3000607,"","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","","","","","",JCL-NAE02/FCB.07A-FEC012.D76-O.Trend1,Los_Angeles,_,"","","","","","",D-76.D76-O,"",2020-05-06T11:01:58.994Z UTC
