id,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,chilled,cmd,connRef,cooling,coolingTower,cur,curStatus,curVal,damper,delta,differential,disMacro,discharge,domestic,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,filter,flow,groupRef,heatRecovery,heating,highLim,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,jci,kind,lastSynced,leaving,low,lowLim,mixed,mode,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,outside,perimeterHeat,point,pointType,power,preFilter,preheat,pressure,pump,quantityID,return,run,runtime,scheduleOcc,scheduled,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,volume,water,zachName,zone,mod
@p:ubcv:r:25a650df-1ce14795 Coal & Mineral Unsorted Points P1A JCL-NAE36/FCB-01.FAC-009.P1A-S,"","",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"",TL3001502,"",JCL-NAE36/FCB-01.FAC-009.P1A-S,"","",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","","Off,On",P1A,@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-05-12T12:05:39-07:00 Los_Angeles,"","",549,2020-01-02T11:58:09-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:29:02.743-07:00 Los_Angeles,"","","","","",Run Status,"",BI3000133,"","","","","","",✓,"","","","","",✓,"","",✓,"","","",✓,@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","",@p:ubcv:r:2549f4de-0619d1f0 .+(\.|-| )P(CHWP)?E?\d+\w?-S,"",JCL-NAE36/FCB-01.FAC-009.P1A-S.Trend1,Los_Angeles,"","","","","",7320.PCHW.P01A-S,"",2020-05-12T11:03:27.872Z UTC
@p:ubcv:r:25547e48-0ae84b7b Coal & Mineral Unsorted Points P5 JCL-NAE33/FCB.33A-FEC005.P5-C,"","",@p:ubcv:r:255470d4-f181f989 MINL (NAE-33),"",TL3000132,✓,JCL-NAE33/FCB.33A-FEC005.P5-C,"",✓,@p:ubcv:r:255470d4-f181f989 MINL (NAE-33),"","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","","Off,On",P5,@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-05-12T06:00:01-07:00 Los_Angeles,"","",284,2019-10-31T18:00:01-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:28:57.448-07:00 Los_Angeles,"","","","","",Run Cmd,"",BO3000131,"","","","","","",✓,"","","","","",✓,"","",✓,"","","","",@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","",@p:ubcv:r:23e65d3d-604110c2 .+(\.|-|_)C?H?P\d+(-)?C,"",JCL-NAE33/FCB.33A-FEC005.P5-C.Trend1,Los_Angeles,"","","","","","","",2020-05-12T11:03:27.596Z UTC
@p:ubcv:r:25a650de-6b3b7445 Coal & Mineral Unsorted Points JCL-NAE36/FCB-01.FAC-005.DA-T,✓,"",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"",TL3002004,"",JCL-NAE36/FCB-01.FAC-005.DA-T,"","",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"","",17752,2020-01-05T12:20:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:28:59.67-07:00 Los_Angeles,"","","","","",Discharge Air Temp,"",AI3000668,"","","","","","",✓,"","","","","","","","","","","","",✓,@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,✓,JCL-NAE36/FCB-01.FAC-005.DA-T.Trend1,Los_Angeles,°C,"","","","",7320.AHU-02.DA-T,"",2020-04-09T19:02:08.149Z UTC
@p:ubcv:r:25547044-ca536982 Coal & Mineral Unsorted Points JCL-NAE34/FCB-01.FAC-008.Parameters.1840 LEF-4-101b LOCKED-OUT,"","",@p:ubcv:r:2465e723-49c365bf MINL (NAE-34),"",TL3003590,✓,JCL-NAE34/FCB-01.FAC-008.Parameters.1840 LEF-4-101b LOCKED-OUT,"","",@p:ubcv:r:2465e723-49c365bf MINL (NAE-34),"","","","","","","","",$equipRef $bmsName,"","","","","","","","Normal,Lockout","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","-1 enumNumberToStr(self, false)",2020-04-09T04:31:56-07:00 Los_Angeles,"","",10,2019-09-18T10:46:49-07:00 Los_Angeles,ok,"","","",✓,Str,2020-05-12T14:27:07.51-07:00 Los_Angeles,"","","","","",JCL-NAE34/FCB-01.FAC-008.Parameters.1840 LEF-4-101b LOCKED-OUT,✓,MSV3003570,"","","","","","",✓,"","","","","","","","","","","","","",@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","","","",JCL-NAE34/FCB-01.FAC-008.Parameters.1840 LEF-4-101b LOCKED-OUT.Trend1,Los_Angeles,"","","","","",1840.LEF-4-101b.LOCKED-OUT,"",2020-04-08T18:55:01.573Z UTC
@p:ubcv:r:25a650de-bf8285a3 Coal & Mineral Unsorted Points JCL-NAE36/FCB-01.FAC-006.RA1-H,"","",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"",TL3001772,"",JCL-NAE36/FCB-01.FAC-006.RA1-H,"","",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"","",17812,2020-01-05T12:20:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:29:02.824-07:00 Los_Angeles,"","","","","",JCL-NAE36/FCB-01.FAC-006.RA1-H,✓,AI3000546,"","","","","","",✓,"","","","","","","","","","","","","",@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","","","",JCL-NAE36/FCB-01.FAC-006.RA1-H.Trend1,Los_Angeles,%RH,"","","","",7320.AHU-03.RA1-H,"",2020-04-09T19:02:08.152Z UTC
@p:ubcv:r:25a650e0-1b4ecf55 Coal & Mineral Unsorted Points JCL-NAE36/FCB-01.FAC-006.CLG-SV-C,"","",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"",TL3001804,"",JCL-NAE36/FCB-01.FAC-006.CLG-SV-C,"","",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"","","","","","","","",$equipRef $bmsName,"","","","","","","","Close,Open","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-05-12T04:43:29-07:00 Los_Angeles,"","",823,2020-01-01T15:15:14-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:29:00.006-07:00 Los_Angeles,"","","","","",JCL-NAE36/FCB-01.FAC-006.CLG-SV-C,✓,BO3000572,"","","","","","",✓,"","","","","","","","","","","","","",@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","","","",JCL-NAE36/FCB-01.FAC-006.CLG-SV-C.Trend1,Los_Angeles,"","","","","",7320.AHU-03.ECHWISO-C,"",2020-04-08T18:55:26.716Z UTC
@p:ubcv:r:25a64fc5-6d34b14d Coal & Mineral Unsorted Points JCL-NAE35/FCB.Local Application.P01-EN,"","",@p:ubcv:r:25a64f7c-a26d1eba MINL (NAE-35),"",TL3000398,"",JCL-NAE35/FCB.Local Application.P01-EN,"","",@p:ubcv:r:25a64f7c-a26d1eba MINL (NAE-35),"","","","","","","","",$equipRef $bmsName,"","","","","","","","Off,On","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-05-12T12:42:41-07:00 Los_Angeles,"","",39,2019-10-31T07:15:18-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:28:27.64-07:00 Los_Angeles,"","","","","",JCL-NAE35/FCB.Local Application.P01-EN,✓,BO3000397,"","","","","","",✓,"","","","","","","","","","","","","",@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","","","",JCL-NAE35/FCB.Local Application.P01-EN.Trend1,Los_Angeles,"","","","","",1840.HCL.P01-EN,"",2020-04-08T18:55:32.515Z UTC
@p:ubcv:r:25a64fc5-5a836be1 Coal & Mineral Unsorted Points JCL-NAE35/FCB.Local Application.RAD-RHW-T,"","",@p:ubcv:r:25a64f7c-a26d1eba MINL (NAE-35),"",TL3000427,"",JCL-NAE35/FCB.Local Application.RAD-RHW-T,"","",@p:ubcv:r:25a64f7c-a26d1eba MINL (NAE-35),"","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",6037,2020-01-05T12:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:28:27.652-07:00 Los_Angeles,"","","","","",JCL-NAE35/FCB.Local Application.RAD-RHW-T,✓,AI3000426,"","","","","","",✓,"","","","","","","","","","","","","",@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","","","",JCL-NAE35/FCB.Local Application.RAD-RHW-T.Trend1,Los_Angeles,_,"","","","",1840.RAD.RHW-T,"",2020-04-09T19:15:13.911Z UTC
@p:ubcv:r:25547e48-5987b316 Coal & Mineral Unsorted Points JCL-NAE33/FCB.33A-FEC007.EF3-S,✓,"",@p:ubcv:r:255470d4-f181f989 MINL (NAE-33),"",TL3000243,✓,JCL-NAE33/FCB.33A-FEC007.EF3-S,"","",@p:ubcv:r:255470d4-f181f989 MINL (NAE-33),"","","","","","","","",$equipRef $bmsName,"","","","","","","","Off,On","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"",✓,✓,"","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-05-12T14:00:03-07:00 Los_Angeles,"","",479,2019-11-02T10:00:01-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:28:57.455-07:00 Los_Angeles,"","","","","",Exhaust Fan Run Feedback,"",BI3000241,"","","","","","",✓,"","","","","","","","",✓,"","","",✓,@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","","","",JCL-NAE33/FCB.33A-FEC007.EF3-S.Trend1,Los_Angeles,"","","","","","","",2020-04-08T18:55:46.852Z UTC
@p:ubcv:r:25a650e0-5269ef30 Coal & Mineral Unsorted Points JCL-NAE36/FCB-01.VND-024.DRIVE ALARM,"","",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"",TL3001732,"",JCL-NAE36/FCB-01.VND-024.DRIVE ALARM,"","",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"","","","","","","","",$equipRef $bmsName,"","","","","","","","OK,ALARM","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-05-12T11:15:12-07:00 Los_Angeles,"","",1005,2020-01-05T16:41:38-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:29:00.044-07:00 Los_Angeles,"","","","","",JCL-NAE36/FCB-01.VND-024.DRIVE ALARM,✓,BV3000464,"","","","","","",✓,"","","","","","","","","","","","","",@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","","","",JCL-NAE36/FCB-01.VND-024.DRIVE ALARM.Trend1,Los_Angeles,"","","","","",7320.SHWS\P06-VSD.DRIVE ALARM,"",2020-04-08T18:55:38.816Z UTC
@p:ubcv:r:25a650df-03637a61 Coal & Mineral Unsorted Points JCL-NAE36/FCB-01.VMA-033.EFFHTG-SP,✓,"",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"",TL3007121,"",JCL-NAE36/FCB-01.VMA-033.EFFHTG-SP,"","",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"",✓,"",✓,"","","",2020-02-21T12:50:00-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [247] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",6334,2020-01-05T12:20:00-08:00 Los_Angeles,fault,"","","",✓,Number,2020-05-11T00:30:04.109-07:00 Los_Angeles,"","","","","",Zone Temp Effective Heating Sp,"",AV3005256,"","","","","","",✓,"","","","","","","","","","","","","",@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"",✓,"","","",@p:ubcv:r:2538b55e-15822785 .+(\.|-| )(EFF|ACT)HTG-?SP,✓,JCL-NAE36/FCB-01.VMA-033.EFFHTG-SP.Trend1,Los_Angeles,°C,"","","","",7320.RM-2210 - VAV-2210.EFFHTG-SP,✓,2020-04-14T16:50:02.806Z UTC
@p:ubcv:r:25a64fc5-f600242c Coal & Mineral Unsorted Points JCL-NAE35/FCB.Local Application.P02-FS,"","",@p:ubcv:r:25a64f7c-a26d1eba MINL (NAE-35),"",TL3000423,"",JCL-NAE35/FCB.Local Application.P02-FS,"","",@p:ubcv:r:25a64f7c-a26d1eba MINL (NAE-35),"","","","","","","","",$equipRef $bmsName,"","","","","","","","NoFlow,Flow","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-05-12T12:40:50-07:00 Los_Angeles,"","",61,2019-11-03T02:16:45-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:28:27.661-07:00 Los_Angeles,"","","","","",JCL-NAE35/FCB.Local Application.P02-FS,✓,BI3000421,"","","","","","",✓,"","","","","","","","","","","","","",@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","","","",JCL-NAE35/FCB.Local Application.P02-FS.Trend1,Los_Angeles,"","","","","",1840.RAD.P02-FS,"",2020-04-08T18:55:38.108Z UTC
@p:ubcv:r:25547e48-4076430d Coal & Mineral Unsorted Points JCL-NAE33/Trend1,"","",@p:ubcv:r:255470d4-f181f989 MINL (NAE-33),"",TL3000556,✓,JCL-NAE33/Trend1,"","",@p:ubcv:r:255470d4-f181f989 MINL (NAE-33),"","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-05-12T14:28:09-07:00 Los_Angeles,"","",49012,2020-03-30T16:27:36-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:28:57.789-07:00 Los_Angeles,"","","","","",JCL-NAE33/Trend1,✓,"","","","","","","",✓,"","","","","","","","","","","","","",@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","","","","",Los_Angeles,_,"","","","","","",2020-04-09T19:15:13.88Z UTC
@p:ubcv:r:25547e48-6d158953 Coal & Mineral Unsorted Points P3 JCL-NAE33/FCB.33A-FEC005.P3-S,"","",@p:ubcv:r:255470d4-f181f989 MINL (NAE-33),"",TL3000118,✓,JCL-NAE33/FCB.33A-FEC005.P3-S,"","",@p:ubcv:r:255470d4-f181f989 MINL (NAE-33),"","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","","Off,On",P3,@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-05-12T12:56:25-07:00 Los_Angeles,"","",75870,2019-11-05T02:29:36-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:28:57.796-07:00 Los_Angeles,"","","","","",Run Status,"",BI3000116,"","","","","","",✓,"","","","","",✓,"","",✓,"","","",✓,@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","",@p:ubcv:r:23e65d3d-742086c0 .+(\.|-|_)P\d+-(FS-)?S,"",JCL-NAE33/FCB.33A-FEC005.P3-S.Trend1,Los_Angeles,"","","","","","","",2020-05-12T11:03:27.523Z UTC
@p:ubcv:r:24662664-067fb54a Coal & Mineral Unsorted Points JCL-NAE34/FCB-01.VMA-009.ZN-T,✓,"",@p:ubcv:r:2465e723-49c365bf MINL (NAE-34),"",TL3003037,✓,JCL-NAE34/FCB-01.VMA-009.ZN-T,"","",@p:ubcv:r:2465e723-49c365bf MINL (NAE-34),"","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",17418,2019-05-07T17:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:27:07.626-07:00 Los_Angeles,"","","","","",Zone Temp,"",AI3003036,"","","","","","",✓,"","","","","","","","","","","","",✓,@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,JCL-NAE34/FCB-01.VMA-009.ZN-T.Trend1,Los_Angeles,°C,"","","","",1840.HRV-03.VAV-1-001.ZN-T,✓,2020-04-09T19:02:07.868Z UTC
@p:ubcv:r:25547e48-5a5dd609 Coal & Mineral Unsorted Points JCL-NAE33/FCB.33A-FEC010.MUL5V-O,"","",@p:ubcv:r:255470d4-f181f989 MINL (NAE-33),"",TL3000360,✓,JCL-NAE33/FCB.33A-FEC010.MUL5V-O,"","",@p:ubcv:r:255470d4-f181f989 MINL (NAE-33),"","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",9164,2019-10-31T12:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:28:57.803-07:00 Los_Angeles,"","","","","",JCL-NAE33/FCB.33A-FEC010.MUL5V-O,✓,AO3000359,"","","","","","",✓,"","","","","","","","","","","","","",@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","","","",JCL-NAE33/FCB.33A-FEC010.MUL5V-O.Trend1,Los_Angeles,_,"","","","","","",2020-04-09T19:15:13.881Z UTC
@p:ubcv:r:24662664-90a2b5e1 Coal & Mineral Unsorted Points JCL-NAE34/FCB-01.FAC-006.SF-C,✓,"",@p:ubcv:r:2465e723-49c365bf MINL (NAE-34),"",TL3002926,✓,JCL-NAE34/FCB-01.FAC-006.SF-C,"",✓,@p:ubcv:r:2465e723-49c365bf MINL (NAE-34),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","Off,On","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","",✓,"","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-04-24T10:15:35-07:00 Los_Angeles,"","",632,2019-05-03T19:31:40-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:27:07.514-07:00 Los_Angeles,"","","","","",Discharge Fan Run Cmd,"",BO3002925,"","","","","","",✓,"","","","","","","","",✓,"","","","",@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","",@p:ubcv:r:23e65d3d-2b48d00a .+(\.|-| )SF(\d+)?-C,"",JCL-NAE34/FCB-01.FAC-006.SF-C.Trend1,Los_Angeles,"","","","","","","",2020-04-08T18:55:35.748Z UTC
@p:ubcv:r:25a650df-6ba96121 Coal & Mineral Unsorted Points JCL-NAE36/FCB-01.FAC-005.HTG-O,"","",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"",TL3001975,"",JCL-NAE36/FCB-01.FAC-005.HTG-O,"",✓,@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"",✓,"",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"","",17812,2020-01-05T12:20:00-08:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:29:02.906-07:00 Los_Angeles,"","","","","",Heating Valve Cmd,"",AO3000648,"","","","","","",✓,"","","","","","","","","","","","","",@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"",JCL-NAE36/FCB-01.FAC-005.HTG-O.Trend1,Los_Angeles,%,"",✓,"",✓,7320.AHU-02.HCV-O,"",2020-04-09T19:02:08.159Z UTC
@p:ubcv:r:25a650df-3d87a6aa Coal & Mineral Unsorted Points JCL-NAE36/FCB-01.FAC-004.MAD-O,✓,"",@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"",TL3001892,"",JCL-NAE36/FCB-01.FAC-004.MAD-O,"",✓,@p:ubcv:r:25a64fe1-750ac9bc MINL (NAE-36),"","","","","",✓,"","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"","",17812,2020-01-05T12:20:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:29:02.923-07:00 Los_Angeles,"","","",✓,"",Mixed Air Damper Cmd,"",AO3000613,"","","","","","",✓,"","","","","","","","","","","","","",@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","",@p:ubcv:r:23e65d3d-7228537e .+(\.|-| )MAD-O,"",JCL-NAE36/FCB-01.FAC-004.MAD-O.Trend1,Los_Angeles,%,"","","","",7320.AHU-01.MAD-O,"",2020-04-09T19:02:08.16Z UTC
@p:ubcv:r:25547e48-26778b51 Coal & Mineral Unsorted Points JCL-NAE33/FCB.Local Application.PH-T,"","",@p:ubcv:r:255470d4-f181f989 MINL (NAE-33),"",TL3000064,✓,JCL-NAE33/FCB.Local Application.PH-T,"","",@p:ubcv:r:255470d4-f181f989 MINL (NAE-33),"","","","","","","","",$equipRef $bmsName,"","","","","","",✓,"","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",9164,2019-10-31T12:00:00-07:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:28:57.828-07:00 Los_Angeles,"","","","","",Entering Preheat Water Temp,"",AI3000063,"","","","","","",✓,"","","",✓,"","","","","","","","",✓,@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","",@p:ubcv:r:24300dff-6e4a66f9 .+(\.|-| )PH-T,✓,JCL-NAE33/FCB.Local Application.PH-T.Trend1,Los_Angeles,°C,"","","",✓,"","",2020-04-14T16:50:01.439Z UTC
@p:ubcv:r:25547e48-6b696ef0 Coal & Mineral Unsorted Points JCL-NAE33/FCB.33A-FEC008.RM258ZN-T,"","",@p:ubcv:r:255470d4-f181f989 MINL (NAE-33),"",TL3000304,✓,JCL-NAE33/FCB.33A-FEC008.RM258ZN-T,"","",@p:ubcv:r:255470d4-f181f989 MINL (NAE-33),"","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",9164,2019-10-31T12:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:28:57.836-07:00 Los_Angeles,"","","","","",JCL-NAE33/FCB.33A-FEC008.RM258ZN-T,✓,AI3000302,"","","","","","",✓,"","","","","","","","","","","","","",@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","","","",JCL-NAE33/FCB.33A-FEC008.RM258ZN-T.Trend1,Los_Angeles,_,"","","","","","",2020-04-09T19:15:13.885Z UTC
@p:ubcv:r:24662664-ce70c927 Coal & Mineral Unsorted Points JCL-NAE34/FCB-01.FAC-012.AV-E2-F SP,"","",@p:ubcv:r:2465e723-49c365bf MINL (NAE-34),"",TL3003247,✓,JCL-NAE34/FCB-01.FAC-012.AV-E2-F SP,"","",@p:ubcv:r:2465e723-49c365bf MINL (NAE-34),"","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:24662662-ff25d614 Coal & Mineral Unsorted Points,"","","","","",@p:ubcv:r:24662662-0e986c42 Coal & Mineral Unsorted Points,"","","",✓,"","","",2019-08-23T08:00:00-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [213] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",5025,2019-05-07T17:00:00-07:00 Los_Angeles,fault,"","","",✓,Number,2020-05-12T12:37:47.631-07:00 Los_Angeles,"","","","","",JCL-NAE34/FCB-01.FAC-012.AV-E2-F SP,✓,AV3003246,"","","","","","",✓,"","","","","","","","","","","","","",@p:ubcv:r:23f8bfbd-ce363ae0 Coal & Mineral,"","","","","","","","",Los_Angeles,_,"","","","","","",2020-04-09T19:15:13.827Z UTC
