id,ahu,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetObjectId,bacnetPoint,bmsName,bridgeName,chemC_CPP,chilled,chiller,cmd,co2,condenser,connRef,cool,cooling,coolingTower,count,covTest,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,differential,disMacro,discharge,district,domestic,dump,effective,elec,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,filter,flow,groupRef,heat,heatRecovery,heating,highLim,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,jci,johnson,kind,lastSynced,lastTagged,leaving,low,lowLim,mixed,mixing,mode,navName,noTagMatch,objectId,occ,occupancyIndicator,opcConnRef,opcCur,opcPoint,outside,point,pointRef,pointType,power,preFilter,pressure,proj_1830_3W2W,pump,quantityID,reliability,return,roomRef,run,runtime,scheduled,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,sump,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,volume,water,wifi,wifiId,zachName,zone,mod
@p:ubcv:r:227a56cb-fdfb6bc4 Chem Centre AHU-02 JCL-NAE21/N2-A.21ADX008.SAP-SP,"",✓,"","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"",TL3004488,"",✓,JCL-NAE21/N2-A.21ADX008.SAP-SP,"","","","","","","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"","","","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","","",@p:ubcv:r:230df161-512f87fa Chem Centre AHU-02,"","","","",@p:ubcv:r:2203b248-bd64836a Chem Centre Air Systems,"","","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",35639,2018-04-25T16:00:00-07:00 Los_Angeles,ok,"","",✓,✓,Number,2020-05-12T14:27:08.253-07:00 Los_Angeles,2018-12-07T09:45:29.567-08:00 Los_Angeles,"","","","","","",Discharge Air Pressure Sp,"",AO3001973,"","","","","","",✓,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:2093aa01-c205566a Chem Centre,"",✓,"","","","",@p:ubcv:r:23e65d3d-ca68aab9 .+(\.|-| )SAP?-SP,"",JCL-NAE21/N2-A.21ADX008.SAP-SP.Trend1,Los_Angeles,Pa,"","","","","","",AHU-D2.SAP-SP,"",2020-04-09T19:02:03.112Z UTC
@p:ubcv:r:25ba30ba-b042007e Chem Centre Rm D231 Zone JCL-NAE21/N2-A.21AVM146.RAD-VLV,"","","","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"",TL3005773,"","",JCL-NAE21/N2-A.21AVM146.RAD-VLV,"","","","",✓,"","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:230df185-b746f047 Chem Centre Rm D231 Zone,"","","","",@p:ubcv:r:230df184-c6d2a3ed Chem Centre Floor 1,"","",✓,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",10713,2020-01-21T02:00:00-08:00 Los_Angeles,ok,"",✓,✓,"",Number,2020-05-12T14:27:08.867-07:00 Los_Angeles,"","","","","","","",Heating Valve Cmd,"",AO3001093,"","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:2093aa01-c205566a Chem Centre,"","","","","","",@p:ubcv:r:23e65d3d-6e4322ba .+(\.|-| )RAD-VLV,"",JCL-NAE21/N2-A.21AVM146.RAD-VLV.Trend1,Los_Angeles,%,"",✓,"",✓,"","",Physical/Analytical Research.RAD-VLV,"",2020-04-09T19:02:03.113Z UTC
@p:ubcv:r:22bc3c6b-a4d8478c Chem Centre AHU-1B JCL-NAE21/N2-A.FAC-020.FFILT-DP,"",✓,"","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"",TL3005185,"",✓,JCL-NAE21/N2-A.FAC-020.FFILT-DP,"","","","","","","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"","","","","","","","","","",✓,"",✓,$equipRef $bmsName,✓,"","","","","","","","","","",@p:ubcv:r:230df185-4603ac91 Chem Centre AHU-1B,"","",✓,"",@p:ubcv:r:2203b248-bd64836a Chem Centre Air Systems,"","","",200Pa,✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",16735,2018-06-14T16:00:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:27:08.255-07:00 Los_Angeles,2018-08-09T16:08:04.675-07:00 Los_Angeles,"","",0Pa,"","","",Discharge Air Filter DP,"",AI3005073,"","","","","","",✓,"","","","",✓,"","","","","","","","","",✓,@p:ubcv:r:2093aa01-c205566a Chem Centre,"","","","","","",@p:ubcv:r:258179e1-5f54b534 .+(\.|-| )F?FILT-(DP|S),"",JCL-NAE21/N2-A.FAC-020.FFILT-DP.Trend1,Los_Angeles,Pa,"","","","","","",AHU-D1B.FFILT-DP,"",2020-04-09T19:02:03.114Z UTC
@p:ubcv:r:22bc3c6b-5d43bcbc Chem Centre Lab Exhaust System EF-4 JCL-NAE21/N2-A.FEC-019.EF4-O,"","","","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"",TL3005421,"",✓,JCL-NAE21/N2-A.FEC-019.EF4-O,"",✓,"","",✓,"","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:258d3e74-c23c9f4b Chem Centre Lab Exhaust System EF-4,✓,✓,"","",@p:ubcv:r:2203b248-bd64836a Chem Centre Air Systems,"","","","",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",66464,2018-06-18T03:15:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:27:08.868-07:00 Los_Angeles,2018-08-09T16:08:04.677-07:00 Los_Angeles,"","","","","","",Exhaust Fan Speed Cmd,"",AO3005165,"","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:2093aa01-c205566a Chem Centre,"","",✓,"","","",@p:ubcv:r:23e65d3d-b21f41f2 .+(\.|-| )EF\d?\w?-O,"",JCL-NAE21/N2-A.FEC-019.EF4-O.Trend1,Los_Angeles,%,"","","","","","",LVL3-EXH.EF4-O,"",2020-04-09T19:02:03.115Z UTC
@p:ubcv:r:21c435bb-5ba94b00 Chem Centre Heating Plant P3 JCL-NAE21/N2-A.21ADX001.P3-C,"","","","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"",TL3001649,"",✓,JCL-NAE21/N2-A.21ADX001.P3-C,"","","","",✓,"","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"","","","",✓,"","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","","","","Off,On",P3,@p:ubcv:r:230df161-60c74ff2 Chem Centre Heating Plant,"","","","",@p:ubcv:r:21850253-72b2f96b Chem Centre Hydronic Systems,"","","","",✓,"","","",2020-05-12T09:34:58-07:00 Los_Angeles,"","",cov,550,2017-10-07T17:02:40-07:00 Los_Angeles,ok,"","",✓,✓,Bool,2020-05-12T14:27:07.907-07:00 Los_Angeles,2018-12-07T09:45:29.569-08:00 Los_Angeles,"","","","","","",Run Cmd,"",BO3001648,"","","","","","",✓,"","","","","",✓,✓,"","","","",✓,"","","",@p:ubcv:r:2093aa01-c205566a Chem Centre,"","","","","","",@p:ubcv:r:23e65d3d-604110c2 .+(\.|-|_)C?H?P\d+(-)?C,"",JCL-NAE21/N2-A.21ADX001.P3-C.Trend,Los_Angeles,"","","","","","","",Radiation Hot Water.P3-C,"",2020-05-12T11:03:27.577Z UTC
@p:ubcv:r:22bc3c33-edab5706 Chem Centre Rm D215 Zone JCL-NAE21/N2-A.21AVM127.ZNT-SP,"",✓,"","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"",TL3000926,"",✓,JCL-NAE21/N2-A.21AVM127.ZNT-SP,"","","","","","","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","",✓,"","","","","","",@p:ubcv:r:230df185-97224bfe Chem Centre Rm D215 Zone,"","","","",@p:ubcv:r:230df184-c6d2a3ed Chem Centre Floor 1,"","","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",33462,2018-06-14T15:30:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:27:08.257-07:00 Los_Angeles,2018-12-07T09:45:38.14-08:00 Los_Angeles,"","","","","","",Zone Temp Effective Sp,"",AO3000925,"","","","","","",✓,"","","","","","","","","","",@p:ubcv:r:230df185-ef04f9a8 Chem Centre Rm D215,"","","","",@p:ubcv:r:2093aa01-c205566a Chem Centre,"",✓,"","","","",@p:ubcv:r:23e65d3e-1fede0fa .+(\.|-| )ZNT-SP,✓,JCL-NAE21/N2-A.21AVM127.ZNT-SP.Trend,Los_Angeles,°C,"","","","","","",Seminar Room.ZNT-SP,✓,2020-04-09T19:02:03.116Z UTC
@p:ubcv:r:22bc3c34-8a63ac77 Chem Centre Unsorted Points JCL-NAE21/Programming.Weather Predictor.Wednesday OA-T,"",✓,"","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"",TL3004100,"",✓,JCL-NAE21/Programming.Weather Predictor.Wednesday OA-T,"","","","","","","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:22837e91-b5747bd2 Chem Centre Unsorted Points,"","","","",@p:ubcv:r:22837e7d-3e9b0143 Chem Centre Unsorted Points,"","","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",16735,2018-06-14T16:00:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:27:08.258-07:00 Los_Angeles,2018-12-07T09:45:29.517-08:00 Los_Angeles,"","","","","","",Outside Air Temp,"",AV3004099,"","","","","",✓,✓,"","","","","","","","","","","","","","",✓,@p:ubcv:r:2093aa01-c205566a Chem Centre,"","","","","","",@p:ubcv:r:23e65d3d-5671e7b8 .+(\.|-| |_)OA(_|-)T,✓,JCL-NAE21/Programming.Weather Predictor.Wednesday OA-T.Trend1,Los_Angeles,°C,"","","","","","",Chemistry Centre.Wednesday OA-T,"",2020-04-09T19:02:03.117Z UTC
@p:ubcv:r:22bc3c34-510c866a Chem Centre Unsorted Points JCL-NAE21/Programming.Ventilation Systems.AHU-D2.MAX-VAV-DMP,"","","","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"",TL3004338,"",✓,JCL-NAE21/Programming.Ventilation Systems.AHU-D2.MAX-VAV-DMP,"","","","","","","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:22837e91-b5747bd2 Chem Centre Unsorted Points,"","","","",@p:ubcv:r:22837e7d-3e9b0143 Chem Centre Unsorted Points,"","","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",16735,2018-06-14T16:00:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:27:08.26-07:00 Los_Angeles,2018-07-30T13:54:03.5-07:00 Los_Angeles,"","","","","","",JCL-NAE21/Programming.Ventilation Systems.AHU-D2.MAX-VAV-DMP,✓,AV3004337,"","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:2093aa01-c205566a Chem Centre,"","","","","","","","",JCL-NAE21/Programming.Ventilation Systems.AHU-D2.MAX-VAV-DMP.Trend1,Los_Angeles,%,"","","","","","",AHU-D2.MAX-VAV-DMP,"",2020-04-09T19:02:03.118Z UTC
@p:ubcv:r:2590e4f0-3e9a28bb Chem Centre Rm D138 VAV-118 JCL-NAE21/N2-A.21AVM119.SA-F,"",✓,"","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"",TL3005552,"","",JCL-NAE21/N2-A.21AVM119.SA-F,"","","","","","","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"","","","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","","",@p:ubcv:r:230df184-8977f780 Chem Centre Rm D138 VAV-118,"","","",✓,@p:ubcv:r:230df161-5f7ab9a0 Chem Centre Basement,"","","","",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",13720,2019-12-20T18:15:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:27:08.87-07:00 Los_Angeles,"","","","","","","",Discharge Air Flow,"",AI3000742,"","","","","","",✓,"","","","","","","","","","","","","","",✓,@p:ubcv:r:2093aa01-c205566a Chem Centre,"","","","","","",@p:ubcv:r:23e65d3d-a163c209 .+(\.|-| )(S|D)A-F,"",JCL-NAE21/N2-A.21AVM119.SA-F.Trend1,Los_Angeles,L/s,"","","","","","",Grid F-20.SA-F,"",2020-04-09T19:02:03.119Z UTC
@p:ubcv:r:25ba30ba-66749336 Chem Centre Rm D138 VAV-118 JCL-NAE21/N2-A.21AVM119.RAD-VLV,"","","","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"",TL3005713,"","",JCL-NAE21/N2-A.21AVM119.RAD-VLV,"","","","",✓,"","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:230df184-8977f780 Chem Centre Rm D138 VAV-118,"","","","",@p:ubcv:r:230df161-5f7ab9a0 Chem Centre Basement,"","",✓,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",10713,2020-01-21T02:00:00-08:00 Los_Angeles,ok,"",✓,✓,"",Number,2020-05-12T14:27:08.872-07:00 Los_Angeles,"","","","","","","",Heating Valve Cmd,"",AO3000727,"","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:2093aa01-c205566a Chem Centre,"","","","","","",@p:ubcv:r:23e65d3d-6e4322ba .+(\.|-| )RAD-VLV,"",JCL-NAE21/N2-A.21AVM119.RAD-VLV.Trend1,Los_Angeles,%,"",✓,"",✓,"","",Grid F-20.RAD-VLV,"",2020-04-09T19:02:03.12Z UTC
@p:ubcv:r:2590e4f1-dfc4a15d Chem Centre Lab D420 Zone JCL-NAE21/N2-B.21BDX020.EV-D39-F,"",✓,"","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"",TL3000283,"","",JCL-NAE21/N2-B.21BDX020.EV-D39-F,"","","","","","","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:230df185-f4f383a0 Chem Centre Lab D420 Zone,✓,"","",✓,@p:ubcv:r:230df185-0b3dda7c Chem Centre Floor 3,"","","","",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",14092,2019-12-17T18:15:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:27:08.874-07:00 Los_Angeles,"","","","","","","",Exhaust Air Flow,"",AI3000282,"","","","","","",✓,"","","","","","","","","","","","","","",✓,@p:ubcv:r:2093aa01-c205566a Chem Centre,"","","","","","",@p:ubcv:r:24808299-5ddfbef9 .+(\.|-| )E(V|F)-?(E|D)?\d+-F(.+)?,"",JCL-NAE21/N2-B.21BDX020.EV-D39-F.Trend,Los_Angeles,L/s,"","","","","","",LAB-D420.EV-D39-F,"",2020-04-09T19:02:03.121Z UTC
@p:ubcv:r:227a56cb-3c5d0196 Chem Centre Cooling Plant JCL-NAE21/N2-A.21ADX003.HORN-C,"","","","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"",TL3001842,"",✓,JCL-NAE21/N2-A.21ADX003.HORN-C,"","","","","","","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","Off,On","",@p:ubcv:r:227a514b-40e224ea Chem Centre Cooling Plant,"","","","",@p:ubcv:r:21850253-72b2f96b Chem Centre Hydronic Systems,"","","","",✓,"","","",2020-03-10T08:53:16-07:00 Los_Angeles,"","","",16,2017-08-25T10:30:29-07:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:27:07.664-07:00 Los_Angeles,2018-08-08T17:09:40.116-07:00 Los_Angeles,"","","","","","",JCL-NAE21/N2-A.21ADX003.HORN-C,✓,BO3001841,"","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:2093aa01-c205566a Chem Centre,"","","","","","","","",JCL-NAE21/N2-A.21ADX003.HORN-C.Trend,Los_Angeles,"","","","","","","",Refrig Alarm.HORN-C,"",2020-04-08T18:55:26.31Z UTC
@p:ubcv:r:22bc3c33-76559bf7 Chem Centre Unsorted Points JCL-NAE21/N2-A.21AVM170.ZN-T,"",✓,"","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"",TL3001477,"",✓,JCL-NAE21/N2-A.21AVM170.ZN-T,"","","","","","","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:22837e91-b5747bd2 Chem Centre Unsorted Points,"","","","",@p:ubcv:r:22837e7d-3e9b0143 Chem Centre Unsorted Points,"","","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",33462,2018-06-14T15:30:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:27:08.261-07:00 Los_Angeles,2018-12-07T09:45:29.573-08:00 Los_Angeles,"","","","","","",Zone Temp,"",AI3001475,"","","","","","",✓,"","","","","","","","","","","","","","",✓,@p:ubcv:r:2093aa01-c205566a Chem Centre,"","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,JCL-NAE21/N2-A.21AVM170.ZN-T.Trend,Los_Angeles,°C,"","","","","","",Grid F-20.ZN-T,✓,2020-04-09T19:02:03.122Z UTC
@p:ubcv:r:238b3d7b-6af1e6d3 Chem Centre Unsorted Points JCL-NAE22/FCB.Local Application.Chem_D_DHX1-SP,"","","","",@p:ubcv:r:217b9cc5-d78bcc87 CHEM (NAE-22),"",TL3000064,"",✓,JCL-NAE22/FCB.Local Application.Chem_D_DHX1-SP,"","","","","","","",@p:ubcv:r:217b9cc5-d78bcc87 CHEM (NAE-22),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:22837e91-b5747bd2 Chem Centre Unsorted Points,"","","","",@p:ubcv:r:22837e7d-3e9b0143 Chem Centre Unsorted Points,"","","","",✓,"","","",2020-04-21T07:15:00-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [203] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",48772,2018-11-23T02:45:00-08:00 Los_Angeles,fault,"","",✓,"",Number,2020-05-11T17:48:52.113-07:00 Los_Angeles,2018-11-25T13:45:23.297-08:00 Los_Angeles,"","","","","","",JCL-NAE22/FCB.Local Application.Chem_D_DHX1-SP,✓,AV3000063,"","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:2093aa01-c205566a Chem Centre,"","","","","","","","",JCL-NAE22/FCB.Local Application.Chem_D_DHX1-SP.Trend1,Los_Angeles,°C,"","","","","","","","",2020-04-30T11:08:30.003Z UTC
@p:ubcv:r:22bc3c33-fdbe33b8 Chem Centre Rm D316 Zone JCL-NAE21/N2-A.21AVA156.D316-T,"",✓,"","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"",TL3002959,"",✓,JCL-NAE21/N2-A.21AVA156.D316-T,"","","","","","","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:230df184-0a50da31 Chem Centre Rm D316 Zone,"","","","",@p:ubcv:r:230df184-6bbb79c1 Chem Centre Floor 2,"","","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",33462,2018-06-14T15:30:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:27:08.263-07:00 Los_Angeles,2018-12-07T09:45:38.14-08:00 Los_Angeles,"","","","","","",Zone Temp,"",AI3002957,"","","","","","",✓,"","","","","","","","","","",@p:ubcv:r:230df184-45f5f60c Chem Centre Rm D316,"","","",✓,@p:ubcv:r:2093aa01-c205566a Chem Centre,"","","","","","",@p:ubcv:r:23e65d3e-7700b082 .+(\.|-| )D\d+(\(N\)|\(S\)|[A-Z])?-T,✓,JCL-NAE21/N2-A.21AVA156.D316-T.Trend,Los_Angeles,°C,"","","","","","",Second Floor Zone Controls.D316-T,✓,2020-04-09T19:02:03.123Z UTC
@p:ubcv:r:22bc3c33-09fe80f1 Chem Centre Rm D316 Zone JCL-NAE21/N2-A.21AVA156.D318-T,"",✓,"","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"",TL3002964,"",✓,JCL-NAE21/N2-A.21AVA156.D318-T,"","","","","","","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:230df184-0a50da31 Chem Centre Rm D316 Zone,"","","","",@p:ubcv:r:230df184-6bbb79c1 Chem Centre Floor 2,"","","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",33462,2018-06-14T15:30:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:27:08.264-07:00 Los_Angeles,2018-12-07T09:45:38.21-08:00 Los_Angeles,"","","","","","",Zone Temp,"",AI3002962,"","","","","","",✓,"","","","","","","","","","",@p:ubcv:r:230df184-45f5f60c Chem Centre Rm D316,"","","",✓,@p:ubcv:r:2093aa01-c205566a Chem Centre,"","","","","","",@p:ubcv:r:23e65d3e-7700b082 .+(\.|-| )D\d+(\(N\)|\(S\)|[A-Z])?-T,✓,JCL-NAE21/N2-A.21AVA156.D318-T.Trend,Los_Angeles,°C,"","","","","","",Second Floor Zone Controls.D318-T,✓,2020-04-09T19:02:03.124Z UTC
@p:ubcv:r:22bc3c33-661f92c3 Chem Centre Rm D126 VAV-108 JCL-NAE21/N2-A.21AVM108.ZNT-SP,"",✓,"","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"",TL3000480,"",✓,JCL-NAE21/N2-A.21AVM108.ZNT-SP,"","","","","","","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","",✓,"","","","","","",@p:ubcv:r:230df184-232bc1bc Chem Centre Rm D126 VAV-108,"","","","",@p:ubcv:r:230df161-5f7ab9a0 Chem Centre Basement,"","","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",33462,2018-06-14T15:30:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:27:08.266-07:00 Los_Angeles,2018-12-07T09:45:29.575-08:00 Los_Angeles,"","","","","","",Zone Temp Effective Sp,"",AO3000479,"","","","","","",✓,"","","","","","","","","","",@p:ubcv:r:230df184-dd0da27d Chem Centre Rm D126,"","","","",@p:ubcv:r:2093aa01-c205566a Chem Centre,"",✓,"","","","",@p:ubcv:r:23e65d3e-1fede0fa .+(\.|-| )ZNT-SP,✓,JCL-NAE21/N2-A.21AVM108.ZNT-SP.Trend,Los_Angeles,°C,"","","","","","",Core Services Lab - North.ZNT-SP,✓,2020-04-09T19:02:03.125Z UTC
@p:ubcv:r:21c4353b-d0bfa88c Chem Centre Heating Plant P2 JCL-NAE21/N2-A.21ADX001.P2-VSD,"","","","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"",TL3001633,"",✓,JCL-NAE21/N2-A.21ADX001.P2-VSD,"","","","",✓,"","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"","","","","","","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","","","","",P2,@p:ubcv:r:230df161-60c74ff2 Chem Centre Heating Plant,"","","","",@p:ubcv:r:21850253-72b2f96b Chem Centre Hydronic Systems,"","","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",41978,2017-12-08T11:30:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:27:08.268-07:00 Los_Angeles,2018-08-09T16:08:04.697-07:00 Los_Angeles,"","","","","","",Speed Cmd,"",AO3001632,"","","","","","",✓,"","","","","",✓,✓,"","","","","","","","",@p:ubcv:r:2093aa01-c205566a Chem Centre,"","",✓,"","","",@p:ubcv:r:23e65d3d-8b3b50a2 .+(\.|-| )P\d?\w?-VSD,"",JCL-NAE21/N2-A.21ADX001.P2-VSD.Trend,Los_Angeles,%,"","","","","","",Heating Hot Water.P2-VSD,"",2020-05-12T11:03:27.932Z UTC
@p:ubcv:r:263d6e2c-c1074b2f Chem Centre Unsorted Points JCL-NAE22/Local Hardware IO.MIXV-O,"","","","",@p:ubcv:r:217b9cc5-d78bcc87 CHEM (NAE-22),"",TL3000195,"","",JCL-NAE22/Local Hardware IO.MIXV-O,"","","","","","","",@p:ubcv:r:217b9cc5-d78bcc87 CHEM (NAE-22),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:22837e91-b5747bd2 Chem Centre Unsorted Points,"","","","",@p:ubcv:r:22837e7d-3e9b0143 Chem Centre Unsorted Points,"","","","",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"","","",1838,2020-04-29T20:10:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:21:03.724-07:00 Los_Angeles,"","","","","","","",JCL-NAE22/Local Hardware IO.MIXV-O,✓,AO10032,"","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:2093aa01-c205566a Chem Centre,"","","","","","","","",JCL-NAE22/Local Hardware IO.MIXV-O.Trend1,Los_Angeles,%,"","","","","","",1320.PHWS.MIXV-O (AO OUT3),"",2020-04-30T11:08:30.007Z UTC
@p:ubcv:r:22bc3c6b-d5570d2c Chem Centre AHU-1B P15 JCL-NAE21/N2-A.FAC-020.P15-S,"","","","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"",TL3005196,"",✓,JCL-NAE21/N2-A.FAC-020.P15-S,"","","","","","","",@p:ubcv:r:217b9c85-444aa2bf CHEM (NAE-21),"","","","","","","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","","","","Off,On",P15,@p:ubcv:r:230df185-4603ac91 Chem Centre AHU-1B,"","","","",@p:ubcv:r:2203b248-bd64836a Chem Centre Air Systems,"","","","",✓,"","","",2020-05-12T13:40:37-07:00 Los_Angeles,"","","",36498,2018-06-18T03:50:46-07:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:27:09.2-07:00 Los_Angeles,2018-12-07T09:45:29.577-08:00 Los_Angeles,"","","","","","",Run Status,"",BI3005141,"","","","","","",✓,"","","","","","",✓,"","","","",✓,"","",✓,@p:ubcv:r:2093aa01-c205566a Chem Centre,"","","","","","",@p:ubcv:r:23e65d3d-742086c0 .+(\.|-|_)P\d+-(FS-)?S,"",JCL-NAE21/N2-A.FAC-020.P15-S.Trend1,Los_Angeles,"","","","","","","",AHU-D1B.P15-S,"",2020-05-12T11:03:27.718Z UTC
