,hour,date,max_6.0,max_12.0,max_11.0,max_14.0,std_6.0,mean_9.0,std_14.0,std_2.0,std_7.0,min_12.0,mean_13.0,std_13.0,min_2.0,std_0.0,min_8.0,mean_12.0,min_6.0,mean_11.0,std_5.0,std_10.0,max_13.0,mean_1.0,mean_3.0,min_11.0,min_5.0,std_12.0,std_9.0,max_10.0,min_3.0,std_8.0,min_13.0,std_1.0,max_3.0,max_4.0,max_8.0,max_1.0,min_14.0,std_11.0,mean_14.0,min_4.0,mean_8.0,mean_6.0,mean_7.0,std_4.0,mean_4.0,max_9.0,mean_0.0,mean_10.0,std_3.0,min_0.0,mean_5.0,max_5.0,max_7.0,max_2.0,min_9.0,max_0.0,min_10.0,min_7.0,mean_2.0,min_1.0,urate_0.0,urate_1.0,urate_2.0,urate_3.0,urate_4.0,urate_5.0,urate_6.0,urate_7.0,urate_8.0,urate_9.0,urate_10.0,urate_11.0,urate_12.0,urate_13.0,urate_14.0
3543,22,2020-05-04,7782.703125,507.8125,58309.53125,800.0,620.5539169695342,48.36217337777777,195.4430826654205,25725.44634419696,19645.687102560296,0.0,427.4849649215688,1887.8213784895402,-13.483342,22004.269806131444,0.0,25.196150593103457,-85.0,491.15469391013215,23943.315540522904,80.5961443521964,16519.853516,21.555837658753696,1548.0715326515597,-80.925964,-15.994995,62.4697658170404,148.93280043619077,305.489929,-150.063873,0.0,-422.0,3.577696819913843,263383.03125,327.669983,0.0,53.844311,0.02,3269.7723249642704,102.67589250000003,-50.0,0.0,393.80242901593635,1461.9135490656708,29.61585096444329,25.27660924201559,725.0,2036.5621647347998,62.34062446850378,11651.231060538708,-93.489929,1983.4306604496503,609863.75,368273.125,520424.4375,0.0,624623.5625,4.33,-1.476961,1559.6777919477781,6.0,3.301602262016965,1.6696944673823286,2.5554445554445553,2.736425339366516,1.55005500550055,2.786908077994429,1.233009708737864,1.7828638497652582,0.5113739763421292,0.0944386149003148,2.419047619047619,3.8254310344827585,0.5370370370370371,1.0467836257309941,0.1556420233463035
3544,23,2020-05-04,7782.703125,507.8125,61634.253906,800.0,620.553916969534,41.2608706353591,195.4430826654205,25812.992905233103,19015.49280427468,0.0,427.4849649215688,1887.8213784895402,-12.960768,21894.44312029417,0.0,24.384943792531114,-85.0,465.4365276127129,24012.557047377202,79.18133778281133,16519.853516,21.481299591237406,1601.2489401427465,-80.19693,-15.285308999999998,67.30630490245066,105.47373475956846,328.087891,-150.759735,0.0,-422.0,3.76302001093626,257938.125,327.669983,0.0,53.772064,0.02,3332.7993013415303,102.67589250000003,-50.0,0.0,393.80242901593635,1386.355597138132,29.60546816720775,25.274285405673734,725.0,1993.2067989165728,56.89440800722395,11707.296972179656,-89.793533,2004.3499021741738,635705.0,370774.15625,511990.28125,0.0,611105.5625,3.28,-2.085882,1616.6694252958716,6.0,3.3213949104618283,1.7151114781172585,2.295704295704296,2.8585972850678734,1.551155115511551,2.7757660167130918,1.233009708737864,1.7640845070422535,0.5104640582347588,0.18992654774396642,2.307142857142857,3.6939655172413794,0.4462962962962963,1.0467836257309941,0.1556420233463035
3545,3,2020-05-04,7782.703125,508.125,57287.882812,800.0,620.5539169695343,35.83001966058393,195.44308266542046,25040.209832435197,18041.245047744153,0.0,427.48496492156886,1887.82137848954,-13.224272,21111.031319150006,0.0,22.122924032608697,-85.0,554.4694180687653,20802.845250226303,76.66746162957772,16519.853516,21.704929461538462,1992.5195552981959,-81.0914,-15.463196,63.67374117015285,85.85450463626879,292.136932,-150.290588,0.0,-422.0,4.13632501404814,258134.53125,327.669983,0.0,53.952682,0.02,3807.988982123196,102.67589250000003,-50.0,0.0,393.80242901593635,1366.0340737618144,29.605468167207775,25.274285405673734,725.0,2075.2110041778146,58.022110414814826,13485.248047039642,-90.081573,1767.6963050005174,540781.875,349653.3125,576373.375,0.0,545528.125,5.36,-0.081188,1404.6546287646488,6.0,3.1432610744580582,1.8034682080924855,2.781218781218781,2.677601809954751,1.551155115511551,2.8927576601671308,1.233009708737864,1.7816901408450705,0.5104640582347588,0.28751311647429173,2.4107142857142856,2.644396551724138,0.5111111111111111,1.0467836257309941,0.1556420233463035
3546,4,2020-05-04,7782.703125,508.125,59238.839843999995,800.0,620.5539169695343,29.521226083032488,195.44308266542046,24589.403685636484,16964.08140614167,0.0,427.48496492156886,1887.8213784895397,-13.251636999999999,19725.014532887373,0.0,22.504594410404632,-85.0,564.1617828449479,19392.014184638032,90.38131298101071,16519.853516,21.96668262929931,2071.467903298695,-81.0914,-15.824493,57.638262444931904,85.39681611075247,308.490845,-150.89151,0.0,-422.0,4.331831041208694,297209.3125,327.669983,0.0,54.313927,0.02,3866.3971903965144,102.67589250000003,-50.0,0.0,393.80242901593635,1318.0411314438088,29.605468167207775,25.274285405673734,725.0,1901.0534802906861,73.7504439074925,14483.130390964283,-90.105988,1603.5401900014508,499670.28125,301623.75,589995.8125,0.0,514256.6875,5.25,-0.265105,1425.8630104683891,6.0,3.167766258246937,1.9446738232865401,2.911088911088911,2.739819004524887,1.551155115511551,3.115598885793872,1.233009708737864,1.8051643192488263,0.5104640582347588,0.2906610703043022,2.844047619047619,2.5366379310344827,0.6407407407407407,1.0467836257309941,0.1556420233463035
3547,5,2020-05-04,7782.703125,508.125,56251.128906000005,800.0,620.5539169695343,22.55434030584192,195.4430826654205,23142.175595639383,16164.957394856316,0.0,427.48496492156875,1887.8213784895404,-13.584836,18959.716713857637,0.0,25.335648018292687,-85.0,576.7669585622291,20566.481093507085,86.18640535376834,16519.853516,22.06311681926684,2070.2405904230986,-80.891388,-15.468261999999998,58.84285287115738,83.4245234442707,276.467834,-150.523773,0.0,-422.0,4.467859111435379,300787.125,327.669983,0.0,54.075851,0.02,3812.532226775441,102.67589250000003,-50.0,0.0,393.80242901593635,1284.6092384437977,29.60546816720778,25.274285405673734,724.0,1798.2346830264394,73.51315439236566,14732.42881374326,-90.081573,1782.8065487535425,512328.1875,265908.125,578280.5625,0.0,468798.90625,5.03,-0.527621,1253.9167602720713,6.0,3.422243166823751,1.9372419488026424,2.997002997002997,2.7884615384615383,1.551155115511551,2.7757660167130918,1.233009708737864,1.624413145539906,0.5104640582347588,0.30535152151101785,2.682142857142857,2.5107758620689653,0.6074074074074074,1.0467836257309941,0.1575875486381323
3548,6,2020-05-04,7782.703125,482.8125,58675.61718799999,800.0,620.5539169695343,24.318387964630226,195.4430826654205,25126.88483264861,17112.936027234227,0.0,427.4849649215688,1887.8213784895406,-13.355211,19571.238506572252,0.0,24.561683076666665,-85.0,569.0351921761226,19168.599087785624,85.51128910863396,16519.853516,21.826719946178173,2131.057016086923,-79.995087,-15.10881,58.135164123338896,80.57228030069493,281.40802,-150.43161,0.0,-422.0,4.343645243186569,291556.6875,327.669983,0.0,54.386173,0.02,3741.5514263702885,102.67589250000005,-50.0,0.0,393.80242901593635,1345.1320855904207,29.60546816720777,25.274285405673734,724.0,1865.1853796622365,69.47226793100403,14803.766361769247,-90.081573,1669.531029661712,477602.84375,303632.71875,622978.6875,0.0,501602.21875,5.01,-0.931304,1399.3201748810675,6.0,3.33741753063148,1.8257638315441784,2.758241758241758,2.748868778280543,1.551155115511551,2.9206128133704734,1.233009708737864,1.6044600938967135,0.5104640582347588,0.32633788037775446,2.691666666666667,2.5775862068965516,0.5555555555555556,1.0467836257309941,0.1556420233463035
3549,7,2020-05-04,7782.703125,482.8125,53608.882811999996,439077.78125,620.184304242724,32.8318165269923,46527.544686438574,26602.09924222387,16096.94424988371,0.0,427.4849649215688,1887.8213784895404,-13.434189000000002,19497.750216217257,0.0,24.068712388888883,-85.0,538.2906998524447,19959.189231707023,83.80325139637095,16519.853516,21.853036918669126,1117.670579897564,-80.724121,-15.102814,60.49894605117193,72.23653166373286,281.220184,-151.127472,0.0,-422.0,4.348228229581114,331824.34375,327.669983,0.0,54.21278,0.02,3634.99779271922,12468.935354333342,-50.0,0.0,393.019844664016,1240.4965190908272,29.594968830492242,25.27448167824236,725.0,1864.5727925289993,68.14208770961882,14651.897377537804,-90.081573,1797.0192643475082,490593.28125,278297.0625,650743.75,0.0,485886.53125,4.91,-0.549488,1531.3438634297283,6.0,3.2657869934024504,1.786952931461602,2.6003996003996006,2.752262443438914,1.5522552255225524,2.6977715877437327,1.2354368932038835,1.7077464788732395,0.5168334849863512,0.40818467995802726,2.623809523809524,2.5905172413793105,0.5,1.0467836257309941,0.28599221789883267
3550,8,2020-05-04,7782.703125,482.8125,58435.519531,800.0,620.553916969534,22.31385275,195.4430826654205,26699.133418160036,17453.969726942203,0.0,427.4849649215688,1887.8213784895402,-13.281767,19551.848933027926,0.0,24.46943413669064,-85.0,550.1239397668356,20025.26964127621,78.98570469632693,16519.853516,21.9242088850316,1156.9453058005104,-81.0914,-15.450287,60.209324029840616,79.1766433032388,283.603027,-150.658325,0.0,-422.0,4.498984951752345,314523.09375,327.669983,0.0,54.024933,0.02,3716.7920052017307,102.67589250000005,-50.0,0.0,393.80242901593635,1346.2274877793416,29.605468167207764,25.274285405673734,725.0,1878.521828468507,62.253524045769765,14420.045937826182,-90.312454,1702.7731914002047,521580.3125,315427.1875,605189.5,0.0,499598.5,4.52,-0.71426,1540.777648411567,6.0,3.2770970782280866,1.8315441783649875,2.5954045954045952,2.675339366515837,1.551155115511551,2.9303621169916436,1.233009708737864,1.6725352112676057,0.5113739763421292,0.33997901364113325,2.575,2.605603448275862,0.5148148148148148,1.0467836257309941,0.1556420233463035
3551,9,2020-05-04,7782.703125,482.8125,52937.589844,800.0,620.5539169695342,23.8112919013453,195.44308266542046,25805.474904417457,16927.51023091781,0.0,427.48496492156886,1887.8213784895397,-13.137396999999998,19275.73289212863,0.0,22.877314285087724,-85.0,555.7924317998272,19801.71487685056,80.25299565761985,16519.853516,21.676475291981106,1206.8132810446357,-80.724121,-15.824492999999999,65.48368163805588,95.39839344394285,283.496521,-150.658325,0.0,-422.0,4.3410508849257745,308175.21875,327.669983,0.0,53.923786,0.02,3666.1103799833263,102.67589250000003,-50.0,0.0,393.80242901593635,1337.7756613483255,29.605468167207768,25.274285405673734,725.0,1834.9660967003595,62.946586634272236,14422.884766344529,-90.312454,1725.6623497661712,482949.9375,273645.375,617202.625,0.0,482043.9375,4.52,-0.305668,1476.1596386897825,6.0,3.3939679547596606,1.7506193228736582,2.647352647352647,2.6515837104072397,1.551155115511551,2.828690807799443,1.233009708737864,1.6842723004694835,0.5104640582347588,0.23399790136411333,2.5357142857142856,2.5258620689655173,0.4222222222222222,1.0467836257309941,0.1556420233463035
3552,0,2020-05-03,7782.703125,505.156281,58302.898438,800.0,639.5540604627367,37.21543278761062,169.9876890366997,28949.430065538963,18295.37963666504,0.0,408.59345623983745,1825.9311230961243,-14.910455999999998,20119.606486143155,0.0,22.457521924999998,-85.0,443.73562376822144,25975.484922637355,39.060088827473976,16519.853516,22.134719445646834,1891.0447368609337,-82.020477,-15.818969999999998,59.639370199386924,82.25346799248821,164.29068,-153.635376,0.0,-422.0,6.364321102460743,261910.703125,327.669983,0.0,101.61692,0.02,3480.5805093201734,81.20307079310348,-50.0,0.0,372.95243947938764,1442.9484231266867,32.57760749948836,25.521087701039853,724.0,1820.9523133979117,40.3792805420369,13773.871833239928,-90.154846,2595.5673288113644,550050.125,319244.0,611676.625,0.0,529624.3125,6.819688,-0.758373,1819.843914614583,6.0,3.429783223374175,1.6787778695293145,2.2997002997002998,2.487556561085973,1.2695269526952695,2.030640668523677,1.0424757281553398,1.6443661971830985,0.4294813466787989,0.23714585519412382,1.7416666666666667,2.9956896551724137,0.4444444444444444,0.8538011695906432,0.11284046692607004
3553,1,2020-05-03,7782.703125,505.1562809999999,55713.3125,800.0,620.5539169695342,40.74915264808364,195.4430826654205,24678.828276175747,18170.272969574988,0.0,427.4849649215688,1887.8213784895404,-14.009751000000001,19810.61774050128,0.0,25.104703953974898,-85.0,447.59307980319966,24776.27064817637,73.62777850523246,16519.853516,21.67910177933612,1856.6025400330695,-80.19693,-14.940598,67.72491545378651,83.89259110148693,250.645798,-150.318237,0.0,-422.0,5.034644057681147,301121.125,327.669983,0.0,100.477524,0.02,3370.420115113367,102.67589250000003,-50.0,0.0,393.80242901593635,1333.147980292393,29.615760387710587,25.27731896522354,724.0,1832.8336880089475,71.02931533788026,13475.990031734067,-90.0,2341.8128741898395,554215.875,362358.25,584855.6875,0.0,555029.125,7.384269,-0.268466,1430.8877797719458,6.0,3.47502356267672,1.7663088356729975,2.7142857142857144,2.6142533936651584,1.55005500550055,2.2910863509749304,1.233009708737864,1.8086854460093897,0.5104640582347588,0.3011542497376705,2.269047619047619,3.1336206896551726,0.4425925925925926,1.0467836257309941,0.1556420233463035
3554,10,2020-05-03,7782.703125,505.156281,53410.234375,800.0,620.5539169695343,33.99801519650653,195.4430826654205,26703.698749235158,16878.88863153554,0.0,427.4849649215688,1887.8213784895404,-13.664936,20240.605987577277,0.0,28.70198872857143,-85.0,513.1347455590883,21277.975176614455,74.59105867258589,16519.853516,21.723910937645403,1236.7379724150692,-80.333801,-15.819884999999998,73.05129877786986,93.38596532127829,281.960022,-151.127472,0.0,-422.0,4.755039905236241,301899.125,327.669983,0.0,103.401077,0.02,3306.0516507391226,102.67589250000003,-50.0,0.0,393.80242901593635,1276.7935278080065,29.667565091315957,25.291127081196557,725.0,1922.8701823177605,57.84391987555551,14319.581019919371,-90.081573,1935.5669943511934,503031.875,318299.8125,625605.9375,0.0,513220.71875,4.41,-0.31491,1558.8453976118733,6.0,3.2478793590951933,1.7745664739884393,2.5794205794205793,2.670814479638009,1.5445544554455446,2.5877437325905293,1.233009708737864,1.7734741784037558,0.5095541401273885,0.2402938090241343,2.4107142857142856,3.1551724137931036,0.3888888888888889,1.0467836257309941,0.1556420233463035
3555,11,2020-05-03,7782.703125,505.156281,59545.816406,800.0,620.5539169695344,31.03309306730768,195.4430826654205,26236.39185307508,17351.56500897944,0.0,427.48496492156875,1887.8213784895404,-13.682783,19889.027171297235,0.0,28.00044036893203,-85.0,625.1922391365154,20405.399030418488,74.23867105980754,16519.853516,22.064049033844718,1284.2866292739732,-80.360535,-15.283920000000002,73.520622664789,98.26865825847936,283.727478,-152.89801,0.0,-422.0,5.0872762234232125,304148.3125,327.669983,0.0,103.338638,0.02,3814.346326154884,102.67589250000003,-50.0,0.0,393.80242901593635,1360.75672525,29.60546816720776,25.274285405673734,725.0,1883.6802103000268,59.7619609405256,14466.03607174696,-90.081573,1842.7217524624007,482026.53125,309452.75,586577.875,0.0,494985.875,4.57,-0.538037,1565.0759237035538,6.0,3.3204524033930256,1.8298926507018993,2.4835164835164836,2.740950226244344,1.551155115511551,2.6894150417827296,1.233009708737864,1.6607981220657277,0.5122838944494995,0.21825813221406087,2.5821428571428573,2.627155172413793,0.3814814814814815,1.0467836257309941,0.1556420233463035
3556,12,2020-05-03,7782.703125,505.156281,59591.378906,800.0,620.5539169695343,32.85750946706586,195.4430826654205,26196.63980350439,17404.622679227934,0.0,427.4849649215688,1887.8213784895402,-13.667089,20426.90566497055,0.0,25.813919252669027,-85.0,631.699457338793,19548.62895330455,77.08392862082886,16519.853516,25.661164728365293,1384.3778857668344,-79.970215,-16.002838,63.48937986049776,109.42051689014711,283.406891,-150.43161,0.0,-422.0,16.455688950957327,342765.6875,327.669983,0.0,102.568268,0.02,3908.8848450365444,102.67589250000005,-50.0,0.0,393.80242901593635,1346.2056283558215,29.61571209517855,25.277673826827513,725.0,1939.3669163524617,61.38207792480863,15379.913908805383,-90.081573,1716.5634237056656,466515.25,312414.75,626434.5,0.0,520933.875,4.53,-0.956749,1509.0979082206898,6.0,3.2676720075400567,2.0611065235342694,2.7152847152847155,2.7036199095022626,1.55005500550055,2.8593314763231197,1.233009708737864,1.7863849765258215,0.5095541401273885,0.17523609653725078,2.644047619047619,2.538793103448276,0.5203703703703704,1.0467836257309941,0.1556420233463035
