,uniqueId,mean,std,min,max,update_rate,endUseLabel,energy_no_energy,energy_yes_energy,sensor_no_sensor,sensor_yes_sensor,equipRef_Air_Equip,equipRef_Cooling,equipRef_Heating,equipRef_LEED,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
10,AHU-14 SF Air Systems Energy AHU14_SF_VFD_PWR(kWh),0.00019319900156146368,0.0051589902673753055,0.00019214072459438424,0.0001942730056382684,0.9999056959637871,02_HEATING_COOLING_COMBINED,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-2.909738488390689e-06,0.0,-2.9097384883909613e-06,-2.909738488390962e-06,0.0,1.3796829412405018e-06,1.3796829412405446e-06,1.3796829412405448e-06,2.6066200123750415e-06,1.075501478026953e-06,1.5684553075745089e-06,0.0,-2.4276513777150052e-05,-3.7525109703030894e-06,0.0,4.3688502459798295e-05,-1.3184477299230853e-05,0.0,-1.3184477299230885e-05,-1.3184477299230893e-05
11,AHU-15 SF Air Systems Energy AHU15_SF_VFD_PWR(kWh),0.0008998289652485135,0.025464552581203396,0.0008946770933272633,0.0009049395014970849,0.9999056959637871,02_HEATING_COOLING_COMBINED,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.32318119410996e-05,0.0,-1.3231811941101866e-05,-1.323181194110188e-05,0.0,5.652539826969983e-06,5.652539826970013e-06,5.652539826970017e-06,6.131092976273658e-06,7.754224300448692e-06,-3.3944281446700756e-07,0.0,-0.00013075750295527984,-1.84803982895877e-05,0.0,0.0002048311499302483,-7.007936005390597e-05,0.0,-7.007936005390826e-05,-7.007936005390827e-05
12,AHU-17 SF Air Systems Energy AHU17_SF_VFD_PWR(kWh),0.00011602387027140172,0.00324145479193017,0.00011537004494015936,0.00011667723908360458,0.9997170878913615,02_HEATING_COOLING_COMBINED,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.7203320948350902e-06,0.0,-1.72033209483522e-06,-1.7203320948352234e-06,0.0,7.440042302461812e-07,7.440042302461853e-07,7.440042302461856e-07,8.742319179270248e-07,9.518212028309828e-07,6.856562777944022e-08,0.0,-1.654093914740772e-05,-2.361175822594094e-06,0.0,2.626919561702529e-05,-8.88472104034483e-06,0.0,-8.884721040345132e-06,-8.884721040345135e-06
13,AHU-18 RF Air Systems Energy AHU18_RF_VFD_PWR(kWh),0.0,0.0,0.0,0.0,0.9997170878913615,02_HEATING_COOLING_COMBINED,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,AHU-18 SF Air Systems Energy AHU18_SF_VFD_PWR(kWh),0.0,0.0,0.0,0.0,0.9997170878913615,02_HEATING_COOLING_COMBINED,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,EF-22 Air Systems Energy EF_22_VFD_PWR(kWh),1.4264944735179819e-05,0.0003985879737926873,1.4184550826506969e-05,1.4345275462157086e-05,0.9997170878913615,02_HEATING_COOLING_COMBINED,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-2.1183488043396519e-07,0.0,-2.1183488043397752e-07,-2.1183488043397757e-07,0.0,9.180260858148681e-08,9.18026085814874e-08,9.180260858148743e-08,1.0961673232772228e-07,1.1635553897168612e-07,1.0938063355803613e-08,0.0,-2.0312109231600274e-06,-2.9024595180094305e-07,0.0,3.2342512320578195e-06,-1.090988064990484e-06,0.0,-1.0909880649905071e-06,-1.0909880649905078e-06
16,Heating Plant HX-1 P-HX1A Hydronic Systems Energy HX1_PHX1A_VFD_PWR(kWh),0.00029947642735549915,0.007506745362425101,0.00029804509612130193,0.00030096894889884213,0.9997170878913615,00_HEATING_SPACE_AND_WATER,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-3.365206314503683e-06,0.0,-3.3652063145044177e-06,-3.3652063145044172e-06,0.0,3.8089751695418786e-06,3.8089751695418664e-06,3.8089751695418655e-06,1.057163985786739e-05,2.9963053118682125e-06,1.0267265393675535e-05,0.0,-1.191177584657361e-05,-8.702333800515968e-06,0.0,6.748929920067506e-05,-1.5616269586584495e-05,0.0,-1.561626958658495e-05,-1.5616269586584953e-05
17,Heating Plant HX-1 P-HX1B Hydronic Systems Energy HX1_PHX1B_VFD_PWR(kWh),0.0,0.0,0.0,0.0,0.9997170878913615,00_HEATING_SPACE_AND_WATER,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Heating Plant HX-3 P-HX3A Hydronic Systems Energy HX3_PHX3A_VFD_PWR(kWh),2.3932601814698696e-05,0.0006580394034010093,2.3803112865200705e-05,2.4062008535122944e-05,0.9999056959637871,00_HEATING_SPACE_AND_WATER,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-2.0222769939526265e-07,0.0,-2.0222769939538174e-07,-2.022276993953824e-07,0.0,2.3975487390173625e-07,2.397548739017289e-07,2.397548739017289e-07,4.786397035767787e-07,3.7022307409469783e-07,3.8579493004212814e-07,0.0,-1.4461232032643395e-06,-6.934448736196755e-07,0.0,4.731302415234851e-06,-1.524138871286848e-06,0.0,-1.5241388712868962e-06,-1.5241388712868969e-06
19,Heating Plant HX-3 P-HX3B Hydronic Systems Energy HX3_PHX3B_VFD_PWR(kWh),2.1415369127223515e-05,0.0006351033160857286,2.129083182788837e-05,2.154127877910555e-05,0.9999056959637871,00_HEATING_SPACE_AND_WATER,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-4.517216111251095e-07,0.0,-4.517216111252201e-07,-4.5172161112522095e-07,0.0,1.109012821838902e-07,1.109012821838899e-07,1.1090128218388993e-07,3.775308516345282e-07,-1.6918328980661243e-07,2.6730679193223497e-07,0.0,-3.961800252955965e-06,-1.2102014858530762e-07,0.0,6.048430821172691e-06,-1.3446865320702536e-06,0.0,-1.3446865320702924e-06,-1.344686532070293e-06
20,Heating Plant P-4A Hydronic Systems Energy HTREJ_P4A_VFD_PWR(kWh),0.0007396840383220373,0.024644520493105396,0.0007346551384791673,0.0007447667835420444,0.9999056959637871,00_HEATING_SPACE_AND_WATER,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.8495838103804141e-06,0.0,1.8495838103813636e-06,1.8495838103813658e-06,0.0,-1.2377067468193374e-06,-1.2377067468184476e-06,-1.237706746818455e-06,2.4716512594634245e-05,1.7280684883163644e-05,-6.117021585726765e-05,0.0,-0.0006782807681745578,0.00016092352989689613,0.0,0.0005350079914778509,-6.85111613437089e-05,0.0,-6.851116134369541e-05,-6.851116134369541e-05
21,Heating Plant P-4B Hydronic Systems Energy HTREJ_P4B_VFD_PWR(kWh),0.0007459757674423758,0.023817307579101814,0.0007411640804557911,0.0007508423055209699,0.9999056959637871,00_HEATING_SPACE_AND_WATER,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-8.345593184584205e-06,0.0,-8.345593184586509e-06,-8.345593184586519e-06,0.0,2.704027096204773e-07,2.704027096203408e-07,2.704027096203376e-07,-2.2193902113361943e-05,1.9275771266701784e-05,-3.3810739765963313e-05,0.0,-0.00014474284915488882,2.8292885969057792e-06,0.0,9.909092436121457e-05,-7.116597181889649e-05,0.0,-7.116597181889867e-05,-7.11659718188987e-05
22,Heating Plant P-4C Hydronic Systems Energy HTREJ_P4C_VFD_PWR(kWh),0.0007827174700869746,0.022986331093311368,0.0007780610304996864,0.0007875500955609453,0.9999056959637871,00_HEATING_SPACE_AND_WATER,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-4.847305794709501e-06,0.0,-4.847305794711248e-06,-4.847305794711257e-06,0.0,-1.0295610620797133e-06,-1.0295610620798899e-06,-1.0295610620798928e-06,-2.4433987048331833e-05,1.9243365963015065e-05,-3.5494128833170494e-05,0.0,-0.00012614905282848086,-6.049586638878425e-05,0.0,0.00012713697442944406,-6.967393258324401e-05,0.0,-6.967393258324595e-05,-6.967393258324599e-05
23,Heating Plant P-8A Hydronic Systems Energy HTREJ_P8A_VFD_PWR(kWh),0.0002876601850652284,0.007016764946618174,0.0002864885062797236,0.00028900224714105833,0.9999056959637871,00_HEATING_SPACE_AND_WATER,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-4.565377633973356e-06,0.0,-4.5653776339739354e-06,-4.56537763397394e-06,0.0,4.925410923095211e-06,4.925410923095148e-06,4.925410923095149e-06,1.760051068483876e-05,5.683309181044354e-07,1.8649349792958146e-05,0.0,-3.619396091688848e-06,-7.73105045691664e-06,0.0,8.11616534478014e-05,-9.09942595465212e-06,0.0,-9.099425954652054e-06,-9.099425954651392e-06
24,Heating Plant P-8B Hydronic Systems Energy HTREJ_P8B_VFD_PWR(kWh),0.00023763105704366534,0.006557689549030083,0.00023647689610722285,0.00023890878888008728,0.9999056959637871,00_HEATING_SPACE_AND_WATER,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-6.850040876809596e-06,0.0,-6.850040876809298e-06,-6.8500408768093045e-06,0.0,3.064045771892722e-06,3.0640457718926765e-06,3.0640457718926765e-06,1.4229724757556018e-05,-5.064428406572803e-06,1.4740347079194762e-05,0.0,-3.4919040183837e-05,-1.8665368450763185e-06,0.0,9.247179311902558e-05,-9.728712481821746e-06,0.0,-9.728712481821878e-06,-9.72871248182188e-06
25,Rm 4202 EF-26 Floor 4 Energy EF_26_VFD_PWR(kWh),2.419873680397621e-05,0.0006969220007467984,2.4057941037816356e-05,2.4339007558878604e-05,1.0,02_HEATING_COOLING_COMBINED,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-3.861616046724118e-07,0.0,-3.861616046724133e-07,-3.8616160467241266e-07,0.0,1.7783331445804596e-07,1.778333144580461e-07,1.7783331445804614e-07,2.5563580718963963e-07,1.8719300670398054e-07,8.381802114269024e-08,0.0,-3.6108803855110958e-06,-5.514943580300228e-07,0.0,5.978802499096872e-06,-1.9147710478837374e-06,0.0,-1.9147710478837467e-06,-1.9147710478837476e-06
26,Rm 4202A EF-25 Floor 4 Energy EF_25_VFD_PWR(kWh),2.3753188436431455e-05,0.0006676939542769961,2.361848449619938e-05,2.388732828617989e-05,1.0,02_HEATING_COOLING_COMBINED,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-3.5441271262717067e-07,0.0,-3.544127126272315e-07,-3.5441271262723176e-07,0.0,1.544062555584184e-07,1.5440625555841985e-07,1.544062555584199e-07,1.905232017805031e-07,1.9141231294460523e-07,2.750941106962016e-08,0.0,-3.3752463123499124e-06,-4.837315646261738e-07,0.0,5.406006804361313e-06,-1.8129441279887095e-06,0.0,-1.8129441279886904e-06,-1.8129441279886907e-06
27,Rm 4312A EF-32 Floor 4 Energy EF_32_VFD_PWR(kWh),2.852848529975363e-05,0.0007973701957130012,2.8367677976219732e-05,2.8689137131015608e-05,0.9999056959637871,02_HEATING_COOLING_COMBINED,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-4.236688912784636e-07,0.0,-4.2366889127845677e-07,-4.2366889127845677e-07,0.0,1.8360530162066055e-07,1.8360530162066148e-07,1.8360530162066163e-07,2.192324617455965e-07,2.3269683265074477e-07,2.188008256785332e-08,0.0,-4.062408005837535e-06,-5.804286971705427e-07,0.0,6.468429339255299e-06,-2.1819775973378187e-06,0.0,-2.1819775973378696e-06,-2.1819775973378704e-06
