,hour,date,mean_9,std_9,max_9,min_9,mean_4,mean_12,mean_7,mean_14,mean_8,mean_16,mean_5,mean_6,mean_10,mean_3,std_4,std_12,std_7,std_14,std_8,std_16,std_5,std_6,std_10,std_3,max_4,max_12,max_7,max_14,max_8,max_16,max_5,max_6,max_10,max_3,min_4,min_12,min_7,min_14,min_8,min_16,min_5,min_6,min_10,min_3,std_18,max_18,min_18,max_1,mean_18,mean_1,std_1,min_1,min_17,mean_11,mean_19,max_17,std_2,min_2,max_11,std_0,std_19,min_15,min_11,std_17,std_15,std_13,max_2,min_13,max_0,mean_0,mean_15,mean_13,max_19,max_13,mean_2,max_15,min_19,min_0,mean_17,std_11,urate_0,urate_1,urate_2,urate_3,urate_4,urate_5,urate_6,urate_7,urate_8,urate_9,urate_10,urate_11,urate_12,urate_13,urate_14,urate_15,urate_16,urate_17,urate_18,urate_19
10,3,2020-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,916.473999,780.1388037600002,454.90983511842114,934.244995,292.5240627264907,24.369999,783.896118,25284.165634457215,3.644247073654965,930.051514,772.283875,3.8456148049745718,2.957156353778744,2.3089961836859776,872.0,84.445969,786692.5,1636.7346275761145,937.9368706896555,89.53490804035877,464.012146,96.217445,724.1599998571428,945.685242,446.407562,-422.0,925.5782444285711,2.9999569081963124,3.6251361359181007,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,223.0,0.0,87.0,0.0,140.0,0.0,228.0
11,4,2020-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.9911806350369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6026.368652,136.30687205063293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.189541,0.0,0.0,0.034415160095839684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,2020-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,922.735046,785.3511039634143,451.66683774583305,939.702698,292.55731021597376,24.369999,790.099182,37986.102212528756,3.4177272344125913,923.362549,773.794312,3.6761114034871674,3.247834333626715,1.9957532536214366,872.0,68.012695,2037436.125,2379.147992610367,931.0587533493972,73.9200278689956,458.890594,78.252602,724.2314284285713,935.507996,445.008881,-422.0,930.3078119565215,3.7706211315368483,3.8061424526247003,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,229.0,0.0,83.0,0.0,115.0,0.0,240.0
13,1,2020-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,924.840271,785.5576054743591,452.59794746285695,941.941223,292.54106901832125,24.369999,790.487,26367.332003621348,3.4764213791369425,927.562744,778.502869,3.682027875941455,2.906719019487245,2.013266414246338,872.0,72.409828,786692.5,1817.5709157299743,931.3413543833335,76.75722718595037,459.407593,83.961342,724.1957141428571,938.822571,444.970337,-422.0,932.7754213720932,3.6524503964100408,3.7586582443912,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,242.0,0.0,60.0,0.0,129.0,0.0,175.0
14,10,2020-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,928.793335,806.7814109090906,464.77732797073173,946.3684080000002,293.63129712338406,24.369999,820.176208,26601.690550986517,5.036475268485011,945.9158940000001,784.893433,4.213259087638157,6.310650570526023,21.67061569919215,872.0,733.065186,786692.5,1831.0442957847038,968.5144584173913,812.5588383994749,475.843964,853.689331,726.4814284285713,983.5849610000001,452.912811,-422.0,936.2497359612403,9.146495485075906,4.330646917882814,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,761.0,0.0,115.0,0.0,129.0,0.0,205.0
15,11,2020-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,923.769836,802.6908363625,467.03249138938077,943.368958,293.705932593946,24.369999,820.041565,25928.78072436225,3.313934602518004,967.060608,788.035156,4.1298994837534915,3.5792137033486746,22.26084526829117,874.0,708.463196,786692.5,1778.4981179164442,973.6721598571429,787.5219250276422,475.02896100000004,845.799866,726.6242855714285,978.8913569999999,459.526245,-422.0,934.6777698496728,8.81675149770484,4.590067523415378,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,615.0,0.0,84.0,0.0,153.0,0.0,226.0
16,12,2020-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925.203491,800.5525089659088,469.0031089265307,946.490417,293.63583793029716,24.369999,808.948059,26040.481847053874,6.83976764197384,964.965515,793.252197,4.395758434591365,4.290958309941031,21.82624231378372,873.0,728.072571,786692.5,1802.6751595203034,973.1463736279069,802.2749907012499,518.174683,857.953064,726.4814284285713,982.248047,458.94128399999994,-422.0,936.0973862948714,4.158840568812185,4.356131561751252,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,800.0,0.0,86.0,0.0,156.0,0.0,245.0
17,13,2020-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,923.352478,788.5111928000002,463.9069174820715,943.7221069999999,293.18752910298633,24.369999,809.308655,26669.987811424664,3.3339569578496664,964.2434080000002,773.523193,4.086587644169441,3.578957903072027,15.725774397965031,872.0,714.948792,786692.5,1867.119354385624,969.2448405326087,793.5075764968259,474.081879,863.05188,725.5528569999999,975.629456,455.224976,-422.0,932.7043358521129,8.753910893871787,4.311696798083206,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,630.0,0.0,92.0,0.0,142.0,0.0,251.0
18,14,2020-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925.359985,782.6895751827958,462.9342978603603,943.622925,293.49336295734497,24.369999,791.189941,26102.465820616144,3.8079852743194955,963.5222169999998,775.007568,4.142938335028845,4.23647775903846,13.732920856929983,872.0,782.061096,786692.5,1813.4683709426408,971.3896769222223,825.8056364694135,470.81784100000004,863.761292,726.1957141428571,981.234802,454.0525819999999,-422.0,934.2949916562501,3.757907598928459,4.503376170768895,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,752.0,0.0,90.0,0.0,160.0,0.0,222.0
19,15,2020-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,926.21051,782.1611054157305,460.71083433603224,943.53418,293.1477382274039,24.369999,790.329224,26453.021369068945,3.4575161578157436,963.2821040000001,774.243347,4.215959561965039,3.9465306449740885,11.202921017659365,872.0,804.191528,786692.5,1832.8188357440947,970.8189561759259,850.0993488471805,468.763947,868.531616,725.4814284285713,984.138245,452.769012,-422.0,935.1232071379311,3.5812392711291,4.332607275103463,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,674.0,0.0,108.0,0.0,174.0,0.0,247.0
