id,air,apparent,bacnetConnRef,bacnetCur,bacnetPoint,co,co2,connRef,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,efficiency,elec,energy,entering,equipRef,exhaust,flow,gas,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,navName,nox,o2,opcConnRef,opcCur,opcPoint,point,pointType,power,pressure,primaryLoop,pump,quantityID,real,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,temp,tz,unit,utilityPoint,water,mod
@p:ubcv:r:2388a048-80f29207 Campus Energy Centre Campus HW Main Meter Water Delta Temp,"","",@p:ubcv:r:24704ff2-42197e12 CEC DES Meter,"",✓,"","","","","","","",✓,✓,$equipRef $navName,"","","","",@p:ubcv:r:205b02f3-c9b5178f Campus Energy Centre Campus HW Main Meter,"","","",@p:ubcv:r:21697fca-faa5ef20 Campus Energy Centre Utilities,✓,"","","",deltaTemp,consumption,"","","","","",Number,"",Water Delta Temp,"","","","","",✓,"","","","","","","","",@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","",✓,Los_Angeles,°C,✓,✓,2020-04-28T00:03:35.879Z UTC
@p:ubcv:r:258540c9-2237c86a Campus Energy Centre Boiler B-2 Efficiency,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,0%,"","",$equipRef $navName,✓,"","","",@p:ubcv:r:2584399c-1ec9e805 Campus Energy Centre Boiler B-2,"","","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,2.5%,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",14091,2019-12-12T10:30:00-08:00 Los_Angeles,ok,"","",Number,"",Efficiency,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_2.Efficiency,✓,✓,"","","","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,%,"","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25853fde-bc036e88 Campus Energy Centre Boiler B-1 Exhaust Temp,✓,"","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,119°C,"","",$equipRef $navName,"","","","",@p:ubcv:r:258437cc-cc84334e Campus Energy Centre Boiler B-1,✓,"","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,5°C,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",14068,2019-12-12T10:15:00-08:00 Los_Angeles,ok,"","",Number,"",Exhaust Temp,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_1.Exhaust_Temp,✓,✓,"","","","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","",✓,Los_Angeles,°C,"","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:258a77fa-42b0c137 Campus Energy Centre Boiler B-1 Energy,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,127908.3046875MWh,"","",$equipRef $navName,"","",✓,"",@p:ubcv:r:258437cc-cc84334e Campus Energy Centre Boiler B-1,"","","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,"",15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",13642,2019-12-16T09:15:00-08:00 Los_Angeles,ok,✓,"",Number,"",Energy,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_1.Total_Heat_Delivered,✓,✓,"","","","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,MWh,"","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:258540c9-8dbfd33c Campus Energy Centre Boiler B-2 Leaving Water Temp,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,0°C,"","",$equipRef $navName,"","","","",@p:ubcv:r:2584399c-1ec9e805 Campus Energy Centre Boiler B-2,"","","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,2°C,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",36461,2019-12-12T10:30:00-08:00 Los_Angeles,ok,"",✓,Number,✓,Leaving Water Temp,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_2.Leaving_Water_Temp,✓,✓,"","","","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","",✓,Los_Angeles,°C,"",✓,2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25857ad0-311fe994 Campus Energy Centre Boiler B-2 Power,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,0MW,"","",$equipRef $navName,"","","","",@p:ubcv:r:2584399c-1ec9e805 Campus Energy Centre Boiler B-2,"","","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,0.25MW,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",49208,2019-12-13T00:00:00-08:00 Los_Angeles,ok,"",✓,Number,"",Power,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_2.Heat_Output,✓,✓,"",✓,"","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,MW,"",✓,2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25a64385-012f116c Campus Energy Centre Boiler B-1 Water Flow Rate,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,m³/h => L/s,ok,1.1328125203312489E-7L/s,"","",$equipRef $navName,"","","","",@p:ubcv:r:258437cc-cc84334e Campus Energy Centre Boiler B-1,"",✓,"",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,1L/s,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",125406,2020-01-06T11:15:00-08:00 Los_Angeles,ok,"",✓,Number,"",Water Flow Rate,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_1.Flow_Rate,✓,✓,"","","","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,L/s,"",✓,2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25a64231-fb1d8ef8 Campus Energy Centre Boiler B-3 Leaving Water Temp Setpoint,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,87.95758819580078°C,"","",$equipRef $navName,"","","","",@p:ubcv:r:2584399f-0d18bd68 Campus Energy Centre Boiler B-3,"","","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,1°C,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",12131,2020-01-06T11:15:00-08:00 Los_Angeles,ok,"",✓,Number,✓,Leaving Water Temp Setpoint,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_3.Leaving_Water_Temp_SP,✓,✓,"","","","","","","","",@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"",✓,"","","",✓,Los_Angeles,°C,"",✓,2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25a7a02c-ba60d9f7 Campus Energy Centre Boiler B-1 Gas Pressure,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,137.19456481933594kPa,"","",$equipRef $navName,"","","","",@p:ubcv:r:258437cc-cc84334e Campus Energy Centre Boiler B-1,"","",✓,@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,2.5kPa,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",11874,2020-01-07T12:15:00-08:00 Los_Angeles,ok,"","",Number,"",Gas Pressure,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Process.Gas_Pressure,✓,✓,"","",✓,"","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,kPa,"","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:2584399c-fb61160d Campus Energy Centre Boiler B-2 Firing Rate,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,0%,"","",$equipRef $navName,"","","","",@p:ubcv:r:2584399c-1ec9e805 Campus Energy Centre Boiler B-2,"","","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,2.5%,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",58096,2019-12-12T08:45:00-08:00 Los_Angeles,ok,"","",Number,"",Firing Rate,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_2.Firing_Rate,✓,✓,"","","","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,%,"","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:258540c9-c23e3e0b Campus Energy Centre Boiler B-2 Exhaust Temp,✓,"","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,0°C,"","",$equipRef $navName,"","","","",@p:ubcv:r:2584399c-1ec9e805 Campus Energy Centre Boiler B-2,✓,"","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,5°C,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",30188,2019-12-12T10:30:00-08:00 Los_Angeles,ok,"","",Number,"",Exhaust Temp,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_2.Exhaust_Temp,✓,✓,"","","","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","",✓,Los_Angeles,°C,"","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25a65cae-fd2d870f Campus Energy Centre Process System Pump Speed,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,63%,"","",$equipRef $navName,"","","",✓,@p:ubcv:r:25a65484-0c6d176a Campus Energy Centre Process System,"","","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,5%,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",11737,2020-01-08T12:00:00-08:00 Los_Angeles,ok,"","",Number,"",Pump Speed,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Process.Pump_Speed,✓,✓,"","","","",✓,"","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","",✓,"","","",Los_Angeles,%,"","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25854150-6bc821b2 Campus Energy Centre Boiler B-3 Exhaust CO,✓,"","","","",✓,"",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,0ppm,"","",$equipRef $navName,"","","","",@p:ubcv:r:2584399f-0d18bd68 Campus Energy Centre Boiler B-3,✓,"","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,2ppm,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",14136,2019-12-12T10:30:00-08:00 Los_Angeles,ok,"","",Number,"",Exhaust CO,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_3.Exhaust_CO_Lvl,✓,✓,"","","","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,ppm,"","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25854150-dadad2c7 Campus Energy Centre Boiler B-3 Leaving Water Temp,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,88°C,"","",$equipRef $navName,"","","","",@p:ubcv:r:2584399f-0d18bd68 Campus Energy Centre Boiler B-3,"","","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,2°C,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",19317,2019-12-12T10:30:00-08:00 Los_Angeles,ok,"",✓,Number,✓,Leaving Water Temp,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_3.Leaving_Water_Temp,✓,✓,"","","","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","",✓,Los_Angeles,°C,"",✓,2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:258540c9-f41e9fe8 Campus Energy Centre Boiler B-2 Exhaust O2,✓,"","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,0%,"","",$equipRef $navName,"","","","",@p:ubcv:r:2584399c-1ec9e805 Campus Energy Centre Boiler B-2,✓,"","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,1%,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",20663,2019-12-12T10:30:00-08:00 Los_Angeles,ok,"","",Number,"",Exhaust O2,"",✓,@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_2.Exhaust_O2_Lvl,✓,✓,"","","","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,%,"","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25a64cac-fba3e0fa Campus Energy Centre Boiler B-3 Entering Water Temp,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,81.66449737548828°C,"","",$equipRef $navName,"","","",✓,@p:ubcv:r:2584399f-0d18bd68 Campus Energy Centre Boiler B-3,"","","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,1°C,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",15226,2020-01-06T12:00:00-08:00 Los_Angeles,ok,"",✓,Number,"",Entering Water Temp,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_3.Entering_Water_Temp,✓,✓,"","","","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","",✓,Los_Angeles,°C,"",✓,2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25a64961-a5a125fe Campus Energy Centre Boiler B-2 Gas Flow Rate,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,0.002812500111758709m³/h,"","",$equipRef $navName,"","","","",@p:ubcv:r:2584399c-1ec9e805 Campus Energy Centre Boiler B-2,"",✓,✓,@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,2.5m³/h,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",53690,2020-01-06T11:45:00-08:00 Los_Angeles,ok,"","",Number,"",Gas Flow Rate,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_2.Flow_Rate,✓,✓,"","","","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,m³/h,"","",2020-04-20T17:22:15.061Z UTC
@p:ubcv:r:25843ffe-89a72ce9 Campus Energy Centre Process System CEC Heat Output,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,4.200000286102295MW,"","",$equipRef $navName,"","","","",@p:ubcv:r:25a65484-0c6d176a Campus Energy Centre Process System,"","","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,0.25MW,15min,2020-05-12T14:25:09-07:00 Los_Angeles,"","",176366,2019-12-12T08:45:00-08:00 Los_Angeles,ok,"","",Number,"",CEC Heat Output,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Process.CEC_Heat_Output,✓,✓,"",✓,"","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,MW,"","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:205b17b3-76f4a76d Campus Energy Centre Campus HW Main Meter Entering Water Temperature,"","",@p:ubcv:r:24704ff2-42197e12 CEC DES Meter,AI10,✓,"","",@p:ubcv:r:24704ff2-42197e12 CEC DES Meter,✓,"",ok,64.93000030517578°C,"","",$equipRef $navName,"","","",✓,@p:ubcv:r:205b02f3-c9b5178f Campus Energy Centre Campus HW Main Meter,"","","",@p:ubcv:r:21697fca-faa5ef20 Campus Energy Centre Utilities,✓,0.5°C,10min,2020-05-12T14:24:15-07:00 Los_Angeles,"",consumption,199628,2016-11-01T09:30:00-07:00 Los_Angeles,ok,"",✓,Number,"",Entering Water Temperature,"","","","","",✓,✓,"","","","",10652,"",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,538,"","",@p:ubcv:r:23060489-d61f5459 ION DB,✓,✓,Los_Angeles,°C,✓,✓,2020-04-28T00:03:35.88Z UTC
@p:ubcv:r:25a6554b-190f9e16 Campus Energy Centre Process System CEC Leaving Pressure,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,385.79852294921875kPa,"","",$equipRef $navName,"","","",✓,@p:ubcv:r:25a65484-0c6d176a Campus Energy Centre Process System,"","","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,10kPa,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",15113,2020-01-06T12:45:00-08:00 Los_Angeles,ok,"","",Number,"",CEC Leaving Pressure,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Process.CEC_Leaving_Pres,✓,✓,"","",✓,"","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,kPa,"","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25854150-0488a72f Campus Energy Centre Boiler B-3 Exhaust CO2,✓,"","","","","",✓,@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,9.699999809265137%,"","",$equipRef $navName,"","","","",@p:ubcv:r:2584399f-0d18bd68 Campus Energy Centre Boiler B-3,✓,"","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,1%,15min,2020-05-12T14:24:28-07:00 Los_Angeles,"","",14792,2019-12-12T10:30:00-08:00 Los_Angeles,ok,"","",Number,"",Exhaust CO2,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_3.Exhaust_CO2_Lvl,✓,✓,"","","","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,%,"","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25853f8d-57f2394e Campus Energy Centre Boiler B-1 Exhaust O2,✓,"","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,15.5%,"","",$equipRef $navName,"","","","",@p:ubcv:r:258437cc-cc84334e Campus Energy Centre Boiler B-1,✓,"","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,1%,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",14063,2019-12-12T10:15:00-08:00 Los_Angeles,ok,"","",Number,"",Exhaust O2,"",✓,@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_1.Exhaust_O2_Lvl,✓,✓,"","","","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,%,"","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25a7a07b-104e8862 Campus Energy Centre Boiler B-2 Gas Pressure,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,137.19456481933594kPa,"","",$equipRef $navName,"","","","",@p:ubcv:r:2584399c-1ec9e805 Campus Energy Centre Boiler B-2,"","",✓,@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,2.5kPa,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",11873,2020-01-07T12:15:00-08:00 Los_Angeles,ok,"","",Number,"",Gas Pressure,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Process.Gas_Pressure,✓,✓,"","",✓,"","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,kPa,"","",2020-03-17T20:57:47.078Z UTC
