id,ahu,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,beatyAHU2_VAV_DMP,beatyDSP_MV,beatyFH,beatyRTU1_VAV_DMP,beatyRTU2_VAV_DMP,beatyRTU3_VAV_DMP,beatyRTU4_VAV_DMP,beatyRTU5_VAV_DMP,beaty_MAD_MV,bmsName,bypass,close,cmd,co2,connRef,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,differential,disMacro,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,filter,final,flow,groupRef,heat,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,lastSynced,lastTagged,leaving,mixed,mixing,mode,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,open,outside,perimeterHeat,point,pointType,power,pressure,proj_1830_3W2W,pump,quantityID,return,roomRef,run,runtime,scheduleOcc,secondarySide,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,static,tagTableRef,tags,temp,tlName,tz,unit,utilityPoint,valve,vavMode,volume,water,zone,mod
@p:ubcv:r:236ba82e-9277db76 Beaty Lab 264 VAV-S05 VAV_S05_NSB,"","","","",@p:ubcv:r:22ff942a-27ffe1cb beatyBio VAV_S05_Lab_264_South_Module_8 (520409),"",TL10,✓,"","","","","","","","","",VAV_S05_NSB,"","","","",@p:ubcv:r:22ff942a-27ffe1cb beatyBio VAV_S05_Lab_264_South_Module_8 (520409),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:24199bba-ecccb756 Beaty Lab 264 VAV-S05,✓,"","","","","",@p:ubcv:r:24199a22-79c45e36 Beaty Floor 2,"","",✓,"","","","","","","","","",ok,"","",Bool,2020-05-12T14:06:54.654-07:00 Los_Angeles,2018-11-28T16:32:30.368-08:00 Los_Angeles,"","","","",VAV_S05_NSB,✓,BV5,"","","","","","",✓,"","","","","","","",@p:ubcv:r:24199bba-8cdd0d24 Beaty Lab 264,"","","","","",@p:ubcv:r:209678da-364312db Beaty,"","","","","","","","","",VAV_S05_NSB_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:26.398Z UTC
@p:ubcv:r:236ba87a-7e6ba49d Beaty Lab 163 VAV-G07 VAV_G07_Dmp_Close,"",✓,"","",@p:ubcv:r:22ff942a-a19cec5f beatyBio VAV_G07_Lab_163 (520402),"",TL91,✓,"","","","","","","","","",VAV_G07_Dmp_Close,"",✓,✓,"",@p:ubcv:r:22ff942a-a19cec5f beatyBio VAV_G07_Lab_163 (520402),"","","","",✓,"","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:241984b8-1f5e0699 Beaty Lab 163 VAV-G07,✓,"","","","","",@p:ubcv:r:241984b8-5376fdd0 Beaty Floor 1,"","",✓,"","","",2020-05-04T06:32:23-07:00 Los_Angeles,"","","",830,2018-11-16T10:37:09-08:00 Los_Angeles,ok,"","",Bool,2020-05-12T14:06:57.811-07:00 Los_Angeles,2019-01-23T16:53:05.04-08:00 Los_Angeles,"","","","",Discharge Air Damper Close Cmd,"",BO5,"","","","","","",✓,"","","","","","","",@p:ubcv:r:241984b8-e5e8691d Beaty Lab 163,"","","","","",@p:ubcv:r:209678da-364312db Beaty,"","","","","","",@p:ubcv:r:23e74a74-253526c7 .+_Dmp_Close(_TL.)?,"","",VAV_G07_Dmp_Close_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:25.607Z UTC
@p:ubcv:r:21cb0a65-a162335b Beaty HW Main Meter Flow,"","","","",@p:ubcv:r:21cab9fe-1b439d05 Beaty DES Meter,AI4,"",✓,"","","","","","","","","","","","","","",@p:ubcv:r:21cab9fe-1b439d05 Beaty DES Meter,✓,m³/h => L/s,ok,0L/s,"","","","",$equipRef $navName,"","","","","","","","",@p:ubcv:r:209678da-9cd88951 Beaty HW Main Meter,"","","","","",✓,@p:ubcv:r:21697fca-fd27e8b7 Beaty Utilities,"","",✓,0.25L/s,10min,"",2020-05-12T14:00:00-07:00 Los_Angeles,"","",consumption,275028,2017-12-18T15:30:00-08:00 Los_Angeles,ok,"",✓,Number,"","","","","","",Flow,"","","","","","","","",✓,"","","","","","","","","","","","",✓,@p:ubcv:r:209678da-364312db Beaty,"","","","","","","","","","",Los_Angeles,L/s,✓,"","","",✓,"",2020-04-28T00:03:36.164Z UTC
@p:ubcv:r:236ba87a-9d1ede50 Beaty Lab 163 VAV-G07 VAV_G07_FLW,"",✓,"","",@p:ubcv:r:22ff942a-a19cec5f beatyBio VAV_G07_Lab_163 (520402),"",TL3,✓,"","","","","","","","","",VAV_G07_FLW,"","","","",@p:ubcv:r:22ff942a-a19cec5f beatyBio VAV_G07_Lab_163 (520402),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:241984b8-1f5e0699 Beaty Lab 163 VAV-G07,✓,"","","","",✓,@p:ubcv:r:241984b8-5376fdd0 Beaty Floor 1,"","",✓,"","","",2020-05-12T13:58:00-07:00 Los_Angeles,"","","",80560,2018-10-29T07:29:20-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:06:58.569-07:00 Los_Angeles,2019-04-11T16:04:13.541-07:00 Los_Angeles,"","","","",Discharge Air Flow,"",AV18,"","","","","","",✓,"","","","","","","",@p:ubcv:r:241984b8-e5e8691d Beaty Lab 163,"","","","",✓,@p:ubcv:r:209678da-364312db Beaty,"","","","","","",@p:ubcv:r:23e65d0e-9b79f931 (.+_)?VAV.+_FLW(_TL)?,"","",VAV_G07_FLW_TL,Los_Angeles,L/s,"","","","","","",2020-04-09T19:02:02.244Z UTC
@p:ubcv:r:236ba8f1-f41abf59 Beaty Rm 263 VAV-S11 VAV_S11_FLW_SP,"",✓,"","",@p:ubcv:r:22ff9362-01779152 beatyBio VAV_S11_Lab_Support_263_Dp (520312),"",TL4,✓,"","","","","","","","","",VAV_S11_FLW_SP,"","","","",@p:ubcv:r:22ff9362-01779152 beatyBio VAV_S11_Lab_Support_263_Dp (520312),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:24199b29-56d02784 Beaty Rm 263 VAV-S11,✓,"","","","",✓,@p:ubcv:r:24199a22-79c45e36 Beaty Floor 2,"","",✓,"","","",2020-05-12T13:53:25-07:00 Los_Angeles,"","","",80562,2018-10-29T07:38:14-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:02:15.164-07:00 Los_Angeles,2019-04-11T16:04:13.541-07:00 Los_Angeles,"","","","",Discharge Air Flow Sp,"",AV5,"","","","","","",✓,"","","","","","","",@p:ubcv:r:24199b29-fc7a6b20 Beaty Rm 263,"","","","","",@p:ubcv:r:209678da-364312db Beaty,"",✓,"","","","",@p:ubcv:r:23e65d0e-5f6d8aaa (.+_)?(V|S)AVS?.+_FLO?W_SP(_LPS|_TL)?,"","",VAV_S11_FLW_SP_TL,Los_Angeles,L/s,"","","","","","",2020-04-09T19:02:02.097Z UTC
@p:ubcv:r:236ba750-2782666c Beaty AHU-02 AHU2_DX2_SOLENOID,"","","","",@p:ubcv:r:22ff7aee-9e278c5b beatyBio 314.0 BioD_AHU2 (520800),"",TL20,✓,"","","","","","","","","",AHU2_DX2_SOLENOID,"","","","",@p:ubcv:r:22ff7aee-9e278c5b beatyBio 314.0 BioD_AHU2 (520800),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:2419965d-c67ccab0 Beaty AHU-02,✓,"","","","","",@p:ubcv:r:21cb089a-0c38404b Beaty Hydronic Systems,"","",✓,"","","",2020-04-18T13:01:14-07:00 Los_Angeles,"","","",20,2019-09-09T12:04:02-07:00 Los_Angeles,ok,"","",Bool,2020-05-12T14:06:53.856-07:00 Los_Angeles,2018-11-28T16:32:28.887-08:00 Los_Angeles,"","","","",AHU2_DX2_SOLENOID,✓,BO6,"","","","","","",✓,"","","","","","","","","","","","","",@p:ubcv:r:209678da-364312db Beaty,"","","","","","","","","",AHU2_DX2_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:25.608Z UTC
@p:ubcv:r:236ba859-63d5aed1 Beaty Lab 054 VAV-L07 VAV_L07_Dmp_Close,"",✓,"","",@p:ubcv:r:22ff942a-8dad93df beatyBio VAV_L07_Lab_054 (520405),"",TL91,✓,"","","","","","","","","",VAV_L07_Dmp_Close,"",✓,✓,"",@p:ubcv:r:22ff942a-8dad93df beatyBio VAV_L07_Lab_054 (520405),"","","","",✓,"","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:241985f0-1b6cd292 Beaty Lab 054 VAV-L07,✓,"","","","","",@p:ubcv:r:241985f0-65cf6ecd Beaty Floor 0,"","",✓,"","","",2020-05-12T13:52:10-07:00 Los_Angeles,"","","",28684,2018-10-28T18:12:56-07:00 Los_Angeles,ok,"","",Bool,2020-05-12T14:06:57.83-07:00 Los_Angeles,2019-01-23T16:52:56.947-08:00 Los_Angeles,"","","","",Discharge Air Damper Close Cmd,"",BO5,"","","","","","",✓,"","","","","","","",@p:ubcv:r:241985f0-ff29785b Beaty Lab 054,"","","","","",@p:ubcv:r:209678da-364312db Beaty,"","","","","","",@p:ubcv:r:23e74a74-253526c7 .+_Dmp_Close(_TL.)?,"","",VAV_L07_Dmp_Close_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:25.609Z UTC
@p:ubcv:r:236ba73d-0a5bc2dd Beaty Rm 005 VAV-L03 VAV_L03_WS,"","","","",@p:ubcv:r:22ff9902-2283785f beatyBio VAV_L03_Research_005 (520803),"",TL9,✓,"","","","","","","","","",VAV_L03_WS,"","","","",@p:ubcv:r:22ff9902-2283785f beatyBio VAV_L03_Research_005 (520803),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:2419953c-b64641a4 Beaty Rm 005 VAV-L03,✓,"","","","","",@p:ubcv:r:241985f0-65cf6ecd Beaty Floor 0,"","",✓,"","","",2020-05-12T07:00:00-07:00 Los_Angeles,"","","",1075,2018-10-25T23:00:00-07:00 Los_Angeles,ok,"","",Bool,2020-05-12T13:56:39.758-07:00 Los_Angeles,2018-11-28T16:32:36.971-08:00 Los_Angeles,"","","","",VAV_L03_WS,✓,BV1,"","","","","","",✓,"","","","","","","",@p:ubcv:r:2419953c-1a714c55 Beaty Rm 005,"","","","","",@p:ubcv:r:209678da-364312db Beaty,"","","","","","","","","",VAV_L03_WS_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:26.401Z UTC
@p:ubcv:r:24edab69-ab665227 Beaty Unsorted Points BioNonLabAreasWeeklySchedule,"","","","",@p:ubcv:r:23635473-ce9db8c3 beaetyBio Main Router (520000),SCH1,"",✓,"","","","","","","","","",BioNonLabAreasWeeklySchedule,"","","","",@p:ubcv:r:23635473-ce9db8c3 beaetyBio Main Router (520000),"","",unknown,"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:22ff90eb-7efd2ec3 Beaty Unsorted Points,✓,"","","","","",@p:ubcv:r:22ff90eb-6a116659 Beaty Unsorted Points,"","",✓,"","","",2019-08-21T08:45:00-07:00 Los_Angeles,"","","",182,2019-08-19T12:26:00-07:00 Los_Angeles,"","","",Number,"","","","","","",Scheduled Occupancy,"","","","","","","","",✓,"","","","","","","","","","",✓,"","",@p:ubcv:r:209678da-364312db Beaty,"","","","","","","","","","",Los_Angeles,"","","","","","","",2019-11-07T23:48:39.867Z UTC
@p:ubcv:r:236ba7d5-479cbef1 Beaty Lab 155 VAV-G02 VAV_G02_FLW_SP,"",✓,"","",@p:ubcv:r:22ff95cc-b25a4754 beatyBio VAV_G02_Fumehood_Room_155 (520502),"",TL4,✓,"","","","","","","","","",VAV_G02_FLW_SP,"","","","",@p:ubcv:r:22ff95cc-b25a4754 beatyBio VAV_G02_Fumehood_Room_155 (520502),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:2419929d-a56f3a1e Beaty Lab 155 VAV-G02,✓,"","","","",✓,@p:ubcv:r:241984b8-5376fdd0 Beaty Floor 1,"","",✓,"","","",2020-05-12T13:50:53-07:00 Los_Angeles,"","","",80556,2018-10-29T07:35:25-07:00 Los_Angeles,ok,"","",Number,2020-05-12T13:56:43.286-07:00 Los_Angeles,2019-04-11T16:04:13.378-07:00 Los_Angeles,"","","","",Discharge Air Flow Sp,"",AV5,"","","","","","",✓,"","","","","","","",@p:ubcv:r:2419929d-9fd00724 Beaty Lab 155,"","","","","",@p:ubcv:r:209678da-364312db Beaty,"",✓,"","","","",@p:ubcv:r:23e65d0e-5f6d8aaa (.+_)?(V|S)AVS?.+_FLO?W_SP(_LPS|_TL)?,"","",VAV_G02_FLW_SP_TL,Los_Angeles,L/s,"","","","","","",2020-04-09T19:02:02.449Z UTC
@p:ubcv:r:236ba7d5-675704dd Beaty Lab 155 VAV-G02 VAV_G02_NSB,"","","","",@p:ubcv:r:22ff95cc-b25a4754 beatyBio VAV_G02_Fumehood_Room_155 (520502),"",TL10,✓,"","","","","","","","","",VAV_G02_NSB,"","","","",@p:ubcv:r:22ff95cc-b25a4754 beatyBio VAV_G02_Fumehood_Room_155 (520502),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:2419929d-a56f3a1e Beaty Lab 155 VAV-G02,✓,"","","","","",@p:ubcv:r:241984b8-5376fdd0 Beaty Floor 1,"","",✓,"","","","","","","","","",ok,"","",Bool,2020-05-12T13:56:42.082-07:00 Los_Angeles,2018-11-28T16:32:57.983-08:00 Los_Angeles,"","","","",VAV_G02_NSB,✓,BV5,"","","","","","",✓,"","","","","","","",@p:ubcv:r:2419929d-9fd00724 Beaty Lab 155,"","","","","",@p:ubcv:r:209678da-364312db Beaty,"","","","","","","","","",VAV_G02_NSB_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:25.614Z UTC
@p:ubcv:r:236ba886-2ff0b2b0 Beaty Rm 157 VAV-G05 VAV_G05_NSB,"","","","",@p:ubcv:r:22ff942a-0dd4635a beatyBio VAV_G05_Lab_Support_157 (520401),"",TL10,✓,"","","","","","","","","",VAV_G05_NSB,"","","","",@p:ubcv:r:22ff942a-0dd4635a beatyBio VAV_G05_Lab_Support_157 (520401),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:241993c9-348eeb4c Beaty Rm 157 VAV-G05,✓,"","","","","",@p:ubcv:r:241984b8-5376fdd0 Beaty Floor 1,"","",✓,"","","","","","","","","",ok,"","",Bool,2020-05-12T14:00:14.581-07:00 Los_Angeles,2018-11-28T16:32:48.897-08:00 Los_Angeles,"","","","",VAV_G05_NSB,✓,BV5,"","","","","","",✓,"","","","","","","",@p:ubcv:r:241993c9-f8cbe09b Beaty Rm 157,"","","","","",@p:ubcv:r:209678da-364312db Beaty,"","","","","","","","","",VAV_G05_NSB_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:25.615Z UTC
@p:ubcv:r:236baa2a-3de25228 Beaty Rm 396 VAV-T27 VAV_T27_FLW_SP,"",✓,"","",@p:ubcv:r:22ff8263-b003cec4 beatyBio VAV_T27_Lab_Sup_AH3_DX_396 (520119),"",TL4,✓,"","","","","","","","","",VAV_T27_FLW_SP,"","","","",@p:ubcv:r:22ff8263-b003cec4 beatyBio VAV_T27_Lab_Sup_AH3_DX_396 (520119),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:2419953c-a464bca7 Beaty Rm 396 VAV-T27,✓,"","","","",✓,@p:ubcv:r:241985f0-bf451612 Beaty Floor 3,"","",✓,"","","",2020-05-12T13:55:20-07:00 Los_Angeles,"","","",80555,2018-10-29T07:41:16-07:00 Los_Angeles,ok,"","",Number,2020-05-12T13:58:05.917-07:00 Los_Angeles,2019-04-11T16:04:13.403-07:00 Los_Angeles,"","","","",Discharge Air Flow Sp,"",AV5,"","","","","","",✓,"","","","","","","",@p:ubcv:r:2419953c-aebe3428 Beaty Rm 396,"","","","","",@p:ubcv:r:209678da-364312db Beaty,"",✓,"","","","",@p:ubcv:r:23e65d0e-5f6d8aaa (.+_)?(V|S)AVS?.+_FLO?W_SP(_LPS|_TL)?,"","",VAV_T27_FLW_SP_TL,Los_Angeles,L/s,"","","","","","",2020-04-09T19:02:01.705Z UTC
@p:ubcv:r:236ba272-ac3d6955 Beaty Rm 182 VAV-G18 VAV_G18_RT_SP,"",✓,"","",@p:ubcv:r:236ba157-3004c351 beatyBio VAV_G18_Lab_Support_182 (520204),"",TL2,✓,"","","","","","","","","",VAV_G18_RT_SP,"","","","",@p:ubcv:r:236ba157-3004c351 beatyBio VAV_G18_Lab_Support_182 (520204),"","","","","","","","",$equipRef $bmsName,"",✓,"","","","","","",@p:ubcv:r:241993c9-e7e10a06 Beaty Rm 182 VAV-G18,✓,"","","","","",@p:ubcv:r:241984b8-5376fdd0 Beaty Floor 1,"","",✓,"","","",2020-05-12T14:01:49-07:00 Los_Angeles,"","","",80583,2018-10-29T07:00:41-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:04:35.055-07:00 Los_Angeles,2019-01-23T16:53:25.055-08:00 Los_Angeles,"","","","",Zone Temp Effective Sp,"",AV6,"","","","","","",✓,"","","","","","","",@p:ubcv:r:241993c9-e07bc927 Beaty Rm 182,"","","","","",@p:ubcv:r:209678da-364312db Beaty,"",✓,"","","","",@p:ubcv:r:23e65d0f-9a7e5f45 .+_RT_SP(_AV)?(_TL)?,"",✓,VAV_G18_RT_SP_TL,Los_Angeles,°C,"","","","","",✓,2020-04-09T19:02:01.792Z UTC
@p:ubcv:r:236ba287-f881016f Beaty Rm 173 VAV-G15 VAV_G15_FLW_SP,"",✓,"","",@p:ubcv:r:236ba157-ac1e2e10 beatyBio VAV_G15_Seawater_Lab_173 (520202),"",TL4,✓,"","","","","","","","","",VAV_G15_FLW_SP,"","","","",@p:ubcv:r:236ba157-ac1e2e10 beatyBio VAV_G15_Seawater_Lab_173 (520202),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:2419953c-939bd519 Beaty Rm 173 VAV-G15,✓,"","","","",✓,@p:ubcv:r:241984b8-5376fdd0 Beaty Floor 1,"","",✓,"","","",2020-05-12T13:50:25-07:00 Los_Angeles,"","","",80583,2018-10-29T07:07:35-07:00 Los_Angeles,ok,"","",Number,2020-05-12T13:56:07.775-07:00 Los_Angeles,2019-04-11T16:04:14.009-07:00 Los_Angeles,"","","","",Discharge Air Flow Sp,"",AV5,"","","","","","",✓,"","","","","","","",@p:ubcv:r:2419953c-30deb748 Beaty Rm 173,"","","","","",@p:ubcv:r:209678da-364312db Beaty,"",✓,"","","","",@p:ubcv:r:23e65d0e-5f6d8aaa (.+_)?(V|S)AVS?.+_FLO?W_SP(_LPS|_TL)?,"","",VAV_G15_FLW_SP_TL,Los_Angeles,L/s,"","","","","","",2020-04-09T19:02:01.77Z UTC
@p:ubcv:r:236ba97e-f2f44e5e Beaty RTU-3 RTU3_DX_STG4,"","","","",@p:ubcv:r:22ff7a10-619f48f2 beatyBio 314.0 BioD_RTU3 (520300),"",TL26,✓,"","","","","","","","","",RTU3_DX_STG4,"","","","",@p:ubcv:r:22ff7a10-619f48f2 beatyBio 314.0 BioD_RTU3 (520300),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:241996d2-54359f1d Beaty RTU-3,✓,"","","","","",@p:ubcv:r:21cb089a-0c38404b Beaty Hydronic Systems,"","",✓,"","","","","","","","","",ok,"","",Bool,2020-05-12T13:56:03.591-07:00 Los_Angeles,2018-11-28T16:32:47.737-08:00 Los_Angeles,"","","","",RTU3_DX_STG4,✓,BO9,"","","","","","",✓,"","","","","","","","","","","","","",@p:ubcv:r:209678da-364312db Beaty,"","","","","","","","","",RTU3_DX4_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:26.404Z UTC
@p:ubcv:r:22ff91d4-29e364a6 Beaty Rm 384 VAV-T21 VAV_T21_RT_AV,"",✓,"","",@p:ubcv:r:22ff8263-8649c7f1 beatyBio VAV_T21_Lab_Support_384 (520113),"",TL1,✓,"","","","","","","","","",VAV_T21_RT_AV,"","","","",@p:ubcv:r:22ff8263-8649c7f1 beatyBio VAV_T21_Lab_Support_384 (520113),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:241993c9-96a6fd4d Beaty Rm 384 VAV-T21,✓,"","","","","",@p:ubcv:r:241985f0-bf451612 Beaty Floor 3,"","",✓,"","","",2020-05-12T14:04:32-07:00 Los_Angeles,"","","",90949,2018-08-08T07:46:08-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:06:55.391-07:00 Los_Angeles,2019-01-23T16:53:04.95-08:00 Los_Angeles,"","","","",Zone Temp,"",AV24,"","","","","","",✓,"","","","","","","",@p:ubcv:r:241993c9-e772f66b Beaty Rm 384,"","","","",✓,@p:ubcv:r:209678da-364312db Beaty,"","","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,"",✓,VAV_T21_RT_TL,Los_Angeles,°C,"","","","","",✓,2020-04-09T19:02:01.627Z UTC
@p:ubcv:r:236ba268-9b73b2e4 Beaty Lab 264 VAV-S15 VAV_S15_WS,"","","","",@p:ubcv:r:236ba157-251c641f beatyBio VAV_S15_Lab_264_North_Module_16 (520205),"",TL9,✓,"","","","","","","","","",VAV_S15_WS,"","","","",@p:ubcv:r:236ba157-251c641f beatyBio VAV_S15_Lab_264_North_Module_16 (520205),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:24199bbb-af8f5c6d Beaty Lab 264 VAV-S15,✓,"","","","","",@p:ubcv:r:24199a22-79c45e36 Beaty Floor 2,"","",✓,"","","",2019-01-21T17:31:08-08:00 Los_Angeles,"","","",1,2019-01-21T17:31:08-08:00 Los_Angeles,ok,"","",Bool,2020-05-12T14:06:54.529-07:00 Los_Angeles,2018-11-28T16:32:36.056-08:00 Los_Angeles,"","","","",VAV_S15_WS,✓,BV1,"","","","","","",✓,"","","","","","","",@p:ubcv:r:24199bba-8cdd0d24 Beaty Lab 264,"","","","","",@p:ubcv:r:209678da-364312db Beaty,"","","","","","","","","",VAV_S15_WS_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:27.181Z UTC
@p:ubcv:r:23401706-cd0d4cad Beaty RTU-1 RTU1_SSP,"",✓,"","",@p:ubcv:r:22ff788f-b22ee0f6 beatyBio 314.0 BioD_RTU1_3rd_Party_Rtr (520100),"",TL7,✓,"",✓,"","","","","","","",RTU1_SSP,"","","","",@p:ubcv:r:22ff788f-b22ee0f6 beatyBio 314.0 BioD_RTU1_3rd_Party_Rtr (520100),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:241996d2-5c8a0cb9 Beaty RTU-1,✓,"","","","","",@p:ubcv:r:21cb089a-0c38404b Beaty Hydronic Systems,"","",✓,"","","",2020-05-12T13:54:00-07:00 Los_Angeles,"","","",416073,2018-09-27T09:00:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T13:54:52.349-07:00 Los_Angeles,2018-11-28T16:32:49.317-08:00 Los_Angeles,"","","","",Discharge Air Static Pressure,"",AI8,"","","","","","",✓,"","",✓,"","","","","","","","","",✓,@p:ubcv:r:209678da-364312db Beaty,"","","","","",✓,@p:ubcv:r:254a2f16-13595d40 RTU\d_SSP(_TL)?,"","",RTU1_SSP_TL,Los_Angeles,Pa,"","","","","","",2020-04-09T19:02:01.447Z UTC
@p:ubcv:r:236ba917-9a119ad6 Beaty Rm 071 VAV-L16 VAV_L16_DMP,"",✓,"","",@p:ubcv:r:22ff9362-2d6d636f beatyBio VAV_L16_Lab_Support_071 (520309),"",TL6,✓,"","","","","",✓,"","","",VAV_L16_DMP,"","",✓,"",@p:ubcv:r:22ff9362-2d6d636f beatyBio VAV_L16_Lab_Support_071 (520309),"","","","",✓,"","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:241993c9-16d2a3f0 Beaty Rm 071 VAV-L16,✓,"","","","","",@p:ubcv:r:241985f0-65cf6ecd Beaty Floor 0,"","",✓,"","","",2020-05-12T13:52:38-07:00 Los_Angeles,"","","",80560,2018-10-29T07:40:39-07:00 Los_Angeles,ok,"","",Number,2020-05-12T13:54:46.669-07:00 Los_Angeles,2019-04-11T16:04:13.448-07:00 Los_Angeles,"","","","",Discharge Air Damper Cmd,"",AV16,"","","","","","",✓,"","","","","","","",@p:ubcv:r:241993c9-59d0d4ed Beaty Rm 071,"","","","","",@p:ubcv:r:209678da-364312db Beaty,"","","","","","",@p:ubcv:r:23e65d0e-f295c554 (.+_)?VAV.+_DMP(_TL)?,"","",VAV_L16_DMP_TL,Los_Angeles,%,"","","","","","",2020-04-09T19:02:02.061Z UTC
@p:ubcv:r:236baadf-b1c35946 Beaty Rm 284 VAV-S22 VAV_S22_Rtu_Discharge,"","","","",@p:ubcv:r:22ff8263-dff6e0f2 beatyBio VAV_S22_Lab_Support_284 (520105),"",TL8,✓,"","","","","","","","","",VAV_S22_Rtu_Discharge,"","","","",@p:ubcv:r:22ff8263-dff6e0f2 beatyBio VAV_S22_Lab_Support_284 (520105),"","","","","","","","",$equipRef $bmsName,"","","","","","","Heating Available,Deadband,Cooling Available","",@p:ubcv:r:24199aea-d6f3e9a0 Beaty Rm 284 VAV-S22,✓,"","","","","",@p:ubcv:r:24199a22-79c45e36 Beaty Floor 2,"","",✓,"","","-1 enumNumberToStr(self, false)",2020-05-11T04:18:54-07:00 Los_Angeles,"","","",17092,2018-11-23T01:46:50-08:00 Los_Angeles,ok,"","",Str,2020-05-12T13:56:34.048-07:00 Los_Angeles,2018-11-28T16:32:35.963-08:00 Los_Angeles,"","","","",VAV_S22_Rtu_Discharge,✓,MSV4,"","","","","","",✓,"","","","","","","",@p:ubcv:r:24199aea-4380d8e2 Beaty Rm 284,"","","","","",@p:ubcv:r:209678da-364312db Beaty,"","","","","","","","","",VAV_S22_Rtu_Discharge_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:25.618Z UTC
@p:ubcv:r:236ba886-6bd9f30d Beaty Rm 157 VAV-G05 VAV_G05_FLW_SP,"",✓,"","",@p:ubcv:r:22ff942a-0dd4635a beatyBio VAV_G05_Lab_Support_157 (520401),"",TL4,✓,"","","","","","","","","",VAV_G05_FLW_SP,"","","","",@p:ubcv:r:22ff942a-0dd4635a beatyBio VAV_G05_Lab_Support_157 (520401),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:241993c9-348eeb4c Beaty Rm 157 VAV-G05,✓,"","","","",✓,@p:ubcv:r:241984b8-5376fdd0 Beaty Floor 1,"","",✓,"","","",2020-05-12T13:56:10-07:00 Los_Angeles,"","","",80560,2018-10-29T07:38:59-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:00:15.355-07:00 Los_Angeles,2019-04-11T16:04:13.449-07:00 Los_Angeles,"","","","",Discharge Air Flow Sp,"",AV5,"","","","","","",✓,"","","","","","","",@p:ubcv:r:241993c9-f8cbe09b Beaty Rm 157,"","","","","",@p:ubcv:r:209678da-364312db Beaty,"",✓,"","","","",@p:ubcv:r:23e65d0e-5f6d8aaa (.+_)?(V|S)AVS?.+_FLO?W_SP(_LPS|_TL)?,"","",VAV_G05_FLW_SP_TL,Los_Angeles,L/s,"","","","","","",2020-04-09T19:02:02.233Z UTC
