id,ahu,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetObjectId,bacnetPoint,bmsName,bmsName2,bridgeName,bypass,chilled,cmd,co2,connRef,cool,cooling,count,covTest,cur,curStatus,curVal,damper,delta,differential,disMacro,discharge,dupOld,dupOld2,effective,elec,elecMeterLoad,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,feedback,filter,flow,freq,groupRef,heat,heating,heatingMode,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,kind,lastSynced,lastTagged,leaving,max,min,mixed,mode,navName,noTagMatch,objectId,occ,occupancy,opcConnRef,opcCur,opcPoint,outside,perimeterHeat,point,pointRef,pointType,power,preFilter,pressure,pump,quantityID,reliability,return,roomRef,run,runtime,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,tags,temp,testPts,testUnits,tlName,tz,unit,utilityPoint,valve,volume,water,wifi,wifiId,window,zone,mod
@p:ubcv:r:24d4e7fa-54a4c6c6 CIRS Unsorted Points Wireless_019377F6_RT_SP_MAX,"","","","",@p:ubcv:r:22582074-9437d4a5 CIRS Underfloor_girdline_9/F_CP621302 (621302),"",TL17,"",✓,Wireless_019377F6_RT_SP_MAX,"","","","","","",@p:ubcv:r:22582074-9437d4a5 CIRS Underfloor_girdline_9/F_CP621302 (621302),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:22600d2f-b47d62cf CIRS Unsorted Points,✓,"","","","","","",@p:ubcv:r:22600a2d-ba8df7a7 CIRS Unsorted Points,"","","",✓,"","","",2020-05-12T11:01:02-07:00 Los_Angeles,"","","",27720,2019-07-28T17:06:41-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T11:07:17.37-07:00 Los_Angeles,"","","","","","",Wireless_019377F6_RT_SP_MAX,✓,AV10208,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","","","","","","",Wireless_019377F6_RT_SP_MAX_POLL_TL,Los_Angeles,°C,"","","","","","","","",2020-04-09T19:02:28.606Z UTC
@p:ubcv:r:24d4e6ad-bf02b7ea CIRS Unsorted Points Wireless_019378EC_RT_SP,"",✓,"","",@p:ubcv:r:22581ed2-c5c62893 CIRS Underfloor_girdline_9/F_CP621103 (621103),"",TL21,"",✓,Wireless_019378EC_RT_SP,"","","","","","",@p:ubcv:r:22581ed2-c5c62893 CIRS Underfloor_girdline_9/F_CP621103 (621103),"","","","","","","","","","",$equipRef $bmsName,"","","",✓,"","","","","","","",@p:ubcv:r:22600d2f-b47d62cf CIRS Unsorted Points,✓,"","","","","","",@p:ubcv:r:22600a2d-ba8df7a7 CIRS Unsorted Points,"","","",✓,"","","",2020-05-12T11:01:07-07:00 Los_Angeles,"","","",27474,2019-07-30T03:35:14-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T11:01:58.635-07:00 Los_Angeles,"","","","","","",Zone Temp Effective Sp,"",AV10307,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"",✓,"","","",@p:ubcv:r:23e65d0f-9a7e5f45 .+_RT_SP(_AV)?(_TL)?,"",✓,"","",Wireless_019378EC_RT_SP_POLL_TL,Los_Angeles,°C,"","","","","","","",✓,2020-04-09T19:02:28.368Z UTC
@p:ubcv:r:22582460-dbf4eefd CIRS Rm 4152 Zone CIRS_L4N_RAD_OFFICE_7_MODE_MV,"","","","",@p:ubcv:r:225820e9-647764bb CIRS Underfloor_girdline_8/B_CP15C_CP621403 (621403),"",TL4,"",✓,CIRS_L4N_RAD_OFFICE_7_MODE_MV,"","","","",✓,"",@p:ubcv:r:225820e9-647764bb CIRS Underfloor_girdline_8/B_CP15C_CP621403 (621403),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","OS,OCCUPIED,NSB HEATING,STANDBY,NSB COOLING,ALARM,PURGE,OVERRIDE,UNOCCUPIED,DAY SB HEATING","",@p:ubcv:r:24d5d2e9-b326a88d CIRS Rm 4152 Zone,✓,"","","","","","",@p:ubcv:r:225ffb40-b948a04c CIRS Floor 4,"",✓,✓,✓,"","","-1 enumNumberToStr(self, false)",2020-05-12T11:00:00-07:00 Los_Angeles,"","","",68246,2018-04-03T04:00:00-07:00 Los_Angeles,ok,"","","",Str,2020-05-12T11:11:19.657-07:00 Los_Angeles,2019-01-23T16:53:01.06-08:00 Los_Angeles,"","","","",✓,Heating Mode,"",MSV1,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:225ffb41-6a70f491 CIRS Rm 4152,"","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","",@p:ubcv:r:23e65d0e-9a375203 .+_MODE_MV(_TL)?,"","","","",CIRS_L4N_RAD_OFFICE_7_MODE_TL,Los_Angeles,"","","","","","","","","",2020-04-08T18:51:48.16Z UTC
@p:ubcv:r:2258235a-2d1a62cd CIRS AHU-01 CIRS_AHU1_DISH_AIR_STATIC_PRES,"",✓,"","",@p:ubcv:r:2257efc0-2c38ebfc CIRS CIRS_BSMT_MECH_AHU1_HRAH_UH7_CP620100 (620100),"",TL15,"",✓,CIRS_AHU1_DISH_AIR_STATIC_PRES,"","","","","","",@p:ubcv:r:2257efc0-2c38ebfc CIRS CIRS_BSMT_MECH_AHU1_HRAH_UH7_CP620100 (620100),"","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","","",@p:ubcv:r:225fec25-ff07c372 CIRS AHU-01,✓,"","","","","","",@p:ubcv:r:225fec25-18138bcf CIRS Air Systems,"","","",✓,"","","",2020-05-12T11:01:31-07:00 Los_Angeles,"","","",73977,2018-04-02T14:37:41-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T11:04:58.695-07:00 Los_Angeles,2019-01-23T16:53:17.616-08:00 Los_Angeles,"","","","","",Discharge Air Static Pressure,"",AI1405,"","","","","","","",✓,"","","","",✓,"","","","","","","","",✓,@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","",@p:ubcv:r:23e65d0e-041d101c .+_DISC?H_AIR_STATIC_PRES(_TL)?,"","","","",CIRS_AHU1_DISH_AIR_STATIC_PRES_POLL_TL,Los_Angeles,Pa,"","","","","","","","",2020-04-09T19:02:27.347Z UTC
@p:ubcv:r:22582355-74d2bc17 CIRS Heating Plant Air HP-2 CIRS_HP2_LOAD_SIDE_PC,"","","","",@p:ubcv:r:225818d1-97f8927d CIRS Basement_Mech_Room_CP620300 (620300),"",TL30,"",✓,CIRS_HP2_LOAD_SIDE_PC,"","","","","","",@p:ubcv:r:225818d1-97f8927d CIRS Basement_Mech_Room_CP620300 (620300),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","OFF,ON","",@p:ubcv:r:225ff67f-3e852555 CIRS Heating Plant Air HP-2,✓,"","","","","","",@p:ubcv:r:225ff10c-3a1bb8cb CIRS Hydronic Systems,"","","",✓,"","","",2020-05-12T10:55:50-07:00 Los_Angeles,"","","",6414,2018-03-30T19:40:54-07:00 Los_Angeles,ok,"","","",Bool,2020-05-12T11:04:58.581-07:00 Los_Angeles,2018-11-28T16:32:27.401-08:00 Los_Angeles,"","","","","",CIRS_HP2_LOAD_SIDE_PC,✓,BO1103,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","","","","","","",CIRS_HP2_LOAD_SIDE_C_COV_TL,Los_Angeles,"","","","","","","","","",2020-04-08T18:54:11.947Z UTC
@p:ubcv:r:225823e0-c4c34320 CIRS Unsorted Points CIRS_L2N_SUP_PLENUM_PRES_1_MUXED_CP621004,"","","","",@p:ubcv:r:22581fde-674170c3 CIRS Underfloor_Gridline_8/B_CP621004 (621004),"",TL36,"",✓,CIRS_L2N_SUP_PLENUM_PRES_1_MUXED_CP621004,"","","","","","",@p:ubcv:r:22581fde-674170c3 CIRS Underfloor_Gridline_8/B_CP621004 (621004),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:22600d2f-b47d62cf CIRS Unsorted Points,✓,"","","","","","",@p:ubcv:r:22600a2d-ba8df7a7 CIRS Unsorted Points,"","","",✓,"","","",2020-05-12T11:04:59-07:00 Los_Angeles,"","","",73826,2018-04-03T03:33:11-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T11:10:31.007-07:00 Los_Angeles,2018-11-28T16:32:48.194-08:00 Los_Angeles,"","","","","",CIRS_L2N_SUP_PLENUM_PRES_1_MUXED_CP621004,✓,AV43,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","","","","","","",CIRS_L2N_SUP_PLENUM_PRES_1_MUXED_CP621004_POLL_TL,Los_Angeles,Pa,"","","","","","","","",2020-04-09T19:02:28.265Z UTC
@p:ubcv:r:22582371-6bff883b CIRS Unsorted Points HPUMP_1_SUPPLY_FAN_A,"","","","",@p:ubcv:r:22581dc9-a10d5951 CIRS JANITOR_STORAGE_RM0202_CP620301 (620301),"",TL2,"",✓,HPUMP_1_SUPPLY_FAN_A,"","","","","","",@p:ubcv:r:22581dc9-a10d5951 CIRS JANITOR_STORAGE_RM0202_CP620301 (620301),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:22600d2f-b47d62cf CIRS Unsorted Points,✓,"","","","","","",@p:ubcv:r:22600a2d-ba8df7a7 CIRS Unsorted Points,"","","",✓,"","","",2020-05-12T10:56:39-07:00 Los_Angeles,"","","",69422,2018-04-01T17:34:38-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T11:11:10.736-07:00 Los_Angeles,2018-11-28T16:33:00.954-08:00 Los_Angeles,"","","","","",HPUMP_1_SUPPLY_FAN_A,✓,AI2,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","","","","","","",HPUMP_1_SUPPLY_FAN_A_POLL_TL,Los_Angeles,A,"","","","","","","","",2020-04-09T19:02:27.699Z UTC
@p:ubcv:r:22582367-9d2ee0ad CIRS Unsorted Points CIRS_RETURN_AIR_VOC,"","","","",@p:ubcv:r:22581905-97e81518 CIRS ELEC_RM2381A_L2S_CP621100 (621100),"",TL178,"",✓,CIRS_RETURN_AIR_VOC,"","","","","","",@p:ubcv:r:22581905-97e81518 CIRS ELEC_RM2381A_L2S_CP621100 (621100),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:22600d2f-b47d62cf CIRS Unsorted Points,✓,"","","","","","",@p:ubcv:r:22600a2d-ba8df7a7 CIRS Unsorted Points,"","","",✓,"","","",2020-05-12T11:01:20-07:00 Los_Angeles,"","","",73830,2018-04-03T04:07:43-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T11:04:55.412-07:00 Los_Angeles,2018-11-28T16:32:52.595-08:00 Los_Angeles,"","","","","",CIRS_RETURN_AIR_VOC,✓,AI1202,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","","","","","","",CIRS_RETURN_AIR_VOC_POLL_TL,Los_Angeles,%,"","","","","","","","",2020-04-09T19:02:28.299Z UTC
@p:ubcv:r:22582336-7015a607 CIRS Unsorted Points CIRS_L1_IN_SLAB_HWS_HWST_CO_POLL_TL,"","","","",@p:ubcv:r:22581e1f-4f1a4ae6 CIRS 1340_enocean_CP620703 (620703),"",TL28,"",✓,CIRS_L1_IN_SLAB_HWS_HWST_CO_POLL_TL,"","","","","","",@p:ubcv:r:22581e1f-4f1a4ae6 CIRS 1340_enocean_CP620703 (620703),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:22600d2f-b47d62cf CIRS Unsorted Points,✓,"","","","","","",@p:ubcv:r:22600a2d-ba8df7a7 CIRS Unsorted Points,"","","",✓,"","","",2020-05-12T11:01:05-07:00 Los_Angeles,"","","",73805,2018-04-03T02:48:11-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T11:11:16.366-07:00 Los_Angeles,2018-11-28T16:32:54.137-08:00 Los_Angeles,"","","","","",CIRS_L1_IN_SLAB_HWS_HWST_CO_POLL_TL,✓,LP2,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","","","","","","","",Los_Angeles,_,"","","","","","","","",2020-04-09T19:15:22.266Z UTC
@p:ubcv:r:22582358-f9462625 CIRS Unsorted Points CIRS_EOS_MUA_PRE_HWS_HI_SIDE_LWT_MUXED_CP620400,"","","","",@p:ubcv:r:22581905-2113e091 CIRS Basement_Mech_Room_SP4_SP5_CP620400 (620400),"",TL40,"",✓,CIRS_EOS_MUA_PRE_HWS_HI_SIDE_LWT_MUXED_CP620400,"","","","","","",@p:ubcv:r:22581905-2113e091 CIRS Basement_Mech_Room_SP4_SP5_CP620400 (620400),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:22600d2f-b47d62cf CIRS Unsorted Points,✓,"","","","","","",@p:ubcv:r:22600a2d-ba8df7a7 CIRS Unsorted Points,"","","",✓,"","","",2020-05-12T11:01:21-07:00 Los_Angeles,"","","",220883,2018-04-03T16:54:12-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T11:05:29.16-07:00 Los_Angeles,2018-11-28T16:32:52.351-08:00 Los_Angeles,"","","","","",CIRS_EOS_MUA_PRE_HWS_HI_SIDE_LWT_MUXED_CP620400,✓,AV457,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","","","","","","",CIRS_EOS_MUA_PRE_HWS_HI_SIDE_LWT_MUXED_CP620400_POLL_TL,Los_Angeles,°C,"","","","","","","","",2020-04-09T19:02:27.724Z UTC
@p:ubcv:r:22582394-7dca9484 CIRS Unsorted Points CIRS_LV1_SUP_PLENUM_PRES_2_MUXED_CP620903,"","","","",@p:ubcv:r:22581e67-8a46a813 CIRS North_In-Slab_Manifold_MAN-01_CP620903 (620903),"",TL39,"",✓,CIRS_LV1_SUP_PLENUM_PRES_2_MUXED_CP620903,"","","","","","",@p:ubcv:r:22581e67-8a46a813 CIRS North_In-Slab_Manifold_MAN-01_CP620903 (620903),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:22600d2f-b47d62cf CIRS Unsorted Points,✓,"","","","","","",@p:ubcv:r:22600a2d-ba8df7a7 CIRS Unsorted Points,"","","",✓,"","","",2020-05-12T11:08:29-07:00 Los_Angeles,"","","",73835,2018-04-03T03:34:51-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T11:10:31.748-07:00 Los_Angeles,2018-11-28T16:32:48.017-08:00 Los_Angeles,"","","","","",CIRS_LV1_SUP_PLENUM_PRES_2_MUXED_CP620903,✓,AV46,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","","","","","","",CIRS_L1N_SUP_PLENUM_PRES_2_MUXED_CP620903_POLL_TL,Los_Angeles,Pa,"","","","","","","","",2020-04-09T19:02:28.164Z UTC
@p:ubcv:r:22582357-9e1cbc61 CIRS Unsorted Points GEO_LOOP_GL_PUMP1_A,"","","","",@p:ubcv:r:22581905-65e24715 CIRS Basement_Mech_Room_CP620500 (620500),"",TL46,"",✓,GEO_LOOP_GL_PUMP1_A,"","","","","","",@p:ubcv:r:22581905-65e24715 CIRS Basement_Mech_Room_CP620500 (620500),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:22600d2f-b47d62cf CIRS Unsorted Points,✓,"","","","","","",@p:ubcv:r:22600a2d-ba8df7a7 CIRS Unsorted Points,"","","",✓,"","","",2020-05-12T11:01:23-07:00 Los_Angeles,"","","",220836,2018-04-03T16:55:00-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T11:04:58.211-07:00 Los_Angeles,2018-11-28T16:33:02.628-08:00 Los_Angeles,"","","","","",GEO_LOOP_GL_PUMP1_A,✓,AI1301,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","","","","","","",GEO_LOOP_GL_PUMP1_A_POLL_TL,Los_Angeles,A,"","","","","","","","",2020-04-09T19:02:27.817Z UTC
@p:ubcv:r:22582437-84cade0e CIRS Unsorted Points CIRS_L3N_PRES_RA_DMP_CTRL,"","","","",@p:ubcv:r:22582046-1b1cb981 CIRS Underfloor_girdline_7/A-B_CP621203 (621203),"",TL57,"",✓,CIRS_L3N_PRES_RA_DMP_CTRL,"","","","","","",@p:ubcv:r:22582046-1b1cb981 CIRS Underfloor_girdline_7/A-B_CP621203 (621203),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:22600d2f-b47d62cf CIRS Unsorted Points,✓,"","","","","","",@p:ubcv:r:22600a2d-ba8df7a7 CIRS Unsorted Points,"","","",✓,"","","",2020-05-12T10:54:17-07:00 Los_Angeles,"","","",73739,2018-04-03T03:52:54-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T11:07:19.918-07:00 Los_Angeles,2018-11-28T16:32:27.002-08:00 Los_Angeles,"","","","","",CIRS_L3N_PRES_RA_DMP_CTRL,✓,AO3,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","","","","","","",CIRS_L3N_RA_DMP_CTRL_POLL_TL,Los_Angeles,%,"","","","","","","","",2020-04-09T19:02:28.521Z UTC
@p:ubcv:r:24d4e903-d2e91e83 CIRS Rm 4132 Zone CIRS_L4N_RAD_CORRIDOR_W_RT_AV,"",✓,"","",@p:ubcv:r:225820e9-d1c62397 CIRS Underfloor_gridline_7/A-B_CP15E_CP621404 (621404),"",TL30,"",✓,CIRS_L4N_RAD_CORRIDOR_W_RT_AV,"","","","","","",@p:ubcv:r:225820e9-d1c62397 CIRS Underfloor_gridline_7/A-B_CP15E_CP621404 (621404),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:225ffb41-0d16d9c7 CIRS Rm 4132 Zone,✓,"","","","","","",@p:ubcv:r:225ffb40-b948a04c CIRS Floor 4,"","","",✓,"","","",2020-05-12T10:52:13-07:00 Los_Angeles,"","","",20066,2019-07-30T21:11:52-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T11:01:58.681-07:00 Los_Angeles,"","","","","","",Zone Temp,"",AV1,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:225ffb41-b3b2e88f CIRS Rm 4132,"","","",✓,@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,"",✓,"","",CIRS_L4N_RAD_CORRIDOR_W_RT_AV_POLL_TL,Los_Angeles,°C,"","","","","","","",✓,2020-04-09T19:02:28.779Z UTC
@p:ubcv:r:24d4e5b6-1a13042b CIRS Rm 2160 Zone CIRS_N2_WIN_OFFICE_7_WIN_S,"","","","",@p:ubcv:r:22581fde-50e2aefe CIRS Underfloor_Gridline_13/A_CP621001 (621001),"",TL55,"",✓,CIRS_N2_WIN_OFFICE_7_WIN_S,"","","","","","",@p:ubcv:r:22581fde-50e2aefe CIRS Underfloor_Gridline_13/A_CP621001 (621001),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","Closed,Open","",@p:ubcv:r:24d5d2e9-e6d8230d CIRS Rm 2160 Zone,✓,"","","","","","",@p:ubcv:r:22600a2d-ba8df7a7 CIRS Unsorted Points,"","","",✓,"","","",2019-09-25T13:15:56-07:00 Los_Angeles,"","","",25,2019-08-28T09:31:58-07:00 Los_Angeles,ok,"","","",Bool,2020-05-12T11:09:06.669-07:00 Los_Angeles,"","","","","","",Window Status,"",BI2,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:225ffb3f-5650c0d1 CIRS Rm 2160,"","","",✓,@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","",@p:ubcv:r:24d5de60-df6447d0 .+_WIN(S(\d+)?)?_.+(_TL)?,"","","","",CIRS_N2_WIN_OFFICE_7_WIN_S_COV_TL,Los_Angeles,"","","","","","","",✓,"",2020-04-08T18:54:31.438Z UTC
@p:ubcv:r:2258236a-7027b780 CIRS Unsorted Points CIRS_L1MISC_BSP,"","","","",@p:ubcv:r:22581905-7d4b9c2b CIRS Electrical_Rm_L181A_L1N_CP620900 (620900),"",TL26,"",✓,CIRS_L1MISC_BSP,"","","","","","",@p:ubcv:r:22581905-7d4b9c2b CIRS Electrical_Rm_L181A_L1N_CP620900 (620900),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:22600d2f-b47d62cf CIRS Unsorted Points,✓,"","","","","","",@p:ubcv:r:22600a2d-ba8df7a7 CIRS Unsorted Points,"","","",✓,"","","",2020-05-12T10:55:17-07:00 Los_Angeles,"","","",73831,2018-04-03T02:56:10-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T11:03:10.651-07:00 Los_Angeles,2018-11-28T16:33:02.21-08:00 Los_Angeles,"","","","","",CIRS_L1MISC_BSP,✓,AI1302,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","","","","","","",CIRS_L1MISC_BSP_POLL_TL,Los_Angeles,Pa,"","","","","","","","",2020-04-09T19:02:28.109Z UTC
@p:ubcv:r:22582355-fcc91792 CIRS Unsorted Points CIRS_BTU_EM02_RWT_MUX,"","","","",@p:ubcv:r:225818d1-97f8927d CIRS Basement_Mech_Room_CP620300 (620300),"",TL173,"",✓,CIRS_BTU_EM02_RWT_MUX,"","","","","","",@p:ubcv:r:225818d1-97f8927d CIRS Basement_Mech_Room_CP620300 (620300),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:22600d2f-b47d62cf CIRS Unsorted Points,✓,"","","","","","",@p:ubcv:r:22600a2d-ba8df7a7 CIRS Unsorted Points,"","","",✓,"","","",2020-05-12T11:00:00-07:00 Los_Angeles,"","","",74263,2018-03-30T18:30:00-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T11:04:58.695-07:00 Los_Angeles,2018-11-28T16:32:58.546-08:00 Los_Angeles,"","","","","",CIRS_BTU_EM02_RWT_MUX,✓,AV96,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","","","","","","",CIRS_BTU_EM02_RWT_MUX_TL,Los_Angeles,°C,"","","","","","","","",2020-04-09T19:02:27.585Z UTC
@p:ubcv:r:24d4e710-02a5b98c CIRS Unsorted Points Wireless_0193857B_RT_SP_MAX,"","","","",@p:ubcv:r:22581ed2-3c0eaefd CIRS Underfloor_girdline_7/F-G_CP621105 (621105),"",TL17,"",✓,Wireless_0193857B_RT_SP_MAX,"","","","","","",@p:ubcv:r:22581ed2-3c0eaefd CIRS Underfloor_girdline_7/F-G_CP621105 (621105),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:22600d2f-b47d62cf CIRS Unsorted Points,✓,"","","","","","",@p:ubcv:r:22600a2d-ba8df7a7 CIRS Unsorted Points,"","","",✓,"","","",2020-05-12T11:01:08-07:00 Los_Angeles,"","","",27476,2019-07-30T03:33:38-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T11:02:01.108-07:00 Los_Angeles,"","","","","","",Wireless_0193857B_RT_SP_MAX,✓,AV10208,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","","","","","","",Wireless_0193857B_RT_SP_MAX_POLL_TL,Los_Angeles,°C,"","","","","","","","",2020-04-09T19:02:28.399Z UTC
@p:ubcv:r:24d4e589-c34ab11c CIRS Unsorted Points CIRS_N1_WIN_POLICY_LAB_1_S,"","","","",@p:ubcv:r:22581e67-cf82f4a5 CIRS North_Labs_Underfloor_Space_CP620902 (620902),"",TL50,"",✓,CIRS_N1_WIN_POLICY_LAB_1_S,"","","","","","",@p:ubcv:r:22581e67-cf82f4a5 CIRS North_Labs_Underfloor_Space_CP620902 (620902),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","Closed,Open","",@p:ubcv:r:22600d2f-b47d62cf CIRS Unsorted Points,✓,"","","","","","",@p:ubcv:r:22600a2d-ba8df7a7 CIRS Unsorted Points,"","","",✓,"","","",2020-01-30T14:51:19-08:00 Los_Angeles,"","","",64,2019-07-29T08:56:16-07:00 Los_Angeles,ok,"","","",Bool,2020-05-12T11:10:30.478-07:00 Los_Angeles,"","","","","","",Window Status,"",BI10,"","","","","","","",✓,"","","","","","","","","","","","","",✓,@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","",@p:ubcv:r:24d5de60-df6447d0 .+_WIN(S(\d+)?)?_.+(_TL)?,"","","","",CIRS_N1_WIN_POLICY_LAB_1_S_COV_TL,Los_Angeles,"","","","","","","",✓,"",2020-04-08T18:54:28.725Z UTC
@p:ubcv:r:225823b1-284ef3bf CIRS Rm B1362 UH-02 CIRS_UH02_FAN_C,"",✓,"","",@p:ubcv:r:22581d47-fa97354e CIRS SW_Storage_Rm0261_CP620201 (620201),"",TL40,"",✓,CIRS_UH02_FAN_C,"","","","",✓,"",@p:ubcv:r:22581d47-fa97354e CIRS SW_Storage_Rm0261_CP620201 (620201),"","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","OFF,ON","",@p:ubcv:r:225ffb3d-1fc68ab8 CIRS Rm B1362 UH-02,✓,"",✓,"","","","",@p:ubcv:r:225ffb3d-576eaa97 CIRS Basement,"","","",✓,"","","",2019-10-09T12:39:32-07:00 Los_Angeles,"","","",122,2017-09-18T09:39:03-07:00 Los_Angeles,ok,"","","",Bool,2020-05-12T11:10:31.427-07:00 Los_Angeles,2019-01-23T16:53:26.229-08:00 Los_Angeles,"","","","","",Discharge Fan Run Cmd,"",BO5,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:225ffb3d-feee23f1 CIRS Rm B1362,✓,"","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","",@p:ubcv:r:23e65d0f-a0d9a25e .+_UH\d+_(UH_)?(FAN_)?C(_TL)?,"","","","",CIRS_UH02_FAN_C_COV_TL,Los_Angeles,"","","","","","","","","",2020-04-08T18:54:03.423Z UTC
