id,air,alarm,bacnetConnRef,bacnetHis,bacnetPoint,bmsName,chanGunnDeepDive,connRef,cur,curStatus,curVal,disMacro,disabled,discharge,elec,energy,enum,equipRef,frank,groupRef,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisMode,hisSize,hisStart,hisStatus,hisTotalized,kind,lastSynced,mixed,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,point,pointType,power,quantityID,sensor,shortName,siemens,siemensName,siteRef,sourceID,sqlConnRef,sqlPoint,tags,temp,tlName,tz,unit,utilityPoint,window,mod
@p:ubcv:r:24194dbe-fde5b2b0 Chan Gunn Unsorted Points SMC_PHWS_SUP_TEMP,"","",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),TL0,✓,SMC_PHWS_SUP_TEMP,"",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:05:00-07:00 Los_Angeles,"","",115349,2019-03-17T17:20:00-07:00 Los_Angeles,ok,"",Number,2020-05-12T11:09:07.684-07:00 Los_Angeles,"",SMC_PHWS_SUP_TEMP,✓,AI12,"","","",✓,"","","","","",✓,SMC_PHWS_SUP_TEMP,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",301600_TrendLog_0,Los_Angeles,°C,"","",2020-04-09T19:01:56.506Z UTC
@p:ubcv:r:2422cc9f-a46864b2 Chan Gunn Unsorted Points SMC.301517:ROOM TEMP_TL_30,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL85,✓,SMC.301517:ROOM TEMP_TL_30,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-07-08T12:00:00-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [166] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",5144,2019-03-15T15:30:00-07:00 Los_Angeles,fault,"",Number,2020-05-11T09:50:28.021-07:00 Los_Angeles,"",SMC.301517:ROOM TEMP_TL_30,✓,"","","","",✓,"","","","","",✓,SMC.301517:ROOM TEMP_TL_30,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:01.151Z UTC
@p:ubcv:r:241431a6-451b591c Chan Gunn Unsorted Points SMC_ELEC_KWH_DAY,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL1605,✓,SMC_ELEC_KWH_DAY,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-11-08T16:30:00-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [37] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",36601,2019-03-06T15:15:00-08:00 Los_Angeles,fault,"",Number,2020-05-11T09:50:28.227-07:00 Los_Angeles,"",SMC_ELEC_KWH_DAY,✓,AV70,"","","",✓,"","","","",SMC_ELEC_KWH_DAY,✓,SMC_ELEC_KWH_DAY,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:01.149Z UTC
@p:ubcv:r:24919005-010e5ac7 Chan Gunn Unsorted Points SMC_ATR_INLET_POS,"","",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),TL202,✓,SMC_ATR_INLET_POS,"",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:01-07:00 Los_Angeles,"","",31915,2019-06-08T15:00:00-07:00 Los_Angeles,ok,"",Number,2020-05-12T11:09:08.978-07:00 Los_Angeles,"",SMC_ATR_INLET_POS,✓,AV25,"","","",✓,"","","","","",✓,SMC_ATR_INLET_POS,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",301600_TrendLog_202,Los_Angeles,%,"","",2020-04-09T19:01:56.508Z UTC
@p:ubcv:r:249187a1-2bf70ee2 Chan Gunn Unsorted Points SMC.301534:VALVE_CMD,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL909,✓,SMC.301534:VALVE_CMD,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","CLOSED,OPEN",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-11-26T09:45:02-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [161] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",15040,2019-06-08T14:15:02-07:00 Los_Angeles,fault,"",Bool,2020-05-10T22:28:03.599-07:00 Los_Angeles,"",SMC.301534:VALVE_CMD,✓,BO1,"","","",✓,"","","","","",✓,SMC.301534:VALVE_CMD,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,"","","",2019-12-03T18:23:04.105Z UTC
@p:ubcv:r:2491900a-81d9d8ab Chan Gunn Unsorted Points VALVE_CMD,"","",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),TL275,✓,VALVE_CMD,"",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),"","","",$equipRef $siemensName,"","","","","CLOSED,OPEN",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:01-07:00 Los_Angeles,"","",31949,2019-06-08T15:15:00-07:00 Los_Angeles,ok,"",Bool,2020-05-12T11:09:11.05-07:00 Los_Angeles,"",VALVE_CMD,✓,BO1,"","","",✓,"","","","","",✓,VALVE_CMD,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,"","","",2019-12-03T18:23:06.474Z UTC
@p:ubcv:r:2491879c-dd851dc4 Chan Gunn Unsorted Points SMC.301535:VLV_CMD,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL857,✓,SMC.301535:VLV_CMD,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-11-26T09:45:02-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [240] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",15040,2019-06-08T14:15:02-07:00 Los_Angeles,fault,"",Number,2020-05-10T22:28:03.608-07:00 Los_Angeles,"",SMC.301535:VLV_CMD,✓,AV21,"","","",✓,"","","","","",✓,SMC.301535:VLV_CMD,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:01.157Z UTC
@p:ubcv:r:25a29cb2-07fa4861 Chan Gunn Unsorted Points SMC_ELEC_KWH_APR,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL1210,"",SMC_ELEC_KWH_APR,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:03-07:00 Los_Angeles,"","",12527,2020-01-02T16:30:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T11:07:18.994-07:00 Los_Angeles,"",SMC_ELEC_KWH_APR,✓,AV53,"","","",✓,"","","","","",✓,"",@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",SMC_ELEC_KWH_APR_TL_15,Los_Angeles,kWh,"","",2020-04-09T19:01:56.142Z UTC
@p:ubcv:r:2426d1c2-21fe520c Chan Gunn Unsorted Points SMC.301518:ROOM TEMP,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL737,✓,SMC.301518:ROOM TEMP,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-04-30T09:40:04-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [102] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",11316,2019-03-20T19:20:00-07:00 Los_Angeles,fault,"",Number,2020-05-10T22:28:02.021-07:00 Los_Angeles,"",SMC.301518:ROOM TEMP,✓,AI4,"","","",✓,"","","","","",✓,SMC.301518:ROOM TEMP,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:01.159Z UTC
@p:ubcv:r:25a29cb2-13c50f54 Chan Gunn Unsorted Points SMC.CLG.DEG.YTD,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL1120,"",SMC.CLG.DEG.YTD,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T00:01:00-07:00 Los_Angeles,"","",30,2020-03-19T00:01:00-07:00 Los_Angeles,ok,"",Number,2020-05-12T11:07:16.291-07:00 Los_Angeles,"",SMC.CLG.DEG.YTD,✓,AV89,"","","",✓,"","","","","",✓,"",@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",SMC.CLG.DEG.YTD_TL_COV,Los_Angeles,°daysC,"","",2020-04-09T19:01:56.146Z UTC
@p:ubcv:r:2491879f-9c908abd Chan Gunn Unsorted Points SMC.301543:DIS_AIR_TEMP,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL891,✓,SMC.301543:DIS_AIR_TEMP,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-07-08T12:15:00-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [203] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",2880,2019-06-08T14:15:02-07:00 Los_Angeles,fault,"",Number,2020-05-10T22:28:02.6-07:00 Los_Angeles,"",SMC.301543:DIS_AIR_TEMP,✓,AI0,"","","",✓,"","","","","",✓,SMC.301543:DIS_AIR_TEMP,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:01.199Z UTC
@p:ubcv:r:2426d117-493158c8 Chan Gunn Unsorted Points SMC.301500:SMC.301524_FAN_KWH,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL374,✓,SMC.301500:SMC.301524_FAN_KWH,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-04-30T09:38:47-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [41] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",8114,2019-03-20T16:56:46-07:00 Los_Angeles,fault,"",Number,2020-05-10T22:28:01.57-07:00 Los_Angeles,"",SMC.301500:SMC.301524_FAN_KWH,✓,AV26,"","","",✓,"","","","","",✓,SMC.301500:SMC.301524_FAN_KWH,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:01.2Z UTC
@p:ubcv:r:2491900b-48b71c21 Chan Gunn Unsorted Points AIR_TEMP_SP,"","",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),TL289,✓,SMC_ATR_EF-11_AMP,"",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:01-07:00 Los_Angeles,"","",31949,2019-06-08T15:15:00-07:00 Los_Angeles,ok,"",Number,2020-05-12T11:09:11.158-07:00 Los_Angeles,"",AIR_TEMP_SP,✓,AI2,"","","",✓,"","","","","",✓,AIR_TEMP_SP,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",301600_TrendLog_289,Los_Angeles,A,"","",2020-04-09T19:01:56.517Z UTC
@p:ubcv:r:25a29cb2-ddbd5633 Chan Gunn Unsorted Points SMC.MF5.DEWPT.ALM,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL1117,"",SMC.MF5.DEWPT.ALM,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $bmsName,"","","","","NORMAL,ALARM",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:03-07:00 Los_Angeles,"","",12943,2019-12-29T17:00:01-08:00 Los_Angeles,ok,"",Bool,2020-05-12T11:07:19.097-07:00 Los_Angeles,"",SMC.MF5.DEWPT.ALM,✓,BV5,"","","",✓,"","","","","",✓,"",@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",301500_TrendLog_1117,Los_Angeles,"","","",2020-02-12T22:12:48.033Z UTC
@p:ubcv:r:2422cc9f-050fc55f Chan Gunn Unsorted Points SMC_NATV-1-3_CMD,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL117,✓,SMC_NATV-1-3_CMD,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $bmsName,"","","","","OFF,ON",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-11T21:29:25-07:00 Los_Angeles,"","",320,2019-03-16T05:56:42-07:00 Los_Angeles,ok,"",Bool,2020-05-12T11:07:16.31-07:00 Los_Angeles,"",SMC_NATV-1-3_CMD_TL_COV,✓,BO2,"","","",✓,"","","","","",✓,SMC_NATV-1-3_CMD_TL_COV,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",SMC_NATV-1-3_CMD_TL_COV,Los_Angeles,"","","",2020-02-12T22:08:47.604Z UTC
@p:ubcv:r:2491879e-1c26b5a3 Chan Gunn Unsorted Points SMC.301532:OAD_CMD,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL879,✓,SMC.301532:OAD_CMD,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-11-26T09:45:02-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [218] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",15040,2019-06-08T14:15:02-07:00 Los_Angeles,fault,"",Number,2020-05-10T22:28:03.627-07:00 Los_Angeles,"",SMC.301532:OAD_CMD,✓,AO1,"","","",✓,"","","","","",✓,SMC.301532:OAD_CMD,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:01.203Z UTC
@p:ubcv:r:249187a3-b2cc9ca5 Chan Gunn Unsorted Points SMC.301530:AIR_TEMP,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL928,✓,SMC.301530:AIR_TEMP,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-11-26T09:45:00-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [137] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",15039,2019-06-08T14:15:02-07:00 Los_Angeles,fault,"",Number,2020-05-10T22:28:03.103-07:00 Los_Angeles,"",SMC.301530:AIR_TEMP,✓,AI2,"","","",✓,"","","","","",✓,SMC.301530:AIR_TEMP,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:01.206Z UTC
@p:ubcv:r:25a29cb2-90e0c8b2 Chan Gunn Unsorted Points SMC.301670_ELEV_KWH,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL994,"",SMC.301670_ELEV_KWH,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:03-07:00 Los_Angeles,"","",12648,2020-01-01T16:00:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T11:07:19.124-07:00 Los_Angeles,"",SMC.301670_ELEV_KWH,✓,AV3,"","","",✓,"","","","","",✓,"",@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",SMC.301670_ELEV_KWH_TL_15,Los_Angeles,kWh,"","",2020-04-09T19:01:56.153Z UTC
@p:ubcv:r:2426d1bb-024da7fa Chan Gunn Unsorted Points SMC.301518:AOV2,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL727,✓,SMC.301518:AOV2,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-04-30T09:40:04-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [97] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",11316,2019-03-20T19:20:00-07:00 Los_Angeles,fault,"",Number,2020-05-10T22:28:02.034-07:00 Los_Angeles,"",SMC.301518:AOV2,✓,AO33,"","","",✓,"","","","","",✓,SMC.301518:AOV2,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:01.208Z UTC
@p:ubcv:r:241431a6-397d9f91 Chan Gunn Unsorted Points SMC.301500.OCC,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL1671,✓,SMC.301500.OCC,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $bmsName,"","","","","OFF,ON",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-01-01T23:00:00-08:00 Los_Angeles,"","",2665,2019-03-02T18:30:00-08:00 Los_Angeles,ok,"",Bool,2020-05-12T11:07:16.323-07:00 Los_Angeles,"",SMC.301500.OCC,✓,BV0,"","","",✓,"","","","",SMC.301500.OCC,✓,SMC.301500.OCC,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",301500_TrendLog_1671,Los_Angeles,"","","",2020-02-12T22:10:24.761Z UTC
@p:ubcv:r:24919005-f55720f0 Chan Gunn Unsorted Points SMC_SLAB_HTG_OAT_MIN,"","",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),TL249,✓,SMC_SLAB_HTG_OAT_MIN,"",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:01-07:00 Los_Angeles,"","",31915,2019-06-08T15:00:00-07:00 Los_Angeles,ok,"",Number,2020-05-12T11:09:09.244-07:00 Los_Angeles,"",SMC_SLAB_HTG_OAT_MIN,✓,AV4,"","","",✓,"","","","","",✓,SMC_SLAB_HTG_OAT_MIN,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",301600_TrendLog_249,Los_Angeles,°C,"","",2020-04-09T19:01:56.525Z UTC
@p:ubcv:r:24194dcb-9d76449e Chan Gunn Unsorted Points SMC_PHWS_P-3_SPD,"","",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),TL90,✓,SMC_PHWS_P-3_SPD,"",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T10:53:33-07:00 Los_Angeles,"","",232979,2019-03-18T07:57:37-07:00 Los_Angeles,ok,"",Number,2020-05-12T11:09:07.168-07:00 Los_Angeles,"",SMC_PHWS_P-3_SPD,✓,AO2,"","","",✓,"","","","","",✓,SMC_PHWS_P-3_SPD,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",SMC_PHWS_P-3_SPD_TL_COV,Los_Angeles,%,"","",2020-04-09T19:01:56.526Z UTC
@p:ubcv:r:2491879d-960de656 Chan Gunn Unsorted Points SMC.301545:H/C_VLV_CMD,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL866,✓,SMC.301545:H/C_VLV_CMD,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-07-08T12:15:01-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [210] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",2879,2019-06-08T14:15:02-07:00 Los_Angeles,fault,"",Number,2020-05-10T22:28:02.742-07:00 Los_Angeles,"",SMC.301545:H/C_VLV_CMD,✓,AO1,"","","",✓,"","","","","",✓,SMC.301545:H/C_VLV_CMD,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:01.215Z UTC
@p:ubcv:r:2491879d-24537056 Chan Gunn Unsorted Points SMC.301544:VLV_CMD,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL865,✓,SMC.301544:VLV_CMD,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-07-08T12:15:00-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [246] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",2880,2019-06-08T14:15:02-07:00 Los_Angeles,fault,"",Number,2020-05-10T22:28:02.609-07:00 Los_Angeles,"",SMC.301544:VLV_CMD,✓,AV14,"","","",✓,"","","","","",✓,SMC.301544:VLV_CMD,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:01.218Z UTC
@p:ubcv:r:2426d117-7ba44603 Chan Gunn Unsorted Points SMC.301500:SMC_ELEC_KWH_WED,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL421,✓,SMC.301500:SMC_ELEC_KWH_WED,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-04-30T09:30:08-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [80] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",3719,2019-03-21T03:45:00-07:00 Los_Angeles,fault,"",Number,2020-05-10T22:28:01.436-07:00 Los_Angeles,"",SMC.301500:SMC_ELEC_KWH_WED,✓,AV64,"","","",✓,"","","","","",✓,SMC.301500:SMC_ELEC_KWH_WED,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:01.23Z UTC
@p:ubcv:r:241431a6-23030f85 Chan Gunn Unsorted Points SMC_ELEC_KWH_CDR,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL1601,✓,SMC_ELEC_KWH_CDR,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-11-08T16:50:00-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [26] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",36604,2019-03-06T15:15:00-08:00 Los_Angeles,fault,"",Number,2020-05-11T09:50:28.265-07:00 Los_Angeles,"",SMC_ELEC_KWH_CDR,✓,AV48,"","","",✓,"","","","",SMC_ELEC_KWH_CDR,✓,SMC_ELEC_KWH_CDR,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:01.232Z UTC
@p:ubcv:r:241431a6-31dbab6d Chan Gunn Unsorted Points SMC.301508_3_H/C_P_KWH,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL531,✓,SMC.301508_3_H/C_P_KWH,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-04-30T09:40:04-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [33] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",12770,2019-03-06T15:15:00-08:00 Los_Angeles,fault,"",Number,2020-05-10T22:28:02.056-07:00 Los_Angeles,"",SMC.301508_3_H/C_P_KWH,✓,AV10,"","","",✓,"","","","",SMC.301508_3_H/C_P_KWH,✓,SMC.301508_3_H/C_P_KWH,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:01.235Z UTC
