id,condensate,connRef,cur,curConvert,curStatus,curVal,disMacro,elec,energy,entering,equipRef,flow,gas,groupRef,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,hotWater,kind,leaving,navName,opcConnRef,opcCur,point,pointType,power,pressure,primaryLoop,pump,quantityID,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,sqlSource,steam,temp,tz,unit,utilityPoint,volume,water,mod
@p:ubcv:r:25a79df3-5c662ae6 BRDF Gasifier Feedwater Rate,"",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,lb/h => kg/s,ok,3.39531686030274E-4kg/s,$equipRef $navName,"","","",@p:ubcv:r:25a6744d-4face8ee BRDF Gasifier,"","",@p:ubcv:r:258c38d1-61750e82 BRDF Plant Systems,✓,0.25kg/s,15min,"",2020-05-12T14:15:00-07:00 Los_Angeles,"","",26816,2020-01-07T12:00:00-08:00 Los_Angeles,ok,"","","",Number,"",Feedwater Rate,@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.BRDF.Gasifier.Feedwater_Rate,✓,"","","","","","",✓,@p:ubcv:r:23dd1c04-3d3b8615 BRDF,"","","","",✓,✓,Los_Angeles,kg/s,"","",✓,2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25a7b2fa-78b9bff1 BRDF Heat Exchanger Steam Pressure,"",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,-1.7565739154815674kPa,$equipRef $navName,"","","",@p:ubcv:r:258c38a1-ae0c25ff BRDF Heat Exchanger,"","",@p:ubcv:r:258c38d1-61750e82 BRDF Plant Systems,✓,10kPa,15min,"",2020-05-12T14:15:00-07:00 Los_Angeles,"","",29046,2020-01-07T13:30:00-08:00 Los_Angeles,ok,"","","",Number,"",Steam Pressure,@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.BRDF.Heat_Exchanger.Steam_Pres,✓,"","",✓,"","","",✓,@p:ubcv:r:23dd1c04-3d3b8615 BRDF,"","","","",✓,"",Los_Angeles,kPa,"","","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25a795b8-541c80d2 BRDF Gasifier Steam Power,"",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,* 2060 / 3600 / 1000,ok,0MW,$equipRef $navName,"","","",@p:ubcv:r:25a6744d-4face8ee BRDF Gasifier,"","",@p:ubcv:r:258c38d1-61750e82 BRDF Plant Systems,✓,0.25MW,15min,"",2020-05-12T14:15:00-07:00 Los_Angeles,"","",27110,2020-01-07T11:30:00-08:00 Los_Angeles,ok,"","","",Number,"",Steam Power,@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.BRDF.Gasifier.Steam_Rate,✓,"",✓,"","","","",✓,@p:ubcv:r:23dd1c04-3d3b8615 BRDF,"","","","",✓,"",Los_Angeles,MW,"","",✓,2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25a7b27f-7e953239 BRDF Heat Exchanger Condensate Flow,✓,@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,1.6525837182998657L/s,$equipRef $navName,"","","",@p:ubcv:r:258c38a1-ae0c25ff BRDF Heat Exchanger,✓,"",@p:ubcv:r:258c38d1-61750e82 BRDF Plant Systems,✓,5L/s,15min,"",2020-05-12T14:15:00-07:00 Los_Angeles,"","",11946,2020-01-07T13:30:00-08:00 Los_Angeles,ok,"","","",Number,"",Condensate Flow,@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.BRDF.Heat_Exchanger.Condensate_Flow,✓,"","","","","","",✓,@p:ubcv:r:23dd1c04-3d3b8615 BRDF,"","","","","","",Los_Angeles,L/s,"","","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25a7b340-c0df185e BRDF Heat Exchanger Steam Rate,"",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,lb/h => kg/s,ok,0.00199640965515764kg/s,$equipRef $navName,"","","",@p:ubcv:r:258c38a1-ae0c25ff BRDF Heat Exchanger,✓,"",@p:ubcv:r:258c38d1-61750e82 BRDF Plant Systems,✓,0.1kg/s,15min,"",2020-05-12T14:15:00-07:00 Los_Angeles,"","",18909,2020-01-07T17:10:27-08:00 Los_Angeles,ok,"","","",Number,"",Steam Rate,@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.BRDF.Heat_Exchanger.Steam_Rate,✓,"","","","","","",✓,@p:ubcv:r:23dd1c04-3d3b8615 BRDF,"","","","",✓,"",Los_Angeles,kg/s,"","","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:23e4a684-2289b36e BRDF HW Main Meter Energy,"",@p:ubcv:r:23060489-d61f5459 ION DB,"","","","",$equipRef $navName,"",✓,"",@p:ubcv:r:23e4a505-a38a11c8 BRDF HW Main Meter,"","",@p:ubcv:r:23dd1d22-405fb9e7 BRDF Utilities,✓,"","","",2020-05-12T03:15:00-07:00 Los_Angeles,"",consumption,135350,2016-05-20T17:15:00-07:00 Los_Angeles,ok,✓,✓,"",Number,"",Energy,"","",✓,"","","","","",10364,✓,@p:ubcv:r:23dd1c04-3d3b8615 BRDF,539,@p:ubcv:r:23060489-d61f5459 ION DB,✓,✓,"","",Los_Angeles,MWh,✓,"",✓,2020-04-28T00:03:36.056Z UTC
@p:ubcv:r:25a6744d-cc6daa48 BRDF Gasifier Firing Rate,"",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,27.55794906616211%,$equipRef $navName,"","","",@p:ubcv:r:25a6744d-4face8ee BRDF Gasifier,"","",@p:ubcv:r:258c38d1-61750e82 BRDF Plant Systems,✓,2%,15min,"",2020-05-12T14:15:00-07:00 Los_Angeles,"","",22605,2020-01-06T14:59:08-08:00 Los_Angeles,ok,"","","",Number,"",Firing Rate,@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.BRDF.Gasifier.Firing_Rate,✓,"","","","","","",✓,@p:ubcv:r:23dd1c04-3d3b8615 BRDF,"","","","","",✓,Los_Angeles,%,"","",✓,2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:258c3a36-d39ec58e BRDF Heat Exchanger Hot Water Flow,"",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,0.14239732921123505L/s,$equipRef $navName,"","","",@p:ubcv:r:258c38a1-ae0c25ff BRDF Heat Exchanger,✓,"",@p:ubcv:r:258c38d1-61750e82 BRDF Plant Systems,✓,5L/s,15min,"",2020-05-12T14:15:00-07:00 Los_Angeles,"","",19739,2019-12-17T17:30:00-08:00 Los_Angeles,ok,"",✓,"",Number,"",Hot Water Flow,@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.BRDF.Heat_Exchanger.Water_Flow,✓,"","","","","","",✓,@p:ubcv:r:23dd1c04-3d3b8615 BRDF,"","","","","","",Los_Angeles,L/s,"","",✓,2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:258c3956-fe441fdb BRDF Heat Exchanger Leaving Water Temp,"",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,17.292606353759766°C,$equipRef $navName,"","","",@p:ubcv:r:258c38a1-ae0c25ff BRDF Heat Exchanger,"","",@p:ubcv:r:258c38d1-61750e82 BRDF Plant Systems,✓,1°C,15min,"",2020-05-12T14:15:00-07:00 Los_Angeles,"","",25816,2019-12-17T17:15:00-08:00 Los_Angeles,ok,"",✓,"",Number,✓,Leaving Water Temp,@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.BRDF.Heat_Exchanger.Leaving_Water_Temp,✓,"","","",✓,"","",✓,@p:ubcv:r:23dd1c04-3d3b8615 BRDF,"","","","","",✓,Los_Angeles,°C,"","",✓,2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25a7b403-0c07747d BRDF Heat Exchanger Pump P-1 Speed,"",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,0.16455078125%,$equipRef $navName,"","","",@p:ubcv:r:258c38a1-ae0c25ff BRDF Heat Exchanger,"","",@p:ubcv:r:258c38d1-61750e82 BRDF Plant Systems,✓,2.5%,15min,"",2020-05-12T14:15:00-07:00 Los_Angeles,"","",11881,2020-01-07T13:31:18-08:00 Los_Angeles,ok,"","","",Number,"",Pump P-1 Speed,@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.BRDF.Heat_Exchanger.P-1_Speed,✓,"","","","",✓,"",✓,@p:ubcv:r:23dd1c04-3d3b8615 BRDF,"","","","","","",Los_Angeles,%,"","","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25aa3733-4ce059b3 BRDF CHP Engine Gas Input,"",@p:ubcv:r:25842aaf-230158ab Factorytalk KepServer,✓,"","","",$equipRef $navName,"","","",@p:ubcv:r:25a6798e-e5013205 BRDF CHP Engine,"","",@p:ubcv:r:258c38d1-61750e82 BRDF Plant Systems,✓,"","","","",deBrdfChpGas,"","","","","","","",Number,"",Gas Input,"","",✓,"",✓,"","","","",✓,@p:ubcv:r:23dd1c04-3d3b8615 BRDF,"","","","",✓,"",Los_Angeles,MW,"","","",2020-01-09T19:29:58.225Z UTC
@p:ubcv:r:25aa4708-2ed1092d BRDF Heat Exchanger HW Power,"",@p:ubcv:r:25842aaf-230158ab Factorytalk KepServer,"","","","",$equipRef $navName,"","","",@p:ubcv:r:258c38a1-ae0c25ff BRDF Heat Exchanger,"","",@p:ubcv:r:258c38d1-61750e82 BRDF Plant Systems,✓,"","","","",deBrdfHwPwr,"","","","","",✓,"",Number,"",HW Power,"","",✓,"",✓,"","","","",✓,@p:ubcv:r:23dd1c04-3d3b8615 BRDF,"","","","","","",Los_Angeles,MW,"","",✓,2020-01-09T20:19:35.606Z UTC
