id,bacnetConnRef,bacnetCur,bacnetHis,bacnetObjectId,bacnetPoint,bmsName,bridgeName,connRef,count,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,elec,energy,entering,enum,equipRef,esc,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,lastSynced,leaving,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,point,pointType,power,quantityID,reliability,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,temp,tlName,toTag,tz,unit,unknown,utilityPoint,volume,water,wifi,wifiId,mod
@p:ubcv:r:261f61b3-cee601d6 Thunderbird Park Unsorted Points IBWF_AHU5_FLR1,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL122,"","",IBWF_AHU5_FLR1,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:261f61b2-feebb59f Thunderbird Park Unsorted Points,"","",@p:ubcv:r:261f61b2-344ad6a2 Thunderbird Park $bmsName,✓,"","",2020-05-12T11:39:21-07:00 Los_Angeles,"","",477,2020-03-02T16:16:48-08:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:19.679-07:00 Los_Angeles,"",IBWF_AHU5_FLR1,✓,AV306,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",400320_TrendLog_122,"",Los_Angeles,_,✓,"","","","","",2020-05-06T18:51:21.352Z UTC
@p:ubcv:r:2645c32a-42e1096b CEME Unsorted Points BACx_FWHX1HVS,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL281,"","",BACx_FWHX1HVS,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:2645b453-54cb484c CEME Unsorted Points,"","",@p:ubcv:r:2645b453-0d2e9b74 CEME $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",685,2020-05-05T11:15:16-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:18.531-07:00 Los_Angeles,"",BACx_FWHX1HVS,"",AV444,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",BACx_FWHX1HVS_TL,✓,Los_Angeles,%,✓,"","","","","",2020-05-06T18:51:21.231Z UTC
@p:ubcv:r:2645c32a-b7d0fc9e CEME Unsorted Points BACx_MDHX1V2S,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL272,"","",BACx_MDHX1V2S,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:2645b453-54cb484c CEME Unsorted Points,"","",@p:ubcv:r:2645b453-0d2e9b74 CEME $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",685,2020-05-05T11:15:16-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:18.544-07:00 Los_Angeles,"",BACx_MDHX1V2S,"",AV435,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",BACx_MDHX1V2S_TL,✓,Los_Angeles,%,✓,"","","","","",2020-05-06T18:51:21.267Z UTC
@p:ubcv:r:261f61b2-7c9fa5b9 Thunderbird Park Unsorted Points ANWF_AH02_491,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL92,"","",ANWF_AH02_491,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:261f61b2-feebb59f Thunderbird Park Unsorted Points,"","",@p:ubcv:r:261f61b2-344ad6a2 Thunderbird Park $bmsName,✓,"","",2020-05-11T15:09:15-07:00 Los_Angeles,"","",561,2020-03-21T16:29:23-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:19.697-07:00 Los_Angeles,"",ANWF_AH02_491,✓,AV320,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",400320_TrendLog_92,"",Los_Angeles,_,✓,"","","","","",2020-05-06T18:51:21.187Z UTC
@p:ubcv:r:2645c32a-e0e342a2 CEME Unsorted Points BACx_BADHHVS,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL243,"","",BACx_BADHHVS,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:2645b453-54cb484c CEME Unsorted Points,"","",@p:ubcv:r:2645b453-0d2e9b74 CEME $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",685,2020-05-05T11:15:16-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:17.97-07:00 Los_Angeles,"",BACx_BADHHVS,"",AV406,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",BACx_BADHHVS_TL,✓,Los_Angeles,%,✓,"","","","","",2020-05-06T18:51:21.201Z UTC
@p:ubcv:r:2645c32a-f18e7cbe CEME Unsorted Points BACx_MDMHXV4S,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL268,"","",BACx_MDMHXV4S,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:2645b453-54cb484c CEME Unsorted Points,"","",@p:ubcv:r:2645b453-0d2e9b74 CEME $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",685,2020-05-05T11:15:16-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:17.983-07:00 Los_Angeles,"",BACx_MDMHXV4S,"",AV431,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",BACx_MDMHXV4S_TL,✓,Los_Angeles,%,✓,"","","","","",2020-05-06T18:51:21.274Z UTC
@p:ubcv:r:261f61b3-ba8e2fa2 Thunderbird Park Unsorted Points IBWF_TIM,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL72,"","",IBWF_TIM,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:261f61b2-feebb59f Thunderbird Park Unsorted Points,"","",@p:ubcv:r:261f61b2-344ad6a2 Thunderbird Park $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",3579,2020-04-05T07:45:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:19.712-07:00 Los_Angeles,"",IBWF_TIM,✓,AV316,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",IBWF_TIM.TL1,"",Los_Angeles,_,✓,"","","","","",2020-05-06T18:51:21.359Z UTC
@p:ubcv:r:2645c32a-23853d26 CEME Unsorted Points BACx_SRHX1VS,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL322,"","",BACx_SRHX1VS,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:2645b453-54cb484c CEME Unsorted Points,"","",@p:ubcv:r:2645b453-0d2e9b74 CEME $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",685,2020-05-05T11:15:16-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:18.557-07:00 Los_Angeles,"",BACx_SRHX1VS,"",AV485,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",BACx_SRHX1VS_TL,✓,Los_Angeles,%,✓,"","","","","",2020-05-06T18:51:21.288Z UTC
@p:ubcv:r:261f61b3-ef6671c8 Thunderbird Park Unsorted Points IRWF_AH05_LH5,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL145,"","",IRWF_AH05_LH5,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:261f61b2-feebb59f Thunderbird Park Unsorted Points,"","",@p:ubcv:r:261f61b2-344ad6a2 Thunderbird Park $bmsName,✓,"","",2020-05-12T14:20:27-07:00 Los_Angeles,"","",8614,2020-04-06T01:44:54-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:19.731-07:00 Los_Angeles,"",IRWF_AH05_LH5,✓,AV326,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",400320_TrendLog_145,"",Los_Angeles,_,✓,"","","","","",2020-05-06T18:51:21.375Z UTC
@p:ubcv:r:261f61b3-e9ffefa6 Thunderbird Park Unsorted Points IRWF_TIM,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL229,"","",IRWF_TIM,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:261f61b2-feebb59f Thunderbird Park Unsorted Points,"","",@p:ubcv:r:261f61b2-344ad6a2 Thunderbird Park $bmsName,✓,"","",2020-05-12T14:20:00-07:00 Los_Angeles,"","",5372,2020-04-05T07:30:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:19.748-07:00 Los_Angeles,"",IRWF_TIM,✓,AV341,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",IRWF_TIM_TL_10,"",Los_Angeles,_,✓,"","","","","",2020-05-06T18:51:21.377Z UTC
@p:ubcv:r:2645c32a-a42c228e CEME Unsorted Points BACx_LSHX1V1S,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL300,"","",BACx_LSHX1V1S,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:2645b453-54cb484c CEME Unsorted Points,"","",@p:ubcv:r:2645b453-0d2e9b74 CEME $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",685,2020-05-05T11:15:16-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:18.575-07:00 Los_Angeles,"",BACx_LSHX1V1S,"",AV463,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",BACx_LSHX1V1S_TL,✓,Los_Angeles,%,✓,"","","","","",2020-05-06T18:51:21.252Z UTC
@p:ubcv:r:2645c32a-7c480230 CEME Unsorted Points BACx_OAHX1HVS,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL308,"","",BACx_OAHX1HVS,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:2645b453-54cb484c CEME Unsorted Points,"","",@p:ubcv:r:2645b453-0d2e9b74 CEME $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",685,2020-05-05T11:15:16-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:18.589-07:00 Los_Angeles,"",BACx_OAHX1HVS,"",AV471,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",BACx_OAHX1HVS_TL,✓,Los_Angeles,%,✓,"","","","","",2020-05-06T18:51:21.283Z UTC
@p:ubcv:r:2645c32a-1c3eeeb8 CEME Unsorted Points BACx_IBHXV2S,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL332,"","",BACx_IBHXV2S,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:2645b453-54cb484c CEME Unsorted Points,"","",@p:ubcv:r:2645b453-0d2e9b74 CEME $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",685,2020-05-05T11:15:16-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:18.609-07:00 Los_Angeles,"",BACx_IBHXV2S,"",AV495,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",BACx_IBHXV2S_TL,✓,Los_Angeles,%,✓,"","","","","",2020-05-06T18:51:21.24Z UTC
@p:ubcv:r:24367d07-146c1e63 CEME Reliability,"","","","",✓,"","","","",✓,"","","","","",$siteRef $navName,"","","","","","","","",✓,"","","","","","","","","","",Bool,"","",Reliability,"","","","","","",✓,"","","",✓,"",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","","","",Los_Angeles,"","","","","",✓,"",2020-02-03T19:32:36.693Z UTC
@p:ubcv:r:261f61b2-b2651b8d Thunderbird Park Unsorted Points ANHXFL,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL56,"","",ANHXFL,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:261f61b2-feebb59f Thunderbird Park Unsorted Points,"","",@p:ubcv:r:261f61b2-344ad6a2 Thunderbird Park $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",3579,2020-04-05T07:45:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:19.763-07:00 Los_Angeles,"",ANHXFL,✓,AV262,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",ANHXFL.TL1,"",Los_Angeles,L/h,✓,"","","","","",2020-05-06T18:51:21.181Z UTC
@p:ubcv:r:2645c32a-5d99b86f CEME Unsorted Points BACx_CPHX2BVS,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL258,"","",BACx_CPHX2BVS,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:2645b453-54cb484c CEME Unsorted Points,"","",@p:ubcv:r:2645b453-0d2e9b74 CEME $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",685,2020-05-05T11:15:16-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:18.002-07:00 Los_Angeles,"",BACx_CPHX2BVS,"",AV421,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",BACx_CPHX2BVS_TL,✓,Los_Angeles,%,✓,"","","","","",2020-05-06T18:51:21.221Z UTC
@p:ubcv:r:261f61b3-6b56be88 Thunderbird Park Unsorted Points IBWF_AHU1_FLR3,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL118,"","",IBWF_AHU1_FLR3,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:261f61b2-feebb59f Thunderbird Park Unsorted Points,"","",@p:ubcv:r:261f61b2-344ad6a2 Thunderbird Park $bmsName,✓,"","",2020-05-12T09:14:32-07:00 Los_Angeles,"","",643,2020-03-24T03:08:35-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:19.781-07:00 Los_Angeles,"",IBWF_AHU1_FLR3,✓,AV298,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",400320_TrendLog_118,"",Los_Angeles,_,✓,"","","","","",2020-05-06T18:51:21.346Z UTC
@p:ubcv:r:2645c32a-2395c75b CEME Unsorted Points BACx_ASHX2VS,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL237,"","",BACx_ASHX2VS,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:2645b453-54cb484c CEME Unsorted Points,"","",@p:ubcv:r:2645b453-0d2e9b74 CEME $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",685,2020-05-05T11:15:16-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:18.022-07:00 Los_Angeles,"",BACx_ASHX2VS,"",AV401,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",BACx_ASHX2VS_TL,✓,Los_Angeles,%,✓,"","","","","",2020-05-06T18:51:21.2Z UTC
@p:ubcv:r:261f61b3-2858fc84 Thunderbird Park Unsorted Points ANAGWFUOC,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL130,"","",ANAGWFUOC,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","OFF,ON",@p:ubcv:r:261f61b2-feebb59f Thunderbird Park Unsorted Points,"","",@p:ubcv:r:261f61b2-344ad6a2 Thunderbird Park $bmsName,✓,"","",2020-03-19T15:22:51-07:00 Los_Angeles,"","",243,2019-12-14T22:58:27-08:00 Los_Angeles,ok,"","",Bool,2020-05-12T14:24:19.799-07:00 Los_Angeles,"",ANAGWFUOC,✓,BV11,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",400320_TrendLog_130,"",Los_Angeles,"",✓,"","","","","",2020-05-06T18:51:21.41Z UTC
@p:ubcv:r:2645c32a-193ae457 CEME Unsorted Points BACx_BKHX1V1S,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL318,"","",BACx_BKHX1V1S,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:2645b453-54cb484c CEME Unsorted Points,"","",@p:ubcv:r:2645b453-0d2e9b74 CEME $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",685,2020-05-05T11:15:16-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:18.622-07:00 Los_Angeles,"",BACx_BKHX1V1S,"",AV481,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",BACx_BKHX1V1S_TL,✓,Los_Angeles,%,✓,"","","","","",2020-05-06T18:51:21.206Z UTC
@p:ubcv:r:26221ada-74f56eda I.K. Barber Unsorted Points BAC_IBHWHESK,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL234,"","",BAC_IBHWHESK,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:26221699-80067c7d I.K. Barber Unsorted Points,"","",@p:ubcv:r:26221699-f5ca1254 I.K. Barber $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",3282,2020-04-08T10:00:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:19.811-07:00 Los_Angeles,"",BAC_IBHWHESK,"",AV399,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",BAC_IBHWHESK_TL,✓,Los_Angeles,°C,"","","","","","",2020-05-06T18:51:21.193Z UTC
@p:ubcv:r:261f61b3-b1054fb9 Thunderbird Park Unsorted Points MDMHXRT,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL70,"","",MDMHXRT,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:261f61b2-feebb59f Thunderbird Park Unsorted Points,"","",@p:ubcv:r:261f61b2-344ad6a2 Thunderbird Park $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",3579,2020-04-05T07:45:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:19.826-07:00 Los_Angeles,"",MDMHXRT,✓,AV234,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",DMDHXRT.TL1,"",Los_Angeles,°C,✓,"","","","","",2020-05-06T18:51:21.392Z UTC
@p:ubcv:r:2645c32a-3bd08e06 CEME Unsorted Points BACx_CSHX3VS,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL266,"","",BACx_CSHX3VS,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:2645b453-54cb484c CEME Unsorted Points,"","",@p:ubcv:r:2645b453-0d2e9b74 CEME $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",685,2020-05-05T11:15:16-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:18.035-07:00 Los_Angeles,"",BACx_CSHX3VS,"",AV429,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",BACx_CSHX3VS_TL,✓,Los_Angeles,%,✓,"","","","","",2020-05-06T18:51:21.228Z UTC
@p:ubcv:r:261f61b2-b6f593bc Thunderbird Park Unsorted Points BKHXVOL,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL1,"","",BKHXVOL,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:261f61b2-feebb59f Thunderbird Park Unsorted Points,"","",@p:ubcv:r:261f61b2-344ad6a2 Thunderbird Park $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",3523,2020-04-05T21:45:05-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:19.842-07:00 Los_Angeles,"",BKHXVOL,✓,AV1,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",BKHXVOL.TL1,"",Los_Angeles,m³,✓,"","","","","",2020-05-06T18:51:21.305Z UTC
@p:ubcv:r:2645c32a-27bb7f16 CEME Unsorted Points BACx_GSHXV1S,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL327,"","",BACx_GSHXV1S,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:2645b453-54cb484c CEME Unsorted Points,"","",@p:ubcv:r:2645b453-0d2e9b74 CEME $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",685,2020-05-05T11:15:16-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:18.635-07:00 Los_Angeles,"",BACx_GSHXV1S,"",AV490,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",BACx_GSHXV1S_TL,✓,Los_Angeles,%,✓,"","","","","",2020-05-06T18:51:21.236Z UTC
@p:ubcv:r:261f61b3-954a73bf Thunderbird Park Unsorted Points MDMHXFL,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL63,"","",MDMHXFL,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:261f61b2-feebb59f Thunderbird Park Unsorted Points,"","",@p:ubcv:r:261f61b2-344ad6a2 Thunderbird Park $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",3579,2020-04-05T07:45:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:19.857-07:00 Los_Angeles,"",MDMHXFL,✓,AV232,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",MDMHXFL.TL1,"",Los_Angeles,m³/h,✓,"","","","","",2020-05-06T18:51:21.39Z UTC
@p:ubcv:r:2645c32a-896248d5 CEME Unsorted Points BACx_MGHXV2S,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL321,"","",BACx_MGHXV2S,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:2645b453-54cb484c CEME Unsorted Points,"","",@p:ubcv:r:2645b453-0d2e9b74 CEME $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",685,2020-05-05T11:15:16-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:18.648-07:00 Los_Angeles,"",BACx_MGHXV2S,"",AV484,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",BACx_MGHXV2S_TL,✓,Los_Angeles,%,✓,"","","","","",2020-05-06T18:51:21.277Z UTC
@p:ubcv:r:2645c32a-9dc580ab CEME Unsorted Points BACx_HNHX1VS,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL282,"","",BACx_HNHX1VS,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:2645b453-54cb484c CEME Unsorted Points,"","",@p:ubcv:r:2645b453-0d2e9b74 CEME $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",685,2020-05-05T11:15:16-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:18.662-07:00 Los_Angeles,"",BACx_HNHX1VS,"",AV445,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",BACx_HNHX1VS_TL,✓,Los_Angeles,%,✓,"","","","","",2020-05-06T18:51:21.238Z UTC
@p:ubcv:r:261f61b3-d32882c4 Thunderbird Park Unsorted Points FMHXRT,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL49,"","",FMHXRT,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:261f61b2-feebb59f Thunderbird Park Unsorted Points,"","",@p:ubcv:r:261f61b2-344ad6a2 Thunderbird Park $bmsName,✓,"","",2020-05-12T14:15:17-07:00 Los_Angeles,"","",3579,2020-04-05T07:45:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:19.872-07:00 Los_Angeles,"",FMHXRT,✓,AV216,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",FMHXRT.TL1,"",Los_Angeles,°C,✓,"","","","","",2020-05-06T18:51:21.325Z UTC
@p:ubcv:r:261f61b3-b3b70c52 Thunderbird Park Unsorted Points IBWF_AHU4_FLR4,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",TL112,"","",IBWF_AHU4_FLR4,"",@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:261f61b2-feebb59f Thunderbird Park Unsorted Points,"","",@p:ubcv:r:261f61b2-344ad6a2 Thunderbird Park $bmsName,✓,"","",2020-05-12T14:15:06-07:00 Los_Angeles,"","",4265,2020-04-05T01:11:05-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:24:19.89-07:00 Los_Angeles,"",IBWF_AHU4_FLR4,✓,AV305,"","","","",✓,"","","","","",@p:ubcv:r:20966ced-944d8cc5 CEME,"","","","",400320_TrendLog_112,"",Los_Angeles,_,✓,"","","","","",2020-05-06T18:51:21.351Z UTC
