id,ahu,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetObjectId,bacnetPoint,bacnetWriteLevel,bmsName,bridgeName,cmd,co2,connRef,cooling,count,covTest,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,differential,disMacro,discharge,dxCoilMode,effective,elec,elecMeterLoad,energy,entering,enum,equipName,equipRef,exhaust,fan,feedback,filter,flow,groupRef,heat,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,jci,johnson,kind,lastSynced,lastTagged,leaving,low,min,mixed,mode,navName,newPoint,noTagMatch,objectId,occ,occupancyIndicator,oldPoint,opcConnRef,opcCur,opcPoint,outside,point,pointType,power,preFilter,pressure,primaryLoop,pump,quantityID,reliability,roomRef,run,runtime,scheduleOcc,scheduled,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,vfd,volume,water,waterMeterLoad,wifi,wifiId,writable,writeLevel,writeStatus,zachName,zone,zones,mod
@p:ubcv:r:253ba37e-ca42a0c9 AERL Unsorted Points JCL-NAE13/FCB.FEC-007.SF-A,"",✓,✓,"",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"",TL3000862,"",✓,"",JCL-NAE13/FCB.FEC-007.SF-A,"","","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","Normal,Alarm","",@p:ubcv:r:22a9ccd0-6fd33978 AERL Unsorted Points,"",✓,"","","",@p:ubcv:r:22a9c8ac-85bb40ab AERL Unsorted Points,"","",✓,"","","",2020-02-04T11:15:09-08:00 Los_Angeles,"","","",7,2019-10-16T11:13:03-07:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:00:13.484-07:00 Los_Angeles,"","","","","","",Alarm,"","",BI3000678,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","",@p:ubcv:r:258694ac-15ddcc51 .+(\.|-| |_)SF\d?-A(LM)?,"",JCL-NAE13/FCB.FEC-007.SF-A.Trend1,Los_Angeles,"","","","","","","","","","","","",3160.AHU-03.SF-A,"","",2020-04-08T18:55:22.408Z UTC
@p:ubcv:r:2242fc11-6624a353 AERL Rm 107 VAV4 JCL-NAE12/N2-B.02B010VM.SUPFLOW,"",✓,"","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"",TL3000557,"",✓,"",JCL-NAE12/N2-B.02B010VM.SUPFLOW,"","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:2242f1dd-ddc829e8 AERL Rm 107 VAV4,"","","","",✓,@p:ubcv:r:2242ea4c-73a9dfb1 AERL Floor 1,"","",✓,"","","",2020-05-12T13:30:00-07:00 Los_Angeles,"","","",37337,2018-03-18T16:00:00-07:00 Los_Angeles,ok,"","",✓,✓,Number,2020-05-12T13:54:12.645-07:00 Los_Angeles,2019-04-11T16:04:13.464-07:00 Los_Angeles,"","","","","",Discharge Air Flow,"","",AI3000556,"","",✓,"","","","",✓,"","","","","","","","",@p:ubcv:r:2242f1dd-2404bc8b AERL Rm 107,"","","","",✓,@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","",@p:ubcv:r:2573299e-4bf282a5 .+(\.|-| )SUPFLOW,"",JCL-NAE12/N2-B.02B010VM.SUPFLOW.Trend,Los_Angeles,L/s,"","","","","","","","","","","","","","",2020-04-09T19:01:59.293Z UTC
@p:ubcv:r:2242fc11-df2a1b05 AERL Office 2 Zone JCL-NAE12/N2-B.02B013UN.RACO2-L,"","","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"",TL3000649,"",✓,"",JCL-NAE12/N2-B.02B013UN.RACO2-L,"","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:25d48c78-586852f2 AERL Office 2 Zone,"","","","","",@p:ubcv:r:2242e995-27198246 AERL Floor 2,"","",✓,"","","",2020-05-12T13:30:00-07:00 Los_Angeles,"","","",37338,2018-03-18T16:00:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T13:54:12.647-07:00 Los_Angeles,2018-07-30T13:54:04.413-07:00 Los_Angeles,"","","","","",JCL-NAE12/N2-B.02B013UN.RACO2-L,"",✓,AI3000648,"","",✓,"","","","",✓,"","","","","","","","",@p:ubcv:r:25d48c78-123b66d3 AERL Office 2,"","","","","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","","","",JCL-NAE12/N2-B.02B013UN.RACO2-L.Trend,Los_Angeles,ppm,"","","","","","","","","","","","","","",2020-04-09T19:01:59.294Z UTC
@p:ubcv:r:253ba37e-63177b2c AERL Unsorted Points JCL-NAE13/FCB.FEC-005.LT-A,"","",✓,"",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"",TL3000701,"",✓,"",JCL-NAE13/FCB.FEC-005.LT-A,"","","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","Normal,Alarm","",@p:ubcv:r:22a9ccd0-6fd33978 AERL Unsorted Points,"","","","","",@p:ubcv:r:22a9c8ac-85bb40ab AERL Unsorted Points,"","",✓,"","","",2020-02-04T11:15:07-08:00 Los_Angeles,"","","",10,2019-10-16T11:13:02-07:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:00:13.441-07:00 Los_Angeles,"","",✓,"","","",Low Temp Alarm,"","",BI3000635,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","",@p:ubcv:r:24f02881-3b6e10f7 .+(\.|-| |_)LT-A(LM)?,✓,JCL-NAE13/FCB.FEC-005.LT-A.Trend1,Los_Angeles,"","","","","","","","","","","","",3160.AHU-01.LT-A,"","",2020-04-08T18:55:19.835Z UTC
@p:ubcv:r:24edab6a-45739820 AERL Unsorted Points JCL-NAE12/Schedule.Floor 1 fan VAV,"","","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),SCH3006655,"","",✓,"",JCL-NAE12/Schedule.Floor 1 fan VAV,"","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"","","","","",unknown,"","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:22a9ccd0-6fd33978 AERL Unsorted Points,"","","","","",@p:ubcv:r:22a9c8ac-85bb40ab AERL Unsorted Points,"","",✓,"","","",2019-08-21T08:45:00-07:00 Los_Angeles,"","","",198,2019-08-19T12:10:00-07:00 Los_Angeles,"","","",✓,"",Number,"","","","","","","",Scheduled Occupancy,"","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","","","","",Los_Angeles,°C,"","","","","","","","","","","","","","",2020-03-12T18:49:49.006Z UTC
@p:ubcv:r:253ba37e-6a3c3471 AERL Unsorted Points JCL-NAE13/FCB.FEC-005.SF-C,"",✓,"","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"",TL3000684,"",✓,"",JCL-NAE13/FCB.FEC-005.SF-C,"",✓,"",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","Off,On","",@p:ubcv:r:22a9ccd0-6fd33978 AERL Unsorted Points,"",✓,"","","",@p:ubcv:r:22a9c8ac-85bb40ab AERL Unsorted Points,"","",✓,"","","",2020-05-12T13:01:32-07:00 Los_Angeles,"","","",285,2019-10-16T11:13:02-07:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:00:13.989-07:00 Los_Angeles,"","","","","","",Discharge Fan Run Cmd,"","",BO3000623,"","","","","","","",✓,"","","","","","","","","",✓,"","","","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","",@p:ubcv:r:23e65d3d-2b48d00a .+(\.|-| )SF(\d+)?-C,"",JCL-NAE13/FCB.FEC-005.SF-C.Trend1,Los_Angeles,"","","","","","","","","","","","",3160.AHU-01.SF-C,"","",2020-04-08T18:55:28.473Z UTC
@p:ubcv:r:224555b2-7820db61 AERL Unsorted Points JCL-NAE59/BACnet1.AERL-EMTR.Analog-Inputs.AI-1,"","","","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"",TL3000252,"",✓,"",JCL-NAE59/BACnet1.AERL-EMTR.Analog-Inputs.AI-1,"","","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:22a9ccd0-6fd33978 AERL Unsorted Points,"","","","","",@p:ubcv:r:2242ea4c-b4c1f7a1 AERL Unsorted Points,"","",✓,"","","",2019-02-07T00:00:00-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [38] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",436,2017-11-06T00:00:00-08:00 Los_Angeles,fault,"","",✓,"",Number,2020-05-12T12:37:47.641-07:00 Los_Angeles,2018-07-30T13:54:04.424-07:00 Los_Angeles,"","","","","",JCL-NAE59/BACnet1.AERL-EMTR.Analog-Inputs.AI-1,"",✓,AI3000244,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","","","","",Los_Angeles,_,"","","","","","","","","","","","","","",2020-04-09T19:15:20.455Z UTC
@p:ubcv:r:247f2c29-8e6bbb64 AERL Unsorted Points JCL-NAE12/N2-A.02A006UN.409-ALM,"","","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"",TL3006070,"",✓,"",JCL-NAE12/N2-A.02A006UN.409-ALM,"","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:22a9ccd0-6fd33978 AERL Unsorted Points,"","","","","",@p:ubcv:r:22a9c8ac-85bb40ab AERL Unsorted Points,"","",✓,"","","",2020-05-12T13:30:00-07:00 Los_Angeles,"","","",16736,2019-05-26T18:30:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T13:54:12.65-07:00 Los_Angeles,"","","","","","",JCL-NAE12/N2-A.02A006UN.409-ALM,✓,✓,AI3006069,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","","","",JCL-NAE12/N2-A.02A006UN.409-ALM.Trend1,Los_Angeles,°C,"","","","","","","","","","","","","","",2020-04-09T19:01:59.297Z UTC
@p:ubcv:r:2242fc12-d8275975 AERL AHU-01 JCL-NAE12/N2-B.02B004UN.OCC-C,"","","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"",TL3006343,"",✓,"",JCL-NAE12/N2-B.02B004UN.OCC-C,"","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","Unoccupied,Occupied","",@p:ubcv:r:20dae5fa-ccb58b9a AERL AHU-01,"","","","","",@p:ubcv:r:2203b248-53158c67 AERL Air Systems,"","",✓,"","","",2019-10-09T07:10:00-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [136] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",79558,2018-03-19T07:40:00-07:00 Los_Angeles,fault,"","",✓,✓,Bool,2020-05-11T00:31:14.095-07:00 Los_Angeles,2018-12-07T09:45:29.295-08:00 Los_Angeles,"","","","","",Scheduled Occupancy,"","",BO3000293,✓,✓,✓,"","","","",✓,"","","","","","","","","","","","",✓,"",@p:ubcv:r:2093fba4-4cc32b93 AERL,"",✓,"","","",@p:ubcv:r:23e65d3d-31ff768c .+(\.|-| )OCC-C,"","",Los_Angeles,"","","","","","","","","","","","","","","",2020-04-08T18:50:41.963Z UTC
@p:ubcv:r:224555b2-e6c25e03 AERL Heating Plant JCL-NAE13/FCB.Local Application.AL-HX1_P1-S,"","","","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"",TL3000037,"",✓,"",JCL-NAE13/FCB.Local Application.AL-HX1_P1-S,"","","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","Off,On","",@p:ubcv:r:2242f080-587be69b AERL Heating Plant,"","","","","",@p:ubcv:r:216981ef-9ee8f059 AERL Hydronic Systems,"","",✓,"","","",2020-02-04T11:15:04-08:00 Los_Angeles,"","","",189,2017-08-09T08:51:54-07:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:00:13.328-07:00 Los_Angeles,2018-12-07T09:45:29.276-08:00 Los_Angeles,"","","","","",Pump Run Status,"","",BI3000035,"","",✓,"","","","",✓,"","","","","",✓,"","","",✓,"","","",✓,@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","",@p:ubcv:r:23e65d3d-742086c0 .+(\.|-|_)P\d+-(FS-)?S,"",JCL-NAE13/FCB.Local Application.AL-HX1_P1-S.Trend1,Los_Angeles,"","","","","","","","","","","","",AL-HX1.P1-S,"","",2020-04-08T18:52:36.311Z UTC
@p:ubcv:r:247f29f9-45eb8e58 AERL Unsorted Points JCL-NAE13/BACnet1.AERL-EMTR.Accumulated heat energy,"","","","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"",TL3000559,"",✓,"",JCL-NAE13/BACnet1.AERL-EMTR.Accumulated heat energy,"","","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:22a9ccd0-6fd33978 AERL Unsorted Points,"","","","","",@p:ubcv:r:22a9c8ac-85bb40ab AERL Unsorted Points,"","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",16979,2019-05-24T16:30:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:00:13.997-07:00 Los_Angeles,"","","","","","",JCL-NAE13/BACnet1.AERL-EMTR.Accumulated heat energy,✓,✓,AI3000546,"","",✓,"","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","","","",JCL-NAE13/BACnet1.AERL-EMTR.Accumulated heat energy.Trend1,Los_Angeles,MWh,"","","","","","","","","","","",Accumulated heat energy,"","",2020-04-09T19:02:17.629Z UTC
@p:ubcv:r:253ba37e-e349da9c AERL Unsorted Points JCL-NAE13/FCB.FEC-006.Parameters.EFFCLG-SP,"",✓,"","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"",TL3000924,"",✓,"",JCL-NAE13/FCB.FEC-006.Parameters.EFFCLG-SP,"","","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),✓,"","","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:22a9ccd0-6fd33978 AERL Unsorted Points,"","","","","",@p:ubcv:r:22a9c8ac-85bb40ab AERL Unsorted Points,"","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",29542,2019-10-17T07:20:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:00:14.01-07:00 Los_Angeles,"","","","","","",Zone Temp Effective Cooling Sp,"","",AV3000796,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"",✓,"","","",@p:ubcv:r:240c1e06-1955c0a3 .+(\.|-| )(EFF|ACT)CLG-?SP,✓,JCL-NAE13/FCB.FEC-006.Parameters.EFFCLG-SP.Trend1,Los_Angeles,°C,"","","","","","","","","","","",3160.AHU-02.EFFCLG-SP,✓,"",2020-04-09T19:02:17.63Z UTC
@p:ubcv:r:25d16191-bbd671d2 AERL AHU-02 JCL-NAE13/FCB.FEC-006.Parameters.AHU-STATE,"","","","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"",TL3001014,"","","",JCL-NAE13/FCB.FEC-006.Parameters.AHU-STATE,"","","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","Satisfied,HX Cool+Mech,HX Heat,HX Heat+Preheat,HX Heat+Preheat+Reheat,Heating Idle,Temperature Unreliable","",@p:ubcv:r:20daf003-f06928f2 AERL AHU-02,"","","","","",@p:ubcv:r:2203b248-53158c67 AERL Air Systems,"","",✓,"","","-1 enumNumberToStr(self, false)",2020-05-12T07:03:38-07:00 Los_Angeles,"","","",419,2020-02-04T11:15:12-08:00 Los_Angeles,ok,"","",✓,"",Str,2020-05-12T14:00:13.696-07:00 Los_Angeles,"","","","","","",JCL-NAE13/FCB.FEC-006.Parameters.AHU-STATE,"",✓,MSV3000841,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","","","",JCL-NAE13/FCB.FEC-006.Parameters.AHU-STATE.Trend1,Los_Angeles,"","","","","","","","","","","","",3160.AHU-02.AHU-STATE,"","",2020-04-08T18:52:45.997Z UTC
@p:ubcv:r:2242fc12-57fb7e18 AERL ATRIUM JCL-NAE12/N2-B.02B018UN.BLDG-SP,"","","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"",TL3001664,"",✓,"",JCL-NAE12/N2-B.02B018UN.BLDG-SP,"","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:2242f080-643125cb AERL ATRIUM,"","","","","",@p:ubcv:r:22453f95-9220b82c AERL Floor 5,"","",✓,"","","",2020-05-12T13:50:00-07:00 Los_Angeles,"","","",111810,2018-03-18T16:00:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T13:54:12.657-07:00 Los_Angeles,2018-07-30T13:54:04.409-07:00 Los_Angeles,"","","","","",JCL-NAE12/N2-B.02B018UN.BLDG-SP,"",✓,AI3000765,"","",✓,"","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","","","",JCL-NAE12/N2-B.02B018UN.BLDG-SP.Trend1,Los_Angeles,Pa,"","","","","","","","","","","","","","",2020-04-09T19:01:59.3Z UTC
@p:ubcv:r:247f29f9-c6f902f5 AERL Unsorted Points JCL-NAE13/BACnet1.AERL-EMTR.Actual flow,"","","","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"",TL3000554,"",✓,"",JCL-NAE13/BACnet1.AERL-EMTR.Actual flow,"","","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:22a9ccd0-6fd33978 AERL Unsorted Points,"","","","","",@p:ubcv:r:22a9c8ac-85bb40ab AERL Unsorted Points,"","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",16979,2019-05-24T16:30:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:00:14.021-07:00 Los_Angeles,"","","","","","",JCL-NAE13/BACnet1.AERL-EMTR.Actual flow,✓,✓,AI3000539,"","",✓,"","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","","","",JCL-NAE13/BACnet1.AERL-EMTR.Actual flow.Trend1,Los_Angeles,L/h,"","","","","","","","","","","",Actual flow,"","",2020-04-09T19:02:17.631Z UTC
@p:ubcv:r:2242fc11-811fd411 AERL Heating Plant JCL-NAE12/N2-B.02B001DX.COND-T,"","","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"",TL3000145,"",✓,"",JCL-NAE12/N2-B.02B001DX.COND-T,"","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:2242f080-587be69b AERL Heating Plant,"","","","","",@p:ubcv:r:216981ef-9ee8f059 AERL Hydronic Systems,"","",✓,"","","",2019-05-22T09:30:00-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [44] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",20376,2018-03-18T16:00:00-07:00 Los_Angeles,fault,"","",✓,"",Number,2020-05-11T05:22:39.929-07:00 Los_Angeles,2018-07-30T13:54:04.41-07:00 Los_Angeles,"","","","","",JCL-NAE12/N2-B.02B001DX.COND-T,"",✓,AI3000144,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","","","","",Los_Angeles,_,"","","","","","","","","","","","","","",2020-04-09T19:15:04.053Z UTC
@p:ubcv:r:21cac3c7-6a75ce4e AERL Heating Plant HX-01 JCL-NAE13/FCB.Local Application.AL-HX1_316-CV-HE1-FB,"","","","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"",TL3000032,"",✓,"",JCL-NAE13/FCB.Local Application.AL-HX1_316-CV-HE1-FB,"","","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:22459c7a-55a4d373 AERL Heating Plant HX-01,"","",✓,"","",@p:ubcv:r:216981ef-9ee8f059 AERL Hydronic Systems,✓,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",61076,2017-12-17T10:30:00-08:00 Los_Angeles,ok,"",✓,✓,"",Number,2020-05-12T14:00:14.03-07:00 Los_Angeles,2018-12-07T09:45:28.864-08:00 Los_Angeles,"","","","","",Valve Feedback,"","",AI3000031,"","",✓,"","","","",✓,"","","","",✓,"","","","","","","","",✓,@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","",@p:ubcv:r:2512c909-1151651e .+(\.|-| )HE\d\w?\d?-FB,"",JCL-NAE13/FCB.Local Application.AL-HX1_316-CV-HE1-FB.Trend1,Los_Angeles,%,"",✓,"","",✓,"","","","","","",AL-HX1.316-CV-HE1-FB,"","",2020-04-14T16:50:03.072Z UTC
@p:ubcv:r:24edab6a-bd4f9994 AERL Unsorted Points JCL-NAE12/Programming.Floors.AL-LABS2.Schedule,"","","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),SCH3001156,"","",✓,"",JCL-NAE12/Programming.Floors.AL-LABS2.Schedule,"","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"","","","","",unknown,"","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:22a9ccd0-6fd33978 AERL Unsorted Points,"","","","","",@p:ubcv:r:22a9c8ac-85bb40ab AERL Unsorted Points,"","",✓,"","","",2019-08-21T08:45:00-07:00 Los_Angeles,"","","",182,2019-08-19T12:26:00-07:00 Los_Angeles,"","","",✓,"",Number,"","","","","","","",Scheduled Occupancy,"","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","","","","",Los_Angeles,°C,"","","","","","","","","","","","","","",2020-03-12T18:49:49.007Z UTC
@p:ubcv:r:2242fc11-f30a4747 AERL Rm 107 VAV3 JCL-NAE12/N2-B.02B009VM.SUPFLOSP,"",✓,"","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"",TL3000523,"",✓,"",JCL-NAE12/N2-B.02B009VM.SUPFLOSP,"","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:2242f2a0-9ba0665d AERL Rm 107 VAV3,"","","","",✓,@p:ubcv:r:2242ea4c-73a9dfb1 AERL Floor 1,"","",✓,"","","",2020-05-12T13:30:00-07:00 Los_Angeles,"","","",37339,2018-03-18T16:00:00-07:00 Los_Angeles,ok,"","",✓,✓,Number,2020-05-12T13:54:12.663-07:00 Los_Angeles,2019-04-11T16:04:13.453-07:00 Los_Angeles,"","","","","",Discharge Air Flow Sp,"","",AO3000522,"","",✓,"","","","",✓,"","","","","","","","",@p:ubcv:r:2242f1dd-2404bc8b AERL Rm 107,"","","","","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"",✓,"","","",@p:ubcv:r:23e65d3d-28cc8339 .+(\.|-| )SU?PFLOW?SP,"",JCL-NAE12/N2-B.02B009VM.SUPFLOSP.Trend,Los_Angeles,L/s,"","","","","","","","","","","","","","",2020-04-09T19:01:59.303Z UTC
@p:ubcv:r:2242fc12-2ed77327 AERL FC-3 JCL-NAE12/N2-A.02A009UN9.SF-C,"",✓,"","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"",TL3001224,"",✓,"",JCL-NAE12/N2-A.02A009UN9.SF-C,"",✓,"",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","Off,On","",@p:ubcv:r:2242f080-994cbccc AERL FC-3,"",✓,"","","",@p:ubcv:r:2242ea4c-daf9ee33 AERL Floor 3,"","",✓,"","","",2020-02-10T15:09:12-08:00 Los_Angeles,"","","",657,2018-03-14T21:00:04-07:00 Los_Angeles,ok,"","",✓,✓,Bool,2020-05-12T13:54:12.664-07:00 Los_Angeles,2018-12-07T09:45:36.099-08:00 Los_Angeles,"","","","","",Discharge Fan Run Cmd,"","",BO3001223,"","",✓,"","","","",✓,"","","","","","","","","",✓,"","","","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","",@p:ubcv:r:23e65d3d-2b48d00a .+(\.|-| )SF(\d+)?-C,"",JCL-NAE12/N2-A.02A009UN9.SF-C.Trend,Los_Angeles,"","","","","","","","","","","","","","","",2020-04-08T18:50:43.556Z UTC
@p:ubcv:r:2242fc11-40248ed4 AERL Office 2 Zone JCL-NAE12/N2-A.02A002UN.WEST-T,"",✓,"","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"",TL3000012,"",✓,"",JCL-NAE12/N2-A.02A002UN.WEST-T,"","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:25d48c78-586852f2 AERL Office 2 Zone,"","","","","",@p:ubcv:r:2242e995-27198246 AERL Floor 2,"","",✓,"","","",2020-05-12T13:30:00-07:00 Los_Angeles,"","","",37336,2018-03-18T16:00:00-07:00 Los_Angeles,ok,"","",✓,✓,Number,2020-05-12T13:54:12.666-07:00 Los_Angeles,2018-12-07T09:45:38.612-08:00 Los_Angeles,"","","","","",Zone Temp,"","",AI3000011,"","",✓,"","","","",✓,"","","","","","","","",@p:ubcv:r:25d48c78-123b66d3 AERL Office 2,"","","","",✓,@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","",@p:ubcv:r:23e65d3e-053e5cc6 .+(\.|-| )WEST-T,✓,JCL-NAE12/N2-A.02A002UN.WEST-T.Trend,Los_Angeles,°C,"","","","","","","","","","","","",✓,"",2020-04-09T19:01:59.304Z UTC
