id,bacnetConnRef,bacnetCur,bacnetHis,bacnetObjectId,bacnetPoint,bmsName,bridgeName,connRef,count,cur,curConvert,curErr,curStatus,curVal,delta,deltaTempPoint,disMacro,disabled,elec,energy,entering,enum,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,lastSynced,leaving,navName,noTagMatch,objectId,occupancy,point,pointType,power,quantityID,reliability,sensor,siemens,siteRef,sourceID,sqlConnRef,sqlPoint,sqlSource,temp,tlName,toTag,tz,unit,unknown,utilityPoint,volume,water,wifi,wifiId,zachName,mod
@p:ubcv:r:263d7c6a-4da1fe63 Hebb Unsorted Points 6560_METER2D_PWR_MTR-PHASE_B_REAL_POWER,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL733,"","",6560_METER2D_PWR_MTR-PHASE_B_REAL_POWER,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:57-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:03-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:57.173-07:00 Los_Angeles,"",6560_METER2D_PWR_MTR-PHASE_B_REAL_POWER,✓,AV1956,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_METER2D_PWR_MTR-PHASE_B_REAL_POWER_POLL_TL,"",Los_Angeles,kW,✓,"","","","","","",2020-04-30T12:14:30.955Z UTC
@p:ubcv:r:263d7c69-f7825208 Hebb Unsorted Points 6560_PHW_P13-FB,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL58,"","",6560_PHW_P13-FB,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:59-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:02-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:52.844-07:00 Los_Angeles,"",6560_PHW_P13-FB,✓,AI2601,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_PHW_P13-FB_POLL_TL,"",Los_Angeles,%,✓,"","","","","","",2020-04-30T12:14:30.956Z UTC
@p:ubcv:r:263d7c6a-eaa363a0 Hebb Unsorted Points 6560_METER2A_PWR_MTR-PHASE_B_REACTIVE_POWER,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL667,"","",6560_METER2A_PWR_MTR-PHASE_B_REACTIVE_POWER,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:55-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:44.293-07:00 Los_Angeles,"",6560_METER2A_PWR_MTR-PHASE_B_REACTIVE_POWER,✓,AV1749,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_METER2A_PWR_MTR-PHASE_B_REACTIVE_POWER_POLL_TL,"",Los_Angeles,VAR,✓,"","","","","","",2020-04-30T12:14:30.957Z UTC
@p:ubcv:r:263d7c6a-09876ca7 Hebb Unsorted Points 6560_HE_REJ_BTU-VOLUME_RATE_MUX,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL910,"","",6560_HE_REJ_BTU-VOLUME_RATE_MUX,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:57-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:04-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:48.12-07:00 Los_Angeles,"",6560_HE_REJ_BTU-VOLUME_RATE_MUX,✓,AV440,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_HE_REJ_BTU-VOLUME_RATE_MUX_POLL_TL,"",Los_Angeles,L/s,✓,"","","","","","",2020-04-30T12:14:30.958Z UTC
@p:ubcv:r:263d7c6b-4b4bd955 Hebb Unsorted Points 6560_METER2G_PWR_MTR-PHASE_C_CURRENT,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL800,"","",6560_METER2G_PWR_MTR-PHASE_C_CURRENT,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:32:00-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:04-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:57.19-07:00 Los_Angeles,"",6560_METER2G_PWR_MTR-PHASE_C_CURRENT,✓,AV2164,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_METER2G_PWR_MTR-PHASE_C_CURRENT_POLL_TL,"",Los_Angeles,A,✓,"","","","","","",2020-04-30T12:14:30.959Z UTC
@p:ubcv:r:263d7c6a-cd0bdd4d Hebb Unsorted Points 6560_2N0C_PWR_MTR-TOTAL_kWh,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL1448,"","",6560_2N0C_PWR_MTR-TOTAL_kWh,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:56-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:04-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:52.874-07:00 Los_Angeles,"",6560_2N0C_PWR_MTR-TOTAL_kWh,✓,AV2615,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_2N0C_PWR_MTR-TOTAL_kWh_POLL_TL,"",Los_Angeles,kWh,✓,"","","","","","",2020-04-30T12:14:30.96Z UTC
@p:ubcv:r:263d7c6a-dd788e35 Hebb Unsorted Points 6560_DES_KAMSTRUPP-ACCUMULATED_VOLUME_(V1)_MUX,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL993,"","",6560_DES_KAMSTRUPP-ACCUMULATED_VOLUME_(V1)_MUX,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:47-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:01-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:39.631-07:00 Los_Angeles,"",6560_DES_KAMSTRUPP-ACCUMULATED_VOLUME_(V1)_MUX,✓,AV604,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_DES_KAMSTRUPP-ACCUMULATED_VOLUME_(V1)_MUX_POLL_TL,"",Los_Angeles,m³,✓,"","","","","","",2020-04-30T12:14:30.961Z UTC
@p:ubcv:r:263d7c6b-9acb9639 Hebb Unsorted Points 6560_METER2F_PWR_MTR-PHASE_B_VOLTAGE,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL773,"","",6560_METER2F_PWR_MTR-PHASE_B_VOLTAGE,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:56-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:04-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:52.902-07:00 Los_Angeles,"",6560_METER2F_PWR_MTR-PHASE_B_VOLTAGE,✓,AV2090,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_METER2F_PWR_MTR-PHASE_B_VOLTAGE_POLL_TL,"",Los_Angeles,V,✓,"","","","","","",2020-04-30T12:14:30.962Z UTC
@p:ubcv:r:263d7c6a-4acc74fe Hebb Unsorted Points 6560_METER2A_PWR_MTR-PHASE_A_VOLTAGE,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL657,"","",6560_METER2A_PWR_MTR-PHASE_A_VOLTAGE,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:58-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:03-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:52.921-07:00 Los_Angeles,"",6560_METER2A_PWR_MTR-PHASE_A_VOLTAGE,✓,AV1739,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_METER2A_PWR_MTR-PHASE_A_VOLTAGE_POLL_TL,"",Los_Angeles,V,✓,"","","","","","",2020-04-30T12:14:30.963Z UTC
@p:ubcv:r:263d7c6b-06e0a19c Hebb Unsorted Points 6560_METER3B_PWR_MTR-PHASE_B_POWER_FACTOR,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL1040,"","",6560_METER3B_PWR_MTR-PHASE_B_POWER_FACTOR,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:58-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:04-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:57.2-07:00 Los_Angeles,"",6560_METER3B_PWR_MTR-PHASE_B_POWER_FACTOR,✓,AV2385,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_METER3B_PWR_MTR-PHASE_B_POWER_FACTOR_POLL_TL,"",Los_Angeles,pf,✓,"","","","","","",2020-04-30T12:14:30.964Z UTC
@p:ubcv:r:263d7c6c-5a773a64 Hebb Unsorted Points 6560_SHW_DISTRIBUTION_PUMP_P10-TZ_AV,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL330,"","",6560_SHW_DISTRIBUTION_PUMP_P10-TZ_AV,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:32:02-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:04-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:52.94-07:00 Los_Angeles,"",6560_SHW_DISTRIBUTION_PUMP_P10-TZ_AV,✓,AV7,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_SHW_DISTRIBUTION_PUMP_P10-TZ_AV_POLL_TL,"",Los_Angeles,h,✓,"","","","","","",2020-04-30T12:14:30.965Z UTC
@p:ubcv:r:263d7c6a-8b001724 Hebb Unsorted Points 6560_AHU-03_SCHWDP-EFFREQ,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL878,"","",6560_AHU-03_SCHWDP-EFFREQ,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:57-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:02-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:48.142-07:00 Los_Angeles,"",6560_AHU-03_SCHWDP-EFFREQ,✓,AV405,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_AHU-03_SCHWDP-EFFREQ_POLL_TL,"",Los_Angeles,_,✓,"","","","","","",2020-04-30T12:14:30.966Z UTC
@p:ubcv:r:263d7c6b-b2cb1229 Hebb Unsorted Points 6560_PCHW_STANDBY_PUMP-SPD_FB,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL222,"","",6560_PCHW_STANDBY_PUMP-SPD_FB,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:39-07:00 Los_Angeles,"","","",1389,2020-04-28T03:26:55-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:36.396-07:00 Los_Angeles,"",6560_PCHW_STANDBY_PUMP-SPD_FB,✓,AV120,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_PCHW_STANDBY_PUMP-SPD_FB_POLL_TL,"",Los_Angeles,%,✓,"","","","","","",2020-04-30T12:14:30.967Z UTC
@p:ubcv:r:263d7c6b-784f98ff Hebb Unsorted Points 6560_METER3H_PWR_MTR-PHASE_B_CURRENT,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL1166,"","",6560_METER3H_PWR_MTR-PHASE_B_CURRENT,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:59-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:02-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:57.209-07:00 Los_Angeles,"",6560_METER3H_PWR_MTR-PHASE_B_CURRENT,✓,AV2793,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_METER3H_PWR_MTR-PHASE_B_CURRENT_POLL_TL,"",Los_Angeles,A,✓,"","","","","","",2020-04-30T12:14:30.968Z UTC
@p:ubcv:r:263d7c6a-990ca8b8 Hebb Unsorted Points 6560_DHW_RP1_HOURLY-TIMER,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL883,"","",6560_DHW_RP1_HOURLY-TIMER,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:48-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:39.222-07:00 Los_Angeles,"",6560_DHW_RP1_HOURLY-TIMER,✓,AV410,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_DHW_RP1_HOURLY-TIMER_POLL_TL,"",Los_Angeles,min,✓,"","","","","","",2020-04-30T12:14:30.969Z UTC
@p:ubcv:r:263d7c6a-3523e916 Hebb Unsorted Points 6560_AHU-01_SCHWDP-EFFREQ_MUX,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL428,"","",6560_AHU-01_SCHWDP-EFFREQ_MUX,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:54-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:02-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:52.966-07:00 Los_Angeles,"",6560_AHU-01_SCHWDP-EFFREQ_MUX,✓,AV231,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_AHU-01_SCHWDP-EFFREQ_MUX_POLL_TL,"",Los_Angeles,_,✓,"","","","","","",2020-04-30T12:14:30.97Z UTC
@p:ubcv:r:263d7c6b-1161dc31 Hebb Unsorted Points 6560_PANEL_Y_PWR_MTR-TOTAL_REAL_POWER,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL675,"","",6560_PANEL_Y_PWR_MTR-TOTAL_REAL_POWER,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:54-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:03-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:48.158-07:00 Los_Angeles,"",6560_PANEL_Y_PWR_MTR-TOTAL_REAL_POWER,✓,AV1757,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_PANEL_Y_PWR_MTR-TOTAL_REAL_POWER_POLL_TL,"",Los_Angeles,kW,✓,"","","","","","",2020-04-30T12:14:30.971Z UTC
@p:ubcv:r:263d7c6a-20ead30f Hebb Unsorted Points 6560_METER2A_PWR_MTR-TOTAL_POWER_FACTOR,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL678,"","",6560_METER2A_PWR_MTR-TOTAL_POWER_FACTOR,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:54-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:03-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:48.171-07:00 Los_Angeles,"",6560_METER2A_PWR_MTR-TOTAL_POWER_FACTOR,✓,AV1760,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_METER2A_PWR_MTR-TOTAL_POWER_FACTOR_POLL_TL,"",Los_Angeles,pf,✓,"","","","","","",2020-04-30T12:14:30.972Z UTC
@p:ubcv:r:263d7c6d-3ab246ee Hebb Unsorted Points 6560_WWCH_RECLM_HWRT-PID_POLL_TL,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL1354,"","",6560_WWCH_RECLM_HWRT-PID_POLL_TL,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","","","folio::HisConfigErr: Missing 'kind' tag [@p:ubcv:r:263d7c6d-3ab246ee ""Hebb Unsorted Points 6560_WWCH_RECLM_HWRT-PID_POLL_TL""]","","","","",fault,"","","",2020-05-11T17:48:53.584-07:00 Los_Angeles,"",6560_WWCH_RECLM_HWRT-PID_POLL_TL,✓,"","",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_WWCH_RECLM_HWRT-PID_POLL_TL,"",Los_Angeles,"",✓,"","","","","","",2020-04-30T12:14:30.973Z UTC
@p:ubcv:r:263d7c6b-796726d2 Hebb Unsorted Points 6560_METER3I_PWR_MTR-PHASE_A_REAL_POWER,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL1191,"","",6560_METER3I_PWR_MTR-PHASE_A_REAL_POWER,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:59-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:02-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:57.219-07:00 Los_Angeles,"",6560_METER3I_PWR_MTR-PHASE_A_REAL_POWER,✓,AV2865,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_METER3I_PWR_MTR-PHASE_A_REAL_POWER_POLL_TL,"",Los_Angeles,kW,✓,"","","","","","",2020-04-30T12:14:30.974Z UTC
@p:ubcv:r:263d7c6c-ba36e9ff Hebb Unsorted Points 6560_AHU-03_HCC_RET_V-FB,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL149,"","",6560_AHU-03_HCC_RET_V-FB,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","Cooling,Heating",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","","","","","","","",ok,"","",Bool,2020-05-12T14:40:34.284-07:00 Los_Angeles,"",6560_AHU-03_HCC_RET_V-FB,✓,BI2306,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_AHU-03_HCC_RET_V-FB_COV_TL,"",Los_Angeles,"",✓,"","","","","","",2020-04-30T12:14:30.975Z UTC
@p:ubcv:r:263d7c6b-23166197 Hebb Unsorted Points 6560_METER2E_PWR_MTR-PHASE_A_VOLTAGE,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL749,"","",6560_METER2E_PWR_MTR-PHASE_A_VOLTAGE,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:56-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:04-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:48.184-07:00 Los_Angeles,"",6560_METER2E_PWR_MTR-PHASE_A_VOLTAGE,✓,AV2019,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_METER2E_PWR_MTR-PHASE_A_VOLTAGE_POLL_TL,"",Los_Angeles,V,✓,"","","","","","",2020-04-30T12:14:30.976Z UTC
@p:ubcv:r:263d7c6d-b6c607cd Hebb Unsorted Points 6560_AHU-02_WC-C_COV_TL,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL1416,"","",6560_AHU-02_WC-C_COV_TL,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","","","","","","","",ok,"","","",2020-05-12T14:40:34.318-07:00 Los_Angeles,"",6560_AHU-02_WC-C_COV_TL,✓,"","",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_AHU-02_WC-C_COV_TL,"",Los_Angeles,"",✓,"","","","","","",2020-04-30T12:14:30.977Z UTC
@p:ubcv:r:263d7c6a-2b226cdd Hebb Unsorted Points 6560_METER1D_PWR_MTR-PHASE_A_APPARENT_POWER,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL646,"","",6560_METER1D_PWR_MTR-PHASE_A_APPARENT_POWER,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:55-07:00 Los_Angeles,"","","",1389,2020-04-28T03:27:03-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:44.31-07:00 Los_Angeles,"",6560_METER1D_PWR_MTR-PHASE_A_APPARENT_POWER,✓,AV1681,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_METER1D_PWR_MTR-PHASE_A_APPARENT_POWER_POLL_TL,"",Los_Angeles,VA,✓,"","","","","","",2020-04-30T12:14:30.978Z UTC
@p:ubcv:r:263d7c6c-b5a58cfa Hebb Unsorted Points 6560_SCHW_DP-T,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL335,"","",6560_SCHW_DP-T,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-12T14:31:43-07:00 Los_Angeles,"","","",1389,2020-04-28T03:26:57-07:00 Los_Angeles,ok,"","",Number,2020-05-12T14:40:37.37-07:00 Los_Angeles,"",6560_SCHW_DP-T,✓,AV74,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_SCHW_DP-T_POLL_TL,"",Los_Angeles,min,✓,"","","","","","",2020-04-30T12:14:30.979Z UTC
@p:ubcv:r:263d7c6c-e1c65280 Hebb Unsorted Points 6560_SP01S-ACTIVE,@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"",TL1245,"","",6560_SP01S-ACTIVE,"",@p:ubcv:r:24f86612-84a27833 HEBB Mech Rm B128,"","","","","","","","",$equipRef $bmsName,"","","","","OFF,ON",@p:ubcv:r:263d7c69-3b3e8f81 Hebb Unsorted Points,"",@p:ubcv:r:263d7c69-be34f582 Hebb Unsorted Points,✓,"","","",2020-05-08T13:31:26-07:00 Los_Angeles,"","","",6,2020-04-28T03:30:40-07:00 Los_Angeles,ok,"","",Bool,2020-05-12T14:40:35.737-07:00 Los_Angeles,"",6560_SP01S-ACTIVE,✓,BV136,"",✓,"","","","","","",@p:ubcv:r:20a64d9a-3ba75954 Hebb,"","","","","",6560_SP01S-ACTIVE_COV_TL,"",Los_Angeles,"",✓,"","","","","","",2020-04-30T12:14:30.98Z UTC
