id,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,chilled,chiller,cmd,co2,condenser,connRef,cooling,coolingTower,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,differential,disMacro,discharge,domestic,effective,elec,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,feedback,filter,flow,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,jci,kind,lastSynced,lastTagged,leaving,low,max,mixed,mixing,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,outside,point,pointType,power,preheat,pressure,proj_1830_3W2W,pump,quantityID,return,roomRef,run,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,temp,testUnits,tlName,tz,unit,utilityPoint,valve,volume,water,zachName,zone,mod
@p:ubcv:r:238b47ce-ffb7ec22 Buchanan Tower Unsorted Points JCL-NAE16/FCB.16B-VND011.DRIVE ALARM,"","",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"",TL3001183,✓,JCL-NAE16/FCB.16B-VND011.DRIVE ALARM,"","","","","",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","OK,ALARM","",@p:ubcv:r:238b4731-78b3b4ff Buchanan Tower Unsorted Points,"","","","","",@p:ubcv:r:238b4731-e442fe9a Buchanan Tower Unsorted Points,"",✓,"","","",2020-04-23T09:18:00-07:00 Los_Angeles,"","","",25,2018-12-17T15:08:14-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:22:47.555-07:00 Los_Angeles,2018-11-25T13:45:23.427-08:00 Los_Angeles,"","","","","",JCL-NAE16/FCB.16B-VND011.DRIVE ALARM,✓,BV3001182,"","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","","","","",JCL-NAE16/FCB.16B-VND011.DRIVE ALARM.Trend1,Los_Angeles,"","","","","",BUTO.Pump 5 VSD.DRIVE ALARM,"",2020-04-08T18:52:48.59Z UTC
@p:ubcv:r:25a72fc1-d30dc2af Buchanan Tower Unsorted Points JCL-NAE05/FCB-02.FEC-034.ZN-SP,✓,"",@p:ubcv:r:257d5bd3-9a3ffa02 BUTO (NAE-05),"",TL3003208,"",JCL-NAE05/FCB-02.FEC-034.ZN-SP,"","","","","",@p:ubcv:r:257d5bd3-9a3ffa02 BUTO (NAE-05),"","","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:238b4731-78b3b4ff Buchanan Tower Unsorted Points,"","","","","",@p:ubcv:r:238b4731-e442fe9a Buchanan Tower Unsorted Points,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",12133,2020-01-06T13:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:15:34.807-07:00 Los_Angeles,"","","","","","",Zone Temp Effective Sp,"",AV3002485,"","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"",✓,"","","",@p:ubcv:r:2538dbc2-74c2178f .+(\.|-| )ZN-SP,✓,"",JCL-NAE05/FCB-02.FEC-034.ZN-SP.Trend1,Los_Angeles,°C,"","","","",1200.AHU-01.FC-07-01.ZN-SP,✓,2020-04-09T19:01:58.224Z UTC
@p:ubcv:r:238b47ce-b0a52c01 Buchanan Tower Unsorted Points JCL-NAE16/FCB.16B-VND008.MWH,"","",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"",TL3001103,✓,JCL-NAE16/FCB.16B-VND008.MWH,"","","","","",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"","","","","","","","","","",$equipRef $bmsName,"","","","","",✓,"","","",@p:ubcv:r:238b4731-78b3b4ff Buchanan Tower Unsorted Points,"","","","","",@p:ubcv:r:238b4731-e442fe9a Buchanan Tower Unsorted Points,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",48826,2018-11-23T03:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:22:57.091-07:00 Los_Angeles,2018-11-25T13:45:23.439-08:00 Los_Angeles,"","","","","",Energy,"",AV3001102,"","","","",✓,"","","","","","","","","","","",✓,@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:24818e7c-912c7dc9 .+(\.|-| )MWH,"","",JCL-NAE16/FCB.16B-VND008.MWH.Trend1,Los_Angeles,MWh,"","","","",BUTO.Pump 1 VSD.MWH,"",2020-04-09T19:02:00.821Z UTC
@p:ubcv:r:2388a048-7d87f44a Buchanan Tower HW Main Meter Water Delta Temp,"","","","","","","","","","","","","","","","","","","","",✓,✓,"",$equipRef $navName,"","","","","","","","","",@p:ubcv:r:209d1c46-5c97d656 Buchanan Tower HW Main Meter,"","","","","",@p:ubcv:r:21697fca-cec2dd99 Buchanan Tower Utilities,"",✓,"","","","","",deltaTemp,consumption,"","","","","","","",Number,"","","","","","","",Water Delta Temp,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","","",✓,"","",Los_Angeles,°C,✓,"","",✓,"","",2020-04-28T00:03:35.947Z UTC
@p:ubcv:r:238b479a-f4906d7f Buchanan Tower Rm 0910 FC-09-011 JCL-NAE15/FC-A.15A-FEC015.CLG-O,"","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3006262,✓,JCL-NAE15/FC-A.15A-FEC015.CLG-O,✓,"",✓,"","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),✓,"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:257da866-c84ff429 Buchanan Tower Rm 0910 FC-09-011,"","","","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",50707,2018-11-23T03:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:58.103-07:00 Los_Angeles,2018-12-07T09:45:32.004-08:00 Los_Angeles,"","","","","",Cooling Valve Cmd,"",AO3006261,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f4-2ab95b5f Buchanan Tower Rm 0910,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-51bf01a3 .+(\.|-| )CLG-(O|VLV),"","",JCL-NAE15/FC-A.15A-FEC015.CLG-O.Trend1,Los_Angeles,%,"",✓,"",✓,"BUTO.RM-0910 - FC-09-010, FC-09-011.CLG-O","",2020-04-09T19:02:00.544Z UTC
@p:ubcv:r:25a72fc1-4b12434a Buchanan Tower Unsorted Points JCL-NAE05/FCB-02.FEC-058.ZN-SP(NV),"","",@p:ubcv:r:257d5bd3-9a3ffa02 BUTO (NAE-05),"",TL3003184,"",JCL-NAE05/FCB-02.FEC-058.ZN-SP(NV),"","","","","",@p:ubcv:r:257d5bd3-9a3ffa02 BUTO (NAE-05),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:238b4731-78b3b4ff Buchanan Tower Unsorted Points,"","","","","",@p:ubcv:r:238b4731-e442fe9a Buchanan Tower Unsorted Points,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",12133,2020-01-06T13:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:15:34.816-07:00 Los_Angeles,"","","","","","",JCL-NAE05/FCB-02.FEC-058.ZN-SP(NV),✓,AV3002475,"","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","","","","",JCL-NAE05/FCB-02.FEC-058.ZN-SP(NV).Trend1,Los_Angeles,_,"","","","",1200.AHU-01.FC-07-28.ZN-SP(NV),"",2020-04-09T19:15:03.511Z UTC
@p:ubcv:r:238b479a-41d08ede Buchanan Tower Rm 0922 FC-09-022 JCL-NAE15/FC-A.15A-FEC027.SF-O,✓,"",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3006701,✓,JCL-NAE15/FC-A.15A-FEC027.SF-O,"","",✓,"","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:257da866-8803e907 Buchanan Tower Rm 0922 FC-09-022,"",✓,"","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",50707,2018-11-23T03:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:58.113-07:00 Los_Angeles,2018-12-07T09:45:31.543-08:00 Los_Angeles,"","","","","",Discharge Fan Speed Cmd,"",AO3006700,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f4-deec1ba9 Buchanan Tower Rm 0922,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","",✓,"","",@p:ubcv:r:23e65d3d-c41cb6bb .+(\.|-| )SF(\d+)?-O(.Trend\d)?,"","",JCL-NAE15/FC-A.15A-FEC027.SF-O.Trend1,Los_Angeles,%,"","","","",BUTO.RM-0922 - FC-09-022.SF-O,"",2020-04-09T19:02:00.545Z UTC
@p:ubcv:r:238b479b-e56a3a87 Buchanan Tower Rm 1018 FC-10-018 JCL-NAE15/FC-A.15A-FEC054.ZN-SP,✓,"",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3007623,✓,JCL-NAE15/FC-A.15A-FEC054.ZN-SP,"","","","","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"","","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:257dabab-40126805 Buchanan Tower Rm 1018 FC-10-018,"","","","","",@p:ubcv:r:257dabab-bea9c5e8 Buchanan Tower Floor 1,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",50707,2018-11-23T03:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:58.121-07:00 Los_Angeles,2018-12-07T09:45:31.916-08:00 Los_Angeles,"","","","","",Zone Temp Effective Sp,"",AV3007622,"","","","",✓,"","","","","","","","",@p:ubcv:r:257dabab-d954abd4 Buchanan Tower Rm 1018,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"",✓,"","","",@p:ubcv:r:2538dbc2-74c2178f .+(\.|-| )ZN-SP,✓,"",JCL-NAE15/FC-A.15A-FEC054.ZN-SP.Trend1,Los_Angeles,°C,"","","","",BUTO.RM-1018 - FC-10-018.ZN-SP,✓,2020-04-09T19:02:00.546Z UTC
@p:ubcv:r:257d5cc3-c6c21a84 Buchanan Tower Rm 427 FC-04-27 JCL-NAE18/FCB-01.FEC-055.ZN-SP,✓,"",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"",TL3004730,"",JCL-NAE18/FCB-01.FEC-055.ZN-SP,"","","","","",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"","","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:257da95f-97f7150a Buchanan Tower Rm 427 FC-04-27,"","","","","",@p:ubcv:r:257da7f4-cd1f41b4 Buchanan Tower Floor 4,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",15270,2019-12-04T22:45:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:54.728-07:00 Los_Angeles,"","","","","","",Zone Temp Effective Sp,"",AV3003958,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f4-361bb3e0 Buchanan Tower Rm 427,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"",✓,"","","",@p:ubcv:r:2538dbc2-74c2178f .+(\.|-| )ZN-SP,✓,"",JCL-NAE18/FCB-01.FEC-055.ZN-SP.Trend1,Los_Angeles,°C,"","","","",1200.AHU-01.FC-04-27.ZN-SP,✓,2020-04-09T19:02:01.107Z UTC
@p:ubcv:r:238b479a-6f02cffd Buchanan Tower Rm 0928 FC-09-028 JCL-NAE15/FC-A.15A-FEC033.HTG-O,"","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3006889,✓,JCL-NAE15/FC-A.15A-FEC033.HTG-O,"","",✓,"","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:257da866-e2a949d3 Buchanan Tower Rm 0928 FC-09-028,"","","","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,✓,✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",50707,2018-11-23T03:30:00-08:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:19:58.137-07:00 Los_Angeles,2018-12-07T09:45:31.618-08:00 Los_Angeles,"","","","","",Heating Valve Cmd,"",AO3006888,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f4-451c6b89 Buchanan Tower Rm 0928,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE15/FC-A.15A-FEC033.HTG-O.Trend1,Los_Angeles,%,"",✓,"",✓,BUTO.RM-0928 - FC-09-028.HTG-O,"",2020-04-09T19:02:00.548Z UTC
@p:ubcv:r:257d5cc3-2e5039ca Buchanan Tower Rm 0320 FC-03-019 JCL-NAE18/FCB-01.FEC-022.SF-S,✓,"",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"",TL3002586,"",JCL-NAE18/FCB-01.FEC-022.SF-S,"","","","","",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","Off,On","",@p:ubcv:r:257da867-144f2a34 Buchanan Tower Rm 0320 FC-03-019,"",✓,"","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,"",✓,"","","",2020-05-08T18:32:58-07:00 Los_Angeles,"","","",709,2019-12-02T20:02:08-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:19:54.332-07:00 Los_Angeles,"","","","","","",Discharge Fan Run Status,"",BI3002585,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f4-4d731f65 Buchanan Tower Rm 0320,✓,"",✓,@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-fc9f50e0 .+(\.|-| )SF(\d+)?-S(.Trend\d)?,"","",JCL-NAE18/FCB-01.FEC-022.SF-S.Trend1,Los_Angeles,"","","","","","RM-0320 - FC-03-018, FC-03-019.SF-S","",2020-04-08T18:50:43.202Z UTC
@p:ubcv:r:238b4799-9d44d418 Buchanan Tower Rm 0907 FC-09-007 JCL-NAE15/FC-A.15A-FEC011.ZN-SP,✓,"",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3006112,✓,JCL-NAE15/FC-A.15A-FEC011.ZN-SP,"","","","","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"","","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:257da866-e6884400 Buchanan Tower Rm 0907 FC-09-007,"","","","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",50707,2018-11-23T03:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:58.159-07:00 Los_Angeles,2018-12-07T09:45:30.794-08:00 Los_Angeles,"","","","","",Zone Temp Effective Sp,"",AV3006111,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f3-6599a6d2 Buchanan Tower Rm 0907,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"",✓,"","","",@p:ubcv:r:2538dbc2-74c2178f .+(\.|-| )ZN-SP,✓,"",JCL-NAE15/FC-A.15A-FEC011.ZN-SP.Trend1,Los_Angeles,°C,"","","","",BUTO.RM-0907 - FC-09-007.ZN-SP,✓,2020-04-09T19:02:00.551Z UTC
@p:ubcv:r:238b4799-8ad85b0a Buchanan Tower Rm 0902 FC-09-002 JCL-NAE15/FC-A.15A-FEC005.SF-S,✓,"",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3005914,✓,JCL-NAE15/FC-A.15A-FEC005.SF-S,"","","","","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","Off,On","",@p:ubcv:r:257da865-55ae7d51 Buchanan Tower Rm 0902 FC-09-002,"",✓,"","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,"",✓,"","","",2020-05-04T21:09:42-07:00 Los_Angeles,"","","",1620,2018-11-19T11:22:10-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:19:54.9-07:00 Los_Angeles,2018-12-07T09:45:31.305-08:00 Los_Angeles,"","","","","",Discharge Fan Run Status,"",BI3005913,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f3-45dfaaa9 Buchanan Tower Rm 0902,✓,"",✓,@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-fc9f50e0 .+(\.|-| )SF(\d+)?-S(.Trend\d)?,"","",JCL-NAE15/FC-A.15A-FEC005.SF-S.Trend1,Los_Angeles,"","","","","",BUTO.RM-0902 - FC-09-002.SF-S,"",2020-04-08T18:55:14.796Z UTC
@p:ubcv:r:25a72fc0-36f71fa9 Buchanan Tower Unsorted Points JCL-NAE05/FCB-02.VMA-060.HTG-O,"","",@p:ubcv:r:257d5bd3-9a3ffa02 BUTO (NAE-05),"",TL3004401,"",JCL-NAE05/FCB-02.VMA-060.HTG-O,"","",✓,"","",@p:ubcv:r:257d5bd3-9a3ffa02 BUTO (NAE-05),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:238b4731-78b3b4ff Buchanan Tower Unsorted Points,"","","","","",@p:ubcv:r:238b4731-e442fe9a Buchanan Tower Unsorted Points,✓,✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",12089,2020-01-06T16:15:00-08:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:15:34.834-07:00 Los_Angeles,"","","","","","",Heating Valve Cmd,"",AO3003027,"","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE05/FCB-02.VMA-060.HTG-O.Trend1,Los_Angeles,%,"",✓,"",✓,1200.AHU-02.SAV-07-03.HTG-O,"",2020-04-09T19:01:58.24Z UTC
@p:ubcv:r:257d5cc3-3c21460b Buchanan Tower Rm 497 SAV-4-3 JCL-NAE18/FCB-01.VMA-057.DPR-O,✓,"",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"",TL3004009,"",JCL-NAE18/FCB-01.VMA-057.DPR-O,"","",✓,"","",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"","","","","","",✓,"","","",$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:257da95f-4c1ec7a0 Buchanan Tower Rm 497 SAV-4-3,"","","","","",@p:ubcv:r:257da7f4-cd1f41b4 Buchanan Tower Floor 4,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",15139,2019-12-05T22:45:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:54.746-07:00 Los_Angeles,"","","","","","",Discharge Air Damper Cmd,"",AO3003664,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f4-73e04601 Buchanan Tower Rm 497,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-13728f49 .+(\.|-| )DPR(\d)?-(C|O),"","",JCL-NAE18/FCB-01.VMA-057.DPR-O.Trend1,Los_Angeles,%,"","","","",1200.AHU-02.SAV-4-3.DPR-O,"",2020-04-09T19:02:01.118Z UTC
@p:ubcv:r:257d5cc3-a84286da Buchanan Tower Rm 0320 FC-03-019 JCL-NAE18/FCB-01.FEC-022.HTG-O,"","",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"",TL3002582,"",JCL-NAE18/FCB-01.FEC-022.HTG-O,"","",✓,"","",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:257da867-144f2a34 Buchanan Tower Rm 0320 FC-03-019,"","","","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,✓,✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",15139,2019-12-05T22:45:00-08:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:19:54.751-07:00 Los_Angeles,"","","","","","",Heating Valve Cmd,"",AO3002581,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f4-4d731f65 Buchanan Tower Rm 0320,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE18/FCB-01.FEC-022.HTG-O.Trend1,Los_Angeles,%,"",✓,"",✓,"RM-0320 - FC-03-018, FC-03-019.HTG-O","",2020-04-09T19:02:01.12Z UTC
@p:ubcv:r:238b479a-b6d6b19c Buchanan Tower Rm 1097E FC-10-014 JCL-NAE15/FC-A.15A-FEC047.ZN-SP,✓,"",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3007351,✓,JCL-NAE15/FC-A.15A-FEC047.ZN-SP,"","","","","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"","","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:257dabc2-4ec5b58b Buchanan Tower Rm 1097E FC-10-014,"","","","","",@p:ubcv:r:257dabab-bea9c5e8 Buchanan Tower Floor 1,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",50668,2018-11-23T03:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:58.168-07:00 Los_Angeles,2018-12-07T09:45:30.67-08:00 Los_Angeles,"","","","","",Zone Temp Effective Sp,"",AV3007350,"","","","",✓,"","","","","","","","",@p:ubcv:r:257dabc2-4521ea35 Buchanan Tower Rm 1097E,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"",✓,"","","",@p:ubcv:r:2538dbc2-74c2178f .+(\.|-| )ZN-SP,✓,"",JCL-NAE15/FC-A.15A-FEC047.ZN-SP.Trend1,Los_Angeles,°C,"","","","",BUTO.RM-1097E - FC-10-014.ZN-SP,✓,2020-04-09T19:02:00.552Z UTC
@p:ubcv:r:257d5cc3-0a910616 Buchanan Tower Rm 0323 SAV-03-002 JCL-NAE18/FCB-01.VMA-027.HTG-O,"","",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"",TL3002771,"",JCL-NAE18/FCB-01.VMA-027.HTG-O,"","",✓,"","",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:257da868-ce631af5 Buchanan Tower Rm 0323 SAV-03-002,"","","","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,✓,✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",15139,2019-12-05T22:45:00-08:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:19:54.377-07:00 Los_Angeles,"","","","","","",Heating Valve Cmd,"",AO3002770,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f4-767ec9c1 Buchanan Tower Rm 0323,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE18/FCB-01.VMA-027.HTG-O.Trend1,Los_Angeles,%,"",✓,"",✓,RM-0323 - SAV-03-002.HTG-O,"",2020-04-09T19:02:00.938Z UTC
@p:ubcv:r:238b479b-93a85111 Buchanan Tower Rm 1021 FC-10-021 JCL-NAE15/FC-A.15A-FEC057.ZN-SP,✓,"",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3007719,✓,JCL-NAE15/FC-A.15A-FEC057.ZN-SP,"","","","","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"","","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:257dabab-c31551f2 Buchanan Tower Rm 1021 FC-10-021,"","","","","",@p:ubcv:r:257dabab-bea9c5e8 Buchanan Tower Floor 1,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",50707,2018-11-23T03:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:58.284-07:00 Los_Angeles,2018-12-07T09:45:32.038-08:00 Los_Angeles,"","","","","",Zone Temp Effective Sp,"",AV3007718,"","","","",✓,"","","","","","","","",@p:ubcv:r:257dabab-f16a636a Buchanan Tower Rm 1021,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"",✓,"","","",@p:ubcv:r:2538dbc2-74c2178f .+(\.|-| )ZN-SP,✓,"",JCL-NAE15/FC-A.15A-FEC057.ZN-SP.Trend1,Los_Angeles,°C,"","","","",BUTO.RM-1021 - FC-10-021.ZN-SP,✓,2020-04-09T19:02:00.566Z UTC
@p:ubcv:r:238b479a-7bb40a6c Buchanan Tower Rm 0922 FC-09-022 JCL-NAE15/FC-A.15A-FEC027.CLG-O,"","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3006699,✓,JCL-NAE15/FC-A.15A-FEC027.CLG-O,✓,"",✓,"","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),✓,"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:257da866-8803e907 Buchanan Tower Rm 0922 FC-09-022,"","","","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",50707,2018-11-23T03:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:58.318-07:00 Los_Angeles,2018-12-07T09:45:31.591-08:00 Los_Angeles,"","","","","",Cooling Valve Cmd,"",AO3006698,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f4-deec1ba9 Buchanan Tower Rm 0922,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-51bf01a3 .+(\.|-| )CLG-(O|VLV),"","",JCL-NAE15/FC-A.15A-FEC027.CLG-O.Trend1,Los_Angeles,%,"",✓,"",✓,BUTO.RM-0922 - FC-09-022.CLG-O,"",2020-04-09T19:02:00.57Z UTC
