id,air,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bacnetWriteLevel,bmsName,cmd,connRef,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,disMacro,discharge,effective,elec,energy,entering,enum,equipRef,exhaust,fan,feedback,flow,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,jci,kind,lastSynced,lastTagged,leaving,mixed,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,outside,point,power,primaryLoop,pump,quantityID,return,roomRef,run,secondaryLoop,sensor,siteRef,sourceID,sp,sqlConnRef,sqlPoint,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,volume,water,writable,writeLevel,writeStatus,zone,mod
@p:ubcv:r:238b41b7-47c511a8 Liu Rm132 FC-1 JCL-NAE57/N2-1.LC-DC-3.LC-FC1_FC-C,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000243,✓,"",JCL-NAE57/N2-1.LC-DC-3.LC-FC1_FC-C,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","Off,On",@p:ubcv:r:24f08886-b266d2a8 Liu Rm132 FC-1,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-12T15:00:04-07:00 Los_Angeles,"","","",732,2018-11-18T21:15:20-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:35:27.895-07:00 Los_Angeles,2018-11-25T13:45:24.022-08:00 Los_Angeles,"","",JCL-NAE57/N2-1.LC-DC-3.LC-FC1_FC-C,✓,BO3000092,"","","","",✓,"","","","","",@p:ubcv:r:24f08886-56c17f75 Liu Rm132,"","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/N2-1.LC-DC-3.LC-FC1_FC-C.Trend1,Los_Angeles,"","","","","","","","","",2020-04-08T18:55:46.855Z UTC
@p:ubcv:r:238b41b7-d438af19 Liu Unsorted Points JCL-NAE57/Programming.Central Plant.LC-HW.LC-HW_HW-BIAS,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000952,✓,"",JCL-NAE57/Programming.Central Plant.LC-HW.LC-HW_HW-BIAS,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:238b41b4-6b8a3644 Liu Unsorted Points,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",24978,2018-11-22T15:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:35:27.904-07:00 Los_Angeles,2018-11-25T13:45:23.591-08:00 Los_Angeles,"","",JCL-NAE57/Programming.Central Plant.LC-HW.LC-HW_HW-BIAS,✓,AV3000542,"","","","",✓,"","","","","","","","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/Programming.Central Plant.LC-HW.LC-HW_HW-BIAS.PointHistory,Los_Angeles,°C,"","","","","","","","",2020-04-09T19:02:17.586Z UTC
@p:ubcv:r:238b41b7-bf9b6584 Liu Rm 112 Zone JCL-NAE57/N2-1.LC-DC-9.LC-GRND_RM112-OR,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000311,✓,"",JCL-NAE57/N2-1.LC-DC-9.LC-GRND_RM112-OR,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","Off,On",@p:ubcv:r:24f089bf-60c55eea Liu Rm 112 Zone,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-04-09T04:29:04-07:00 Los_Angeles,"","","",31,2018-11-28T12:06:57-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:35:27.76-07:00 Los_Angeles,2018-11-25T13:45:23.848-08:00 Los_Angeles,"","",JCL-NAE57/N2-1.LC-DC-9.LC-GRND_RM112-OR,✓,BI3000153,"","","","",✓,"","","","","",@p:ubcv:r:24f089bf-7b6fa7dc Liu Rm 112,"","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/N2-1.LC-DC-9.LC-GRND_RM112-OR.Trend1,Los_Angeles,"","","","","","","","","",2020-04-08T18:55:34.474Z UTC
@p:ubcv:r:21c5a9c6-446fb155 Liu Heating Plant JCL-NAE57/N2-1.LC-DC-1.LC-HW_P1-S,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000192,✓,"",JCL-NAE57/N2-1.LC-DC-1.LC-HW_P1-S,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","Off,On",@p:ubcv:r:21c5a449-a495fb42 Liu Heating Plant,"","","","",@p:ubcv:r:21c5a420-95882591 Liu Hydronic Systems,"",✓,"","",2020-04-09T04:29:04-07:00 Los_Angeles,"","","",774,2017-12-09T06:58:12-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:35:27.761-07:00 Los_Angeles,2018-12-07T09:45:28.646-08:00 Los_Angeles,"","",Pump Run Status,"",BI3000052,"","","","",✓,"","",✓,"","","",✓,✓,✓,@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","",@p:ubcv:r:23e65d3d-742086c0 .+(\.|-|_)P\d+-(FS-)?S,"",JCL-NAE57/N2-1.LC-DC-1.LC-HW_P1-S.Trend1,Los_Angeles,"","","","","","","","","",2020-04-08T18:55:40.05Z UTC
@p:ubcv:r:238b41b7-aa1dafb7 Liu Unsorted Points JCL-NAE57/N2-1.LC-DC-9.LC-GRND_EXTLTG-C,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000307,✓,"",JCL-NAE57/N2-1.LC-DC-9.LC-GRND_EXTLTG-C,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","Off,On",@p:ubcv:r:238b41b4-6b8a3644 Liu Unsorted Points,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-12T05:48:26-07:00 Los_Angeles,"","","",1085,2018-11-18T16:31:18-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:35:27.931-07:00 Los_Angeles,2018-11-25T13:45:23.847-08:00 Los_Angeles,"","",JCL-NAE57/N2-1.LC-DC-9.LC-GRND_EXTLTG-C,✓,BO3000149,"","","","",✓,"","","","","","","","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/N2-1.LC-DC-9.LC-GRND_EXTLTG-C.Trend1,Los_Angeles,"","","","","","","","","",2020-04-08T18:55:34.353Z UTC
@p:ubcv:r:238b41b7-abd492b2 Liu Rm132 FC-1 JCL-NAE57/N2-1.LC-DC-3.LC-FC1_FC-S,✓,@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000245,✓,"",JCL-NAE57/N2-1.LC-DC-3.LC-FC1_FC-S,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,✓,"","","","","Off,On",@p:ubcv:r:24f08886-b266d2a8 Liu Rm132 FC-1,"",✓,"","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-12T15:00:09-07:00 Los_Angeles,"","","",664,2018-11-28T12:06:57-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:35:27.933-07:00 Los_Angeles,2018-11-25T13:45:24.021-08:00 Los_Angeles,"","",Discharge Fan Run Status,"",BI3000093,"","","","",✓,"","","","","",@p:ubcv:r:24f08886-56c17f75 Liu Rm132,✓,"",✓,@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","",@p:ubcv:r:23e65d3d-38c9065b .+(\.|-| |_)FC?(x+)?-S,"",JCL-NAE57/N2-1.LC-DC-3.LC-FC1_FC-S.Trend1,Los_Angeles,"","","","","","","","","",2020-04-08T18:55:46.801Z UTC
@p:ubcv:r:238b41b7-fad6db7c Liu Unsorted Points JCL-NAE57/BACnet IP1.LC-EMTR.Analog Inputs.AI-1,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3001857,✓,"",JCL-NAE57/BACnet IP1.LC-EMTR.Analog Inputs.AI-1,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:238b41b4-6b8a3644 Liu Unsorted Points,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-12T00:00:00-07:00 Los_Angeles,"","","",541,2018-11-19T00:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:35:27.935-07:00 Los_Angeles,2018-11-25T13:45:23.724-08:00 Los_Angeles,"","",JCL-NAE57/BACnet IP1.LC-EMTR.Analog Inputs.AI-1,✓,AI3001407,"","","","",✓,"","","","","","","","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/BACnet IP1.LC-EMTR.Analog Inputs.AI-1.Trend1,Los_Angeles,MWh,"","","","","","","","",2020-04-09T19:02:17.587Z UTC
@p:ubcv:r:238b41b7-491fd005 Liu EF JCL-NAE57/N2-1.LC-DC-10.LC-VENT_EF1-C,✓,@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000212,✓,"",JCL-NAE57/N2-1.LC-DC-10.LC-VENT_EF1-C,✓,@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","Off,On",@p:ubcv:r:24f08887-1f5c3886 Liu EF,✓,✓,"","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-11T22:42:27-07:00 Los_Angeles,"","","",94,2018-11-28T12:06:57-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:35:27.763-07:00 Los_Angeles,2018-11-25T13:45:24.024-08:00 Los_Angeles,"","",Exhaust Fan Run Cmd,"",BO3000069,"","","","",✓,"","","","","","",✓,"","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","",@p:ubcv:r:23e65d3d-b8710d90 .+(\.|-| |_)EF-?(\d+)?\w?-C,"",JCL-NAE57/N2-1.LC-DC-10.LC-VENT_EF1-C.Trend1,Los_Angeles,"","","","","","","","","",2020-04-08T18:55:47.256Z UTC
@p:ubcv:r:21c5a9f2-966dc8b1 Liu Heating Plant JCL-NAE57/N2-1.LC-DC-1.LC-HW_P1-C,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000190,✓,16,JCL-NAE57/N2-1.LC-DC-1.LC-HW_P1-C,✓,@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","Off,On",@p:ubcv:r:21c5a449-a495fb42 Liu Heating Plant,"","","","",@p:ubcv:r:21c5a420-95882591 Liu Hydronic Systems,"",✓,"","",2020-05-12T15:01:27-07:00 Los_Angeles,"","","",369,2017-11-10T03:05:59-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:35:27.937-07:00 Los_Angeles,2018-12-07T09:45:22.345-08:00 Los_Angeles,"","",Pump Run Cmd,"",BO3000051,"","","","",✓,"","",✓,"","","",✓,✓,"",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","",@p:ubcv:r:23e65d3d-604110c2 .+(\.|-|_)C?H?P\d+(-)?C,"",JCL-NAE57/N2-1.LC-DC-1.LC-HW_P1-C.Trend1,Los_Angeles,"","","","","",✓,17,unbound,"",2020-04-08T18:55:40.107Z UTC
@p:ubcv:r:21c5a991-d0dd4fad Liu Heating Plant JCL-NAE57/N2-1.LC-DC-1.Parameters.LC-HW_HWS-WSP,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3002410,✓,"",JCL-NAE57/N2-1.LC-DC-1.Parameters.LC-HW_HWS-WSP,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:21c5a449-a495fb42 Liu Heating Plant,"","","","",@p:ubcv:r:21c5a420-95882591 Liu Hydronic Systems,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",81112,2017-12-14T13:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:35:27.939-07:00 Los_Angeles,2018-05-09T10:55:46.815-07:00 Los_Angeles,"","",JCL-NAE57/N2-1.LC-DC-1.Parameters.LC-HW_HWS-WSP,✓,AO3000328,"","","","",✓,"","","","","","","",✓,"",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/N2-1.LC-DC-1.Parameters.LC-HW_HWS-WSP.Trend1,Los_Angeles,°C,"","","","","","","","",2020-04-09T19:02:17.588Z UTC
@p:ubcv:r:238b41b7-b069ff23 Liu Unsorted Points JCL-NAE57/Programming.Energy.Energy Meter Peak and Usage Calc.Supply Flow,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3001373,✓,"",JCL-NAE57/Programming.Energy.Energy Meter Peak and Usage Calc.Supply Flow,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:238b41b4-6b8a3644 Liu Unsorted Points,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-01-11T16:00:00-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [252] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",19583,2018-11-20T15:00:00-08:00 Los_Angeles,fault,"","",✓,Number,2020-05-11T17:48:52.102-07:00 Los_Angeles,2018-11-25T13:45:23.3-08:00 Los_Angeles,"","",JCL-NAE57/Programming.Energy.Energy Meter Peak and Usage Calc.Supply Flow,✓,AV3000611,"","","","",✓,"","","","","","","","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/Programming.Energy.Energy Meter Peak and Usage Calc.Supply Flow.Trend1,Los_Angeles,L/s,"","","","","","","","",2020-04-09T19:02:17.589Z UTC
@p:ubcv:r:21c5a6d9-94b299df Liu HW Main Meter Entering Water Temp,"",@p:ubcv:r:21c5a615-61e0f4fe LIU DES Meter,AI9,"",✓,"","","",@p:ubcv:r:21c5a615-61e0f4fe LIU DES Meter,✓,"",ok,19.029998779296875°C,"","","",$equipRef $navName,"","","","",✓,"",@p:ubcv:r:20a65214-3e328e52 Liu HW Main Meter,"","","","",@p:ubcv:r:21697fca-84383cbb Liu Utilities,"",✓,0.5°C,10min,2020-05-12T15:40:00-07:00 Los_Angeles,"","",consumption,225245,2017-12-18T14:20:00-08:00 Los_Angeles,ok,"",✓,"",Number,"","","","",Entering Water Temp,"","","","","","",✓,"","","","","","","","",✓,@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","",✓,"",Los_Angeles,°C,✓,"","",✓,"","","","",2020-04-28T00:03:35.142Z UTC
@p:ubcv:r:263b76bb-4b8ddf9a Liu Water Main Meter Consumption,"","","","","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,5430.00048828125m³,"","","",$equipRef $navName,"","","","","","",@p:ubcv:r:20a65214-a6a7bc39 Liu Water Main Meter,"","","","",@p:ubcv:r:21697fca-84383cbb Liu Utilities,"",✓,"",15min,2020-05-12T15:30:00-07:00 Los_Angeles,"","",consumption,319695,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"","",Number,"","","","",Consumption,"","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_LIU_496.Water_Volume,✓,"",✓,"","","",10394,"","","","",✓,@p:ubcv:r:20a65214-8c3b2eb9 Liu,108,"",@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","","",Los_Angeles,m³,✓,"",✓,✓,"","","","",2020-05-04T19:39:55.278Z UTC
@p:ubcv:r:238b41b7-6f845633 Liu HR-1 JCL-NAE57/N2-1.LC-DC-5.LC-HRU1_OCCPD,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000268,✓,"",JCL-NAE57/N2-1.LC-DC-5.LC-HRU1_OCCPD,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","Off,On",@p:ubcv:r:24f08886-adc56916 Liu HR-1,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-11T18:23:54-07:00 Los_Angeles,"","","",2187,2018-11-22T13:25:51-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:35:27.772-07:00 Los_Angeles,2018-11-25T13:45:24.014-08:00 Los_Angeles,"","",JCL-NAE57/N2-1.LC-DC-5.LC-HRU1_OCCPD,✓,BI3000115,"","","","",✓,"","","","","","","","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/N2-1.LC-DC-5.LC-HRU1_OCCPD.Trend1,Los_Angeles,"","","","","","","","","",2020-04-08T18:55:46.056Z UTC
@p:ubcv:r:238b41b7-e4b8c1f6 Liu Rm132 FC-2 JCL-NAE57/N2-1.LC-DC-4.LC-FC2_FC-C,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000254,✓,"",JCL-NAE57/N2-1.LC-DC-4.LC-FC2_FC-C,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","Off,On",@p:ubcv:r:24f08886-81d8e396 Liu Rm132 FC-2,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-12T14:40:03-07:00 Los_Angeles,"","","",1690,2018-11-19T19:00:04-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:35:27.941-07:00 Los_Angeles,2018-11-25T13:45:24.003-08:00 Los_Angeles,"","",JCL-NAE57/N2-1.LC-DC-4.LC-FC2_FC-C,✓,BO3000103,"","","","",✓,"","","","","",@p:ubcv:r:24f08886-56c17f75 Liu Rm132,"","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/N2-1.LC-DC-4.LC-FC2_FC-C.Trend1,Los_Angeles,"","","","","","","","","",2020-04-08T18:55:45.789Z UTC
@p:ubcv:r:238b41b7-0e76ef27 Liu EF JCL-NAE57/N2-1.LC-DC-11.LC-VENT_RM115-T,✓,@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000236,✓,"",JCL-NAE57/N2-1.LC-DC-11.LC-VENT_RM115-T,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:24f08887-1f5c3886 Liu EF,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",49491,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:35:27.943-07:00 Los_Angeles,2018-11-25T13:45:24.021-08:00 Los_Angeles,"","",Zone Temp,"",AI3000085,"","","","",✓,"","","","","","","","",✓,@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","",@p:ubcv:r:2538d9da-1aedb8c9 .+(\.|-| |_)RM(\d+\w?)?-Z?T,✓,JCL-NAE57/N2-1.LC-DC-11.LC-VENT_RM115-T.Trend1,Los_Angeles,°C,"","","","","","","",✓,2020-04-09T19:02:17.59Z UTC
@p:ubcv:r:238b41b7-4502fe2e Liu EF JCL-NAE57/N2-1.LC-DC-10.LC-VENT_EF2-C,✓,@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000215,✓,"",JCL-NAE57/N2-1.LC-DC-10.LC-VENT_EF2-C,✓,@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","Off,On",@p:ubcv:r:24f08887-1f5c3886 Liu EF,✓,✓,"","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-11T22:42:27-07:00 Los_Angeles,"","","",94,2018-11-28T12:06:57-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:35:27.764-07:00 Los_Angeles,2018-11-25T13:45:24.027-08:00 Los_Angeles,"","",Exhaust Fan Run Cmd,"",BO3000071,"","","","",✓,"","","","","","",✓,"","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","",@p:ubcv:r:23e65d3d-b8710d90 .+(\.|-| |_)EF-?(\d+)?\w?-C,"",JCL-NAE57/N2-1.LC-DC-10.LC-VENT_EF2-C.Trend1,Los_Angeles,"","","","","","","","","",2020-04-08T18:55:47.615Z UTC
