id,air,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,cmd,connRef,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,disMacro,discharge,elec,energy,entering,enum,equipRef,exhaust,fan,flow,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,jci,kind,lastSynced,lastTagged,leaving,mixed,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,outside,point,power,pump,quantityID,return,run,scheduleOcc,sensor,siteRef,sourceID,sp,sqlConnRef,sqlPoint,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,volume,water,zone,mod
@p:ubcv:r:238b4247-f3c1ddc8 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_ZN-WC,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000277,✓,JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_ZN-WC,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.975-07:00 Los_Angeles,2018-11-25T13:45:23.997-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_ZN-WC,✓,AI3000070,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_ZN-WC.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:02:17.478Z UTC
@p:ubcv:r:238b4247-4c354874 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-3.SJ-HW_HE1-VLV,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000343,✓,JCL-NAE56/N2-1.SJ-DC-3.SJ-HW_HE1-VLV,✓,@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,✓,✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"",✓,✓,Number,2020-05-12T20:08:38.979-07:00 Los_Angeles,2018-11-25T13:45:23.847-08:00 Los_Angeles,"","",Heating Valve Cmd,"",AO3000110,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","",@p:ubcv:r:249291e5-0b74948c .+(\.|-| |_)HE\d-(VLV|O),"",JCL-NAE56/N2-1.SJ-DC-3.SJ-HW_HE1-VLV.Trend1,Los_Angeles,%,"",✓,"",✓,"",2020-04-14T16:49:59.946Z UTC
@p:ubcv:r:238b4247-b95c8ea4 Sing Tao Unsorted Points JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.This Hours Peak,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000976,✓,JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.This Hours Peak,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",12980,2018-11-18T16:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.981-07:00 Los_Angeles,2018-11-25T13:45:23.584-08:00 Los_Angeles,"","",JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.This Hours Peak,✓,AV3000441,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.This Hours Peak.Trend2,Los_Angeles,kW,"","","","","",2020-04-09T19:02:17.48Z UTC
@p:ubcv:r:238b4247-c3ff0d55 Sing Tao Unsorted Points JCL-NAE56/Programming.HVAC.SJ-AHU1.Optimum Start.Zone Occupied Schedule,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3001048,✓,JCL-NAE56/Programming.HVAC.SJ-AHU1.Optimum Start.Zone Occupied Schedule,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","Unoccupied,Occupied",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T13:30:00-07:00 Los_Angeles,"","",733,2018-11-19T06:00:00-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T20:08:38.952-07:00 Los_Angeles,2018-11-25T13:45:23.319-08:00 Los_Angeles,"","",Scheduled Occupancy,"",BV3000457,"","","","",✓,"","","","","",✓,"",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","",@p:ubcv:r:24ede125-239d50ec .+(S|s)chedule(.+)?,"",JCL-NAE56/Programming.HVAC.SJ-AHU1.Optimum Start.Zone Occupied Schedule.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:52:43.375Z UTC
@p:ubcv:r:238b4247-fdbfc7b8 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_SA-T,✓,@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000271,✓,JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_SA-T,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,✓,"","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.983-07:00 Los_Angeles,2018-11-25T13:45:23.998-08:00 Los_Angeles,"","",Discharge Air Temp,"",AI3000066,"","","","",✓,"","","","","","",✓,@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,✓,JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_SA-T.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:02:17.481Z UTC
@p:ubcv:r:238b4247-d120f1f6 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-3.RHC5.SJ-FLR1_RHC005-WC,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3001173,✓,JCL-NAE56/N2-1.SJ-DC-3.RHC5.SJ-FLR1_RHC005-WC,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.985-07:00 Los_Angeles,2018-11-25T13:45:23.43-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-3.RHC5.SJ-FLR1_RHC005-WC,✓,AI3001172,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-3.RHC5.SJ-FLR1_RHC005-WC.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:02:17.482Z UTC
@p:ubcv:r:238b4247-7908a6ac Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-3.RHC6.SJ-FLR2_RHC006-WC,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3001175,✓,JCL-NAE56/N2-1.SJ-DC-3.RHC6.SJ-FLR2_RHC006-WC,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.987-07:00 Los_Angeles,2018-11-25T13:45:23.43-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-3.RHC6.SJ-FLR2_RHC006-WC,✓,AI3001174,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-3.RHC6.SJ-FLR2_RHC006-WC.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:02:17.483Z UTC
@p:ubcv:r:238b4247-63111500 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_P4-C,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000266,✓,JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_P4-C,✓,@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","On,Off",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-08T12:06:48-07:00 Los_Angeles,"","",2862,2018-11-19T06:01:21-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T20:08:38.933-07:00 Los_Angeles,2018-12-07T09:45:28.47-08:00 Los_Angeles,"","",Pump Run Cmd,"",BO3000063,"","","","",✓,"",✓,"","",✓,"","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","",@p:ubcv:r:23e65d3d-604110c2 .+(\.|-|_)C?H?P\d+(-)?C,"",JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_P4-C.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:46.169Z UTC
@p:ubcv:r:238b4247-84b2da5c Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-3.SJ-MISC_F-ALM,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000359,✓,JCL-NAE56/N2-1.SJ-DC-3.SJ-MISC_F-ALM,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","Normal,Alarm",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-04-09T04:29:01-07:00 Los_Angeles,"","",16,2018-12-20T12:32:54-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T20:08:38.909-07:00 Los_Angeles,2018-11-25T13:45:23.843-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-3.SJ-MISC_F-ALM,✓,BI3000129,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-3.SJ-MISC_F-ALM.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:33.428Z UTC
@p:ubcv:r:238b4247-c42bbbde Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_MA-DPR,✓,@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000262,✓,JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_MA-DPR,✓,@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","",✓,"","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.988-07:00 Los_Angeles,2018-11-25T13:45:24.016-08:00 Los_Angeles,"",✓,Mixed Air Damper Cmd,"",AO3000060,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","",@p:ubcv:r:23e65d3d-c8536712 .+(\.|-| |_)MA-DPR,"",JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_MA-DPR.Trend1,Los_Angeles,%,"","","","","",2020-04-14T16:50:02.262Z UTC
@p:ubcv:r:263b76ea-8b77746e Sing Tao Elec Main Meter Energy,"","","","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,1508949.375kWh,"","","",$equipRef $navName,"",✓,✓,"","",@p:ubcv:r:20a661de-da647181 Sing Tao Elec Main Meter,"","","",@p:ubcv:r:21697fca-7b42701e Sing Tao Utilities,"",✓,"",15min,"",2020-05-12T20:15:00-07:00 Los_Angeles,"",consumption,319753,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"","",Number,"","","","",Energy,"","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Sing_Tao_212.Elec_Energy,✓,"",✓,"","",10393,"","","",✓,@p:ubcv:r:20a661de-f242ffd0 Sing Tao,68,"",@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","","",Los_Angeles,kWh,✓,"","","","",2020-05-04T19:39:55.619Z UTC
@p:ubcv:r:238b4247-98538b93 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-3.SJ-HW_HWS-SP,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3001609,✓,JCL-NAE56/N2-1.SJ-DC-3.SJ-HW_HWS-SP,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25766,2018-11-20T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.99-07:00 Los_Angeles,2018-11-25T13:45:23.852-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-3.SJ-HW_HWS-SP,✓,AO3001608,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-3.SJ-HW_HWS-SP.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:02:17.485Z UTC
@p:ubcv:r:238b4247-d47e3855 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-3.SJ-EMTR-F,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3001271,✓,JCL-NAE56/N2-1.SJ-DC-3.SJ-EMTR-F,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25766,2018-11-20T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.992-07:00 Los_Angeles,2018-11-25T13:45:23.224-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-3.SJ-EMTR-F,✓,AO3001270,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-3.SJ-EMTR-F.Trend1,Los_Angeles,L/h,"","","","","",2020-04-09T19:02:17.486Z UTC
@p:ubcv:r:238b4247-253965b0 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-1.SJ-FLR1_RHC001-V,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000217,✓,JCL-NAE56/N2-1.SJ-DC-1.SJ-FLR1_RHC001-V,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.995-07:00 Los_Angeles,2018-11-25T13:45:24.026-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-1.SJ-FLR1_RHC001-V,✓,AO3000049,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-1.SJ-FLR1_RHC001-V.Trend1,Los_Angeles,%,"","","","","",2020-04-09T19:02:17.487Z UTC
@p:ubcv:r:238b4247-3c6fec57 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_SF-S,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000211,✓,JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_SF-S,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","Off,On",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T13:30:07-07:00 Los_Angeles,"","",908,2018-11-19T06:00:07-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T20:08:38.956-07:00 Los_Angeles,2018-11-25T13:45:24.025-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_SF-S,✓,BI3000043,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_SF-S.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:47.278Z UTC
@p:ubcv:r:238b4247-5a7241bc Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-3.SJ-FLR2_RHC006-T,✓,@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000334,✓,JCL-NAE56/N2-1.SJ-DC-3.SJ-FLR2_RHC006-T,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.997-07:00 Los_Angeles,2018-11-25T13:45:23.845-08:00 Los_Angeles,"","",Zone Temp,"",AI3000096,"","","","",✓,"","","","","","",✓,@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","",@p:ubcv:r:23e65d3e-3f42a398 .+(\.|-| |_)RHC\d+-T,✓,JCL-NAE56/N2-1.SJ-DC-3.SJ-FLR2_RHC006-T.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:17.488Z UTC
@p:ubcv:r:238b4247-36406e2c Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_RF-DPR,✓,@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000269,✓,JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_RF-DPR,✓,@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","",✓,"","",$equipRef $bmsName,✓,"","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.998-07:00 Los_Angeles,2018-11-25T13:45:23.996-08:00 Los_Angeles,"","",Discharge Air Damper Cmd,"",AO3000065,"","","","",✓,"","","",✓,"","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","",@p:ubcv:r:2512c667-0f21317f .+(\.|-| |_)RF-DPR,"",JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_RF-DPR.Trend1,Los_Angeles,MWh,"","","","","",2020-04-14T16:50:00.496Z UTC
@p:ubcv:r:238b4247-a3f08c72 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_SA-T,✓,@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000208,✓,JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_SA-T,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,✓,"","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:39.006-07:00 Los_Angeles,2018-11-25T13:45:24.023-08:00 Los_Angeles,"","",Discharge Air Temp,"",AI3000041,"","","","",✓,"","","","","","",✓,@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,✓,JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_SA-T.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:02:17.49Z UTC
@p:ubcv:r:238b4247-0e34e893 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-1.SJ-FLR1_RHC002-T,✓,@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000218,✓,JCL-NAE56/N2-1.SJ-DC-1.SJ-FLR1_RHC002-T,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:39.014-07:00 Los_Angeles,2018-11-25T13:45:24.026-08:00 Los_Angeles,"","",Zone Temp,"",AI3000050,"","","","",✓,"","","","","","",✓,@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","",@p:ubcv:r:23e65d3e-3f42a398 .+(\.|-| |_)RHC\d+-T,✓,JCL-NAE56/N2-1.SJ-DC-1.SJ-FLR1_RHC002-T.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:17.491Z UTC
@p:ubcv:r:238b4247-cfb162a1 Sing Tao Unsorted Points JCL-NAE56/Programming.HVAC.SJ-AHU2.Optimum Start.Zone Warm Cool Mode,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3001049,✓,JCL-NAE56/Programming.HVAC.SJ-AHU2.Optimum Start.Zone Warm Cool Mode,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","Normal,Warmup,Cooldown,Coast",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","-1 enumNumberToStr(self, false)",2020-04-09T04:29:01-07:00 Los_Angeles,"","",65,2018-12-20T12:37:34-08:00 Los_Angeles,ok,"","",✓,Str,2020-05-12T20:08:38.91-07:00 Los_Angeles,2018-11-25T13:45:23.319-08:00 Los_Angeles,"","",JCL-NAE56/Programming.HVAC.SJ-AHU2.Optimum Start.Zone Warm Cool Mode,✓,MSV3000660,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/Programming.HVAC.SJ-AHU2.Optimum Start.Zone Warm Cool Mode.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:52:43.365Z UTC
@p:ubcv:r:238b4247-3d3cfdad Sing Tao Unsorted Points JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.Todays Peak,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000926,✓,JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.Todays Peak,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T00:00:00-07:00 Los_Angeles,"","",541,2018-11-19T00:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.939-07:00 Los_Angeles,2018-11-25T13:45:23.593-08:00 Los_Angeles,"","",JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.Todays Peak,✓,AV3000426,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.Todays Peak.Trend1,Los_Angeles,kW,"","","","","",2020-04-09T19:02:17.492Z UTC
