id,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,boiler,chilled,cmd,connRef,cooling,curStatus,disMacro,discharge,domestic,effective,elec,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,gas,groupRef,heating,his,hisEnd,hisErr,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,jci,kind,lastSynced,leaving,low,navName,noTagMatch,objectId,outside,parcHtgEnergy,parc_Meter,perimeterHeat,point,pointType,power,pressure,pump,quantityID,run,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,sqlSource,tagTableRef,tags,temp,tlName,tz,unit,utilityPoint,valve,volume,water,zone,mod
@p:ubcv:r:245f4ba9-ef216d23 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-13.SF-S,✓,"",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),BI3000149,TL3000605,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-13.SF-S,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,✓,"","","","","","","Off,On","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"",✓,"",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T07:44:12-07:00 Los_Angeles,"","",1080,2019-05-02T17:01:24-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T15:53:32.732-07:00 Los_Angeles,"","",Discharge Fan Run Status,"",BI3000149,"","","","",✓,"","","","","",✓,"",✓,@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3d-fc9f50e0 .+(\.|-| )SF(\d+)?-S(.Trend\d)?,"","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-13.SF-S.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:31.027Z UTC
@p:ubcv:r:245f4bac-e250d7e0 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-27.Parameters.EFFHTG-SP,✓,"",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AV3000984,TL3001065,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-27.Parameters.EFFHTG-SP,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,✓,✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:33.013-07:00 Los_Angeles,"","",Zone Temp Effective Heating Sp,"",AV3000984,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"",✓,"","","","",@p:ubcv:r:2538b55e-15822785 .+(\.|-| )(EFF|ACT)HTG-?SP,"",✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-27.Parameters.EFFHTG-SP.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:01:57.909Z UTC
@p:ubcv:r:245f4bac-f2bcd7ca Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-24.BLR1-S,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),BI3000247,TL3000846,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-24.BLR1-S,✓,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","Normal,Alarm","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-04-22T11:19:33-07:00 Los_Angeles,"","",603,2019-04-30T14:19:57-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T15:53:32.67-07:00 Los_Angeles,"","",Run Status,"",BI3000247,"","","","",✓,"","","","","",✓,"",✓,@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:25d5ecea-62732582 .+(\.|-| )BLR\d-S,"","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-24.BLR1-S.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:21.895Z UTC
@p:ubcv:r:245f4bac-acee4ad2 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-20.ZN1-T,✓,"",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AI3000291,TL3000950,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-20.ZN1-T,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49766,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:33.015-07:00 Los_Angeles,"","",Zone Temp,"",AI3000291,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-20.ZN1-T.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:01:57.91Z UTC
@p:ubcv:r:24ed8529-a8cfb41d Parc Library Gas Main Meter Consumption,"","","","","","","","","","",@p:ubcv:r:23060489-d61f5459 ION DB,"","",$equipRef $navName,"","","","","","","","","",@p:ubcv:r:24ed8529-1edeb21d Parc Library Gas Main Meter,"","",✓,@p:ubcv:r:21697fca-adbb85df UBC Tennis Centre (New) Utilities,"",✓,2020-05-12T03:15:00-07:00 Los_Angeles,"",consumption,26017,2019-08-14T12:45:00-07:00 Los_Angeles,ok,✓,"","","",Number,"","","",Consumption,"","","",✓,"","",✓,"","","","",10371,"","",✓,@p:ubcv:r:245f4037-5744aedf Parc Library,601,"","",@p:ubcv:r:23060489-d61f5459 ION DB,✓,✓,"","","","",Los_Angeles,ft³,✓,"",✓,"","",2020-04-28T00:03:35.746Z UTC
@p:ubcv:r:245f4ba9-49902a4b Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-14.CLG-O,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AO3000156,TL3000635,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-14.CLG-O,"",✓,✓,@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),✓,unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:33.017-07:00 Los_Angeles,"","",Cooling Valve Cmd,"",AO3000156,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3d-51bf01a3 .+(\.|-| )CLG-(O|VLV),"","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-14.CLG-O.Trend1,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:01:57.911Z UTC
@p:ubcv:r:245f4bac-a59de9e8 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-04.Parameters.EFFCLG-SP,✓,"",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AV3000351,TL3001025,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-04.Parameters.EFFCLG-SP,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),✓,unknown,$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:33.02-07:00 Los_Angeles,"","",Zone Temp Effective Cooling Sp,"",AV3000351,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"",✓,"","","","",@p:ubcv:r:240c1e06-1955c0a3 .+(\.|-| )(EFF|ACT)CLG-?SP,"",✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-04.Parameters.EFFCLG-SP.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:01:57.912Z UTC
@p:ubcv:r:245f4ba9-8c4cb03d Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-12.ZN-T,✓,"",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AI3000130,TL3000570,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-12.ZN-T,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:33.022-07:00 Los_Angeles,"","",Zone Temp,"",AI3000130,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-12.ZN-T.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:01:57.913Z UTC
@p:ubcv:r:245f4ba9-31e11e26 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-14.DA-T,✓,"",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AI3000154,TL3000633,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-14.DA-T,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:33.023-07:00 Los_Angeles,"","",Discharge Air Temp,"",AI3000154,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,"",✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-14.DA-T.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:01:57.914Z UTC
@p:ubcv:r:24edab6a-bc979fa7 Parc Library Unsorted Points JCL-NAE07/Schedule.Pump 6 schedule (domestic recir),"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),SCH3001108,"",✓,JCL-NAE07/Schedule.Pump 6 schedule (domestic recir),"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2019-08-21T08:45:00-07:00 Los_Angeles,"","",182,2019-08-19T12:26:00-07:00 Los_Angeles,"","","","",✓,Number,"","","",Scheduled Occupancy,"","","","","","",✓,"","","","","","",✓,"",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","","","","","",Los_Angeles,"","","","","","",2019-11-07T23:48:39.867Z UTC
@p:ubcv:r:245f4bac-cc75e456 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-23.HUM-O,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AO3000272,TL3000893,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-23.HUM-O,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:33.025-07:00 Los_Angeles,"","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-23.HUM-O,✓,AO3000272,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","","","","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-23.HUM-O.Trend1,Los_Angeles,%,"","","","","",2020-04-09T19:01:57.915Z UTC
@p:ubcv:r:245f4ba9-09c09f63 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-13.HTG-O,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AO3000144,TL3000603,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-13.HTG-O,"","",✓,@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,✓,✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T15:53:33.027-07:00 Los_Angeles,"","",Heating Valve Cmd,"",AO3000144,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-13.HTG-O.Trend1,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:01:57.916Z UTC
@p:ubcv:r:245f4ba9-c1a74443 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-12.DA-T,✓,"",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AI3000132,TL3000571,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-12.DA-T,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:33.029-07:00 Los_Angeles,"","",Discharge Air Temp,"",AI3000132,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,"",✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-12.DA-T.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:01:57.917Z UTC
@p:ubcv:r:245f4ba9-62121101 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-13.ZN-T,✓,"",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AI3000141,TL3000601,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-13.ZN-T,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:33.031-07:00 Los_Angeles,"","",Zone Temp,"",AI3000141,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-13.ZN-T.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:01:57.918Z UTC
@p:ubcv:r:245f4bac-2ef70cb8 Parc Library Unsorted Points JCL-NAE07/FCB-01.AHU-01 integration.Analog Inputs.AI-9,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AI3001964,TL3002412,✓,JCL-NAE07/FCB-01.AHU-01 integration.Analog Inputs.AI-9,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",50584,2019-05-02T12:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:33.033-07:00 Los_Angeles,"","",JCL-NAE07/FCB-01.AHU-01 integration.Analog Inputs.AI-9,✓,AI3001964,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","","","","",JCL-NAE07/FCB-01.AHU-01 integration.Analog Inputs.AI-9.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:01:57.919Z UTC
@p:ubcv:r:245f4ba9-3be2377c Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-11.ZN-T,✓,"",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AI3000119,TL3000539,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-11.ZN-T,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:33.035-07:00 Los_Angeles,"","",Zone Temp,"",AI3000119,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-11.ZN-T.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:01:57.92Z UTC
@p:ubcv:r:245f4bac-fdffc788 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-26.HP01-A,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),BI3000263,TL3000880,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-26.HP01-A,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","Normal,Alarm","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-04-22T11:19:33-07:00 Los_Angeles,"","",323,2019-05-06T09:11:30-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T15:53:32.672-07:00 Los_Angeles,"","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-26.HP01-A,✓,BI3000263,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","","","","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-26.HP01-A.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:21.747Z UTC
@p:ubcv:r:245f4bac-ba751738 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-11.Parameters.EFFCLG-SP,✓,"",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AV3000564,TL3001039,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-11.Parameters.EFFCLG-SP,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),✓,unknown,$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:33.037-07:00 Los_Angeles,"","",Zone Temp Effective Cooling Sp,"",AV3000564,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"",✓,"","","","",@p:ubcv:r:240c1e06-1955c0a3 .+(\.|-| )(EFF|ACT)CLG-?SP,"",✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-11.Parameters.EFFCLG-SP.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:01:57.921Z UTC
@p:ubcv:r:245f4bac-0779aef1 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-21.Parameters.Hydrogen Low Level SP,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AV3000964,TL3001064,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-21.Parameters.Hydrogen Low Level SP,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:33.039-07:00 Los_Angeles,"","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-21.Parameters.Hydrogen Low Level SP,✓,AV3000964,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","","","","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-21.Parameters.Hydrogen Low Level SP.Trend1,Los_Angeles,%,"","","","","",2020-04-09T19:01:57.922Z UTC
@p:ubcv:r:245f4bac-c30f6cb2 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-23.Parameters.ZNT-SP,✓,"",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AV3000907,TL3001059,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-23.Parameters.ZNT-SP,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:33.041-07:00 Los_Angeles,"","",Zone Temp Effective Sp,"",AV3000907,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"",✓,"","","","",@p:ubcv:r:23e65d3e-1fede0fa .+(\.|-| )ZNT-SP,"",✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-23.Parameters.ZNT-SP.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:01:57.923Z UTC
@p:ubcv:r:245f4bac-a3a17f48 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-27.Parameters.EFFCLG-SP,✓,"",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AV3000985,TL3001066,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-27.Parameters.EFFCLG-SP,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),✓,unknown,$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:33.043-07:00 Los_Angeles,"","",Zone Temp Effective Cooling Sp,"",AV3000985,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"",✓,"","","","",@p:ubcv:r:240c1e06-1955c0a3 .+(\.|-| )(EFF|ACT)CLG-?SP,"",✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-27.Parameters.EFFCLG-SP.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:01:57.924Z UTC
@p:ubcv:r:245f4bac-7affaee2 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-21.F05-S,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),BI3000294,TL3000959,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-21.F05-S,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","Off,On","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-04-22T11:19:33-07:00 Los_Angeles,"","",348,2019-05-01T15:07:31-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T15:53:32.681-07:00 Los_Angeles,"","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-21.F05-S,✓,BI3000294,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","","","","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-21.F05-S.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:50:08.467Z UTC
