id,ahu,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetObjectId,bacnetPoint,bmsName,boiler,bridgeName,bypass,chilled,cmd,co2,condenser,connRef,cool,cooling,count,covTest,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,des,differential,disMacro,discharge,domestic,effective,elec,elecMeterLoad,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,feedback,filter,flow,gas,groupRef,heat,heatRecovery,heating,highLim,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,jci,johnson,kind,lastSynced,lastTagged,leaving,low,lowLim,mixed,mode,navName,nestHW,noTagMatch,objectId,occ,occupancyIndicator,opcConnRef,opcCur,opcPoint,outside,perimeterHeat,point,pointType,power,pressure,primaryLoop,primarySide,pump,quantityID,reliability,return,roomRef,run,runtime,scheduleOcc,scheduled,sensor,siteRef,slab,smokeDetector,sourceID,sp,speed,sqlConnRef,sqlPoint,sump,tagTableRef,temp,temporary,temporaryOccupancy,testUnits,tlName,toTag,tz,uh,unit,utilityPoint,valve,volume,warmCoomAdjust,water,wifi,wifiId,zachName,zone,mod
@p:ubcv:r:260ca753-c7ac87da AMS Nest Unsorted Points JCL-NAE43/FCB-02.FEC-34.HTG-O,"","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"",TL3009749,"","",JCL-NAE43/FCB-02.FEC-34.HTG-O,"","","","",✓,"","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22c3e425-d7257141 AMS Nest Unsorted Points,"","","","","","",@p:ubcv:r:22c3e425-62ef79c7 AMS Nest Unsorted Points,"","",✓,"",✓,"","","",2020-03-25T12:15:00-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [194] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",177,2020-03-23T16:15:00-07:00 Los_Angeles,fault,"",✓,"",✓,"",Number,2020-05-11T00:31:15.088-07:00 Los_Angeles,"","","","","","",Heating Valve Cmd,"","",AO3008608,"","","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","","","",JCL-NAE43/FCB-02.FEC-34.HTG-O.Trend1,"",Los_Angeles,"",%,"",✓,"","",✓,"","",AHU-05.HTG-O,"",2020-04-14T16:49:59.91Z UTC
@p:ubcv:r:22c43bc3-c326a649 AMS Nest AHU-07 JCL-NAE43/FCB-01.FEC-38.HTG-O,"","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"",TL3002342,"",✓,JCL-NAE43/FCB-01.FEC-38.HTG-O,"","","","",✓,"","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22c43bc3-ee8b1541 AMS Nest AHU-07,"","","","","","",@p:ubcv:r:2203b248-ca87681d AMS Nest Air Systems,✓,"",✓,"",✓,"","","",2020-05-12T13:30:00-07:00 Los_Angeles,"","","",32714,2018-06-24T17:00:00-07:00 Los_Angeles,ok,"",✓,"",✓,"",Number,2020-05-12T13:58:48.793-07:00 Los_Angeles,2018-12-07T09:45:34.895-08:00 Los_Angeles,"","","","","",Heating Valve Cmd,"","",AO3002341,"","","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","","","",JCL-NAE43/FCB-01.FEC-38.HTG-O.Trend1,"",Los_Angeles,"",%,"",✓,"","",✓,"","",AHU-07.HTG-O,"",2020-04-30T11:09:52.499Z UTC
@p:ubcv:r:22c59bf2-345a224a AMS Nest Rm 1600 VAV-1-02 JCL-NAE41/FCB-01.VMA-06.SLAB CLG-SP,"",✓,"","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"",TL3001507,"",✓,JCL-NAE41/FCB-01.VMA-06.SLAB CLG-SP,"","","","","","","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"",✓,"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22c59bf2-8f63345a AMS Nest Rm 1600 VAV-1-02,"","","","","","",@p:ubcv:r:22c04b18-65471f25 AMS Nest Floor 1,"","","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",32636,2018-06-25T18:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:03:24.912-07:00 Los_Angeles,2018-12-07T09:45:35.746-08:00 Los_Angeles,"","","","","",Slab Cooling Sp,"","",AV3000153,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:22d2043a-e785dea5 AMS Nest Rm 1600,"","","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,✓,"","",✓,"","","","",@p:ubcv:r:23e65d3d-05ef47c8 .+(\.|-| )SLAB CLG-SP,✓,"","","",JCL-NAE41/FCB-01.VMA-06.SLAB CLG-SP.Trend1,"",Los_Angeles,"",°C,"","","","","","","","","",2020-04-09T19:02:10.612Z UTC
@p:ubcv:r:22c59bc0-b0e33fa6 AMS Nest Rm LL302 VAV-0-04 JCL-NAE40/FCB-01.VMA-12.HTG-O,"","","","",@p:ubcv:r:20b868b4-088b26e7 AMS Nest (NAE-40),"",TL3000484,"",✓,JCL-NAE40/FCB-01.VMA-12.HTG-O,"","","","",✓,"","",@p:ubcv:r:20b868b4-088b26e7 AMS Nest (NAE-40),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22c59bc0-33a27d85 AMS Nest Rm LL302 VAV-0-04,"","","","","","",@p:ubcv:r:22c04b19-0bbc31f3 AMS Nest Floor 0,✓,"",✓,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",64901,2018-06-26T06:30:00-07:00 Los_Angeles,ok,"",✓,"",✓,"",Number,2020-05-12T14:00:14.308-07:00 Los_Angeles,2018-12-07T09:45:34.895-08:00 Los_Angeles,"","","","","",Heating Valve Cmd,"","",AO3000095,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:22d2043c-29aef478 AMS Nest Rm LL302,"","","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","","","",JCL-NAE40/FCB-01.VMA-12.HTG-O.Trend1,"",Los_Angeles,"",%,"",✓,"","",✓,"","",FVAV-0-04.HTG-O,"",2020-04-09T19:02:09.418Z UTC
@p:ubcv:r:22c43bc3-26ce7614 AMS Nest AHU-06 JCL-NAE43/FCB-01.FEC-36.HWL-T,"","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"",TL3002258,"",✓,JCL-NAE43/FCB-01.FEC-36.HWL-T,"","","","","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22c43bc3-ca2c4dfa AMS Nest AHU-06,"","","","","","",@p:ubcv:r:2203b248-ca87681d AMS Nest Air Systems,"","","","",✓,"","","",2020-05-12T13:45:00-07:00 Los_Angeles,"","","",64956,2018-06-25T05:00:00-07:00 Los_Angeles,ok,"",✓,"",✓,"",Number,2020-05-12T13:58:49.483-07:00 Los_Angeles,2018-12-07T09:45:34.489-08:00 Los_Angeles,✓,"","","","",Leaving Hot Water Temp,"","",AI3002257,"","","","","","","",✓,"","","","","","","","","","","","","","",✓,@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","",@p:ubcv:r:23e65d3d-88d15ee2 .+(\.|-| )HWL-T,✓,"","","",JCL-NAE43/FCB-01.FEC-36.HWL-T.Trend1,"",Los_Angeles,"",°C,"","","","",✓,"","",AHU-06.HWL-T,"",2020-04-30T11:09:52.125Z UTC
@p:ubcv:r:22c59bf2-5d427c2b AMS Nest Rm 2113 VAV-2-10 JCL-NAE41/FCB-01.VMA-34.DPR-O,"",✓,"","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"",TL3001910,"",✓,JCL-NAE41/FCB-01.VMA-34.DPR-O,"","","","",✓,"","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"","","","","","","","",✓,"","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:22c59bf2-cc82a987 AMS Nest Rm 2113 VAV-2-10,"","","","","","",@p:ubcv:r:22c04b19-adb85333 AMS Nest Floor 2,"","","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",32630,2018-06-25T18:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:03:24.921-07:00 Los_Angeles,2019-04-11T16:04:13.676-07:00 Los_Angeles,"","","","","",Discharge Air Damper Cmd,"","",AO3000417,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:22d2043c-1c700a99 AMS Nest Rm 2113,"","","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","",@p:ubcv:r:23e65d3d-13728f49 .+(\.|-| )DPR(\d)?-(C|O),"","","","",JCL-NAE41/FCB-01.VMA-34.DPR-O.Trend1,"",Los_Angeles,"",%,"","","","","","","","","",2020-04-09T19:02:10.619Z UTC
@p:ubcv:r:22c59bf4-0b576058 AMS Nest Unsorted Points JCL-NAE41/FCB-02.FEC-38.ZN-SP,"",✓,"","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"",TL3003773,"",✓,JCL-NAE41/FCB-02.FEC-38.ZN-SP,"","","","","","","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"","","","","","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","","",@p:ubcv:r:22c3e425-d7257141 AMS Nest Unsorted Points,"","","","","","",@p:ubcv:r:22c3e425-62ef79c7 AMS Nest Unsorted Points,"","","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",32636,2018-06-25T18:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:03:24.929-07:00 Los_Angeles,2018-12-07T09:45:35.368-08:00 Los_Angeles,"","","","","",Zone Temp Effective Sp,"","",AV3001392,"","","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","",✓,"","","","",@p:ubcv:r:2538dbc2-74c2178f .+(\.|-| )ZN-SP,✓,"","","",JCL-NAE41/FCB-02.FEC-38.ZN-SP.Trend1,"",Los_Angeles,"",°C,"","","","","","","","",✓,2020-04-09T19:02:10.62Z UTC
@p:ubcv:r:22c59bf4-3980e488 AMS Nest Rm 3563 VAV-3-17 JCL-NAE41/FCB-02.VMA-20.ZN3302e-Q,"",✓,"","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"",TL3003171,"",✓,JCL-NAE41/FCB-02.VMA-20.ZN3302e-Q,"","","","","",✓,"",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22c59bf4-31f98f76 AMS Nest Rm 3563 VAV-3-17,"","","","","","",@p:ubcv:r:22c04b18-07b532eb AMS Nest Floor 3,"","","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",32636,2018-06-25T18:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:03:24.933-07:00 Los_Angeles,2018-12-07T09:45:34.489-08:00 Los_Angeles,"","","","","",Zone Co2,"","",AI3001102,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:22c04b18-e954641a AMS Nest Rm 3563,"","","","",✓,@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","",@p:ubcv:r:23e65d3d-60e9913e .+(\.|-| )ZN(LL)?\d+?\w?-Q,"","","","",JCL-NAE41/FCB-02.VMA-20.ZN3302e-Q.Trend1,"",Los_Angeles,"",ppm,"","","","","","","","",✓,2020-04-09T19:02:10.621Z UTC
@p:ubcv:r:22c59bf3-1e853b22 AMS Nest Unsorted Points JCL-NAE41/FCB-01.FEC-59.ZN2600-SP,"",✓,"","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"",TL3002489,"",✓,JCL-NAE41/FCB-01.FEC-59.ZN2600-SP,"","","","","","","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"","","","","","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","","",@p:ubcv:r:22c3e425-d7257141 AMS Nest Unsorted Points,"","","","","","",@p:ubcv:r:22c3e425-62ef79c7 AMS Nest Unsorted Points,"","","","",✓,"","","",2020-04-25T11:46:30-07:00 Los_Angeles,"","","",178,2018-06-07T14:50:40-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:03:23.502-07:00 Los_Angeles,2018-12-07T09:45:35.369-08:00 Los_Angeles,"","","","","",Zone Temp Effective Sp,"","",AV3000713,"","","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","",✓,"","","","",@p:ubcv:r:23e65d3e-9feca02b .+(\.|-| )ZN(LL)?\d+\w?-SP,✓,"","","",JCL-NAE41/FCB-01.FEC-59.ZN2600-SP.Trend1,"",Los_Angeles,"",°C,"","","","","","","","",✓,2020-04-09T19:02:10.622Z UTC
@p:ubcv:r:260ca754-c551edaa AMS Nest Unsorted Points JCL-NAE43/FCB-02.VENDOR-65.Analog Values.AV-4,"","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"",TL3010992,"","",JCL-NAE43/FCB-02.VENDOR-65.Analog Values.AV-4,"","","","","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22c3e425-d7257141 AMS Nest Unsorted Points,"","","","","","",@p:ubcv:r:22c3e425-62ef79c7 AMS Nest Unsorted Points,"","","","",✓,"","","",2020-03-25T12:15:00-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [46] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",177,2020-03-23T16:15:00-07:00 Los_Angeles,fault,"","","",✓,"",Number,2020-05-11T00:31:15.09-07:00 Los_Angeles,"","","","","","",JCL-NAE43/FCB-02.VENDOR-65.Analog Values.AV-4,"",✓,AV3010582,"","","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","","","","","","",JCL-NAE43/FCB-02.VENDOR-65.Analog Values.AV-4.Trend1,"",Los_Angeles,"",_,"","","","","","","",New SUB Penthouse.AHU-12 RF VFD.CURRENT,"",2020-04-09T19:15:17.482Z UTC
@p:ubcv:r:260ca753-34b2134f AMS Nest Unsorted Points JCL-NAE43/FCB-02.FEC-50.ATRIUM-DPR3,"","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"",TL3010515,"","",JCL-NAE43/FCB-02.FEC-50.ATRIUM-DPR3,"","","","","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22c3e425-d7257141 AMS Nest Unsorted Points,"","","","","","",@p:ubcv:r:22c3e425-62ef79c7 AMS Nest Unsorted Points,"","","","",✓,"","","",2020-03-23T10:20:47-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [168] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",1,2020-03-23T10:20:47-07:00 Los_Angeles,fault,"","","",✓,"",Number,2020-05-11T00:31:14.384-07:00 Los_Angeles,"","","","","","",JCL-NAE43/FCB-02.FEC-50.ATRIUM-DPR3,"",✓,AO3009091,"","","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","","","","","","",JCL-NAE43/FCB-02.FEC-50.ATRIUM-DPR3.Trend1,"",Los_Angeles,"",_,"","","","","","","",RF-01 through RF-04.ATRIUM-DPR3,"",2020-04-09T19:15:17.485Z UTC
@p:ubcv:r:226b94b3-a69f0ad3 AMS Nest CT-02 JCL-NAE43/FCB-01.FEC-18.FC02SUMP-T,"","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"",TL3003884,"",✓,JCL-NAE43/FCB-01.FEC-18.FC02SUMP-T,"","","","","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22f4aea8-ded2dee6 AMS Nest CT-02,"","","","","","",@p:ubcv:r:216980c6-65c96bd9 AMS Nest Hydronic Systems,"","","","",✓,"","","",2020-05-12T13:45:00-07:00 Los_Angeles,"","","",71263,2018-04-18T23:15:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T13:58:49.487-07:00 Los_Angeles,2018-12-07T09:45:35.954-08:00 Los_Angeles,"","","","","",Water Sump Temp,"","",AI3003882,"","","","","","","",✓,"","","","","","","","","","","","","","",✓,@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","",✓,@p:ubcv:r:23e65d3d-9e7788e3 .+(\.|-| )FC\d+SUMP-T,✓,"","","",JCL-NAE43/FCB-01.FEC-18.FC02SUMP-T.Trend1,"",Los_Angeles,"",°C,"","","","",✓,"","",Fluid Cooler System.FC02SUMP-T,"",2020-04-30T11:09:51.596Z UTC
@p:ubcv:r:263d6e83-0c4b3b5c AMS Nest Unsorted Points JCL-NAE43/FCB-01.VENDOR-33.DRIVE ALARM,"","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"",TL3011437,"","",JCL-NAE43/FCB-01.VENDOR-33.DRIVE ALARM,"","","","","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","OK,ALARM","",@p:ubcv:r:22c3e425-d7257141 AMS Nest Unsorted Points,"","","","","","",@p:ubcv:r:22c3e425-62ef79c7 AMS Nest Unsorted Points,"","","","",✓,"","","",2020-05-12T13:50:00-07:00 Los_Angeles,"","","",1834,2020-04-29T20:20:00-07:00 Los_Angeles,ok,"","","",✓,"",Bool,2020-05-12T13:58:49.671-07:00 Los_Angeles,"","","","","","",JCL-NAE43/FCB-01.VENDOR-33.DRIVE ALARM,"","",BV3011299,"","","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","","","","","","",JCL-NAE43/FCB-01.VENDOR-33.DRIVE ALARM.Trend1,✓,Los_Angeles,"","","","","","","","","",AHU-04 VFD.DRIVE ALARM,"",2020-04-30T11:09:55.048Z UTC
@p:ubcv:r:22c59bf3-1157d83c AMS Nest Rm 3125 VAV-3-12 JCL-NAE41/FCB-02.VMA-15.ZN3301h-T,"",✓,"","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"",TL3003032,"",✓,JCL-NAE41/FCB-02.VMA-15.ZN3301h-T,"","","","","","","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22c59bf3-0ee5e76c AMS Nest Rm 3125 VAV-3-12,"","","","","","",@p:ubcv:r:22c04b18-07b532eb AMS Nest Floor 3,"","","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",32636,2018-06-25T18:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:03:24.947-07:00 Los_Angeles,2018-12-07T09:45:35.37-08:00 Los_Angeles,"","","","","",Zone Temp,"","",AI3001030,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:22d2043d-78763063 AMS Nest Rm 3125,"","","","",✓,@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,"","","",JCL-NAE41/FCB-02.VMA-15.ZN3301h-T.Trend1,"",Los_Angeles,"",°C,"","","","","","","","",✓,2020-04-09T19:02:10.629Z UTC
@p:ubcv:r:22c59bf2-e8819e1d AMS Nest Rm 2113 VAV-2-10 JCL-NAE41/FCB-01.VMA-46.SAFLOW-SP,"",✓,"","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"",TL3002187,"",✓,JCL-NAE41/FCB-01.VMA-46.SAFLOW-SP,"","","","","","","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"","","","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:22c59bf2-cc82a987 AMS Nest Rm 2113 VAV-2-10,"","","","",✓,"",@p:ubcv:r:22c04b19-adb85333 AMS Nest Floor 2,"","","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",32636,2018-06-25T18:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:03:24.949-07:00 Los_Angeles,2019-04-11T16:04:14.02-07:00 Los_Angeles,"","","","","",Discharge Air Flow Sp,"","",AV3000554,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:22d2043c-1c700a99 AMS Nest Rm 2113,"","","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","",✓,"","","","",@p:ubcv:r:23e65d3d-dcc151d5 .+(\.|-| )SAF(LOW)?-SP,"","","","",JCL-NAE41/FCB-01.VMA-46.SAFLOW-SP.Trend1,"",Los_Angeles,"",L/s,"","","","","","","","","",2020-04-09T19:02:10.63Z UTC
@p:ubcv:r:22c59c13-0e4fbd0e AMS Nest Rm 3568 VAV-3-26 JCL-NAE42/FCB-02.VMA-19.DA-T,"",✓,"","",@p:ubcv:r:21e6b7aa-8a738fdb AMS Nest (NAE-42),"",TL3001441,"",✓,JCL-NAE42/FCB-02.VMA-19.DA-T,"","","","","","","",@p:ubcv:r:21e6b7aa-8a738fdb AMS Nest (NAE-42),"","","","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:22c59c13-395cc39c AMS Nest Rm 3568 VAV-3-26,"","","","","","",@p:ubcv:r:22c04b18-07b532eb AMS Nest Floor 3,"","","","",✓,"","","",2020-05-12T13:30:00-07:00 Los_Angeles,"","","",32644,2018-06-25T18:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T13:58:44.251-07:00 Los_Angeles,2019-04-11T16:04:14.069-07:00 Los_Angeles,"","","","","",Discharge Air Temp,"","",AI3000265,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:22c04b18-33a1da28 AMS Nest Rm 3568,"","","","",✓,@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,✓,"","","",JCL-NAE42/FCB-02.VMA-19.DA-T.Trend1,"",Los_Angeles,"",°C,"","","","","","","","","",2020-04-09T19:02:11.181Z UTC
@p:ubcv:r:22c43bc4-64e33662 AMS Nest AHU-11 JCL-NAE43/FCB-01.FEC-46.RAD-O,"","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"",TL3002683,"",✓,JCL-NAE43/FCB-01.FEC-46.RAD-O,"","","","",✓,"","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22c43bc4-f3d6d6ad AMS Nest AHU-11,"","","","","","",@p:ubcv:r:2203b248-ca87681d AMS Nest Air Systems,"","","","",✓,"","","",2020-05-12T13:30:00-07:00 Los_Angeles,"","","",32709,2018-06-24T17:00:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T13:58:48.794-07:00 Los_Angeles,2018-12-07T09:45:34.896-08:00 Los_Angeles,"","","","","",Baseboard Radiation Cmd,"","",AO3002682,"","","","","","",✓,✓,"","","","","","","","","","","","","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","",@p:ubcv:r:23e65d3d-090873f2 .+(\.|-| )(SUP)?RAD-O,"","","","",JCL-NAE43/FCB-01.FEC-46.RAD-O.Trend1,"",Los_Angeles,"",%,"","","","","","","",AHU-11.RAD-O,"",2020-04-30T11:09:52.519Z UTC
@p:ubcv:r:22c43bc3-c1766b70 AMS Nest AHU-02 JCL-NAE43/FCB-01.FEC-28.DA-T,"",✓,"","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"",TL3001884,"",✓,JCL-NAE43/FCB-01.FEC-28.DA-T,"","","","","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"","","","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:22c43bc3-57d8a0ff AMS Nest AHU-02,"","","","","","",@p:ubcv:r:2203b248-ca87681d AMS Nest Air Systems,"","","","",✓,"","","",2020-05-12T13:30:00-07:00 Los_Angeles,"","","",32717,2018-06-24T17:00:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T13:58:48.796-07:00 Los_Angeles,2018-12-07T09:45:35.372-08:00 Los_Angeles,"","","","","",Discharge Air Temp,"","",AI3001883,"","","","","","","",✓,"","","","","","","","","","","","","","",✓,@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,✓,"","","",JCL-NAE43/FCB-01.FEC-28.DA-T.Trend1,"",Los_Angeles,"",°C,"","","","","","","",AHU-02.DA-T,"",2020-04-30T11:09:52.068Z UTC
@p:ubcv:r:22c59bf2-756c9ea2 AMS Nest Rm 2208d VAV-2-05 JCL-NAE41/FCB-01.VMA-41.ZN2208d-T,"",✓,"","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"",TL3002074,"",✓,JCL-NAE41/FCB-01.VMA-41.ZN2208d-T,"","","","","","","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22c59bf2-26040c94 AMS Nest Rm 2208d VAV-2-05,"","","","","","",@p:ubcv:r:22c04b19-adb85333 AMS Nest Floor 2,"","","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",32636,2018-06-25T18:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:03:24.962-07:00 Los_Angeles,2018-12-07T09:45:34.896-08:00 Los_Angeles,"","","","","",Zone Temp,"","",AI3000499,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:22d2043c-5a66e8a2 AMS Nest Rm 2208d,"","","","",✓,@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,"","","",JCL-NAE41/FCB-01.VMA-41.ZN2208d-T.Trend1,"",Los_Angeles,"",°C,"","","","","","","","",✓,2020-04-09T19:02:10.636Z UTC
