id,ahu,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetDesc,bacnetHis,bacnetPoint,bmsName,boiler,chilled,cmd,connRef,cooling,curStatus,damper,delta,differential,disMacro,discharge,effective,enable,entering,enum,equipName,equipRef,exhaust,fan,flow,groupRef,heating,his,hisConvert,hisEnd,hisErr,hisFunc,hisSize,hisStart,hisStatus,hot,ionaSchedMV,ionaSched_MV,jci,kind,lastSynced,lastTagged,leaving,low,mode,navName,noTagMatch,objectId,occ,outside,point,pointType,pressure,pump,roomRef,run,runtime,scheduleOcc,scheduled,sensor,siteRef,sp,speed,tagTableRef,temp,testUnits,tlName,tz,unit,valve,water,zone,mod
@p:ubcv:r:2324284a-e075b2a8 Iona Rm 350 VAV-37 JCL-NAE51/N2-1.TU-37.DMPRPOS,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3005087,✓,JCL-NAE51/N2-1.TU-37.DMPRPOS,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",✓,"","",$equipRef $bmsName,✓,"","","","","",@p:ubcv:r:24e5e631-08edbf50 Iona Rm 350 VAV-37,"","","",@p:ubcv:r:24e48a79-95bcaaa8 Iona Floor 3,"",✓,"",2020-05-12T14:45:00-07:00 Los_Angeles,"","",57100,2018-09-05T23:15:00-07:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:49:28.705-07:00 Los_Angeles,2018-12-07T09:45:30.319-08:00 Los_Angeles,"","","","Discharge Air Damper ","",AI3004252,"","",✓,"","","",@p:ubcv:r:24e5e631-3b40bfd2 Iona Rm 350,"","","","",✓,@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:25d74045-54563a0d .+(\.|-| )DMPRPOS,"","",JCL-NAE51/N2-1.TU-37.DMPRPOS.Trend1,Los_Angeles,%,"","","",2020-04-14T16:50:01.978Z UTC
@p:ubcv:r:238b4041-ca84c746 Iona Heating Plant JCL-NAE51/N2-1.BOILEDR.Analog Inputs.BLR-RWT,"","","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3003285,✓,JCL-NAE51/N2-1.BOILEDR.Analog Inputs.BLR-RWT,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,"","","",✓,"","",@p:ubcv:r:24e5e631-f788c215 Iona Heating Plant,"","","",@p:ubcv:r:24e48e78-476eaa3c Iona Hydronic Systems,"",✓,°F => °C,2020-05-12T14:45:00-07:00 Los_Angeles,"","",50969,2018-11-22T03:00:00-08:00 Los_Angeles,ok,✓,"","",✓,Number,2020-05-12T14:49:28.71-07:00 Los_Angeles,2018-11-25T13:45:23.625-08:00 Los_Angeles,"","","",Entering Hot Water Temp,"",AI3001871,"","",✓,"","","","","","","","",✓,@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:23e65d3d-3e8eaadf .+(\.|-| )RWT,✓,"",JCL-NAE51/N2-1.BOILEDR.Analog Inputs.BLR-RWT.Trend1,Los_Angeles,°C,"",✓,"",2020-04-21T20:22:22.622Z UTC
@p:ubcv:r:238b4077-fbbf6a65 Iona Cooling Plant P-1 JCL-NAE52/FCB-01.JCL-NAE52 FCB-01 FEC-22.CHP1-O,"","","","",@p:ubcv:r:21e6bc22-3a9f07a4 IONA (NAE-52),"","",TL3001026,✓,JCL-NAE52/FCB-01.JCL-NAE52 FCB-01 FEC-22.CHP1-O,"","",✓,@p:ubcv:r:21e6bc22-3a9f07a4 IONA (NAE-52),"","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:24ef2171-974123c4 Iona Cooling Plant P-1,"","","",@p:ubcv:r:24e4acd5-b7295d37 Iona Floor 1,"",✓,"",2020-05-12T14:45:00-07:00 Los_Angeles,"","",50469,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:45:18.503-07:00 Los_Angeles,2018-12-07T09:45:26.102-08:00 Los_Angeles,"","","",Pump Speed Cmd,"",AO3001025,"","",✓,"","",✓,@p:ubcv:r:24e5e15f-fc37b3e8 Iona Rm 153,"","","","","",@p:ubcv:r:2322d70b-06b2e114 Iona,"",✓,@p:ubcv:r:2571c132-a351a0f2 .+(\.|-|_)CHP\d-O,"","",JCL-NAE52/FCB-01.JCL-NAE52 FCB-01 FEC-22.CHP1-O.Trend1,Los_Angeles,%,"","","",2020-04-09T19:02:15.576Z UTC
@p:ubcv:r:238b4042-53910078 Iona Heating Plant B-2 JCL-NAE51/N2-1.BOILEDR.Binary Inputs.B2-ALM,"","",✓,"",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3005286,✓,JCL-NAE51/N2-1.BOILEDR.Binary Inputs.B2-ALM,✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,"","","","","Normal,Alarm","",@p:ubcv:r:24e5eea2-150cde11 Iona Heating Plant B-2,"","","",@p:ubcv:r:24e48e78-476eaa3c Iona Hydronic Systems,"",✓,"",2020-05-11T09:54:23-07:00 Los_Angeles,"","",38,2019-01-14T13:48:08-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:49:28.391-07:00 Los_Angeles,2018-11-25T13:45:23.93-08:00 Los_Angeles,"","","",Boiler Alarm,"",BI3001878,"","",✓,"","","","","","","","",✓,@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:24bbc319-1e3ec38b .+(\.|-| )B\d-ALM,"","",JCL-NAE51/N2-1.BOILEDR.Binary Inputs.B2-ALM.Trend1,Los_Angeles,"","","","",2020-04-08T18:50:33.984Z UTC
@p:ubcv:r:238b4041-7c9e6810 Iona Rm 331 VAV-38 JCL-NAE51/N2-2.TU-38.ACLG-SP,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3004997,✓,JCL-NAE51/N2-2.TU-38.ACLG-SP,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),✓,"","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:24e5e632-7ae420cc Iona Rm 331 VAV-38,"","","",@p:ubcv:r:24e48a79-95bcaaa8 Iona Floor 3,"",✓,"",2020-05-12T14:00:00-07:00 Los_Angeles,"","",12833,2018-11-21T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:49:28.466-07:00 Los_Angeles,2018-12-07T09:45:30.834-08:00 Los_Angeles,"","","",Zone Temp Cooling Sp,"",AI3004177,"","",✓,"","","",@p:ubcv:r:24e5e632-84dbd94f Iona Rm 331,"","","","","",@p:ubcv:r:2322d70b-06b2e114 Iona,✓,"",@p:ubcv:r:23e65d3e-89385aab .+(\.|-| )ACLG-SP,✓,"",JCL-NAE51/N2-2.TU-38.ACLG-SP.Trend1,Los_Angeles,°C,"","",✓,2020-04-09T19:02:15.248Z UTC
@p:ubcv:r:23244f4e-c4384644 Iona Rm 020 VAV-01 JCL-NAE51/N2-1.TU-01.DA-T,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3004293,✓,JCL-NAE51/N2-1.TU-01.DA-T,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,✓,"","","","","",@p:ubcv:r:24e5e631-266c7f7a Iona Rm 020 VAV-01,"","","",@p:ubcv:r:24e4ace9-df32f2aa Iona Floor 0,"",✓,"",2018-10-26T07:45:00-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [137] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",3949,2018-09-06T02:00:00-07:00 Los_Angeles,fault,"",✓,"",✓,Number,2020-05-12T10:09:44.441-07:00 Los_Angeles,2018-12-07T09:45:30.29-08:00 Los_Angeles,"","","",Discharge Air Temp,"",AI3003655,"","",✓,"","","",@p:ubcv:r:24e5e631-f04316b7 Iona Rm 020,"","","","",✓,@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,✓,"","",Los_Angeles,°C,"","","",2020-04-14T16:50:00.614Z UTC
@p:ubcv:r:2324284a-2f1c7225 Iona Rm 056 VAV-7.1 JCL-NAE51/N2-1.TU-71.DMPRPOS,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3005064,✓,JCL-NAE51/N2-1.TU-71.DMPRPOS,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",✓,"","",$equipRef $bmsName,✓,"","","","","",@p:ubcv:r:24e5e631-7dafc328 Iona Rm 056 VAV-7.1,"","","",@p:ubcv:r:24e4ace9-df32f2aa Iona Floor 0,"",✓,"",2020-05-12T14:45:00-07:00 Los_Angeles,"","",57100,2018-09-05T23:15:00-07:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:49:28.711-07:00 Los_Angeles,2018-12-07T09:45:30.32-08:00 Los_Angeles,"","","","Discharge Air Damper ","",AI3004229,"","",✓,"","","",@p:ubcv:r:24e5e631-cc320d3b Iona Rm 056,"","","","",✓,@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:25d74045-54563a0d .+(\.|-| )DMPRPOS,"","",JCL-NAE51/N2-1.TU-71.DMPRPOS.Trend1,Los_Angeles,%,"","","",2020-04-14T16:50:02.763Z UTC
@p:ubcv:r:238b4041-2b195da6 Iona Rm 245 VAV-33 JCL-NAE51/N2-1.TU-33.ACLG-SP,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3004750,✓,JCL-NAE51/N2-1.TU-33.ACLG-SP,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),✓,"","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:24e5e631-09029632 Iona Rm 245 VAV-33,"","","",@p:ubcv:r:24e4acd1-f0e12d6f Iona Floor 2,"",✓,"",2020-05-12T14:00:00-07:00 Los_Angeles,"","",12833,2018-11-21T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:49:28.467-07:00 Los_Angeles,2018-12-07T09:45:31.004-08:00 Los_Angeles,"","","",Zone Temp Cooling Sp,"",AI3003995,"","",✓,"","","",@p:ubcv:r:24e5e631-36d28e41 Iona Rm 245,"","","","","",@p:ubcv:r:2322d70b-06b2e114 Iona,✓,"",@p:ubcv:r:23e65d3e-89385aab .+(\.|-| )ACLG-SP,✓,"",JCL-NAE51/N2-1.TU-33.ACLG-SP.Trend1,Los_Angeles,°C,"","",✓,2020-04-09T19:02:15.251Z UTC
@p:ubcv:r:238b4042-5e6d07a4 Iona AHU-03 JCL-NAE51/N2-2.AHU3.Parameters.DASP-SP,"","","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3005539,✓,JCL-NAE51/N2-2.AHU3.Parameters.DASP-SP,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:24e48eef-651fb37d Iona AHU-03,"","","",@p:ubcv:r:24e48e78-2438be4f Iona Air Systems,"",✓,"",2020-05-12T14:45:00-07:00 Los_Angeles,"","",50516,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:49:28.713-07:00 Los_Angeles,2018-11-25T13:45:23.756-08:00 Los_Angeles,"","","",JCL-NAE51/N2-2.AHU3.Parameters.DASP-SP,✓,AO3005503,"","",✓,"","","","","","","","","",@p:ubcv:r:2322d70b-06b2e114 Iona,"","","","","",JCL-NAE51/N2-2.AHU3.Parameters.DASP-SP.Trend1,Los_Angeles,Pa,"","","",2020-04-09T19:02:15.252Z UTC
@p:ubcv:r:238b4042-9cc60b68 Iona Unsorted Points JCL-NAE51/N2-2.F700-TO-F707.F702-EN,"","","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3005566,✓,JCL-NAE51/N2-2.F700-TO-F707.F702-EN,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,"","","","","Off,On","",@p:ubcv:r:2322dda5-34e7842d Iona Unsorted Points,"","","",@p:ubcv:r:2322dda5-a3e422e9 Iona Unsorted Points,"",✓,"",2020-05-11T09:54:23-07:00 Los_Angeles,"","",138,2018-11-23T02:09:39-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:49:28.392-07:00 Los_Angeles,2018-11-25T13:45:23.746-08:00 Los_Angeles,"","","",JCL-NAE51/N2-2.F700-TO-F707.F702-EN,✓,BO3005549,"","",✓,"","","","","","","","","",@p:ubcv:r:2322d70b-06b2e114 Iona,"","","","","",JCL-NAE51/N2-2.F700-TO-F707.F702-EN.Trend1,Los_Angeles,"","","","",2020-04-08T18:50:25.521Z UTC
@p:ubcv:r:23244e14-b6f0f211 Iona Rm 066 VAV-7.4 JCL-NAE51/N2-1.TU-74.Parameters.SUPFLOW,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3005137,✓,JCL-NAE51/N2-1.TU-74.Parameters.SUPFLOW,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,✓,"","","","","",@p:ubcv:r:24e5e631-2afbf602 Iona Rm 066 VAV-7.4,"","",✓,@p:ubcv:r:24e4ace9-df32f2aa Iona Floor 0,"",✓,"",2020-05-12T14:45:00-07:00 Los_Angeles,"","",57078,2018-09-06T01:45:00-07:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:49:28.715-07:00 Los_Angeles,2018-12-07T09:45:30.314-08:00 Los_Angeles,"","","",Discharge Air Flow,"",AI3004440,"","",✓,"","","",@p:ubcv:r:24e5e631-21867980 Iona Rm 066,"","","","",✓,@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:2573299e-4bf282a5 .+(\.|-| )SUPFLOW,"","",JCL-NAE51/N2-1.TU-74.Parameters.SUPFLOW.Trend1,Los_Angeles,L/s,"","","",2020-04-09T19:02:15.253Z UTC
@p:ubcv:r:238b4041-f2e59773 Iona Rm 231 VAV-32 JCL-NAE51/N2-1.TU-32.ZN-T,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3004728,✓,JCL-NAE51/N2-1.TU-32.ZN-T,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:24e5e631-8d60cfde Iona Rm 231 VAV-32,"","","",@p:ubcv:r:24e4acd1-f0e12d6f Iona Floor 2,"",✓,"",2020-05-12T14:45:00-07:00 Los_Angeles,"","",50516,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:49:28.717-07:00 Los_Angeles,2018-12-07T09:45:31.011-08:00 Los_Angeles,"","","",Zone Temp,"",AI3003975,"","",✓,"","","",@p:ubcv:r:24e5e631-cd49a601 Iona Rm 231,"","","","",✓,@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,"",JCL-NAE51/N2-1.TU-32.ZN-T.Trend1,Los_Angeles,°C,"","",✓,2020-04-09T19:02:15.254Z UTC
@p:ubcv:r:238b4077-a7801047 Iona Cooling Plant P-3 JCL-NAE52/FCB-01.JCL-NAE52 FCB-01 FEC-22.CHP3-O,"","","","",@p:ubcv:r:21e6bc22-3a9f07a4 IONA (NAE-52),"","",TL3001040,✓,JCL-NAE52/FCB-01.JCL-NAE52 FCB-01 FEC-22.CHP3-O,"","",✓,@p:ubcv:r:21e6bc22-3a9f07a4 IONA (NAE-52),"","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:24ef2171-3da38b41 Iona Cooling Plant P-3,"","","",@p:ubcv:r:24e4acd5-b7295d37 Iona Floor 1,"",✓,"",2020-05-12T14:45:00-07:00 Los_Angeles,"","",50469,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:45:18.511-07:00 Los_Angeles,2018-12-07T09:45:26.078-08:00 Los_Angeles,"","","",Pump Speed Cmd,"",AO3001039,"","",✓,"","",✓,@p:ubcv:r:24e5e15f-fc37b3e8 Iona Rm 153,"","","","","",@p:ubcv:r:2322d70b-06b2e114 Iona,"",✓,@p:ubcv:r:2571c132-a351a0f2 .+(\.|-|_)CHP\d-O,"","",JCL-NAE52/FCB-01.JCL-NAE52 FCB-01 FEC-22.CHP3-O.Trend1,Los_Angeles,%,"","","",2020-04-09T19:02:15.58Z UTC
@p:ubcv:r:238b4042-87804829 Iona AHU-01 JCL-NAE51/N2-1.AHU1.DAS-P,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3005432,✓,JCL-NAE51/N2-1.AHU1.DAS-P,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,✓,"","","","","",@p:ubcv:r:24e48e78-dd645481 Iona AHU-01,"","","",@p:ubcv:r:24e48e78-2438be4f Iona Air Systems,"",✓,"",2020-05-12T14:45:00-07:00 Los_Angeles,"","",50516,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"","",✓,✓,Number,2020-05-12T14:49:28.719-07:00 Los_Angeles,2018-11-25T13:45:23.704-08:00 Los_Angeles,"","","",Discharge Air Pressure,"",AI3005387,"","",✓,"",✓,"","","","","","",✓,@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:25462df8-3e9a16fd .+(\.|-| )DAS-P,"","",JCL-NAE51/N2-1.AHU1.DAS-P.Trend1,Los_Angeles,Pa,"","","",2020-04-09T19:02:15.255Z UTC
@p:ubcv:r:238b4042-18a9421d Iona Unsorted Points JCL-NAE51/N2-1.TU-21.Parameters.SUPFLOSP,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3005164,✓,JCL-NAE51/N2-1.TU-21.Parameters.SUPFLOSP,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,✓,"","","","","",@p:ubcv:r:2322dda5-34e7842d Iona Unsorted Points,"","",✓,@p:ubcv:r:2322dda5-a3e422e9 Iona Unsorted Points,"",✓,"",2020-05-12T14:00:00-07:00 Los_Angeles,"","",12833,2018-11-21T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:49:28.468-07:00 Los_Angeles,2018-12-07T09:45:31.786-08:00 Los_Angeles,"","","",Discharge Air Flow Sp,"",AO3004688,"","",✓,"","","","","","","","","",@p:ubcv:r:2322d70b-06b2e114 Iona,✓,"",@p:ubcv:r:23e65d3d-28cc8339 .+(\.|-| )SU?PFLOW?SP,"","",JCL-NAE51/N2-1.TU-21.Parameters.SUPFLOSP.Trend1,Los_Angeles,L/s,"","","",2020-04-09T19:02:15.256Z UTC
@p:ubcv:r:238b4042-65d65c22 Iona Unsorted Points JCL-NAE51/N2-2.F700-TO-F707.F703-EN,"","","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3005567,✓,JCL-NAE51/N2-2.F700-TO-F707.F703-EN,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,"","","","","Off,On","",@p:ubcv:r:2322dda5-34e7842d Iona Unsorted Points,"","","",@p:ubcv:r:2322dda5-a3e422e9 Iona Unsorted Points,"",✓,"",2020-05-11T09:54:23-07:00 Los_Angeles,"","",134,2018-11-23T02:19:37-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:49:28.394-07:00 Los_Angeles,2018-11-25T13:45:23.747-08:00 Los_Angeles,"","","",JCL-NAE51/N2-2.F700-TO-F707.F703-EN,✓,BO3005550,"","",✓,"","","","","","","","","",@p:ubcv:r:2322d70b-06b2e114 Iona,"","","","","",JCL-NAE51/N2-2.F700-TO-F707.F703-EN.Trend1,Los_Angeles,"","","","",2020-04-08T18:50:25.58Z UTC
@p:ubcv:r:238b4042-4c33cbd8 Iona AHU-04 JCL-NAE51/N2-2.AHU4.DA-T,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3005524,✓,JCL-NAE51/N2-2.AHU4.DA-T,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,✓,"","","","","",@p:ubcv:r:24e48eef-71f9b122 Iona AHU-04,"","","",@p:ubcv:r:24e48e78-2438be4f Iona Air Systems,"",✓,"",2020-05-12T14:45:00-07:00 Los_Angeles,"","",50516,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:49:28.72-07:00 Los_Angeles,2018-12-07T09:45:31.62-08:00 Los_Angeles,"","","",Discharge Air Temp,"",AI3005483,"","",✓,"","","","","","","","",✓,@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,✓,"",JCL-NAE51/N2-2.AHU4.DA-T.Trend1,Los_Angeles,°C,"","","",2020-04-09T19:02:15.257Z UTC
@p:ubcv:r:238b4042-fd59660d Iona AHU-01 SF JCL-NAE51/N2-1.AHU1.SF-O,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3005425,✓,JCL-NAE51/N2-1.AHU1.SF-O,"","",✓,@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,✓,"","","","","",@p:ubcv:r:24ef2171-83e31bb3 Iona AHU-01 SF,"",✓,"",@p:ubcv:r:24e48e78-2438be4f Iona Air Systems,"",✓,"",2020-05-12T14:45:00-07:00 Los_Angeles,"","",50516,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"","",✓,✓,Number,2020-05-12T14:49:28.722-07:00 Los_Angeles,2018-12-07T09:45:31.509-08:00 Los_Angeles,"","","",Discharge Fan Speed Cmd,"",AO3005394,"","",✓,"","","","","","","","","",@p:ubcv:r:2322d70b-06b2e114 Iona,"",✓,@p:ubcv:r:23e65d3d-c41cb6bb .+(\.|-| )SF(\d+)?-O(.Trend\d)?,"","",JCL-NAE51/N2-1.AHU1.SF-O.Trend1,Los_Angeles,%,"","","",2020-04-09T19:02:15.258Z UTC
@p:ubcv:r:23244e14-01d3e703 Iona Rm 201 South VAV-30 JCL-NAE51/N2-2.TU-30.Parameters.SUPFLOW,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3005189,✓,JCL-NAE51/N2-2.TU-30.Parameters.SUPFLOW,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,✓,"","","","","",@p:ubcv:r:24e5e632-f7584339 Iona Rm 201 South VAV-30,"","",✓,@p:ubcv:r:24e4acd1-f0e12d6f Iona Floor 2,"",✓,"",2020-05-12T14:45:00-07:00 Los_Angeles,"","",57050,2018-09-06T01:45:00-07:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:49:28.724-07:00 Los_Angeles,2018-12-07T09:45:30.29-08:00 Los_Angeles,"","","",Discharge Air Flow,"",AI3004934,"","",✓,"","","",@p:ubcv:r:24e5e632-f49ef751 Iona Rm 201 South,"","","","",✓,@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:2573299e-4bf282a5 .+(\.|-| )SUPFLOW,"","",JCL-NAE51/N2-2.TU-30.Parameters.SUPFLOW.Trend1,Los_Angeles,L/s,"","","",2020-04-09T19:02:15.259Z UTC
@p:ubcv:r:23244f4f-5b48965b Iona Rm 433 VAV-39 JCL-NAE51/N2-2.TU-39.DA-T,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3005015,✓,JCL-NAE51/N2-2.TU-39.DA-T,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","","","","",$equipRef $bmsName,✓,"","","","","",@p:ubcv:r:24e5e632-41be0df6 Iona Rm 433 VAV-39,"","","",@p:ubcv:r:24e48a79-ef918fa3 Iona Floor 4,"",✓,"",2020-05-12T14:45:00-07:00 Los_Angeles,"","",57047,2018-09-06T02:00:00-07:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:49:28.726-07:00 Los_Angeles,2018-12-07T09:45:30.321-08:00 Los_Angeles,"","","",Discharge Air Temp,"",AI3004187,"","",✓,"","","",@p:ubcv:r:24e5e632-fad2a41a Iona Rm 433,"","","","",✓,@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,✓,"",JCL-NAE51/N2-2.TU-39.DA-T.Trend1,Los_Angeles,°C,"","","",2020-04-09T19:02:15.26Z UTC
@p:ubcv:r:2324284a-37a3dbdd Iona Rm 257 VAV-34 JCL-NAE51/N2-1.TU-34.DMPRPOS,"",✓,"","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",TL3005085,✓,JCL-NAE51/N2-1.TU-34.DMPRPOS,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"","",✓,"","",$equipRef $bmsName,✓,"","","","","",@p:ubcv:r:24e5e631-a20e247e Iona Rm 257 VAV-34,"","","",@p:ubcv:r:24e4acd1-f0e12d6f Iona Floor 2,"",✓,"",2020-05-12T14:45:00-07:00 Los_Angeles,"","",57065,2018-09-05T23:15:00-07:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:49:28.727-07:00 Los_Angeles,2018-12-07T09:45:30.315-08:00 Los_Angeles,"","","","Discharge Air Damper ","",AI3004250,"","",✓,"","","",@p:ubcv:r:24e5e631-b69ca845 Iona Rm 257,"","","","",✓,@p:ubcv:r:2322d70b-06b2e114 Iona,"","",@p:ubcv:r:25d74045-54563a0d .+(\.|-| )DMPRPOS,"","",JCL-NAE51/N2-1.TU-34.DMPRPOS.Trend1,Los_Angeles,%,"","","",2020-04-14T16:49:59.563Z UTC
@p:ubcv:r:24edab6a-26ae720b Iona Unsorted Points JCL-NAE51/Schedule.HRV-SCHEDULE,"","","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),SCH3003168,"","",✓,JCL-NAE51/Schedule.HRV-SCHEDULE,"","","",@p:ubcv:r:21e6bbf9-d702f98f IONA (NAE-51),"",unknown,"","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:2322dda5-34e7842d Iona Unsorted Points,"","","",@p:ubcv:r:2322dda5-a3e422e9 Iona Unsorted Points,"",✓,"",2019-08-21T08:45:00-07:00 Los_Angeles,"","",182,2019-08-19T12:26:00-07:00 Los_Angeles,"","","","",✓,Number,"","","","","",Scheduled Occupancy,"","","","",✓,"","","","","","",✓,"","",@p:ubcv:r:2322d70b-06b2e114 Iona,"","","","","","",Los_Angeles,"","","","",2019-11-07T23:48:39.867Z UTC
